Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,40.9,41.37,40.75,41.18,39.3016,530116
2025-07-23,41.24,41.67,40.89,41.59,39.6929,717806
2025-07-24,41.76,41.82,40.22,40.22,38.3854,1280921
2025-07-25,40.17,40.79,39.97,40.12,38.29,531746
2025-07-28,40.27,41.65,40.27,41.39,39.502,880005
2025-07-29,41.07,41.71,40.97,41.66,39.7597,753815
2025-07-30,41.54,42,41.31,41.88,39.9697,616422
2025-07-31,41.87,42.275,41.63,42.15,40.2274,916664
2025-08-01,41.82,41.97,41.4,41.62,39.7216,883848
2025-08-04,41.08,41.285,40.35,40.5,38.6526,771152
2025-08-05,40.5,40.68,39.94,40.53,38.6813,1412982
2025-08-06,40.78,41.26,40.48,41.22,39.3398,922809
2025-08-07,40.78,41.29,40.68,40.69,38.834,973775
2025-08-08,41.11,41.4,40.52,41.26,39.378,808820
2025-08-11,41.44,41.63,41.25,41.5,39.607,693871
2025-08-12,41,41.52,40.81,41.31,39.4257,2070244
2025-08-13,40.42,41.245,39.27,39.75,37.9369,1939596
2025-08-14,40.94,41.23,39.73,40.44,38.5954,1554396
2025-08-15,40.42,41.38,40.225,41.02,39.1489,1819477
2025-08-18,40.56,40.62,39.66,39.92,38.0991,1317657
2025-08-19,39.58,39.62,38.52,38.73,37.4132,1163632
2025-08-20,38.8,39.14,38.63,38.73,37.4132,1208131
2025-08-21,39.46,39.615,38.86,39.35,38.0122,1244616
2025-08-22,38.55,39.745,38.45,39.47,38.1281,1495670
2025-08-25,38.44,39.45,37.39,37.43,36.1574,2320099
2025-08-26,37.54,38.09,37.15,38.09,36.795,2343259
2025-08-27,38.31,38.5,37.88,38.4,37.0945,1020493
2025-08-28,38.59,38.85,37.57,37.77,36.4859,1296562
2025-08-29,37.96,38.52,37.91,38.17,36.8723,1299110
2025-09-01,37.95,38.22,37.44,37.55,36.2734,857957
2025-09-02,37.22,37.5,36.99,37.26,35.9932,1074960
2025-09-03,36.83,37.25,36.73,36.84,35.5875,1986864
2025-09-04,36.86,37.41,36.855,37.21,35.9449,1022687
2025-09-05,37.3,37.76,37.22,37.46,36.1864,975001
2025-09-08,37.3,37.88,36.67,36.68,35.4329,1104300
2025-09-09,36.23,36.62,36.03,36.16,34.9306,1323527
2025-09-10,37.12,37.33,36.17,37.12,35.858,1687159
2025-09-11,36.65,36.93,36.33,36.9,35.6455,1494585
2025-09-12,37.18,37.49,36.26,36.47,35.2301,1186055
2025-09-15,36.75,37.24,36.52,36.83,35.5778,1345839
2025-09-16,36.83,37.87,36.825,37.67,36.3893,1484728
2025-09-17,37.33,37.71,37.23,37.59,36.312,1421823
2025-09-18,37.47,37.615,36.865,36.96,35.7034,1390428
2025-09-19,37.41,37.87,37.12,37.47,36.1961,4112818
2025-09-22,37.34,37.53,37.1,37.28,36.0125,780006
2025-09-23,37,37.055,36.17,36.51,35.2687,1179937
2025-09-24,36.46,36.55,36.06,36.31,35.0755,1106944
2025-09-25,36.36,36.43,36,36.17,34.9403,1558707
2025-09-26,35.8,36.16,35.34,35.53,34.322,1235855
2025-09-29,36.2,36.55,36,36.3,35.0659,1063979
2025-09-30,36.66,36.75,36.25,36.29,35.0562,1007973
2025-10-01,35.95,36.51,35.88,36.43,35.1914,805229
2025-10-02,36.53,36.86,36.26,36.8,35.5489,1495932
2025-10-03,36.41,36.62,36.18,36.46,35.2204,835124
2025-10-06,36.82,36.995,36.16,36.3,35.0659,700516
2025-10-07,36.34,36.77,35.96,36.41,35.1721,653502
2025-10-08,36.36,36.54,36.01,36.35,35.1142,799008
2025-10-09,36.49,36.83,36.27,36.47,35.2301,743666
2025-10-10,36.97,37.37,36.41,37.14,35.8773,1101327
2025-10-13,36.47,36.79,35.62,35.62,34.409,1105054
2025-10-14,35.65,35.75,35.31,35.72,34.5056,1016175
2025-10-15,36.26,36.725,35.98,36.6,35.3557,1565545
2025-10-16,36.76,37.57,36.625,37.46,36.1864,1365016
2025-10-17,37.02,37.6,36.73,37.01,35.7517,1617438
2025-10-20,37.3,37.54,36.74,37.1,35.8387,957890
2025-10-21,36.79,37.29,36.64,37.2,35.9353,687093
2025-10-22,37.26,37.58,37.06,37.2,35.9353,952467
2025-10-23,36.69,37.61,36.69,37.23,35.9642,796654
2025-10-24,37.38,37.4,36.8,36.88,35.6261,578146
2025-10-27,37.2,37.28,36.76,36.76,35.5102,539320
2025-10-28,36.77,37.39,36.72,37.2,35.9353,1239447
2025-10-29,36.93,37.085,36.175,36.3,35.0659,597515
2025-10-30,36.02,36.83,35.84,36.73,35.4812,1151909
2025-10-31,36.69,36.88,36.22,36.57,35.3267,1489048
2025-11-03,36.4,36.88,36.21,36.47,35.2301,821060
2025-11-04,36.86,37.41,36.36,36.36,35.1238,991154
2025-11-05,36.91,37.25,36.2,36.57,35.3267,1321387
2025-11-06,36.59,37.02,36.4,36.62,35.375,1172567
2025-11-07,36.39,36.42,35.17,35.17,33.9743,1223809
2025-11-10,35.155,35.5,35.02,35.05,33.8584,1335819
2025-11-11,35.2,35.34,34.6,35.05,33.8584,1098056
2025-11-12,35.05,35.295,34.86,35.05,33.8584,928066
2025-11-13,35.4,36.09,34.85,35.97,34.7471,1905607
2025-11-14,36.1,36.72,35.96,36.03,34.805,1179741
2025-11-17,35.81,36.045,35.62,35.96,34.7374,1045556
2025-11-18,35.72,36.04,35.41,35.54,34.3317,1450898
2025-11-19,35.11,35.46,34.44,34.44,33.2691,1125043
2025-11-20,34.66,35.07,34.49,34.96,33.7714,1003966
2025-11-21,34.65,34.99,34.43,34.79,33.6072,856799
2025-11-24,35,35.41,34.92,35.41,34.2061,2652119
2025-11-25,35.5,35.72,35.2,35.54,34.3317,795212
2025-11-26,35.79,36.35,35.68,35.94,34.7181,1188696
2025-11-27,36.18,36.18,35.55,35.63,34.4186,680476
2025-11-28,35.61,35.99,35.43,35.9,34.6795,737686
2025-12-01,35.73,35.925,34.72,34.72,33.5396,1277359
2025-12-02,35.12,35.72,35,35.64,34.4283,1157002
2025-12-03,35.52,35.73,34.96,35.1,33.9067,817426
2025-12-04,35.19,35.4,34.63,35.02,33.8294,1109936
2025-12-05,34.5,34.97,34.07,34.92,33.7328,813854
2025-12-08,34.75,34.96,34.52,34.92,33.7328,606472
2025-12-09,34.58,35.26,34.58,34.88,33.6941,6029892
2025-12-10,34.26,34.76,34.26,34.4,33.2305,1068784
2025-12-11,34.29,34.57,33.79,33.79,32.6412,1561812
2025-12-12,34.22,34.33,33.68,33.83,32.6798,907738
2025-12-15,33.71,34.28,33.71,34.12,32.96,989787
2025-12-16,33.08,34.13,32.5,34.13,32.9696,1905587
2025-12-17,33.42,34.43,33.25,33.9,32.7475,1213674
2025-12-18,33.82,34.24,33.73,33.93,32.7764,1465871
2025-12-19,34.42,34.43,34.09,34.29,33.1242,2460317
2025-12-22,34.5,34.67,34.28,34.48,33.3077,651614
2025-12-23,34.61,34.75,34.44,34.62,33.443,717360
2025-12-24,34.51,34.6,34.14,34.35,33.1822,318971
2025-12-29,34.51,34.585,34.15,34.19,33.0276,330886
2025-12-30,34.16,34.48,34.11,34.32,33.1532,490219
2025-12-31,34.25,34.43,33.98,34.14,32.9793,581344
2026-01-02,33.96,34.23,33.82,34.15,32.989,294432
2026-01-05,34.2,34.24,33.39,33.99,32.8344,645469
2026-01-06,34.01,34.31,33.76,34.03,32.873,983638
2026-01-07,34,34.3,33.87,34,32.8441,605028
2026-01-08,34.17,34.21,33.51,34.1,32.9407,844116
2026-01-09,34.2,34.47,33.69,33.74,32.5929,1046382
2026-01-12,33.53,34.07,33.33,34.03,32.873,686135
2026-01-13,33.66,34.33,33.53,33.96,32.8054,998918
2026-01-14,32.93,34.65,32.93,34.62,33.443,1432436
2026-01-15,34.79,35.27,34.58,35.25,34.0516,849268
2026-01-16,34.94,35.45,34.69,35.36,34.1578,960370
2026-01-19,35.3,35.68,35.18,35.3,34.0999,550897
2026-01-20,34.9,35.255,34.59,34.73,33.5492,1550054
2026-01-21,34.45,34.745,34.01,34.08,32.9213,1411133
2026-01-22,34.19,34.6,34.03,34.33,33.1628,1240984
2026-01-23,34.24,34.94,34.23,34.35,33.1822,814666
2026-01-27,34.81,35.36,34.31,35.36,34.1578,1282220
2026-01-28,35.41,35.45,34.29,34.34,33.1725,1234218
2026-01-29,34.12,34.24,33.09,33.18,32.0519,1379281
2026-01-30,33.23,33.31,32.61,32.71,31.5979,1440125
2026-02-02,32.7,33.18,32.27,32.47,31.3661,862425
2026-02-03,32.68,32.96,32.365,32.87,31.7525,1555219
2026-02-04,31.97,32.26,31.41,31.62,30.545,1389290
2026-02-05,31.52,32.08,31.22,32.08,30.9893,2944523
2026-02-06,31.44,31.73,30.99,31.07,30.0137,1025172
2026-02-09,31.05,32.14,31.05,32.09,30.999,1778580
2026-02-10,32.1,32.31,31.45,32.3,31.2018,1901272
2026-02-11,34.33,34.87,31.09,31.29,30.2262,2869929
2026-02-12,30.02,30.95,30.01,30.43,29.3954,2508881
2026-02-13,30.33,30.56,30.025,30.17,29.1443,1268003
2026-02-16,30.24,31.69,30.24,31.69,30.6126,1769903
2026-02-17,30.98,31.06,30.41,30.59,30.0987,1272575
2026-02-18,31.12,31.14,30.56,30.95,30.4529,1166123
2026-02-19,31.29,31.78,30.95,31.22,30.7186,1875500
2026-02-20,30.93,31.48,30.59,31.46,30.9547,1532397
2026-02-23,31.37,31.5,30.91,31.02,30.5218,2493105
2026-02-24,30.6,31,30.6,30.65,30.1577,1057179
2026-02-25,30.75,30.995,30.34,30.38,29.8921,1391239
2026-02-26,30.78,30.78,30.11,30.33,29.8429,1536525
2026-02-27,30.7,31.28,30.44,30.99,30.4923,3249482
2026-03-02,29.86,30.99,29.86,30.89,30.3939,1136755
2026-03-03,30.5,30.88,30.33,30.55,30.0593,1699234
2026-03-04,30.4,30.65,29.97,30.03,29.5477,1431554
2026-03-05,30.94,31.2,30.22,30.49,30.0003,1759096
2026-03-06,30.64,30.72,30.21,30.61,30.1184,1344256
2026-03-09,30.32,30.5,29.26,29.52,29.0459,1789660
2026-03-10,29.12,29.93,29.12,29.68,29.2033,1821437
2026-03-11,29.14,29.87,28.97,29.3,28.8294,1320164
2026-03-12,28.99,29.135,28.6,28.99,28.5244,1572579
2026-03-13,28.87,29.37,28.83,28.86,28.3965,949536
2026-03-16,28.41,29.13,28.41,28.77,28.3079,1154432
2026-03-17,28.77,29.2,28.51,28.67,28.2095,1198281
2026-03-18,28.99,28.99,28.55,28.66,28.1997,1248032
2026-03-19,28.25,28.44,27.9,28.03,27.5798,1603842
2026-03-20,27.94,28.12,27.67,27.67,27.2256,3855168
2026-03-23,27.77,28.49,27.3,28.26,27.8061,1837172
2026-03-24,28.55,28.96,28.17,28.39,27.934,1544350
2026-03-25,27,28.25,26.73,28.03,27.5798,2365723
2026-03-26,28.02,28.12,27.6,28.03,27.5798,1350595
2026-03-27,27.91,28.08,27.705,27.93,27.4814,1088627
2026-03-30,27.8,27.8,27.16,27.73,27.2846,909471
2026-03-31,28.08,28.51,27.69,28.39,27.934,1409909
2026-04-01,28.67,28.8,28.39,28.8,28.3374,1131168
2026-04-02,28.88,29.39,28.115,28.33,27.875,1077003
2026-04-07,28.97,29.1,28.03,28.51,28.0521,1016465
2026-04-08,29.15,29.64,28.86,29.39,28.918,1586366
2026-04-09,29.32,29.48,29.06,29.19,28.7212,756220
2026-04-10,29.1,29.29,28.87,29.28,28.8097,788168
2026-04-13,29.28,29.5,28.97,29.44,28.9672,723014
2026-04-14,30.23,30.23,29.18,29.69,29.2131,1058006
2026-04-15,29.69,29.91,29.27,29.82,29.3411,1149289
2026-04-16,30.1,30.13,29.72,30.09,29.6067,1300763
2026-04-17,29.73,30.79,29.73,30.79,30.2955,1002473
2026-04-20,30.99,31.13,30.45,30.53,30.0396,723438
2026-04-21,30.76,30.97,30.43,30.73,30.2364,1234008
2026-04-22,30.95,30.95,29.96,30.12,29.6362,901328
2026-04-23,29.84,30.46,29.71,30.32,29.833,1138906
2026-04-24,30.05,30.18,29.83,30.05,29.5674,621702
2026-04-27,29.85,30.14,29.57,29.66,29.1836,469830
2026-04-28,29.45,29.725,29.25,29.29,28.8196,750529
2026-04-29,29.4,29.75,29.32,29.7,29.223,1446639
2026-04-30,29.91,30.45,29.81,30.18,29.6953,2077794
2026-05-01,30.71,30.99,30.475,30.73,30.2364,757546
2026-05-04,30.73,31.08,30.69,30.85,30.3545,1012271
2026-05-05,30.55,31.26,30.55,31.26,30.7579,1193222
2026-05-06,31.55,31.98,31.26,31.45,30.9449,1308048
2026-05-07,31.21,31.7,30.67,30.98,30.4824,1963834
2026-05-08,30.73,31.09,30.6,30.73,30.2364,793541
2026-05-11,30.56,31.11,30.3,30.56,30.0692,795709
2026-05-12,30.57,30.58,29.55,29.74,29.2623,813189
2026-05-13,29.73,29.99,29.47,29.89,29.4099,700921
2026-05-14,29.7,30.07,29.42,30.04,29.5575,949003
2026-05-15,30.95,31.07,30.54,31.07,30.571,1544902
2026-05-18,31.85,32.35,31.36,32.09,31.5746,2258463
2026-05-19,32.3,33.28,32.26,33.12,32.5881,1978365
2026-05-20,33.5,33.96,33.34,33.49,32.9521,2801408
2026-05-21,33.97,34.4,33.45,33.81,33.267,1988286
2026-05-22,33.72,34.15,33.58,33.77,33.2276,2330078
2026-05-25,33.7,33.94,33.18,33.3,32.7652,1088064
2026-05-26,33,33.46,33,33.21,32.6766,911176
2026-05-27,33.07,33.92,33.07,33.92,33.3752,1398495
2026-05-28,33.57,34.41,33.5,34.2,33.6507,1871342
2026-05-29,34.46,34.79,34.27,34.59,34.0344,6055694
2026-06-01,33.83,35.16,33.83,34.91,34.3493,1236676
2026-06-02,35.1,35.35,34.64,34.88,34.3198,1749731
2026-06-03,34.8,35.13,34.68,34.79,34.2312,1487325
2026-06-04,35.12,35.19,34.31,34.55,33.9951,1873849
2026-06-05,34.85,35.04,34.75,34.93,34.369,700627
2026-06-09,35,35.84,34.86,35.67,35.0971,1890708
2026-06-10,35.7,36.23,35.46,36.23,35.6481,1878902
2026-06-11,36.16,37.085,36.06,36.9,36.3073,3681208
2026-06-12,36.97,37.29,36.67,36.85,36.2581,1197871
2026-06-15,36.94,37.11,35.8,36,35.4218,3196385
2026-06-16,36.55,36.55,35.7,36.19,35.6087,1531600
2026-06-17,36.17,36.58,35.87,36.55,35.963,953160
2026-06-18,36.43,37.35,36.43,37.15,36.5533,1648311
2026-06-19,36.98,37.23,36.61,36.71,36.1204,3132685
2026-06-22,36.6,37.26,36.46,36.74,36.1499,1366819
2026-06-23,37.21,37.55,36.82,36.83,36.2385,1720788
2026-06-24,36.5,37.53,36.5,37.17,36.573,2284604
2026-06-25,37.88,37.88,37.24,37.34,36.7403,1388285
2026-06-26,37.26,37.41,36.49,36.88,36.2877,1507293
2026-06-29,36.86,37.38,36.63,36.82,36.2286,1358295
2026-06-30,37.49,38.34,36.97,38.28,37.6652,1914078
2026-07-01,38.49,39.48,38.37,38.68,38.0587,1272325
2026-07-02,38.7,38.85,38.13,38.24,37.6258,1368982
2026-07-03,38.82,39.575,38.4,39.39,38.7573,915509
2026-07-06,39.28,39.43,39.03,39.26,38.6294,535391
2026-07-07,38.98,39.24,38.24,39.11,38.4818,1489047
2026-07-08,38.6,39.04,38.48,39.01,38.3834,1032988
2026-07-09,39.24,39.49,38.67,39.43,38.7967,1391844
2026-07-10,39.27,39.52,38.82,39.52,38.8853,635003
2026-07-13,39.25,39.81,39.13,39.74,39.1017,882193
2026-07-14,39.74,39.74,38.44,39.33,38.6983,1150661
2026-07-15,39.19,39.38,38.62,38.96,38.3343,1165400
2026-07-16,39.25,39.56,39.15,39.15,38.5212,812928
2026-07-17,39.38,39.86,39.32,39.86,39.2198,976456
2026-07-20,39.63,40.14,39.63,40.07,39.4264,784911
2026-07-21,39.7,40.22,39.67,39.72,39.082,864163
2026-07-22,39.48,39.91,39.31,39.89,39.2493,602243
2026-07-23,39.53,40.43,39.47,39.47,38.8361,2244791
2026-07-24,39,39.58,38.93,39.49,38.8557,1268285
2026-07-27,39.48,39.99,39.35,39.93,39.2887,621736
2026-07-28,39.64,40.77,39.64,40.55,39.8987,1033361
2026-07-29,40.93,41.12,40.33,41.02,40.3612,1235768
2026-07-30,41.03,41.08,40.38,40.77,40.1152,1047424
2026-07-31,40.5,41.03,40.47,40.94,40.2825,1597078
2026-08-03,40.94,41.9,40.8,41.9,41.227,1262540
2026-08-04,41.78,42.64,41.66,42.64,41.9551,1747063
2026-08-05,42.49,43.39,42.11,43.26,42.5652,1442340
2026-08-06,43.16,43.79,43,43.29,42.5947,1203413
2026-08-07,42.94,43.28,42.74,42.92,42.2306,2001736
2026-08-10,42.8,42.98,42.48,42.48,41.7977,1261996
2026-08-11,42.46,42.56,42.13,42.51,41.8272,1593076
2026-08-12,40.57,41.97,39.95,40.61,39.9578,8185368
2026-08-13,40.01,40.76,39.13,40.76,40.1053,3023967
2026-08-14,40.78,40.9,40.15,40.46,39.8102,1190319
2026-08-17,40.46,40.7,40.03,40.47,39.82,1348508
2026-08-18,40.09,40.18,39.44,39.69,39.69,1390754
2026-08-19,39.72,40.13,39.41,39.72,39.72,2131345
2026-08-20,39.59,39.655,38.925,39.39,39.39,2133943
2026-08-21,39.5,39.715,39.18,39.18,39.18,1610606
2026-08-24,38.59,39.36,38.59,39.11,39.11,1102546
2026-08-25,39.01,39.6,39.01,39.35,39.35,1713857
2026-08-26,39.47,39.47,38.83,39.18,39.18,1162762
