Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,2.82,2.83,2.79,2.83,2.6771,521021
2025-04-28,2.84,2.87,2.8,2.87,2.715,670542
2025-04-29,2.85,2.94,2.85,2.92,2.7623,618043
2025-04-30,2.94,2.95,2.91,2.93,2.7717,1018360
2025-05-01,2.93,2.965,2.9,2.94,2.7812,777103
2025-05-02,2.96,2.96,2.92,2.94,2.7812,1333908
2025-05-05,2.96,2.98,2.94,2.95,2.7906,357655
2025-05-06,2.96,3.03,2.95,3.02,2.8569,672483
2025-05-07,3,3.02,2.945,2.96,2.8001,796478
2025-05-08,2.97,3.03,2.96,3.01,2.8474,593310
2025-05-09,3,3.02,2.98,3.02,2.8569,393875
2025-05-12,3.02,3.04,2.96,2.97,2.8096,530906
2025-05-13,2.98,3.04,2.96,3.03,2.8663,694957
2025-05-14,3.04,3.07,2.97,2.99,2.8285,682596
2025-05-15,2.96,2.97,2.93,2.95,2.7906,563064
2025-05-16,2.95,2.985,2.93,2.97,2.8096,883128
2025-05-19,2.97,3.03,2.91,2.98,2.819,909198
2025-05-20,2.96,2.99,2.94,2.99,2.8285,743155
2025-05-21,3,3.03,2.98,3.02,2.8569,332201
2025-05-22,2.97,3.02,2.97,2.99,2.8285,403253
2025-05-23,2.99,3.03,2.96,2.99,2.8285,481947
2025-05-26,2.98,3.01,2.98,2.98,2.819,301469
2025-05-27,2.99,3.02,2.965,2.99,2.8285,539690
2025-05-28,2.99,3.04,2.99,3.01,2.8474,480197
2025-05-29,3.03,3.03,2.96,2.98,2.819,690600
2025-05-30,2.96,3,2.96,2.96,2.8001,939305
2025-06-02,2.98,3.005,2.965,3,2.8379,470771
2025-06-03,3.02,3.02,2.98,3,2.8379,366797
2025-06-04,3,3.02,2.96,2.97,2.8096,761206
2025-06-05,2.98,2.985,2.94,2.95,2.7906,740928
2025-06-06,2.97,2.97,2.925,2.97,2.8096,765518
2025-06-10,2.98,3.04,2.98,3.03,2.8663,898528
2025-06-11,3.04,3.11,3.01,3.08,2.9136,1362503
2025-06-12,3.11,3.13,3.05,3.06,2.8947,787280
2025-06-13,3.05,3.08,3.02,3.05,2.8852,730476
2025-06-16,3.04,3.07,3,3.05,2.8852,498139
2025-06-17,3.05,3.05,3,3.03,2.8663,491311
2025-06-18,3.06,3.06,2.98,2.99,2.8285,617876
2025-06-19,3,3.005,2.95,2.98,2.819,992148
2025-06-20,2.98,2.99,2.93,2.93,2.7717,2161708
2025-06-23,2.96,2.96,2.9,2.95,2.7906,782340
2025-06-24,2.95,2.99,2.94,2.95,2.7906,865038
2025-06-25,2.95,2.97,2.92,2.94,2.7812,807239
2025-06-26,2.94,2.98,2.9,2.97,2.8096,798144
2025-06-27,2.97,2.97,2.89,2.89,2.7698,825012
2025-06-30,2.91,2.91,2.87,2.89,2.7698,914573
2025-07-01,2.9,2.945,2.9,2.92,2.7985,717771
2025-07-02,2.94,2.96,2.92,2.93,2.8081,559471
2025-07-03,2.96,2.96,2.89,2.92,2.7985,622664
2025-07-04,2.95,2.95,2.89,2.91,2.789,666881
2025-07-07,2.89,2.92,2.88,2.89,2.7698,379303
2025-07-08,2.89,2.89,2.855,2.87,2.7506,686277
2025-07-09,2.9,2.9,2.83,2.85,2.7314,808581
2025-07-10,2.85,2.9,2.83,2.88,2.7602,534553
2025-07-11,2.9,2.9,2.84,2.87,2.7506,583766
2025-07-14,2.9,2.9,2.83,2.89,2.7698,686232
2025-07-15,2.88,2.91,2.88,2.9,2.7794,516294
2025-07-16,2.89,2.91,2.85,2.9,2.7794,701632
2025-07-17,2.91,2.95,2.9,2.94,2.8177,736765
2025-07-18,2.97,2.97,2.92,2.95,2.8273,474345
2025-07-21,2.95,2.96,2.89,2.91,2.789,1023904
2025-07-22,2.89,2.95,2.88,2.95,2.8273,574107
2025-07-23,2.98,2.98,2.92,2.94,2.8177,591750
2025-07-24,2.95,2.95,2.87,2.89,2.7698,570597
2025-07-25,2.91,2.91,2.855,2.87,2.7506,449560
2025-07-28,2.91,2.91,2.87,2.91,2.789,386971
2025-07-29,2.9,2.94,2.89,2.92,2.7985,757492
2025-07-30,2.92,2.975,2.89,2.96,2.8369,666361
2025-07-31,2.96,2.985,2.94,2.97,2.8465,446947
2025-08-01,2.97,2.98,2.94,2.98,2.856,401818
2025-08-04,2.95,2.99,2.95,2.97,2.8465,522459
2025-08-05,3,3.02,2.98,3.01,2.8848,357161
2025-08-06,3,3.06,3,3.04,2.9135,504105
2025-08-07,3.03,3.12,3.03,3.12,2.9902,1482092
2025-08-08,3.09,3.13,3.07,3.08,2.9519,1559851
2025-08-11,3.2,3.31,3.19,3.23,3.0956,765008
2025-08-12,3.23,3.28,3.23,3.27,3.134,900003
2025-08-13,3.28,3.28,3.21,3.24,3.1052,1083218
2025-08-14,3.23,3.29,3.23,3.29,3.1531,763082
2025-08-15,3.3,3.31,3.25,3.31,3.1723,544316
2025-08-18,3.31,3.31,3.27,3.29,3.1531,627703
2025-08-19,3.29,3.31,3.27,3.31,3.1723,629458
2025-08-20,3.27,3.355,3.27,3.33,3.1915,949227
2025-08-21,3.37,3.4,3.33,3.4,3.2586,610758
2025-08-22,3.3,3.37,3.3,3.36,3.2202,1582707
2025-08-25,3.36,3.405,3.36,3.38,3.2394,461363
2025-08-26,3.42,3.42,3.36,3.39,3.249,1138263
2025-08-27,3.39,3.42,3.38,3.41,3.2682,944531
2025-08-28,3.42,3.42,3.38,3.42,3.2777,621841
