Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.85,3.87,3.84,3.86,3.6225,945722
2025-07-23,3.86,3.875,3.82,3.85,3.6131,1694746
2025-07-24,3.84,3.86,3.79,3.8,3.5662,1035536
2025-07-25,3.79,3.8,3.76,3.78,3.5474,1006056
2025-07-28,3.79,3.82,3.77,3.8,3.5662,874234
2025-07-29,3.8,3.81,3.77,3.81,3.5756,855273
2025-07-30,3.81,3.89,3.78,3.86,3.6225,1237592
2025-07-31,3.88,3.9,3.86,3.88,3.6413,1323994
2025-08-01,3.85,3.87,3.84,3.84,3.6038,606717
2025-08-04,3.89,3.91,3.84,3.87,3.6319,808845
2025-08-05,3.89,3.91,3.86,3.9,3.6601,865461
2025-08-06,3.95,3.95,3.9,3.91,3.6694,982972
2025-08-07,3.9,3.95,3.9,3.95,3.707,1005663
2025-08-08,3.95,3.975,3.95,3.96,3.7164,1125877
2025-08-11,3.96,3.99,3.95,3.99,3.7445,695090
2025-08-12,3.97,4.01,3.96,3.98,3.7351,1567766
2025-08-13,4,4.01,3.95,4.01,3.7633,1496892
2025-08-14,4.03,4.085,4.01,4.06,3.8102,1654764
2025-08-15,4.02,4.1,4.02,4.08,3.829,1362859
2025-08-18,4.01,4.07,4.01,4.06,3.8102,1663522
2025-08-19,4.13,4.145,4.07,4.1,3.8478,2160511
2025-08-20,4.18,4.25,4.14,4.24,3.9791,3250571
2025-08-21,4.24,4.27,4.22,4.26,3.9979,1528931
2025-08-22,4.26,4.26,4.19,4.22,3.9604,1039741
2025-08-25,4.25,4.3,4.25,4.27,4.0073,1663443
2025-08-26,4.27,4.3,4.2,4.22,3.9604,1470891
2025-08-27,4.22,4.31,4.2,4.23,3.9698,866230
2025-08-28,4.25,4.26,4.22,4.24,3.9791,807687
2025-08-29,4.23,4.25,4.18,4.2,3.9416,3154136
2025-09-01,4.2,4.23,4.18,4.23,3.9698,878638
2025-09-02,4.2,4.22,4.16,4.16,3.9041,1421646
2025-09-03,4.16,4.26,4.11,4.11,3.8571,999032
2025-09-04,4.14,4.17,4.11,4.15,3.8947,1563545
2025-09-05,4.19,4.23,4.17,4.2,3.9416,1038069
2025-09-08,4.22,4.23,4.2,4.22,3.9604,626263
2025-09-09,4.17,4.21,4.17,4.19,3.9322,885976
2025-09-10,4.16,4.195,4.16,4.19,3.9322,538561
2025-09-11,4.19,4.25,4.185,4.22,3.9604,631193
2025-09-12,4.25,4.28,4.22,4.27,4.0073,715735
2025-09-15,4.24,4.29,4.215,4.27,4.0073,733803
2025-09-16,4.27,4.28,4.24,4.27,4.0073,952292
2025-09-17,4.27,4.27,4.2,4.21,3.951,750696
2025-09-18,4.2,4.22,4.155,4.2,3.9416,884368
2025-09-19,4.2,4.22,4.15,4.15,3.8947,4226531
2025-09-22,4.19,4.22,4.18,4.19,3.9322,859584
2025-09-23,4.2,4.21,4.14,4.18,3.9228,612849
2025-09-24,4.15,4.2,4.15,4.18,3.9228,767854
2025-09-25,4.16,4.24,4.16,4.2,3.9416,889867
2025-09-26,4.2,4.235,4.19,4.21,3.951,858044
2025-09-29,4.13,4.175,4.12,4.15,3.9543,726221
2025-09-30,4.14,4.18,4.13,4.13,3.9353,1094889
2025-10-01,4.15,4.19,4.11,4.12,3.9257,1038089
2025-10-02,4.13,4.16,4.115,4.15,3.9543,1295001
2025-10-03,4.15,4.195,4.13,4.13,3.9353,965946
2025-10-06,4.16,4.22,4.12,4.13,3.9353,576198
2025-10-07,4.13,4.17,4.06,4.08,3.8876,626033
2025-10-08,4.07,4.08,4.04,4.06,3.8686,732130
2025-10-09,4.07,4.1,4.04,4.06,3.8686,821325
2025-10-10,4.04,4.085,4.04,4.07,3.8781,1023023
2025-10-13,4.05,4.09,4.03,4.08,3.8876,557257
2025-10-14,4.08,4.09,4.035,4.06,3.8686,688974
2025-10-15,4.11,4.11,4.05,4.09,3.8972,997548
2025-10-16,4.11,4.11,4.05,4.08,3.8876,1359065
2025-10-17,4.08,4.16,4.08,4.15,3.9543,1453815
2025-10-20,4.15,4.235,4.14,4.22,4.021,1708118
2025-10-21,4.24,4.24,4.14,4.16,3.9639,1169478
2025-10-22,4.16,4.16,4.13,4.14,3.9448,586479
2025-10-23,4.11,4.22,4.11,4.21,4.0115,1567121
2025-10-24,4.21,4.24,4.19,4.22,4.021,1137129
2025-10-27,4.25,4.25,4.195,4.2,4.002,974696
2025-10-28,4.23,4.23,4.18,4.19,3.9924,835036
2025-10-29,4.22,4.23,4.15,4.15,3.9543,808455
2025-10-30,4.1,4.13,4.05,4.07,3.8781,1462518
2025-10-31,4.07,4.17,4.06,4.12,3.9257,1629194
2025-11-03,4.13,4.13,4.04,4.07,3.8781,1302566
2025-11-04,4.08,4.11,4.07,4.08,3.8876,919367
2025-11-05,4.08,4.095,4.05,4.08,3.8876,771768
2025-11-06,4.07,4.15,4.07,4.14,3.9448,926948
2025-11-07,4.14,4.16,4.135,4.14,3.9448,618122
2025-11-10,4.15,4.18,4.13,4.17,3.9734,632751
2025-11-11,4.19,4.19,4.15,4.18,3.9829,640882
2025-11-12,4.19,4.24,4.175,4.23,4.0306,1032267
2025-11-13,4.24,4.24,4.09,4.09,3.8972,1175336
2025-11-14,4.09,4.1,4.06,4.09,3.8972,1053932
2025-11-17,4.09,4.195,4.075,4.11,3.9162,732921
2025-11-18,4.14,4.16,4.105,4.13,3.9353,966477
2025-11-19,4.09,4.15,4.06,4.09,3.8972,704079
2025-11-20,4.08,4.21,4.08,4.17,3.9734,1116749
2025-11-21,4.17,4.17,4.05,4.05,3.859,1143399
2025-11-24,4.1,4.15,4.09,4.15,3.9543,1056407
2025-11-25,4.06,4.17,4.06,4.11,3.9162,761136
2025-11-26,4.15,4.2,4.1,4.12,3.9257,1416676
2025-11-27,4.16,4.16,4.09,4.1,3.9067,508899
2025-11-28,4.08,4.08,4.02,4.06,3.8686,993322
2025-12-01,4.03,4.1,4.03,4.05,3.859,681249
2025-12-02,4.04,4.11,4.03,4.09,3.8972,614188
2025-12-03,4.06,4.14,4.06,4.1,3.9067,940795
2025-12-04,4.11,4.12,3.97,3.97,3.7828,1235447
2025-12-05,4,4.04,3.945,4,3.8114,1451414
2025-12-08,4,4.04,3.98,4.01,3.8209,810133
2025-12-09,4,4.04,3.99,4.04,3.8495,1093523
2025-12-10,4.04,4.04,3.97,3.98,3.7923,808668
2025-12-11,4.02,4.03,3.97,3.99,3.8019,873046
2025-12-12,4.04,4.04,3.99,4.02,3.8305,933709
2025-12-15,4.02,4.04,3.99,4,3.8114,800938
2025-12-16,4.02,4.02,4,4.01,3.8209,483778
2025-12-17,4.01,4.03,3.98,4.03,3.84,869605
2025-12-18,4.03,4.14,4.03,4.1,3.9067,1691776
2025-12-19,4.12,4.12,4.09,4.11,3.9162,1017447
2025-12-22,4.1,4.16,4.08,4.16,3.9639,1173805
2025-12-23,4.15,4.21,4.15,4.18,3.9829,1373647
2025-12-24,4.11,4.21,4.11,4.16,3.9639,452252
2025-12-29,4.16,4.18,4.12,4.12,3.9257,579995
2025-12-30,4.08,4.12,4.08,4.1,3.9683,672846
2025-12-31,4.07,4.105,4.07,4.07,3.9393,491517
2026-01-02,4.07,4.1,4.07,4.09,3.9586,305420
2026-01-05,4.08,4.09,4.045,4.07,3.9393,747333
2026-01-06,4.05,4.06,4.01,4.02,3.8909,890963
2026-01-07,4,4.07,4,4.05,3.9199,633631
2026-01-08,4.06,4.08,4.04,4.07,3.9393,547050
2026-01-09,4.1,4.11,4.035,4.06,3.9296,852341
2026-01-12,4.04,4.075,4.02,4.04,3.9103,602016
2026-01-13,4.03,4.07,4.02,4.04,3.9103,685187
2026-01-14,4.06,4.08,4,4,3.8715,651548
2026-01-15,4.04,4.16,4.03,4.09,3.9586,1370750
2026-01-16,4.04,4.17,4.04,4.14,4.007,893702
2026-01-19,4.16,4.165,4.12,4.14,4.007,532163
2026-01-20,4.13,4.15,4.09,4.14,4.007,720768
2026-01-21,4.09,4.1,4.03,4.06,3.9296,1331206
2026-01-22,4.08,4.11,4.06,4.06,3.9296,1590605
2026-01-23,4.04,4.05,3.975,3.99,3.8619,1663390
2026-01-27,4.01,4.02,3.93,3.94,3.8135,1625907
2026-01-28,3.94,3.97,3.91,3.94,3.8135,1333312
2026-01-29,3.92,3.955,3.87,3.87,3.7457,1253352
2026-01-30,3.9,3.94,3.87,3.93,3.8038,1840360
2026-02-02,3.91,3.99,3.85,3.88,3.7554,1625759
2026-02-03,3.9,3.93,3.88,3.9,3.7747,887298
2026-02-04,3.9,3.91,3.86,3.87,3.7457,1534312
2026-02-05,3.92,3.93,3.84,3.84,3.7167,2281939
2026-02-06,3.83,3.84,3.715,3.78,3.6586,2701956
2026-02-09,3.91,4.015,3.91,3.92,3.7941,1548290
2026-02-10,3.92,4.04,3.92,3.95,3.8231,1655398
