Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,8.9,9.04,8.87,9.02,9.02,845451
2025-07-23,9.14,9.375,9.12,9.3,9.3,1027311
2025-07-24,9.19,9.21,9.04,9.2,9.2,1219761
2025-07-25,9.17,9.185,9.03,9.03,9.03,326168
2025-07-28,8.98,9.04,8.875,8.9,8.9,659402
2025-07-29,8.91,8.99,8.82,8.95,8.95,668521
2025-07-30,8.86,8.94,8.78,8.86,8.86,937002
2025-07-31,8.54,8.61,8.41,8.56,8.56,1650885
2025-08-01,8.75,9.5,8.75,9.37,9.37,1077046
2025-08-04,9.19,9.19,8.935,9.02,9.02,463741
2025-08-05,9.23,9.245,9.115,9.23,9.23,442555
2025-08-06,9.4,9.73,9.4,9.53,9.53,765668
2025-08-07,9.6,9.69,9.515,9.59,9.59,713098
2025-08-08,9.66,9.73,9.6,9.66,9.66,454890
2025-08-11,10,10.18,10,10.17,10.17,731606
2025-08-12,9.75,9.81,9.62,9.76,9.76,655242
2025-08-13,10.06,10.18,9.95,10.17,10.17,366773
2025-08-14,10.3,10.41,10.22,10.32,10.32,943157
2025-08-15,10.32,10.35,10.25,10.35,10.35,298098
2025-08-18,10.35,10.42,10.22,10.34,10.34,487141
2025-08-19,10.35,10.35,10.2,10.23,10.23,320318
2025-08-20,10.08,10.095,9.92,9.99,9.99,806992
2025-08-21,9.97,10.19,9.95,10.17,10.17,518607
2025-08-22,10.4,10.5,10.36,10.41,10.41,447575
2025-08-25,10.7,10.89,10.68,10.83,10.83,538793
2025-08-26,10.82,10.88,10.72,10.85,10.85,960412
2025-08-27,10.93,10.97,10.865,10.9,10.9,636496
2025-08-28,11.02,11.03,10.84,10.9,10.9,402513
2025-08-29,10.92,11.05,10.74,10.86,10.86,519189
2025-09-01,10.74,10.82,10.68,10.76,10.76,264314
2025-09-02,10.81,10.85,10.69,10.74,10.74,299390
2025-09-03,10.5,10.5,10.08,10.28,10.28,380444
2025-09-04,10.59,10.86,10.53,10.79,10.79,539238
2025-09-05,10.76,10.765,10.56,10.61,10.61,523118
2025-09-08,10.88,10.96,10.79,10.81,10.81,691376
2025-09-09,10.95,11.29,10.79,11.19,11.19,975770
2025-09-10,11.2,11.22,11.02,11.07,11.07,364742
2025-09-11,11.15,11.35,11.14,11.29,11.29,1081195
2025-09-12,11.3,11.52,11.25,11.4,11.4,1211136
2025-09-15,11.36,11.36,11.23,11.3,11.3,181853
2025-09-16,11.4,11.43,11.27,11.29,11.29,297657
2025-09-17,11.19,11.2,11.03,11.12,11.12,488494
