Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,258.12,264.81,257.91,263.95,257.5979,1232930
2025-07-23,264.45,265.88,259.33,265.5,259.1106,871123
2025-07-24,267.66,272,265.59,269.56,263.0729,1036442
2025-07-25,269.56,270.42,267.15,267.92,261.4723,963414
2025-07-28,268.49,272.2,268.22,270.59,264.0781,531014
2025-07-29,269.5,272.5,268.56,272,265.4541,612399
2025-07-30,272.75,275.79,271.11,271.11,264.5856,653979
2025-07-31,271.53,273.58,270.9,270.9,264.3806,1068920
2025-08-01,269.1,269.74,263.18,264.05,257.6955,1173472
2025-08-04,264.5,267.18,263.66,264.91,258.5348,407945
2025-08-05,266.16,268.31,264.72,267.2,260.7696,478963
2025-08-06,268.3,270.48,266.04,269.6,263.1119,562668
2025-08-07,269.6,270.44,265.47,265.53,259.1398,642872
2025-08-08,263.9,265,260.88,260.88,254.6017,916281
2025-08-11,262.44,263.85,260.645,263.82,257.471,560596
2025-08-12,263.3,265.32,263.02,264.31,257.9492,566033
2025-08-13,265.01,270.48,264.38,269.55,263.0631,899256
2025-08-14,272.27,273.33,269.89,270.1,263.5999,499742
2025-08-15,269,270.37,266.78,270.37,263.8634,600591
2025-08-18,271.99,273.45,270.1,271.32,264.7905,595988
2025-08-19,245.45,257,225.5,225.5,220.0732,5026031
2025-08-20,221,223.27,208.35,220.74,215.4277,5534828
2025-08-21,220,228.3,220,226,220.5612,2278663
2025-08-22,226.01,227.9,216.6,216.6,211.3874,2451697
2025-08-25,219.98,221.5,215.73,216.4,211.1922,1397238
2025-08-26,216,216.5,213.23,215.16,209.982,1869275
2025-08-27,216.7,217.32,214.39,215.71,210.5188,914028
2025-08-28,215.5,215.7,212.7,212.7,207.5812,788032
2025-08-29,212,213.35,210.5,212.89,207.7667,1120057
2025-09-01,212.95,213.85,210.27,210.27,205.2097,650591
2025-09-02,210.11,210.23,206.85,208.37,203.3554,1302080
2025-09-03,207.6,208.18,205.82,206.62,201.6475,1238754
2025-09-04,207.21,210.85,206.78,210.85,205.7757,1184545
2025-09-05,210.92,211.86,209.19,209.25,204.2143,1145142
2025-09-08,211.21,213.78,210.6,213.37,208.2351,961862
2025-09-09,212,212.42,208.76,209.94,207.2684,1150528
2025-09-10,209.56,211.69,208.6,210.93,208.2458,766988
2025-09-11,210.2,210.89,204.8,205.81,203.191,1481808
2025-09-12,206,210.12,205.9,207.82,205.1754,1061162
2025-09-15,204.59,205.55,203,204.48,201.8779,1373225
2025-09-16,203.58,204.195,200.66,201.91,199.3406,1160156
2025-09-17,201.89,202.9,200.4,201.07,198.5113,1266750
2025-09-18,200.58,201.465,198.34,198.34,195.816,2107594
2025-09-19,200.98,203.69,198.37,198.37,195.8456,3357032
2025-09-22,197,200.13,196.8,199.24,196.7046,743390
2025-09-23,200,200.63,198.32,199.94,197.3957,926181
2025-09-24,199.9,199.9,196.81,197.34,194.8287,1118618
2025-09-25,196,199.28,195.67,197.99,195.4705,1032916
2025-09-26,196.2,196.5,189.8,194.23,191.7583,1942206
2025-09-29,196.5,200.95,196.33,199,196.4676,1013556
2025-09-30,200.01,201.56,197.8,198.2,195.6778,996080
2025-10-01,198.52,200.44,198.04,198.8,196.2702,872641
2025-10-02,203.5,207.045,201.9,206.24,203.6155,1623950
2025-10-03,206.4,207.79,205.295,207.79,205.1458,1496506
2025-10-06,209.8,209.99,204.48,205.67,203.0527,615666
2025-10-07,205.26,207.14,203.71,205.34,202.7269,646554
2025-10-08,205.48,206.6,204,205.72,203.1021,570261
2025-10-09,206,208.43,206,207,204.3658,680842
2025-10-10,209,209.59,207.72,209.2,206.5378,1075798
2025-10-13,208.82,210.85,207.7,208.75,206.0935,533435
2025-10-14,208.62,213.19,208.02,211,208.3149,1294426
2025-10-15,214.52,216.59,213.03,216.45,213.6956,1389123
2025-10-16,217.6,221.22,215.62,220.29,217.4867,1398094
2025-10-17,222.22,222.47,218.44,218.5,215.7195,1607027
2025-10-20,218.5,219.55,217.1,217.66,214.8902,587929
2025-10-21,218,220.41,217.65,220.41,217.6052,664484
2025-10-22,220.3,221.76,218.93,220.7,217.8915,812258
2025-10-23,219.48,221.49,217.55,217.55,214.7816,930887
2025-10-24,217.33,218.14,212.47,212.47,209.7662,1211559
2025-10-27,212.99,213.85,210.96,211.42,208.7296,798690
2025-10-28,188.5,190,176.01,177.86,175.5966,4209921
2025-10-29,176.44,176.89,168,170.77,168.5969,2900315
2025-10-30,173.56,179.89,172.11,179.56,177.275,2040613
2025-10-31,182.92,184.16,177.77,178.5,176.2285,2081434
2025-11-03,178.5,179.45,175,175.39,173.1581,1230333
2025-11-04,174.2,178.47,172.11,176.99,174.7377,1237852
2025-11-05,176.51,177.6,174.595,176.34,174.096,715010
2025-11-06,177.15,179.49,176.31,179.49,177.2059,1394369
2025-11-07,182,182.46,178.7,179.03,176.7517,776756
2025-11-10,177.855,178.91,176.51,178.91,176.6333,722862
2025-11-11,178.5,181.69,178.12,178.12,175.8533,991396
2025-11-12,178.12,179.87,177.175,179.06,176.7814,781505
2025-11-13,179,181.93,178.29,181.93,179.6148,831162
2025-11-14,180,182.4,179.27,181.81,179.4964,915819
2025-11-17,181,182.07,179.26,180.44,178.1438,843062
2025-11-18,179.31,182.35,179.31,180.08,177.7884,1041759
2025-11-19,180.7,182.2,178.37,179.22,176.9393,933791
2025-11-20,180,181.39,178.34,178.34,176.0705,910523
2025-11-21,177.5,179.6,175.77,178.85,176.574,1449117
2025-11-24,179.96,183.9,179.94,182.95,180.6219,1556113
2025-11-25,185.2,185.66,181.86,182.14,179.8222,778335
2025-11-26,182.41,184.93,181.88,182.9,180.5725,997921
2025-11-27,184.29,187.45,184.15,186.18,183.8108,1061590
2025-11-28,186.7,188.67,185.65,186.3,183.9292,704886
2025-12-01,186.25,186.55,182.555,183.64,181.3031,690698
2025-12-02,182.6,184.6,182.01,183.44,181.1056,613066
2025-12-03,186,186,181.85,182.3,179.9801,688846
2025-12-04,181.75,185.61,181.69,185.61,183.248,755783
2025-12-05,184.68,185.6,181.2,184.1,181.7572,1049155
2025-12-08,183.97,185.87,183.5,185.5,183.1394,600386
2025-12-09,185,186.5,181.82,181.82,179.5062,878270
2025-12-10,183.62,183.66,180,181.63,179.3187,693730
2025-12-11,181.4,181.71,178.12,178.81,176.5345,855310
2025-12-12,179.97,183.99,179.45,183.93,181.5894,973901
2025-12-15,182,183.31,179.31,179.31,177.0282,1013640
2025-12-16,179.77,179.77,177.15,177.15,174.8957,1578336
2025-12-17,176.12,177,172.55,173.39,171.1835,1215809
2025-12-18,173.09,174.81,171.64,173.99,171.7759,1175326
2025-12-19,175,176.32,174.72,175.08,172.852,1930903
2025-12-22,178.2,178.87,175.54,176.31,174.0664,554540
2025-12-23,176.9,177.465,175.59,175.66,173.4246,683948
2025-12-24,175.6,175.815,171.48,171.48,169.2978,542529
2025-12-29,172.5,174.23,171.75,173.55,171.3415,818551
2025-12-30,173.7,174.05,172.04,172.42,170.2259,507640
2025-12-31,172.5,173.46,172,172.65,170.4529,474918
2026-01-02,173.5,173.87,171.9,171.96,169.7717,459420
2026-01-05,172.01,173.02,171.75,172.46,170.2653,484026
2026-01-06,172.5,173.3,168.29,168.29,166.1484,1051387
2026-01-07,168.8,170.52,168.65,170,167.8367,1039843
2026-01-08,175.1,175.1,172,174.45,172.23,944446
2026-01-09,175,175.6,173.47,174.29,172.0721,740858
2026-01-12,174.5,175.62,174,175.1,172.8718,573969
2026-01-13,175.01,175.86,173.32,173.32,171.1144,682808
2026-01-14,173.01,174.69,172.1,173.49,171.2822,1112245
2026-01-15,175.8,176.68,174.21,175.28,173.0495,881337
2026-01-16,175.01,176.07,174.35,175.53,173.2963,1136494
2026-01-19,175.92,176.93,175.24,176.5,174.2539,529362
2026-01-20,176.85,178.3,176.62,176.7,174.4514,896503
2026-01-21,176,177.23,173.72,176.11,173.8689,1094312
2026-01-22,176.26,179.72,176.26,178.41,176.1396,959000
2026-01-23,179.79,180.8,179.33,179.62,177.3342,1049115
2026-01-27,181.5,184.62,181.11,182.29,179.9703,1071150
2026-01-28,184.3,184.39,179.38,180.19,177.897,1028741
2026-01-29,179.01,180.46,178.175,179.4,177.117,823676
2026-01-30,184.41,184.41,181,181.42,179.1113,1607749
2026-02-02,182,182.86,176.18,177.08,174.8266,1031822
2026-02-03,179,179.91,177.93,178.11,175.8434,744993
2026-02-04,177.64,182.12,176.545,181.7,179.3878,861293
2026-02-05,181.14,184.02,180.92,181.24,178.9336,1086704
2026-02-06,182.8,183.31,179.29,180.5,178.203,1230222
2026-02-09,180.9,182.54,179.97,180.37,178.0747,930010
2026-02-10,181.9,184.34,171.39,171.39,169.209,1044408
2026-02-11,156.01,163.44,150.21,163.44,161.3601,3833267
2026-02-12,155,160,150.66,152.19,150.2533,4396774
2026-02-13,152.02,156.15,150,150.01,148.101,2441741
2026-02-16,150,154.98,149.85,152.17,150.2336,1355621
2026-02-17,152.5,152.53,150.23,151.56,149.6313,898970
2026-02-18,152.9,154.9,152.18,152.74,150.7963,882762
2026-02-19,153.29,154.46,152.13,154.19,152.2278,1376168
2026-02-20,152.55,154.1,150.8,153.27,151.3196,1455538
2026-02-23,153.26,153.96,147.18,147.38,145.5045,1632217
2026-02-24,148.1,148.5,145,145,143.1548,1456420
2026-02-25,145,146.49,144.61,145.11,143.2634,1578444
2026-02-26,147,147.15,145.18,146.02,144.1618,1247826
2026-02-27,146.02,147.55,145.06,146.76,144.8924,1684016
2026-03-02,145.92,147.6,145.21,147.3,145.4255,1179874
2026-03-03,147,147.03,144.77,145.24,143.3917,988598
2026-03-04,143.7,145.2,142.4,142.86,141.042,1009233
2026-03-05,144.78,147.9,143.32,146.49,144.6258,1393930
2026-03-06,145.42,146.27,144.36,146.27,144.4086,956810
2026-03-09,144.5,145,140.93,142.22,140.4102,1318863
2026-03-10,144,146.25,143.75,144.56,144.56,1042834
2026-03-11,144.57,145.36,141.53,142.58,142.58,1036022
2026-03-12,141.12,143.095,140.41,141.04,141.04,1491132
2026-03-13,140.11,141.065,139.22,141.03,141.03,1070995
2026-03-16,140.29,142.4,140.23,140.66,140.66,916396
2026-03-17,140.9,141.44,138.73,141.15,141.15,1118957
2026-03-18,139.9,141.16,138,138,138,1038499
2026-03-19,135,135.65,133.35,134.62,134.62,1830142
2026-03-20,135.99,138.8,134.9,138.5,138.5,4040965
2026-03-23,137.5,141.05,136.36,139.79,139.79,1071621
