Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,12.46,12.63,12.43,12.55,12.55,424038
2025-04-28,12.62,12.62,12.06,12.45,12.45,1260127
2025-04-29,12.55,12.98,12.38,12.98,12.98,1253902
2025-04-30,12.98,12.98,12.72,12.77,12.77,652973
2025-05-01,12.82,13.04,12.68,13,13,521607
2025-05-02,12.3,12.31,11.35,11.7,11.7,3512882
2025-05-05,11.78,11.84,11.44,11.7,11.7,1250632
2025-05-06,11.76,11.82,11.41,11.41,11.41,1578986
2025-05-07,11.4,11.44,11.14,11.32,11.32,1288982
2025-05-08,11.32,11.73,11.26,11.64,11.64,1396058
2025-05-09,11.63,11.74,11.5,11.68,11.68,614153
2025-05-12,11.7,12.2,11.7,12.07,12.07,1530535
2025-05-13,12.55,13.51,12.54,13.27,13.27,1742384
2025-05-14,13.23,13.61,13.19,13.39,13.39,780728
2025-05-15,13.39,13.44,13.23,13.24,13.24,532365
2025-05-16,13.3,13.38,12.93,13.16,13.16,426553
2025-05-19,13.18,13.18,12.79,12.87,12.87,381603
2025-05-20,12.87,13.2,12.8,13.12,13.12,378495
2025-05-21,13.25,13.36,12.98,13.07,13.07,893796
2025-05-22,12.82,12.96,12.74,12.8,12.8,443503
2025-05-23,12.85,12.89,12.68,12.83,12.83,404602
2025-05-26,12.95,13.17,12.95,13.03,13.03,436061
2025-05-27,13.12,13.4,13.07,13.36,13.36,515435
2025-05-28,13.55,13.94,13.55,13.63,13.63,624648
2025-05-29,13.69,13.93,13.67,13.67,13.67,439363
2025-05-30,13.59,13.86,13.51,13.69,13.69,675856
2025-06-02,13.66,13.69,13.56,13.58,13.58,356691
2025-06-03,13.59,13.8,13.46,13.76,13.76,456632
2025-06-04,13.8,13.99,13.63,13.99,13.99,922537
2025-06-05,13.99,13.99,13.705,13.84,13.84,717558
2025-06-06,13.85,13.93,13.73,13.91,13.91,459138
2025-06-10,13.92,14,13.62,13.95,13.95,468242
2025-06-11,13.85,14.13,13.8,14.05,14.05,363153
2025-06-12,14.13,14.15,13.56,13.62,13.62,490843
2025-06-13,13.59,13.605,12.74,13,13,749457
2025-06-16,13.17,13.31,12.97,13.1,13.1,408616
2025-06-17,13.05,13.3,12.99,13.3,13.3,374691
2025-06-18,13.32,13.405,13.19,13.32,13.32,388961
2025-06-19,13.56,13.56,12.98,13.01,13.01,540263
2025-06-20,13,13.18,12.88,13.03,13.03,790501
2025-06-23,13.02,13.02,12.49,12.7,12.7,588895
2025-06-24,12.96,13.42,12.95,13.31,13.31,456407
2025-06-25,13.35,13.68,13.35,13.6,13.6,577013
2025-06-26,13.74,13.84,13.36,13.77,13.77,528386
2025-06-27,13.85,14,13.47,13.47,13.47,477005
2025-06-30,13.55,13.93,13.53,13.85,13.85,597094
2025-07-01,13.81,14.41,13.8,14.31,14.31,767261
2025-07-02,14.21,14.25,13.75,13.79,13.79,617330
2025-07-03,13.61,14.33,13.39,14.12,14.12,717533
2025-07-04,14.33,14.72,14.14,14.71,14.71,405597
2025-07-07,14.71,14.96,14.56,14.92,14.92,316251
2025-07-08,14.8,15.05,14.71,15.05,15.05,494031
2025-07-09,14.99,15.08,14.8,15.06,15.06,247736
2025-07-10,15.05,15.09,14.94,15.09,15.09,308175
2025-07-11,15.52,15.7,15.37,15.38,15.38,482923
2025-07-14,15.25,15.55,15.1,15.44,15.44,222184
2025-07-15,15.59,15.66,15.44,15.56,15.56,292706
2025-07-16,15.32,15.64,15.27,15.6,15.6,228731
2025-07-17,15.72,15.8,15.59,15.68,15.68,424995
2025-07-18,15.72,16.14,15.71,16.14,16.14,469640
2025-07-21,15.97,15.99,15.61,15.79,15.79,417524
2025-07-22,15.79,15.91,15.46,15.66,15.66,520406
2025-07-23,15.67,15.79,15.52,15.59,15.59,254586
2025-07-24,15.65,15.905,15.49,15.49,15.49,914268
2025-07-25,15.4,15.8,15.31,15.7,15.7,909651
2025-07-28,15.66,15.895,15.59,15.8,15.8,466484
2025-07-29,15.81,15.85,15.415,15.6,15.6,405547
2025-07-30,15.58,15.69,15.44,15.57,15.57,282288
2025-07-31,15.39,15.79,14.9,15.69,15.69,764398
2025-08-01,15.4,15.84,15.4,15.68,15.68,546012
2025-08-04,15.68,15.865,15.55,15.82,15.82,514755
2025-08-05,16,16.37,15.88,16.04,16.04,638591
2025-08-06,16.04,16.48,15.99,16.09,16.09,663721
2025-08-07,16.12,16.36,16.07,16.22,16.22,236268
2025-08-08,16.14,16.19,16.02,16.12,16.12,195875
2025-08-11,16.01,16.12,15.9,16.06,16.06,247918
2025-08-12,16.02,16.1,15.83,16.1,16.1,244786
2025-08-13,16.07,16.14,15.8,16.09,16.09,199240
2025-08-14,16.22,16.52,16.11,16.5,16.5,374485
2025-08-15,16.5,16.54,14.86,15.57,15.57,1860110
2025-08-18,15.63,16.17,15.32,16.17,16.17,618446
2025-08-19,16.05,16.36,16.015,16.31,16.31,355520
2025-08-20,16.38,16.48,15.94,16.12,16.12,260280
2025-08-21,16.13,16.3,15.98,16.08,16.08,393732
2025-08-22,15.97,16.14,15.9,16.07,16.07,93277
2025-08-25,16.07,16.07,16.07,16.07,16.07,0
2025-08-26,16.07,16.07,16.07,16.07,16.07,0
2025-08-27,16.07,16.07,16.07,16.07,16.07,0
2025-08-28,16.07,16.07,16.07,16.07,16.07,0
2025-08-29,16.07,16.07,16.07,16.07,16.07,0
2025-09-01,16.07,16.07,16.07,16.07,16.07,0
2025-09-02,16.07,16.07,16.07,16.07,16.07,0
2025-09-03,16.07,16.07,16.07,16.07,16.07,0
2025-09-04,16.07,16.07,16.07,16.07,16.07,0
2025-09-05,16.07,16.07,16.07,16.07,16.07,0
2025-09-08,16.07,16.07,16.07,16.07,16.07,0
2025-09-09,16.07,16.07,16.07,16.07,16.07,0
2025-09-10,16.07,16.07,16.07,16.07,16.07,0
2025-09-11,16.07,16.07,16.07,16.07,16.07,0
2025-09-12,16.07,16.07,16.07,16.07,16.07,0
2025-09-15,16.07,16.07,16.07,16.07,16.07,0
2025-09-16,16.07,16.07,16.07,16.07,16.07,0
2025-09-17,16.07,16.07,16.07,16.07,16.07,0
