Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,11.07,11.2,10.81,11.01,10.9571,55754
2025-04-28,11.01,11.21,10.71,10.81,10.758,67083
2025-04-29,10.83,11.36,10.82,11.29,11.2357,95859
2025-04-30,11.02,11.43,10.97,11.36,11.3054,54038
2025-05-01,11.34,11.76,11.3,11.63,11.5741,51771
2025-05-02,11.7,11.79,11.5,11.59,11.5343,26828
2025-05-05,11.48,11.59,11.31,11.35,11.2954,26571
2025-05-06,11.36,11.54,11.3,11.3,11.2457,27651
2025-05-07,11.3,11.39,11.07,11.34,11.2855,59195
2025-05-08,11.35,11.4,11.23,11.27,11.2158,42633
2025-05-09,11.21,11.4,11.21,11.32,11.2656,23237
2025-05-12,11.32,11.35,10.95,10.98,10.9272,199421
2025-05-13,11.04,11.37,11.01,11.1,11.0466,65930
2025-05-14,11.01,11.06,10.8,10.8,10.7481,78917
2025-05-15,10.8,10.92,10.7,10.83,10.7779,68231
2025-05-16,10.83,10.96,10.71,10.71,10.6585,54794
2025-05-19,10.72,10.8,10.58,10.63,10.5789,51384
2025-05-20,10.63,10.8,10.6,10.74,10.6884,42676
2025-05-21,10.75,10.8,10.52,10.52,10.4694,47679
2025-05-22,10.52,10.58,10.35,10.56,10.5092,54235
2025-05-23,10.59,10.7,10.43,10.65,10.5988,51376
2025-05-26,10.7,10.74,10.41,10.43,10.3799,30893
2025-05-27,10.45,10.62,10.42,10.56,10.5092,51585
2025-05-28,10.57,11,10.57,10.98,10.9272,118274
2025-05-29,10.95,11.25,10.81,10.92,10.8675,63525
2025-05-30,10.9,10.9,10.72,10.78,10.7282,70620
2025-06-02,10.79,10.79,10.25,10.26,10.2107,132765
2025-06-03,10.38,10.38,9.8,9.9,9.8524,108618
2025-06-04,10.01,10.73,10.01,10.55,10.4993,129525
2025-06-05,10.62,10.73,10.32,10.4,10.35,42623
2025-06-06,10.35,10.67,10,10.3,10.2505,68938
2025-06-10,10.22,10.47,10.11,10.43,10.3799,69607
2025-06-11,10.44,10.57,10.31,10.36,10.3102,35660
2025-06-12,10.31,10.39,10.14,10.18,10.1311,49539
2025-06-13,10.18,10.18,9.75,9.83,9.7827,140250
2025-06-16,9.89,9.99,9.66,9.81,9.7628,91517
2025-06-17,9.9,10,9.76,9.76,9.7131,62643
2025-06-18,9.58,9.9,9.44,9.69,9.6434,130631
2025-06-19,9.75,9.9,9.56,9.76,9.7131,83643
2025-06-20,9.8,9.96,9.57,9.73,9.6832,102768
2025-06-23,9.68,9.68,9.41,9.44,9.3946,106860
2025-06-24,9.7,10.085,9.65,10.02,9.9718,123996
2025-06-25,10.2,10.57,10.01,10.07,10.0216,97938
2025-06-26,10.15,10.5,10.07,10.19,10.141,151918
2025-06-27,10.21,10.61,10.21,10.37,10.3201,329616
2025-06-30,10.51,10.79,10.2,10.38,10.3301,174744
2025-07-01,10.58,10.63,10.09,10.12,10.0713,108973
2025-07-02,10.08,10.3,9.93,9.99,9.942,69118
2025-07-03,10.01,10.38,9.955,10.35,10.3002,100917
2025-07-04,10.35,10.44,10.15,10.16,10.1112,60520
2025-07-07,10.18,10.26,9.96,10.09,10.0415,47820
2025-07-08,10.24,10.63,10.08,10.53,10.4794,103164
2025-07-09,10.35,10.68,10.26,10.6,10.549,63177
2025-07-10,10.7,10.7,10.28,10.47,10.4197,67897
2025-07-11,10.5,10.65,10.29,10.58,10.5291,93010
2025-07-14,10.58,10.68,10.41,10.49,10.4396,76153
2025-07-15,10.5,10.82,10.4,10.77,10.7182,71931
2025-07-16,10.6,10.86,10.54,10.86,10.8078,68443
2025-07-17,10.9,11.17,10.605,11.14,11.0864,108939
2025-07-18,11.15,11.36,11.15,11.25,11.1959,105760
2025-07-21,11.25,11.805,11.14,11.76,11.7035,114078
2025-07-22,11.8,12.32,11.79,12.25,12.1911,133031
2025-07-23,12.25,12.28,11.44,11.93,11.8726,165345
2025-07-24,11.88,12.07,11.68,12,11.9423,158455
2025-07-25,11.75,12.24,11.68,11.89,11.8328,86695
2025-07-28,11.93,12.19,11.93,12.11,12.0518,62553
