Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.1075,0.11,0.105,0.11,0.11,144703
2025-04-28,0.11,0.11,0.105,0.11,0.11,1000677
2025-04-29,0.11,0.11,0.105,0.11,0.11,1696153
2025-04-30,0.1075,0.11,0.105,0.11,0.11,133579
2025-05-01,0.11,0.11,0.105,0.105,0.105,897751
2025-05-02,0.105,0.1075,0.105,0.105,0.105,711817
2025-05-05,0.105,0.105,0.105,0.105,0.105,1168527
2025-05-06,0.105,0.11,0.105,0.11,0.11,430372
2025-05-07,0.11,0.11,0.105,0.11,0.11,8149519
2025-05-08,0.11,0.11,0.105,0.105,0.105,3281292
2025-05-09,0.105,0.11,0.1,0.1,0.1,8959273
2025-05-12,0.105,0.105,0.1025,0.105,0.105,782346
2025-05-13,0.105,0.105,0.1,0.105,0.105,1340281
2025-05-14,0.105,0.11,0.1,0.11,0.11,4228024
2025-05-15,0.105,0.11,0.1,0.11,0.11,2890514
2025-05-16,0.105,0.1075,0.105,0.105,0.105,215499
2025-05-19,0.1,0.105,0.1,0.105,0.105,603535
2025-05-20,0.1,0.11,0.1,0.105,0.105,774410
2025-05-21,0.11,0.11,0.1,0.105,0.105,2315153
2025-05-22,0.105,0.1075,0.1,0.105,0.105,652377
2025-05-23,0.105,0.1075,0.1,0.105,0.105,1326196
2025-05-26,0.105,0.105,0.1,0.1,0.1,585734
2025-05-27,0.105,0.105,0.1,0.105,0.105,1749443
2025-05-28,0.1025,0.105,0.1,0.105,0.105,92199
2025-05-29,0.105,0.105,0.1,0.1,0.1,334977
2025-05-30,0.105,0.105,0.1,0.105,0.105,549085
2025-06-02,0.105,0.105,0.1,0.1,0.1,348435
2025-06-03,0.105,0.105,0.1,0.1,0.1,111613
2025-06-04,0.105,0.105,0.1,0.1,0.1,525194
2025-06-05,0.105,0.105,0.1,0.105,0.105,1195248
2025-06-06,0.105,0.11,0.1,0.11,0.11,1959077
2025-06-10,0.11,0.11,0.105,0.105,0.105,695817
2025-06-11,0.105,0.1075,0.1,0.105,0.105,2066075
2025-06-12,0.105,0.11,0.1,0.105,0.105,6788639
2025-06-13,0.105,0.1075,0.105,0.105,0.105,1433060
2025-06-16,0.105,0.115,0.105,0.115,0.115,5717291
2025-06-17,0.115,0.12,0.11,0.12,0.12,7102843
2025-06-18,0.115,0.12,0.115,0.12,0.12,4010181
2025-06-19,0.12,0.125,0.115,0.125,0.125,5977913
2025-06-20,0.12,0.125,0.115,0.12,0.12,4317478
2025-06-23,0.125,0.125,0.105,0.115,0.115,7626894
2025-06-24,0.115,0.115,0.1075,0.115,0.115,2064313
2025-06-25,0.11,0.1125,0.105,0.11,0.11,3139975
2025-06-26,0.115,0.115,0.105,0.105,0.105,2369175
2025-06-27,0.11,0.1125,0.105,0.105,0.105,2052300
2025-06-30,0.1075,0.11,0.105,0.105,0.105,1907579
2025-07-01,0.11,0.1125,0.11,0.11,0.11,1243546
2025-07-02,0.11,0.1125,0.11,0.11,0.11,165479
2025-07-03,0.1125,0.115,0.11,0.115,0.115,616168
2025-07-04,0.11,0.115,0.11,0.115,0.115,310698
2025-07-07,0.115,0.115,0.11,0.115,0.115,431942
