Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,5.1,5.19,5.1,5.14,4.9211,13190
2025-04-28,5.2,5.335,5.16,5.22,4.9977,34478
2025-04-29,5.21,5.29,5.21,5.23,5.0072,23024
2025-04-30,5.4,5.74,5.4,5.6,5.3615,622068
2025-05-01,5.6,6.055,5.6,6,5.7444,521265
2025-05-02,6.02,6.27,6,6.24,5.9742,199182
2025-05-05,6.54,6.55,6.22,6.34,6.0699,362702
2025-05-06,6.34,6.37,6.16,6.29,6.0221,200383
2025-05-07,6.15,6.28,6.15,6.25,5.9838,212163
2025-05-08,6.28,6.28,6.13,6.25,5.9838,100839
2025-05-09,6.25,6.35,6.24,6.34,6.0699,441337
2025-05-12,6.33,6.54,6.33,6.52,6.2423,91513
2025-05-13,6.58,6.67,6.52,6.67,6.3859,150610
2025-05-14,6.67,6.75,6.62,6.63,6.3476,120659
2025-05-15,6.63,6.71,6.39,6.45,6.1753,76805
2025-05-16,6.49,6.69,6.46,6.62,6.338,44436
2025-05-19,6.6,6.6,6.47,6.51,6.2327,78494
2025-05-20,6.5,6.56,6.45,6.47,6.1944,43530
2025-05-21,6.55,6.55,6.41,6.45,6.1753,71248
2025-05-22,6.39,6.59,6.39,6.56,6.2806,166028
2025-05-23,6.5,6.61,6.48,6.54,6.2614,101251
2025-05-26,6.53,6.53,6.39,6.4,6.1274,107637
2025-05-27,6.4,6.515,6.38,6.48,6.204,90196
2025-05-28,6.6,6.6,6.49,6.59,6.3093,94314
2025-05-29,6.59,6.59,6.45,6.5,6.2231,43634
2025-05-30,6.5,6.52,6.38,6.5,6.2231,72069
2025-06-02,6.51,6.53,6.41,6.46,6.1848,74748
2025-06-03,6.41,6.55,6.41,6.49,6.2136,41315
2025-06-04,6.5,6.53,6.45,6.48,6.204,63862
2025-06-05,6.6,6.6,6.44,6.47,6.1944,64423
2025-06-06,6.54,6.54,6.39,6.49,6.2136,146943
2025-06-10,6.52,6.58,6.49,6.52,6.2423,60377
2025-06-11,6.57,6.6,6.48,6.56,6.2806,121752
2025-06-12,6.6,6.69,6.59,6.63,6.3476,71883
2025-06-13,6.65,6.755,6.65,6.71,6.4242,105665
2025-06-16,6.72,6.75,6.48,6.49,6.2136,82814
2025-06-17,6.6,6.6,6.49,6.52,6.2423,42224
2025-06-18,6.59,6.73,6.5,6.64,6.3572,237775
2025-06-19,6.68,7.06,6.68,6.88,6.5869,174607
2025-06-20,6.73,6.895,6.72,6.89,6.5965,84530
2025-06-23,6.9,6.93,6.82,6.91,6.6157,55471
2025-06-24,6.92,7.05,6.92,7.04,6.7401,87068
2025-06-25,7.04,7.09,6.97,7.04,6.7401,116633
2025-06-26,7.07,7.25,7.01,7.24,6.9316,161651
2025-06-27,7.25,7.28,7.09,7.14,6.8359,51027
2025-06-30,7.14,7.16,7,7.09,6.788,103202
2025-07-01,7.18,7.32,7.18,7.25,6.9412,150385
2025-07-02,7.26,7.34,7.16,7.32,7.0082,180674
2025-07-03,7.34,7.37,7.24,7.29,6.9795,102120
2025-07-04,7.27,7.38,7.23,7.32,7.0082,75544
2025-07-07,7.35,7.35,7.24,7.27,6.9603,141001
2025-07-08,7.22,7.34,7.14,7.15,6.8454,108321
2025-07-09,7.1,7.2,7.03,7.2,6.8933,142358
2025-07-10,7.2,7.35,7.15,7.32,7.0082,76324
2025-07-11,7.35,7.36,7.28,7.3,6.9891,50797
2025-07-14,7.35,7.37,7.25,7.35,7.0369,78999
2025-07-15,7.36,7.41,7.34,7.37,7.0561,59889
2025-07-16,7.37,7.45,7.34,7.41,7.0944,93754
2025-07-17,7.42,7.49,7.32,7.38,7.0656,101697
2025-07-18,7.38,7.45,7.35,7.4,7.0848,85119
2025-07-21,7.4,7.46,7.33,7.41,7.0944,80163
2025-07-22,7.4,7.56,7.4,7.55,7.2284,50469
2025-07-23,7.57,7.57,7.45,7.51,7.1901,34769
2025-07-24,7.49,7.6,7.43,7.49,7.171,48651
2025-07-25,7.46,7.52,7.44,7.5,7.1805,33867
2025-07-28,7.59,7.59,7.43,7.43,7.1135,59527
2025-07-29,7.42,7.54,7.42,7.43,7.1135,56242
2025-07-30,7.4,7.445,7.275,7.39,7.0752,103456
2025-07-31,7.36,7.48,7.33,7.42,7.1039,49743
2025-08-01,7.35,7.41,7.25,7.25,6.9412,60665
2025-08-04,7.07,7.24,7.06,7.17,6.8646,63335
2025-08-05,7.24,7.3,7.18,7.23,6.922,79247
2025-08-06,7.3,7.34,7.23,7.26,6.9508,32899
2025-08-07,7.27,7.36,7.24,7.27,6.9603,86466
2025-08-08,7.27,7.31,7.24,7.27,6.9603,76295
2025-08-11,7.28,7.32,7.12,7.29,6.9795,88900
2025-08-12,7.27,7.3,7.23,7.29,6.9795,34476
2025-08-13,7.28,7.29,7.2,7.2,6.8933,35390
2025-08-14,7.22,7.28,7.21,7.27,6.9603,32238
2025-08-15,7.26,7.37,7.26,7.37,7.0561,174179
2025-08-18,7.37,7.37,7.25,7.37,7.0561,80644
2025-08-19,7.37,7.41,7.28,7.4,7.0848,150103
2025-08-20,7.4,7.55,7.39,7.51,7.1901,124467
2025-08-21,7.54,7.8,7.52,7.76,7.4295,295541
2025-08-22,7.76,7.77,7.6,7.65,7.3241,108362
2025-08-25,7.71,7.79,7.52,7.54,7.2188,68108
2025-08-26,7.7,7.895,7.39,7.5,7.1805,308691
2025-08-27,7.63,7.64,7.43,7.57,7.2476,218156
2025-08-28,7.57,7.6,7.44,7.56,7.238,444652
2025-08-29,7.56,7.56,7.46,7.49,7.171,192401
2025-09-01,7.5,7.52,7.33,7.39,7.0752,101408
2025-09-02,7.42,7.47,7.4,7.41,7.0944,85960
2025-09-03,7.43,7.46,7.39,7.41,7.0944,161269
2025-09-04,7.37,7.52,7.37,7.52,7.1997,60003
2025-09-05,7.54,7.72,7.53,7.6,7.2763,100799
2025-09-08,7.6,7.68,7.51,7.54,7.2188,204536
2025-09-09,7.58,7.62,7.41,7.47,7.1518,220388
2025-09-10,7.49,7.52,7.43,7.46,7.1422,130618
2025-09-11,7.42,7.57,7.42,7.56,7.238,454404
2025-09-12,7.56,7.65,7.51,7.52,7.1997,92000
2025-09-15,7.46,7.52,7.46,7.49,7.171,161993
2025-09-16,7.47,7.66,7.47,7.63,7.305,190074
2025-09-17,7.665,7.7,7.55,7.57,7.2476,143502
2025-09-18,7.58,7.685,7.58,7.64,7.3146,206151
2025-09-19,7.55,7.67,7.55,7.55,7.2284,379950
2025-09-22,7.55,7.65,7.5,7.53,7.2093,81240
2025-09-23,7.55,7.57,7.46,7.55,7.2284,206527
2025-09-24,7.55,7.7,7.44,7.69,7.3624,126895
