Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.87,2.895,2.84,2.88,2.8074,2927890
2025-07-23,2.89,2.9,2.87,2.9,2.8269,2354593
2025-07-24,2.89,2.89,2.85,2.85,2.7782,2796249
2025-07-25,2.84,2.885,2.84,2.88,2.8074,2153048
2025-07-28,2.88,2.9,2.875,2.89,2.8172,1240171
2025-07-29,2.89,2.89,2.87,2.88,2.8074,2590867
2025-07-30,2.88,2.91,2.87,2.9,2.8269,4011658
2025-07-31,2.88,2.895,2.875,2.88,2.8074,3258178
2025-08-01,2.87,2.89,2.85,2.87,2.7977,2572690
2025-08-04,2.84,2.885,2.83,2.86,2.7879,4337392
2025-08-05,2.89,2.895,2.87,2.88,2.8074,1649696
2025-08-06,2.88,2.89,2.85,2.86,2.7879,2538389
2025-08-07,2.87,2.87,2.82,2.84,2.7684,11138853
2025-08-08,2.87,2.9,2.84,2.89,2.8172,2739943
2025-08-11,2.87,2.9,2.865,2.9,2.8269,3070306
2025-08-12,2.9,2.9,2.845,2.87,2.7977,4745253
2025-08-13,2.87,2.9,2.85,2.9,2.8269,5998716
2025-08-14,2.91,2.91,2.87,2.89,2.8172,3477664
2025-08-15,2.87,2.89,2.865,2.87,2.7977,3898096
2025-08-18,2.85,2.87,2.835,2.85,2.7782,3580427
2025-08-19,2.85,2.865,2.82,2.85,2.7782,6657947
2025-08-20,2.77,2.875,2.69,2.81,2.7392,14048217
2025-08-21,2.82,2.82,2.76,2.81,2.7392,10570681
2025-08-22,2.83,2.83,2.77,2.77,2.7002,8136387
2025-08-25,2.8,2.81,2.74,2.74,2.6709,6349023
2025-08-26,2.73,2.74,2.69,2.72,2.6514,10550711
2025-08-27,2.76,2.8,2.73,2.79,2.7197,8406271
2025-08-28,2.8,2.83,2.79,2.82,2.7489,4072519
2025-08-29,2.82,2.84,2.775,2.78,2.7099,7960477
2025-09-01,2.79,2.8,2.73,2.73,2.6612,3218363
2025-09-02,2.77,2.77,2.72,2.74,2.6709,6561153
2025-09-03,2.73,2.75,2.69,2.71,2.6417,5368126
2025-09-04,2.71,2.735,2.71,2.72,2.6514,5499265
2025-09-05,2.77,2.78,2.75,2.76,2.6904,3918151
2025-09-08,2.72,2.75,2.72,2.74,2.6709,7089436
2025-09-09,2.72,2.74,2.69,2.7,2.6319,6000353
2025-09-10,2.72,2.76,2.71,2.74,2.6709,5866107
2025-09-11,2.76,2.76,2.73,2.75,2.6807,8970236
2025-09-12,2.74,2.77,2.725,2.76,2.7221,8012759
2025-09-15,2.75,2.84,2.745,2.83,2.7911,8450999
2025-09-16,2.81,2.86,2.8,2.84,2.801,17427194
2025-09-17,2.84,2.86,2.8,2.8,2.7616,6859662
2025-09-18,2.79,2.8,2.725,2.74,2.7024,6236508
2025-09-19,2.76,2.79,2.75,2.79,2.7517,10858143
2025-09-22,2.78,2.8,2.76,2.79,2.7517,5011090
2025-09-23,2.79,2.81,2.78,2.8,2.7616,4426309
