Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.078,0.078,0.078,0.078,0.078,3075
2025-04-28,0.079,0.079,0.078,0.078,0.078,56667
2025-04-29,0.078,0.078,0.078,0.078,0.078,0
2025-04-30,0.078,0.078,0.078,0.078,0.078,0
2025-05-01,0.079,0.079,0.072,0.072,0.072,212919
2025-05-02,0.073,0.073,0.07,0.07,0.07,11520
2025-05-05,0.07,0.08,0.07,0.08,0.08,228186
2025-05-06,0.08,0.08,0.08,0.08,0.08,0
2025-05-07,0.08,0.08,0.08,0.08,0.08,0
2025-05-08,0.081,0.081,0.081,0.081,0.081,371
2025-05-09,0.088,0.092,0.088,0.092,0.092,93449
2025-05-12,0.092,0.092,0.086,0.086,0.086,12599
2025-05-13,0.086,0.087,0.086,0.087,0.087,9680
2025-05-14,0.084,0.085,0.084,0.085,0.085,16686
2025-05-15,0.086,0.086,0.084,0.084,0.084,169578
2025-05-16,0.087,0.087,0.083,0.084,0.084,31953
2025-05-19,0.084,0.087,0.084,0.087,0.087,20554
2025-05-20,0.087,0.087,0.084,0.084,0.084,34755
2025-05-21,0.081,0.081,0.08,0.08,0.08,34847
2025-05-22,0.082,0.082,0.082,0.082,0.082,6564
2025-05-23,0.084,0.084,0.084,0.084,0.084,715
2025-05-26,0.082,0.082,0.081,0.081,0.081,25909
2025-05-27,0.081,0.081,0.08,0.08,0.08,124808
2025-05-28,0.08,0.08,0.08,0.08,0.08,4125
2025-05-29,0.08,0.08,0.08,0.08,0.08,0
2025-05-30,0.08,0.08,0.08,0.08,0.08,0
2025-06-02,0.08,0.08,0.08,0.08,0.08,0
2025-06-03,0.078,0.078,0.078,0.078,0.078,23000
2025-06-04,0.08,0.084,0.08,0.084,0.084,97826
2025-06-05,0.084,0.084,0.084,0.084,0.084,11904
2025-06-06,0.082,0.084,0.08,0.083,0.083,46627
2025-06-10,0.083,0.083,0.08,0.08,0.08,2100
2025-06-11,0.08,0.08,0.08,0.08,0.08,110002
2025-06-12,0.078,0.078,0.076,0.076,0.076,49274
2025-06-13,0.079,0.079,0.077,0.077,0.077,171418
2025-06-16,0.078,0.078,0.077,0.077,0.077,29181
2025-06-17,0.076,0.078,0.076,0.078,0.078,12455
2025-06-18,0.078,0.078,0.076,0.076,0.076,162836
2025-06-19,0.076,0.077,0.076,0.076,0.076,107542
2025-06-20,0.076,0.076,0.075,0.075,0.075,7461
2025-06-23,0.076,0.076,0.07,0.07,0.07,196959
2025-06-24,0.071,0.071,0.07,0.07,0.07,268014
2025-06-25,0.072,0.072,0.067,0.068,0.068,80350
2025-06-26,0.068,0.07,0.068,0.07,0.07,50711
2025-06-27,0.073,0.073,0.068,0.068,0.068,176359
2025-06-30,0.068,0.069,0.064,0.069,0.069,501044
2025-07-01,0.068,0.07,0.068,0.07,0.07,60250
2025-07-02,0.072,0.072,0.072,0.072,0.072,4880
2025-07-03,0.072,0.072,0.072,0.072,0.072,60275
2025-07-04,0.072,0.072,0.072,0.072,0.072,0
2025-07-07,0.072,0.075,0.072,0.075,0.075,180735
2025-07-08,0.075,0.075,0.075,0.075,0.075,0
2025-07-09,0.075,0.075,0.075,0.075,0.075,0
2025-07-10,0.075,0.075,0.075,0.075,0.075,0
2025-07-11,0.075,0.075,0.075,0.075,0.075,0
2025-07-14,0.078,0.079,0.078,0.079,0.079,11463
2025-07-15,0.079,0.089,0.079,0.089,0.089,8251
2025-07-16,0.09,0.09,0.09,0.09,0.09,71560
2025-07-17,0.09,0.09,0.08,0.08,0.08,11695
2025-07-18,0.081,0.081,0.081,0.081,0.081,19495
2025-07-21,0.083,0.085,0.081,0.081,0.081,76993
2025-07-22,0.087,0.087,0.087,0.087,0.087,6403
2025-07-23,0.087,0.087,0.084,0.084,0.084,6303
2025-07-24,0.084,0.084,0.084,0.084,0.084,491
2025-07-25,0.083,0.083,0.083,0.083,0.083,603
2025-07-28,0.081,0.081,0.081,0.081,0.081,80
2025-07-29,0.081,0.081,0.081,0.081,0.081,81185
2025-07-30,0.081,0.081,0.081,0.081,0.081,0
2025-07-31,0.081,0.081,0.079,0.08,0.08,14126
