Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.98,5.1,4.96,5.03,5.03,755775
2025-07-23,5.15,5.2,5.01,5.07,5.07,1126043
2025-07-24,5.05,5.05,4.76,4.93,4.93,1078680
2025-07-25,4.9,4.93,4.71,4.73,4.73,956004
2025-07-28,4.84,4.9,4.71,4.74,4.74,720238
2025-07-29,4.68,4.86,4.555,4.81,4.81,830722
2025-07-30,4.82,5.09,4.75,5.07,5.07,856367
2025-07-31,4.99,5.15,4.9,5.1,5.1,836582
2025-08-01,5.12,5.18,5.04,5.08,5.08,555262
2025-08-04,5.31,5.59,5.21,5.53,5.53,1736407
2025-08-05,5.64,5.85,5.55,5.83,5.83,2125794
2025-08-06,5.95,6.35,5.93,6.35,6.35,2146711
2025-08-07,6.5,6.59,6.28,6.4,6.4,1200798
2025-08-08,6.44,6.5,6.3,6.3,6.3,4231661
2025-08-11,6.4,6.43,6.19,6.29,6.29,1143394
2025-08-12,6.22,6.435,6.145,6.34,6.34,1515406
2025-08-13,6.24,6.52,6.24,6.52,6.52,1496195
2025-08-14,6.55,7,6.55,6.88,6.88,1716979
2025-08-15,6.8,6.9,6.68,6.76,6.76,1306704
2025-08-18,6.77,6.79,6.53,6.64,6.64,838071
2025-08-19,6.69,6.81,6.665,6.73,6.73,1032194
2025-08-20,6.64,6.69,6.49,6.65,6.65,1030057
2025-08-21,6.79,6.945,6.71,6.75,6.75,2332169
2025-08-22,6.98,7.07,6.88,6.95,6.95,1413857
2025-08-25,6.95,6.95,6.95,6.95,6.95,0
2025-08-26,6.81,7.46,6.81,7.45,7.45,3219643
2025-08-27,7.34,7.37,7.07,7.21,7.21,1623484
2025-08-28,7.13,7.19,6.93,7.12,7.12,937342
2025-08-29,7.13,7.31,6.95,7.25,7.25,1192218
2025-09-01,7.46,8.16,7.46,7.87,7.87,3262799
2025-09-02,7.86,8.06,7.825,7.94,7.94,2039813
2025-09-03,8.09,8.25,8.03,8.14,8.14,2732270
2025-09-04,8.11,8.11,7.02,7.08,7.08,2767492
2025-09-05,7.11,7.76,7.09,7.73,7.73,2028923
2025-09-08,7.81,8.05,7.68,7.82,7.82,1314504
2025-09-09,7.84,8.32,7.77,8.22,8.22,2375160
2025-09-10,8.25,8.46,7.98,8.06,8.06,2490033
2025-09-11,8.37,8.43,8.15,8.3,8.3,2174933
2025-09-12,8.25,8.37,7.82,7.82,7.82,2908591
2025-09-15,7.6,7.8,7.38,7.8,7.8,7002171
2025-09-16,8.06,8.19,7.76,7.84,7.84,2447723
2025-09-17,7.78,8.04,7.69,7.69,7.69,2379915
2025-09-18,7.77,8.27,7.69,8.23,8.23,3830902
2025-09-19,8.31,8.36,7.87,8.04,8.04,28249323
2025-09-22,8.38,8.63,8.3,8.59,8.59,2920437
2025-09-23,8.56,8.63,8.28,8.45,8.45,2264511
2025-09-24,8.26,8.41,8.035,8.36,8.36,2560691
2025-09-25,8.14,8.14,7.71,7.71,7.71,2965533
2025-09-26,7.67,7.93,7.63,7.92,7.92,1452158
2025-09-29,8.1,8.22,7.86,8.07,8.07,1556423
2025-09-30,8.1,8.17,7.865,7.9,7.9,1639387
2025-10-01,7.8,8.18,7.73,8.06,8.06,2441728
2025-10-02,8.14,8.455,8.09,8.36,8.36,2325154
2025-10-03,8.22,8.28,8.04,8.06,8.06,2407793
2025-10-06,8.15,8.45,8.1,8.16,8.16,1010070
2025-10-07,8.17,8.23,7.51,7.6,7.6,2925492
2025-10-08,7.38,7.46,6.8,7.46,7.46,2904171
2025-10-09,7.51,7.74,7.42,7.59,7.59,1944098
2025-10-10,7.19,7.51,7.15,7.26,7.26,1518727
2025-10-13,7.49,7.84,7.33,7.64,7.64,1415312
2025-10-14,7.9,8.725,7.89,8.71,8.71,2930162
2025-10-15,8.75,8.86,8.5,8.68,8.68,2768788
2025-10-16,8.83,8.88,8.275,8.3,8.3,1287681
2025-10-17,8.85,8.86,8.17,8.22,8.22,1569880
2025-10-20,7.82,7.83,7.52,7.56,7.56,1261092
2025-10-21,7.73,7.82,7.36,7.5,7.5,1242911
2025-10-22,7,7.11,6.57,7.02,7.02,2610300
2025-10-23,7.04,7.16,6.99,6.99,6.99,1291492
2025-10-24,7,7.01,6.745,6.86,6.86,1432044
2025-10-27,6.95,6.95,6.73,6.91,6.91,979860
2025-10-28,6.6,6.69,6.45,6.54,6.54,1631067
2025-10-29,6.73,6.75,6.51,6.67,6.67,2369494
2025-10-30,6.62,6.745,6.42,6.72,6.72,1243837
2025-10-31,6.86,7.04,6.73,6.79,6.79,1281399
2025-11-03,6.84,7.21,6.82,7.07,7.07,1376788
2025-11-04,7.05,7.09,6.73,6.89,6.89,1205143
2025-11-05,6.63,6.89,6.38,6.83,6.83,1662403
2025-11-06,7,7.15,6.955,7.11,7.11,967735
2025-11-07,7.06,7.15,6.975,7.03,7.03,846616
2025-11-10,7.26,7.43,7.165,7.37,7.37,982171
2025-11-11,7.6,7.66,7.32,7.38,7.38,957988
2025-11-12,7.38,7.495,7.19,7.3,7.3,762010
2025-11-13,7.5,7.58,7.345,7.44,7.44,618903
2025-11-14,7.21,7.42,7.09,7.31,7.31,833990
2025-11-17,7.25,7.38,7.09,7.26,7.26,747592
2025-11-18,7.18,7.26,6.905,6.95,6.95,610702
2025-11-19,7.12,7.315,7.07,7.26,7.26,793423
2025-11-20,7.23,7.52,7.2,7.47,7.47,777027
2025-11-21,7.06,7.2,6.74,6.82,6.82,960375
2025-11-24,6.9,7.07,6.81,6.87,6.87,1581073
2025-11-25,7.21,7.25,6.76,6.82,6.82,823860
2025-11-26,6.91,6.955,6.7,6.93,6.93,708152
2025-11-27,7.05,7.07,6.735,6.81,6.81,482151
2025-11-28,6.69,6.825,6.67,6.77,6.77,870212
2025-12-01,6.8,6.885,6.49,6.53,6.53,1206598
2025-12-02,6.5,6.835,6.48,6.61,6.61,951795
2025-12-03,6.52,6.68,6.46,6.58,6.58,1073099
2025-12-04,6.48,6.6,6.34,6.34,6.34,1106093
2025-12-05,6.5,6.61,6.34,6.55,6.55,656116
2025-12-08,6.52,6.71,6.49,6.6,6.6,744528
2025-12-09,6.49,6.56,6.34,6.52,6.52,1026298
2025-12-10,6.71,6.775,6.53,6.66,6.66,927478
2025-12-11,6.59,6.6,6.03,6.07,6.07,1742475
2025-12-12,6.55,6.56,6.11,6.34,6.34,1789044
2025-12-15,6.28,6.6,6.24,6.52,6.52,1650537
2025-12-16,6.47,6.66,6.425,6.46,6.46,975776
2025-12-17,6.49,7.045,6.325,7,7,997369
2025-12-18,6.74,7.005,6.74,6.92,6.92,1391548
2025-12-19,7,7.55,6.99,7.49,7.49,5108799
2025-12-22,7.44,7.73,7.28,7.67,7.67,973002
2025-12-23,7.69,7.765,7.51,7.67,7.67,932737
2025-12-24,7.74,7.775,7.55,7.67,7.67,486651
2025-12-29,7.65,7.7,7.43,7.6,7.6,530147
2025-12-30,7.29,7.44,7.08,7.3,7.3,554406
2025-12-31,7.31,7.4,7.24,7.36,7.36,311885
2026-01-02,7.38,7.41,7.22,7.38,7.38,384464
2026-01-05,7.33,7.48,7.2,7.36,7.36,501396
2026-01-06,7.53,7.53,7.255,7.43,7.43,604150
2026-01-07,7.53,7.65,7.35,7.45,7.45,850592
2026-01-08,7.38,7.48,7.3,7.36,7.36,1145179
2026-01-09,7.36,7.465,7.165,7.23,7.23,1247380
2026-01-12,7.38,7.49,7.06,7.18,7.18,758652
2026-01-13,7.28,7.565,7.24,7.36,7.36,1569392
2026-01-14,7.37,7.67,7.06,7.67,7.67,1378889
2026-01-15,7.89,8.06,7.68,7.85,7.85,1557561
2026-01-16,7.84,9,7.825,9,9,2544167
2026-01-19,9.1,9.73,9,9.64,9.64,1883176
2026-01-20,9.6,9.63,9.1,9.28,9.28,1363200
2026-01-21,9.55,9.55,9.01,9.26,9.26,1464486
2026-01-22,9.04,9.16,8.82,9.12,9.12,1812901
2026-01-23,9.37,9.45,9.21,9.45,9.45,1818470
2026-01-27,9.55,9.8,9.46,9.52,9.52,1356908
2026-01-28,9.45,9.6,9.16,9.53,9.53,1580058
2026-01-29,9.55,9.6,9.06,9.37,9.37,829733
2026-01-30,9.1,9.13,8.5,8.62,8.62,1149072
2026-02-02,8.1,8.18,7.725,7.93,7.93,1448589
2026-02-03,8.01,8.16,7.86,7.86,7.86,1027872
2026-02-04,8.02,8.26,7.9,7.96,7.96,1211861
2026-02-05,7.95,8.01,7.54,7.72,7.72,880267
2026-02-06,7.47,7.55,7.14,7.14,7.14,1439657
2026-02-09,7.5,7.75,7.39,7.66,7.66,1394109
2026-02-10,7.75,7.88,7.64,7.81,7.81,1275815
2026-02-11,7.83,7.95,7.59,7.95,7.95,839779
2026-02-12,7.82,7.82,7.5,7.69,7.69,645642
2026-02-13,7.37,7.62,7.22,7.53,7.53,1415341
2026-02-16,7.67,7.72,7.5,7.55,7.55,844378
2026-02-17,7.5,7.54,7.36,7.48,7.48,669887
2026-02-18,7.39,7.66,7.29,7.61,7.61,698660
2026-02-19,7.94,8.38,7.78,7.99,7.99,1287889
2026-02-20,7.91,7.98,7.72,7.92,7.92,667810
2026-02-23,8.02,8.33,8,8.28,8.28,687245
2026-02-24,8.24,8.6,8.04,8.27,8.27,1295499
2026-02-25,8.35,8.63,8.22,8.61,8.61,634502
2026-02-26,8.62,8.62,8.42,8.48,8.48,471479
2026-02-27,8.61,8.96,8.44,8.51,8.51,974091
2026-03-02,8.8,8.9,8.48,8.73,8.73,730859
2026-03-03,8.5,8.57,8.21,8.36,8.36,893123
2026-03-04,7.91,8.2,7.7,8.11,8.11,814718
2026-03-05,8.06,8.18,7.88,7.94,7.94,633766
2026-03-06,7.7,7.71,6.98,7.04,7.04,2032137
2026-03-09,7.05,7.08,6.51,6.67,6.67,1766704
2026-03-10,7.01,7.05,6.72,6.78,6.78,1090834
2026-03-11,6.85,6.97,6.605,6.74,6.74,945591
2026-03-12,6.55,6.65,6.38,6.49,6.49,1001125
2026-03-13,6.45,6.45,6.23,6.3,6.3,1372777
2026-03-16,6.12,6.23,6,6.15,6.15,904172
2026-03-17,6.32,6.68,6.24,6.62,6.62,914805
2026-03-18,6.62,6.76,6.565,6.66,6.66,907152
2026-03-19,6.34,6.39,6.05,6.07,6.07,1321665
2026-03-20,5.85,6.58,5.74,6.58,6.58,3766924
2026-03-23,6.03,6.03,5.53,5.63,5.63,2249793
2026-03-24,6.04,6.09,5.62,5.86,5.86,1566910
2026-03-25,6.05,6.36,6.05,6.26,6.26,1778750
2026-03-26,6.18,6.25,5.89,6,6,993747
2026-03-27,5.84,6.09,5.74,6,6,715987
2026-03-30,5.85,6.07,5.76,5.95,5.95,1005518
2026-03-31,5.94,6.43,5.84,6.3,6.3,950899
2026-04-01,6.65,6.81,6.53,6.72,6.72,1048475
2026-04-02,6.72,6.87,6.11,6.12,6.12,1337920
2026-04-07,6.36,6.44,6.15,6.27,6.27,524924
2026-04-08,6.69,7.005,6.63,6.96,6.96,1119138
2026-04-09,6.71,7,6.54,6.96,6.96,941044
2026-04-10,6.83,6.945,6.65,6.81,6.81,632121
2026-04-13,6.58,6.62,6.4,6.59,6.59,898138
2026-04-14,6.71,6.81,6.61,6.74,6.74,555228
2026-04-15,6.81,6.91,6.51,6.64,6.64,1172378
2026-04-16,6.66,6.79,6.53,6.77,6.77,630143
2026-04-17,6.75,6.75,6.36,6.43,6.43,1840054
2026-04-20,6.3,6.63,6.21,6.63,6.63,890066
2026-04-21,6.57,6.62,6.45,6.56,6.56,921587
2026-04-22,6.38,6.68,6.3,6.58,6.58,1155683
2026-04-23,6.46,6.62,6.325,6.54,6.54,783607
2026-04-24,6.63,6.63,6.28,6.28,6.28,1023093
2026-04-27,6.18,6.34,6.15,6.29,6.29,1078425
2026-04-28,6.13,6.19,6,6.04,6.04,837621
2026-04-29,5.74,5.87,5.6,5.65,5.65,1668898
2026-04-30,5.37,5.46,5.06,5.17,5.17,2332467
2026-05-01,5.32,5.4,5.13,5.21,5.21,882242
2026-05-04,5.22,5.41,5.18,5.4,5.4,1140953
2026-05-05,5.16,5.16,5.02,5.04,5.04,1559077
2026-05-06,5.1,5.15,4.96,5.15,5.15,1662715
2026-05-07,5.42,5.45,5.22,5.36,5.36,1436634
2026-05-08,5.3,5.56,5.3,5.45,5.45,1079038
2026-05-11,5.38,5.47,5.31,5.38,5.38,1179810
2026-05-12,5.33,5.66,5.32,5.55,5.55,1267983
2026-05-13,5.73,5.83,5.61,5.69,5.69,1291342
2026-05-14,5.69,5.89,5.62,5.86,5.86,1341281
2026-05-15,5.96,6.05,5.62,5.93,5.93,2963892
2026-05-18,5.73,5.79,5.33,5.46,5.46,1033827
2026-05-19,5.91,5.91,5.36,5.47,5.47,1077907
2026-05-20,5.4,5.43,5.1,5.19,5.19,972131
2026-05-21,5.47,5.5,5.31,5.37,5.37,790306
2026-05-22,5.35,5.41,5.29,5.31,5.31,614033
2026-05-25,5.41,5.67,5.41,5.53,5.53,917828
2026-05-26,5.55,5.59,5.36,5.44,5.44,715629
2026-05-27,5.5,5.56,5.27,5.37,5.37,1000556
2026-05-28,5.25,5.25,4.92,4.96,4.96,1398721
2026-05-29,5.17,5.29,5.14,5.2,5.2,1075999
2026-06-01,5.2,5.41,5.17,5.35,5.35,760967
2026-06-02,5.2,5.54,5.16,5.52,5.52,1062138
2026-06-03,5.5,5.5,5.25,5.39,5.39,857116
2026-06-04,5.33,5.39,5.2,5.25,5.25,820150
2026-06-05,5.29,5.3,5.14,5.19,5.19,736379
2026-06-09,4.99,5.02,4.8,4.89,4.89,2157271
2026-06-10,4.7,4.87,4.55,4.72,4.72,1378544
2026-06-11,4.53,4.89,4.48,4.79,4.79,1452991
2026-06-12,5.02,5.17,4.96,5.02,5.02,1026156
2026-06-15,5.31,5.72,5.3,5.63,5.63,1887981
2026-06-16,5.57,6.09,5.535,6.03,6.03,1914515
2026-06-17,6.02,6.46,6.02,6.44,6.44,2511504
2026-06-18,6.32,6.65,6.29,6.44,6.44,2500052
2026-06-19,6.3,6.41,6.09,6.29,6.29,4310014
2026-06-22,6.12,6.34,5.96,6.1,6.1,1241138
2026-06-23,6.3,6.32,5.72,5.72,5.72,1176429
2026-06-24,5.73,5.75,5.45,5.6,5.6,1003715
2026-06-25,5.44,5.45,5.145,5.2,5.2,1023530
2026-06-26,5.26,5.39,5.21,5.35,5.35,1342253
2026-06-29,5.5,5.565,5.12,5.17,5.17,1054490
2026-06-30,5,5.13,4.95,5.03,5.03,1509458
2026-07-01,5.07,5.09,4.77,4.81,4.81,1309661
2026-07-02,4.9,5.16,4.86,5.11,5.11,1239888
2026-07-03,5.47,6.13,5.47,6.09,6.09,1870375
2026-07-06,6.11,6.32,6.02,6.07,6.07,1275236
2026-07-07,6.04,6.05,5.71,5.75,5.75,957914
2026-07-08,5.61,5.92,5.5,5.83,5.83,1124076
2026-07-09,5.7,5.83,5.46,5.54,5.54,1092878
2026-07-10,5.59,5.84,5.57,5.76,5.76,766865
2026-07-13,5.87,6.03,5.72,5.77,5.77,1613146
2026-07-14,5.64,5.74,5.48,5.74,5.74,974329
2026-07-15,5.87,5.9,5.72,5.74,5.74,824364
