Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.48,4.54,4.45,4.54,4.2571,918866
2025-07-23,4.54,4.55,4.475,4.51,4.229,2050255
2025-07-24,4.51,4.59,4.49,4.57,4.2853,1051267
2025-07-25,4.55,4.55,4.48,4.49,4.2102,2455906
2025-07-28,4.48,4.62,4.48,4.6,4.3134,1631492
2025-07-29,4.6,4.68,4.57,4.62,4.3321,1082861
2025-07-30,4.67,4.675,4.57,4.6,4.3134,1831964
2025-07-31,4.6,4.6,4.48,4.48,4.2009,1466309
2025-08-01,4.53,4.66,4.51,4.66,4.3696,2246963
2025-08-04,4.65,4.66,4.6,4.64,4.3509,629370
2025-08-05,4.66,4.74,4.64,4.74,4.4447,980666
2025-08-06,4.74,4.81,4.74,4.76,4.4634,786323
2025-08-07,4.77,4.81,4.76,4.8,4.5009,836950
2025-08-08,4.81,4.84,4.77,4.8,4.5009,860643
2025-08-11,4.8,4.92,4.78,4.9,4.5947,882369
2025-08-12,4.9,4.93,4.73,4.79,4.4915,860890
2025-08-13,4.78,4.855,4.74,4.84,4.5384,953357
2025-08-14,4.83,4.87,4.77,4.79,4.4915,1065999
2025-08-15,4.85,4.85,4.7,4.77,4.4728,945293
2025-08-18,4.78,4.82,4.73,4.82,4.5197,524859
2025-08-19,4.83,4.835,4.74,4.82,4.5197,474921
2025-08-20,4.82,4.84,4.74,4.81,4.5103,1047742
2025-08-21,4.82,4.85,4.73,4.77,4.4728,1000851
2025-08-22,4.78,4.8,4.695,4.8,4.5009,1156861
2025-08-25,4.81,4.81,4.66,4.7,4.4072,979163
2025-08-26,4.7,4.74,4.62,4.64,4.3509,1396538
2025-08-27,4.66,4.685,4.585,4.64,4.3509,1544230
2025-08-28,4.5,4.6,4.41,4.45,4.2262,887276
2025-08-29,4.4,4.5,4.34,4.37,4.1503,1882538
2025-09-01,4.35,4.43,4.34,4.41,4.1883,466714
2025-09-02,4.45,4.46,4.355,4.38,4.1598,794108
2025-09-03,4.4,4.42,4.32,4.33,4.1123,975550
2025-09-04,4.32,4.39,4.31,4.34,4.1218,1005521
2025-09-05,4.38,4.43,4.36,4.36,4.1408,1034702
2025-09-08,4.4,4.44,4.34,4.42,4.1977,1241827
2025-09-09,4.41,4.43,4.35,4.35,4.1313,720338
2025-09-10,4.1,4.175,4.05,4.07,3.8653,146442541
2025-09-11,4.19,4.26,4.14,4.2,3.9888,10871462
2025-09-12,4.28,4.33,4.24,4.26,4.0458,10346105
2025-09-15,4.27,4.31,4.23,4.23,4.0173,2152679
2025-09-16,4.26,4.34,4.25,4.28,4.0648,4936262
2025-09-17,4.3,4.36,4.29,4.3,4.0838,6011525
2025-09-18,4.33,4.33,4.27,4.31,4.0933,1740757
2025-09-19,4.31,4.35,4.23,4.23,4.0173,15378605
2025-09-22,4.27,4.37,4.27,4.32,4.1028,2259668
2025-09-23,4.36,4.45,4.34,4.4,4.1788,3285677
2025-09-24,4.41,4.45,4.325,4.34,4.1218,3770104
2025-09-25,4.35,4.41,4.35,4.36,4.1408,3347692
2025-09-26,4.36,4.42,4.36,4.39,4.1693,9631108
2025-09-29,4.43,4.43,4.35,4.4,4.1788,2904264
2025-09-30,4.4,4.43,4.37,4.37,4.1503,16065998
2025-10-01,4.41,4.5,4.38,4.48,4.2547,3746837
2025-10-02,4.5,4.57,4.48,4.55,4.3212,2559486
2025-10-03,4.53,4.54,4.42,4.46,4.2357,3699118
2025-10-06,4.49,4.49,4.4,4.44,4.2167,1059989
2025-10-07,4.41,4.425,4.35,4.36,4.1408,2994874
2025-10-08,4.38,4.405,4.33,4.35,4.1313,3071668
2025-10-09,4.4,4.41,4.32,4.38,4.1598,1543779
2025-10-10,4.36,4.48,4.35,4.43,4.2072,1584715
2025-10-13,4.43,4.45,4.39,4.41,4.1883,1606901
2025-10-14,4.41,4.44,4.36,4.38,4.1598,3623852
2025-10-15,4.41,4.42,4.35,4.39,4.1693,1657282
2025-10-16,4.39,4.39,4.29,4.3,4.0838,2348942
2025-10-17,4.28,4.3,4.24,4.25,4.0363,1434464
2025-10-20,4.26,4.35,4.25,4.32,4.1028,1548219
2025-10-21,4.34,4.4,4.31,4.39,4.1693,1979411
2025-10-22,4.37,4.39,4.35,4.37,4.1503,2197182
2025-10-23,4.36,4.395,4.355,4.38,4.1598,8025506
2025-10-24,4.41,4.42,4.36,4.37,4.1503,1434264
2025-10-27,4.4,4.4,4.34,4.34,4.1218,919289
2025-10-28,4.41,4.43,4.35,4.43,4.2072,1491359
2025-10-29,4.43,4.45,4.4,4.4,4.1788,969282
2025-10-30,4.4,4.4,4.36,4.39,4.1693,1222194
2025-10-31,4.4,4.45,4.39,4.43,4.2072,2125451
2025-11-03,4.47,4.5,4.45,4.47,4.2452,1638327
2025-11-04,4.48,4.49,4.38,4.38,4.1598,1337281
2025-11-05,4.42,4.43,4.26,4.28,4.0648,1291103
2025-11-06,4.29,4.3,4.26,4.29,4.0743,2029579
2025-11-07,4.29,4.34,4.29,4.33,4.1123,1823017
2025-11-10,4.325,4.39,4.29,4.39,4.1693,1664186
2025-11-11,4.41,4.45,4.38,4.4,4.1788,1029338
2025-11-12,4.42,4.435,4.37,4.38,4.1598,988797
2025-11-13,4.38,4.39,4.3,4.33,4.1123,1382957
2025-11-14,4.33,4.345,4.26,4.29,4.0743,941335
2025-11-17,4.33,4.34,4.26,4.29,4.0743,2067968
2025-11-18,4.3,4.35,4.29,4.33,4.1123,1822770
2025-11-19,4.33,4.34,4.26,4.28,4.0648,1046255
2025-11-20,4.28,4.415,4.27,4.39,4.1693,2408203
2025-11-21,4.36,4.37,4.31,4.34,4.1218,1625637
2025-11-24,4.39,4.47,4.37,4.47,4.2452,1682772
2025-11-25,4.48,4.535,4.44,4.47,4.2452,2279235
2025-11-26,4.5,4.56,4.47,4.54,4.3117,2568286
2025-11-27,4.54,4.57,4.48,4.49,4.2642,4351746
2025-11-28,4.49,4.53,4.44,4.51,4.2832,1334400
2025-12-01,4.52,4.57,4.49,4.55,4.3212,1557436
2025-12-02,4.51,4.57,4.48,4.53,4.3022,1232199
2025-12-03,4.52,4.56,4.49,4.5,4.2737,1994618
2025-12-04,4.48,4.48,4.365,4.39,4.2268,1183122
2025-12-05,4.44,4.45,4.365,4.41,4.246,1813783
2025-12-08,4.41,4.52,4.4,4.47,4.3038,1410368
2025-12-09,4.54,4.555,4.445,4.54,4.3712,1716222
2025-12-10,4.6,4.83,4.6,4.83,4.6504,2770848
2025-12-11,4.8,4.93,4.8,4.85,4.6697,3115146
2025-12-12,4.89,4.89,4.82,4.85,4.7295,1643152
2025-12-15,4.85,4.85,4.77,4.8,4.6807,1199798
2025-12-16,4.78,4.88,4.78,4.86,4.7392,2820489
2025-12-17,4.87,5,4.87,4.98,4.8562,3511990
2025-12-18,4.94,5.02,4.88,4.94,4.8172,2934094
2025-12-19,4.95,5.02,4.925,5.02,4.8952,3044594
2025-12-22,5,5.02,4.92,4.96,4.8367,643211
2025-12-23,4.95,4.97,4.89,4.97,4.8465,731285
2025-12-24,4.92,4.97,4.9,4.91,4.788,420868
2025-12-29,4.9,4.95,4.89,4.92,4.7977,616726
2025-12-30,4.93,4.96,4.895,4.93,4.8075,1159862
