Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,8.54,8.65,8.5,8.57,8.0965,231970
2025-07-23,8.58,8.64,8.5,8.6,8.1249,332326
2025-07-24,8.65,8.7,8.58,8.68,8.2004,233245
2025-07-25,8.7,8.97,8.655,8.78,8.2949,597537
2025-07-28,8.8,8.8,8.61,8.71,8.2288,224352
2025-07-29,8.66,8.68,8.59,8.66,8.1816,247681
2025-07-30,8.6,8.77,8.6,8.7,8.2193,218063
2025-07-31,8.65,8.73,8.605,8.72,8.2382,252526
2025-08-01,8.67,8.71,8.62,8.68,8.2004,199762
2025-08-04,8.68,8.83,8.6,8.76,8.276,269377
2025-08-05,8.8,8.93,8.77,8.9,8.4083,311635
2025-08-06,8.9,9.02,8.88,9,8.5028,339543
2025-08-07,9,9.08,8.96,9,8.5028,283877
2025-08-08,9.02,9.08,8.95,9.01,8.5122,249174
2025-08-11,9.05,9.18,8.96,9.03,8.5311,278364
2025-08-12,9,9.05,8.83,8.98,8.4839,308553
2025-08-13,8.96,8.96,8.825,8.88,8.3894,372324
2025-08-14,8.85,8.95,8.62,8.66,8.2842,475102
2025-08-15,8.72,8.8,8.65,8.77,8.3894,292711
2025-08-18,8.79,8.89,8.74,8.74,8.3607,281817
2025-08-19,8.77,8.835,8.75,8.82,8.4372,161104
2025-08-20,8.8,8.92,8.76,8.9,8.5138,188489
2025-08-21,8.9,8.995,8.88,8.97,8.5807,254831
2025-08-22,8.97,8.97,8.81,8.86,8.4755,203843
2025-08-25,8.94,9.05,8.84,8.89,8.5042,382127
2025-08-26,8.81,8.93,8.725,8.86,8.4755,790279
2025-08-27,8.94,8.94,8.71,8.85,8.4659,499855
2025-08-28,9.5,9.86,9.08,9.25,8.8486,2371025
2025-08-29,8.8,9.19,8.49,9.13,8.7338,32793930
2025-09-01,9.15,9.61,9.15,9.52,9.1068,1087513
2025-09-02,9.68,9.82,9.64,9.79,9.3651,919940
2025-09-03,9.78,9.835,9.64,9.77,9.346,1672190
2025-09-04,9.75,9.86,9.56,9.56,9.1451,552495
2025-09-05,9.58,9.76,9.54,9.69,9.2695,527675
2025-09-08,9.8,10.13,9.77,10,9.566,2013340
2025-09-09,10,10.12,9.96,10.1,9.6617,776964
2025-09-10,10.05,10.05,9.86,9.93,9.4991,2921503
2025-09-11,9.92,10.1,9.92,10.05,9.6138,1381590
2025-09-12,10.05,10.08,9.81,9.84,9.413,1032498
2025-09-15,9.83,9.895,9.78,9.89,9.4608,292553
2025-09-16,9.9,9.935,9.8,9.9,9.4704,252045
2025-09-17,9.92,10.03,9.86,9.86,9.4321,380031
