Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.23,3.24,3.175,3.21,3.0662,656482
2025-07-23,3.23,3.305,3.21,3.28,3.133,1081257
2025-07-24,3.3,3.32,3.19,3.22,3.0757,1176185
2025-07-25,3.17,3.25,3.15,3.24,3.0948,777689
2025-07-28,3.26,3.38,3.255,3.28,3.133,1099134
2025-07-29,3.29,3.29,3.19,3.24,3.0948,1195795
2025-07-30,3.25,3.36,3.24,3.35,3.1999,1385547
2025-07-31,3.32,3.36,3.3,3.32,3.1712,1300623
2025-08-01,3.3,3.3,3.195,3.25,3.1044,936987
2025-08-04,3.22,3.26,3.19,3.24,3.0948,541349
2025-08-05,3.31,3.31,3.19,3.25,3.1044,753989
2025-08-06,3.25,3.31,3.24,3.25,3.1044,878183
2025-08-07,3.21,3.25,3.165,3.22,3.0757,851204
2025-08-08,3.2,3.23,3.17,3.2,3.0566,587368
2025-08-11,3.38,3.55,3.38,3.49,3.3336,3079313
2025-08-12,3.43,3.45,3.2,3.25,3.1044,2878021
2025-08-13,3.25,3.3,3.24,3.25,3.1044,827275
2025-08-14,3.3,3.37,3.19,3.2,3.0566,1341904
2025-08-15,3.23,3.235,3.15,3.2,3.0566,1143865
2025-08-18,3.06,3.09,2.74,2.75,2.6268,7877726
2025-08-19,2.68,2.76,2.595,2.76,2.6363,5372349
2025-08-20,2.77,2.86,2.755,2.79,2.665,3702787
2025-08-21,2.8,2.845,2.76,2.83,2.7032,3186594
2025-08-22,2.83,2.88,2.76,2.85,2.7223,2577031
2025-08-25,2.94,3.2,2.92,3.16,3.0184,2805136
2025-08-26,3.14,3.32,3.12,3.14,2.9993,3422448
2025-08-27,3.18,3.22,3.11,3.13,2.9897,1586662
2025-08-28,3.11,3.15,2.96,2.97,2.8369,2236655
2025-08-29,3.01,3.15,2.99,3.11,2.9706,1470423
2025-09-01,3.05,3.17,3.045,3.15,3.0088,1488526
2025-09-02,3.1,3.1,3.03,3.07,2.9324,1379618
2025-09-03,2.98,3.03,2.96,2.99,2.856,1243370
2025-09-04,3.04,3.1,2.87,2.91,2.7796,3052190
2025-09-05,2.92,3.03,2.88,3.01,2.8751,2284200
2025-09-08,3.07,3.13,3.03,3.09,2.9515,1914196
2025-09-09,3.14,3.14,3,3.02,2.8847,1821742
2025-09-10,3.04,3.05,2.94,2.99,2.856,2874789
2025-09-11,3.03,3.08,2.91,2.92,2.7892,2579309
2025-09-12,2.96,3.03,2.955,2.97,2.8369,1904167
2025-09-15,2.97,2.97,2.865,2.95,2.8178,1415734
2025-09-16,2.97,2.98,2.865,2.93,2.7987,2567884
2025-09-17,2.92,2.94,2.82,2.87,2.7414,1968834
2025-09-18,2.92,2.94,2.88,2.91,2.7796,2428573
2025-09-19,2.93,3,2.82,2.82,2.6936,21375290
2025-09-22,2.87,2.87,2.68,2.75,2.6268,3316919
2025-09-23,2.76,2.76,2.64,2.7,2.579,3693739
2025-09-24,2.66,2.77,2.65,2.77,2.6459,1906185
2025-09-25,2.75,2.8,2.73,2.76,2.6363,4469548
2025-09-26,2.8,2.8,2.73,2.74,2.6172,2560768
2025-09-29,2.8,2.8,2.64,2.64,2.5217,3274800
2025-09-30,2.66,2.69,2.615,2.65,2.5313,1881730
2025-10-01,2.65,2.73,2.64,2.72,2.5981,2702835
2025-10-02,2.76,2.76,2.65,2.73,2.6077,2280802
2025-10-03,3.15,3.29,3.05,3.05,2.9133,9965353
2025-10-06,3.11,3.12,2.85,2.95,2.8178,3510273
2025-10-07,2.98,3.075,2.97,3.03,2.8942,2798093
2025-10-08,3,3.04,2.93,2.95,2.8178,2010462
2025-10-09,2.95,3.015,2.91,2.99,2.856,2239927
2025-10-10,2.98,3.08,2.9,3.03,2.8942,2299912
2025-10-13,2.92,2.965,2.86,2.94,2.8083,1677108
2025-10-14,2.93,2.95,2.86,2.91,2.7796,1931322
2025-10-15,2.9,2.98,2.88,2.95,2.8178,1977357
2025-10-16,2.97,3.01,2.9,2.98,2.8465,1835266
2025-10-17,2.98,2.98,2.88,2.88,2.7509,2400087
2025-10-20,2.88,2.88,2.8,2.82,2.6936,1298978
2025-10-21,2.84,2.84,2.77,2.8,2.6745,2281316
2025-10-22,2.8,2.87,2.735,2.84,2.7127,2209787
2025-10-23,2.77,2.86,2.74,2.76,2.6363,1230575
2025-10-24,2.76,2.83,2.735,2.8,2.6745,1706911
2025-10-27,2.89,2.89,2.72,2.72,2.5981,1373905
2025-10-28,2.75,2.75,2.63,2.71,2.5886,1985683
2025-10-29,2.71,2.75,2.645,2.66,2.5408,1856312
2025-10-30,2.58,2.64,2.57,2.62,2.5026,1731820
2025-10-31,2.62,2.65,2.6,2.61,2.493,1465566
2025-11-03,2.68,2.68,2.6,2.65,2.5313,1185041
2025-11-04,2.65,2.77,2.64,2.72,2.5981,2236293
2025-11-05,2.7,2.7,2.545,2.64,2.5217,2527118
2025-11-06,2.67,2.695,2.61,2.68,2.5599,2229452
2025-11-07,2.63,2.68,2.59,2.61,2.493,1446193
2025-11-10,2.64,2.67,2.58,2.67,2.5504,814294
2025-11-11,2.7,2.72,2.63,2.66,2.5408,1396620
2025-11-12,2.78,2.81,2.53,2.6,2.4835,2745643
2025-11-13,2.6,2.62,2.46,2.48,2.3689,2158796
2025-11-14,2.42,2.45,2.36,2.37,2.2638,1969217
2025-11-17,2.4,2.49,2.36,2.49,2.3784,1666199
2025-11-18,2.46,2.46,2.34,2.35,2.2447,2572994
2025-11-19,2.34,2.41,2.305,2.4,2.2925,1961684
2025-11-20,2.43,2.55,2.43,2.48,2.3689,1691144
2025-11-21,2.4,2.45,2.34,2.42,2.3116,2234129
2025-11-24,2.46,2.49,2.42,2.46,2.3498,1639908
2025-11-25,2.47,2.49,2.42,2.45,2.3402,2296038
2025-11-26,2.47,2.52,2.46,2.47,2.3593,1536903
2025-11-27,2.49,2.68,2.47,2.67,2.5504,3474997
2025-11-28,2.68,2.85,2.68,2.8,2.6745,3041973
2025-12-01,2.75,2.79,2.54,2.57,2.4548,2221394
2025-12-02,2.52,2.59,2.48,2.49,2.3784,1279677
2025-12-03,2.5,2.55,2.47,2.5,2.388,979319
2025-12-04,2.5,2.51,2.45,2.48,2.3689,1602746
2025-12-05,2.51,2.57,2.51,2.53,2.4166,1247542
2025-12-08,2.56,2.56,2.48,2.5,2.388,1433616
2025-12-09,2.45,2.48,2.42,2.46,2.3498,4887520
2025-12-10,2.51,2.51,2.4,2.4,2.2925,1689330
2025-12-11,2.39,2.42,2.31,2.34,2.2351,4507555
2025-12-12,2.38,2.43,2.34,2.39,2.2829,1533259
2025-12-15,2.38,2.55,2.34,2.48,2.3689,2190789
2025-12-16,2.45,2.51,2.38,2.45,2.3402,2058703
2025-12-17,2.47,2.58,2.44,2.53,2.4166,1943043
2025-12-18,2.43,2.62,2.43,2.57,2.4548,4528849
2025-12-19,2.62,2.785,2.61,2.75,2.6268,12211249
2025-12-22,2.76,2.79,2.685,2.76,2.6363,1984692
2025-12-23,2.76,2.81,2.73,2.78,2.6554,1347800
2025-12-24,2.74,2.8,2.72,2.76,2.6363,573178
2025-12-29,2.83,2.83,2.68,2.73,2.6077,1098953
2025-12-30,2.68,2.695,2.63,2.69,2.6272,954153
2025-12-31,2.68,2.8,2.63,2.76,2.6956,1140335
2026-01-02,2.79,2.8,2.73,2.77,2.7053,778584
2026-01-05,2.79,2.82,2.73,2.75,2.6858,798131
2026-01-06,2.77,2.79,2.67,2.69,2.6272,1194772
