Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,4.16,4.24,4.14,4.16,4.0772,298451
2025-04-28,4.22,4.3,4.145,4.17,4.087,280652
2025-04-29,4.18,4.23,4.17,4.2,4.1164,605121
2025-04-30,4.2,4.3,4.17,4.29,4.2046,1061437
2025-05-01,4.26,4.3,4.24,4.28,4.1948,3154928
2025-05-02,4.24,4.28,4.22,4.25,4.1654,904186
2025-05-05,4.25,4.29,4.25,4.29,4.2046,242880
2025-05-06,4.26,4.29,4.25,4.26,4.1752,773214
2025-05-07,4.27,4.29,4.25,4.28,4.1948,545245
2025-05-08,4.25,4.29,4.25,4.25,4.1654,444515
2025-05-09,4.36,4.47,4.34,4.38,4.2928,4691441
2025-05-12,4.37,4.39,4.37,4.37,4.283,357639
2025-05-13,4.37,4.385,4.37,4.37,4.283,734785
2025-05-14,4.37,4.39,4.37,4.37,4.283,842898
2025-05-15,4.39,4.39,4.37,4.38,4.2928,258988
2025-05-16,4.38,4.4,4.37,4.4,4.3124,553587
2025-05-19,4.38,4.4,4.37,4.37,4.283,830952
2025-05-20,4.37,4.39,4.35,4.36,4.2732,860978
2025-05-21,4.37,4.37,4.355,4.36,4.2732,446380
2025-05-22,4.36,4.38,4.36,4.36,4.2732,624535
2025-05-23,4.36,4.37,4.36,4.36,4.2732,481331
2025-05-26,4.37,4.38,4.36,4.36,4.2732,623771
2025-05-27,4.38,4.38,4.35,4.35,4.2634,748068
2025-05-28,4.36,4.38,4.35,4.35,4.2634,515389
2025-05-29,4.36,4.38,4.35,4.36,4.2732,313491
2025-05-30,4.36,4.38,4.36,4.36,4.2732,4047816
2025-06-02,4.37,4.38,4.36,4.38,4.2928,364102
2025-06-03,4.36,4.38,4.36,4.36,4.2732,461735
2025-06-04,4.37,4.375,4.36,4.36,4.2732,564957
2025-06-05,4.37,4.38,4.36,4.36,4.2732,1345300
2025-06-06,4.37,4.38,4.36,4.36,4.2732,726326
2025-06-10,4.37,4.38,4.36,4.36,4.2732,650723
2025-06-11,4.37,4.38,4.36,4.36,4.2732,524171
2025-06-12,4.36,4.38,4.36,4.36,4.2732,784429
2025-06-13,4.37,4.38,4.36,4.36,4.2732,815366
2025-06-16,4.36,4.38,4.36,4.36,4.2732,610163
2025-06-17,4.36,4.38,4.36,4.37,4.283,483511
2025-06-18,4.36,4.38,4.36,4.36,4.2732,405620
2025-06-19,4.36,4.375,4.36,4.37,4.283,186294
2025-06-20,4.37,4.38,4.36,4.36,4.2732,4468035
2025-06-23,4.37,4.38,4.36,4.36,4.2732,410241
2025-06-24,4.37,4.38,4.36,4.37,4.283,426860
2025-06-25,4.38,4.39,4.37,4.37,4.283,199446
2025-06-26,4.39,4.39,4.37,4.38,4.2928,151979
2025-06-27,4.37,4.39,4.37,4.37,4.283,203375
2025-06-30,4.37,4.39,4.37,4.39,4.3026,261983
2025-07-01,4.4,4.43,4.38,4.38,4.2928,740827
2025-07-02,4.38,4.41,4.38,4.41,4.3222,226443
2025-07-03,4.41,4.41,4.38,4.38,4.2928,310539
2025-07-04,4.39,4.39,4.38,4.39,4.3026,117073
2025-07-07,4.39,4.41,4.39,4.41,4.3222,453201
2025-07-08,4.4,4.41,4.39,4.41,4.3222,241429
2025-07-09,4.41,4.41,4.4,4.41,4.3222,127306
2025-07-10,4.41,4.41,4.4,4.41,4.3222,116792
2025-07-11,4.4,4.41,4.39,4.39,4.3026,161883
2025-07-14,4.39,4.41,4.39,4.41,4.3222,69785
2025-07-15,4.4,4.41,4.39,4.4,4.3124,111392
2025-07-16,4.4,4.4,4.39,4.4,4.3124,124483
2025-07-17,4.4,4.41,4.39,4.4,4.3124,312187
2025-07-18,4.4,4.41,4.39,4.4,4.3124,259582
2025-07-21,4.4,4.41,4.4,4.4,4.3124,336139
2025-07-22,4.4,4.41,4.4,4.4,4.3124,370666
2025-07-23,4.41,4.41,4.4,4.4,4.3124,428306
2025-07-24,4.41,4.41,4.4,4.4,4.3124,445531
2025-07-25,4.4,4.41,4.4,4.41,4.3222,333052
2025-07-28,4.4,4.41,4.4,4.4,4.3124,346557
2025-07-29,4.4,4.41,4.4,4.41,4.3222,240349
2025-07-30,4.4,4.41,4.4,4.4,4.3124,389055
2025-07-31,4.4,4.42,4.4,4.41,4.3222,883829
2025-08-01,4.41,4.42,4.41,4.41,4.3222,448487
2025-08-04,4.42,4.42,4.41,4.41,4.3222,711072
2025-08-05,4.42,4.43,4.41,4.41,4.3222,510518
2025-08-06,4.41,4.43,4.41,4.42,4.332,962631
2025-08-07,4.43,4.43,4.42,4.42,4.332,4369056
2025-08-08,4.42,4.42,4.42,4.42,4.332,0
2025-08-11,4.42,4.42,4.42,4.42,4.42,0
2025-08-12,4.42,4.42,4.42,4.42,4.42,0
2025-08-13,4.42,4.42,4.42,4.42,4.42,0
2025-08-14,4.42,4.42,4.42,4.42,4.42,0
2025-08-15,4.42,4.42,4.42,4.42,4.42,0
2025-08-18,4.42,4.42,4.42,4.42,4.42,0
2025-08-19,4.42,4.42,4.42,4.42,4.42,0
2025-08-20,4.42,4.42,4.42,4.42,4.42,0
2025-08-21,4.42,4.42,4.42,4.42,4.42,0
2025-08-22,4.42,4.42,4.42,4.42,4.42,0
2025-08-25,4.42,4.42,4.42,4.42,4.42,0
2025-08-26,4.42,4.42,4.42,4.42,4.42,0
2025-08-27,4.42,4.42,4.42,4.42,4.42,0
2025-08-28,4.42,4.42,4.42,4.42,4.42,0
