Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,18.08,18.525,18,18.45,17.9433,763580
2025-07-23,18.57,18.74,18.35,18.58,18.0697,551227
2025-07-24,18.9,18.97,18.4,18.45,17.9433,618134
2025-07-25,18.37,18.59,18.07,18.17,17.671,527094
2025-07-28,18.2,18.79,18.07,18.74,18.2253,568760
2025-07-29,18.7,18.73,18.17,18.31,17.8071,760834
2025-07-30,18.29,18.6,18.24,18.56,18.0502,436951
2025-07-31,18.4,18.4,18.07,18.27,17.7682,637182
2025-08-01,18.13,18.27,17.94,18.24,17.739,457043
2025-08-04,18.15,18.37,18.1,18.24,17.739,542414
2025-08-05,18.41,18.81,18.3,18.68,18.1669,699026
2025-08-06,18.7,19.01,18.54,18.83,18.3128,820635
2025-08-07,19.08,19.435,18.75,18.82,18.3031,811922
2025-08-08,18.99,19.07,18.72,18.87,18.3517,545080
2025-08-11,18.83,19.17,18.62,18.68,18.1669,654802
2025-08-12,18.65,18.92,18.51,18.84,18.3226,526685
2025-08-13,18.9,19.08,18.7,18.98,18.4587,623175
2025-08-14,18.98,19.395,18.86,19.29,18.7602,499217
2025-08-15,19.2,19.39,18.98,19.17,18.6435,550620
2025-08-18,19.2,19.34,18.84,18.84,18.3226,424777
2025-08-19,18.91,19.05,18.69,18.97,18.449,414959
2025-08-20,19.26,19.43,19.175,19.2,18.6727,450624
2025-08-21,19.23,19.68,19.18,19.66,19.12,454777
2025-08-22,19.7,19.82,19.16,19.32,18.7894,736312
2025-08-25,19.5,19.68,19.28,19.28,18.7505,692956
2025-08-26,19.35,19.43,18.95,19.36,18.8283,879055
2025-08-27,17.5,17.5,15.07,15.1,14.6853,5809163
2025-08-28,15.1,15.38,14.86,14.94,14.5297,3052213
2025-08-29,14.85,15.245,14.84,15.08,14.6658,1941747
2025-09-01,15.01,15.09,14.63,14.63,14.2282,1416113
2025-09-02,14.53,14.72,14.355,14.52,14.3318,908099
2025-09-03,14.4,14.47,14.12,14.12,13.937,1050464
2025-09-04,14.25,14.92,14.25,14.32,14.1344,1555473
2025-09-05,14.53,14.75,14.395,14.65,14.4601,1202730
2025-09-08,14.7,14.88,14.6,14.77,14.5786,636760
2025-09-09,14.77,14.85,14.4,14.57,14.3812,666627
2025-09-10,14.62,14.72,14.48,14.6,14.4108,543124
2025-09-11,14.59,14.68,14.13,14.13,13.9469,832388
2025-09-12,14.25,14.38,14.135,14.17,13.9864,480038
2025-09-15,14.07,14.45,13.96,14.4,14.2134,633081
2025-09-16,14.4,14.46,14.16,14.42,14.2331,658293
2025-09-17,14.49,14.65,14.31,14.48,14.2923,787507
2025-09-18,14.34,14.58,14.32,14.51,14.3219,446845
2025-09-19,14.42,14.5,14.01,14.01,13.8284,1837490
2025-09-22,14.07,14.11,13.73,13.73,13.5521,933708
2025-09-23,13.5,13.74,13.45,13.62,13.4435,1079815
2025-09-24,13.49,13.5,13.2,13.3,13.1276,1182890
2025-09-25,13.3,13.57,13.26,13.42,13.2461,1248585
2025-09-26,13.3,13.52,13.29,13.51,13.3349,1156632
2025-09-29,13.7,13.78,13.34,13.35,13.177,1117391
2025-09-30,13.57,13.85,13.48,13.48,13.3053,912487
2025-10-01,13.31,13.45,13.25,13.25,13.0783,1084604
2025-10-02,13.25,13.44,13.11,13.37,13.1967,933439
2025-10-03,13.4,13.65,13.37,13.5,13.325,682643
2025-10-06,13.53,13.595,13.3,13.36,13.1869,413548
2025-10-07,13.37,13.48,13.16,13.31,13.1375,639565
2025-10-08,13.31,13.42,13.25,13.35,13.177,728646
2025-10-09,13.49,14.48,13.48,14.36,14.1739,1647767
2025-10-10,14.31,14.76,14.3,14.63,14.4404,1347816
2025-10-13,14.45,14.7,14.37,14.64,14.4503,1440496
2025-10-14,14.74,14.87,14.49,14.69,14.4996,1024509
2025-10-15,14.83,15.55,14.83,15.19,14.9931,1400327
2025-10-16,15.32,15.36,15.04,15.16,14.9635,822067
2025-10-17,15.1,15.16,14.93,15.12,14.924,825760
2025-10-20,15.12,15.26,15,15.03,14.8352,701453
2025-10-21,15.04,15.18,14.98,15.07,14.8747,563845
2025-10-22,15.24,15.38,14.98,15.1,14.9043,840903
2025-10-23,15.11,15.38,15.11,15.31,15.1116,665733
2025-10-24,15.35,15.69,15.33,15.36,15.1609,921899
2025-10-27,15.54,15.67,15.39,15.45,15.2498,674270
2025-10-28,15.25,19,15.06,16.56,16.3454,3886584
2025-10-29,16.65,17.59,16.65,17.11,16.8883,2343343
2025-10-30,17.03,17.97,17,17.93,17.6976,1811664
2025-10-31,17.8,18.59,17.785,18.32,18.0826,1833105
2025-11-03,18.56,18.84,17.87,18.36,18.1221,1513056
2025-11-04,18.2,19.19,18.2,19.13,18.8821,1073971
2025-11-05,18.99,19.15,18.7,19.15,18.9018,1738243
2025-11-06,19.2,20.21,19.2,20.04,19.7803,1785322
2025-11-07,19.88,20.05,18.6,18.87,18.6254,1538906
2025-11-10,18.84,19.15,18.75,18.78,18.5366,725343
2025-11-11,18.85,19.04,18.49,18.88,18.6353,566812
2025-11-12,18.83,19.39,18.71,19.22,18.9709,1129417
2025-11-13,19.7,21.46,19.49,21.46,21.1819,2599288
2025-11-14,21.46,22.02,20.95,21.78,21.4977,1268813
2025-11-17,21.75,23.29,21.4,22.88,22.5835,1590144
2025-11-18,22.88,22.99,21.61,21.67,21.3892,1482525
2025-11-19,21.61,21.98,21.13,21.63,21.3497,695658
2025-11-20,21.7,22.02,21.28,21.35,21.0733,725796
2025-11-21,21,21,19.31,20.01,19.7507,1382548
2025-11-24,19.95,20.5,19.49,20.5,20.2343,1101311
2025-11-25,20.61,20.94,19.91,20.22,19.9579,965307
2025-11-26,20.63,21.96,20.63,21.81,21.5273,1159364
2025-11-27,21.5,21.795,21.15,21.17,20.8956,594984
2025-11-28,21.3,21.53,21,21.38,21.1029,578570
2025-12-01,21.5,22.34,21.43,22.04,21.7544,958600
2025-12-02,22,22.04,21.42,21.58,21.3003,673242
2025-12-03,21.76,21.91,21.38,21.73,21.4484,390135
2025-12-04,21.9,21.93,21.41,21.64,21.3595,331432
2025-12-05,21.61,21.725,21.1,21.61,21.3299,450848
2025-12-08,21.46,22.12,21.1,22.07,21.784,474716
2025-12-09,22.12,22.3,21.87,22.2,21.9123,579755
2025-12-10,22.22,22.25,21.31,22,21.7149,1077987
2025-12-11,22,23.06,21.87,22.2,21.9123,1077809
2025-12-12,22.65,23,22.42,22.9,22.6032,613357
2025-12-15,22.86,22.89,22.28,22.42,22.1294,433790
2025-12-16,22.46,23.105,22.39,22.99,22.692,447031
2025-12-17,22.92,23.24,22.61,22.79,22.4946,542234
2025-12-18,22.45,22.81,22.29,22.67,22.3762,304781
2025-12-19,22.7,22.87,21.56,22.1,21.8136,916903
2025-12-22,22.1,22.19,21.6,21.69,21.4089,639944
2025-12-23,21.53,21.82,21.34,21.51,21.2312,461399
2025-12-24,21.51,21.54,21.06,21.08,20.8068,191141
2025-12-29,21.05,21.69,21,21.37,21.093,466847
2025-12-30,21.49,21.685,21.17,21.4,21.1227,239104
2025-12-31,21.3,21.62,20.95,21,20.7278,251408
2026-01-02,21.03,21.82,21.03,21.82,21.5372,443242
2026-01-05,21.8,21.87,21.48,21.8,21.5175,292403
2026-01-06,21.76,21.82,21.085,21.21,20.9351,472154
2026-01-07,21.7,22.39,21.52,22.26,21.9715,558269
2026-01-08,22.14,22.56,22.09,22.45,22.159,412742
2026-01-09,22.5,22.8,22.23,22.55,22.2578,331712
2026-01-12,22.63,24.08,22.45,23.25,22.9487,683334
2026-01-13,23.45,23.65,22.68,22.89,22.5933,406849
2026-01-14,22.95,23.43,22.68,23.26,22.9585,322912
2026-01-15,23.14,23.54,22.91,23.45,23.1461,343794
2026-01-16,23.49,24.02,23.46,23.97,23.6593,529701
2026-01-19,23.96,24.19,23.77,24.03,23.7186,209091
2026-01-20,23.65,24.13,23.51,23.96,23.6495,429978
2026-01-21,23.95,24.19,23.925,24,23.689,1210386
2026-01-22,24.1,24.58,24.02,24.13,23.8173,366109
