Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,6.89,6.92,6.84,6.89,6.6522,770602
2025-07-23,6.91,6.95,6.84,6.9,6.6619,1111414
2025-07-24,6.9,6.91,6.77,6.86,6.6233,692807
2025-07-25,6.85,6.88,6.7,6.84,6.604,783933
2025-07-28,6.86,6.91,6.83,6.84,6.604,677612
2025-07-29,6.86,6.86,6.72,6.83,6.5943,968580
2025-07-30,6.83,6.84,6.75,6.84,6.604,1339446
2025-07-31,6.83,6.96,6.81,6.91,6.6715,1231119
2025-08-01,6.9,6.92,6.805,6.91,6.6715,1023862
2025-08-04,6.89,6.92,6.83,6.9,6.6619,979177
2025-08-05,6.99,6.99,6.91,6.97,6.7295,662855
2025-08-06,6.97,6.97,6.92,6.94,6.7005,594956
2025-08-07,6.89,6.95,6.885,6.93,6.6908,674243
2025-08-08,6.93,6.96,6.9,6.95,6.7102,595479
2025-08-11,6.9,6.915,6.88,6.9,6.6619,721317
2025-08-12,6.86,6.92,6.85,6.87,6.6329,1428104
2025-08-13,6.9,6.91,6.845,6.86,6.6233,1059059
2025-08-14,6.9,6.9,6.8,6.83,6.5943,758629
2025-08-15,6.9,6.955,6.84,6.89,6.6522,1307189
2025-08-18,6.89,6.95,6.85,6.86,6.6233,924945
2025-08-19,6.86,6.96,6.86,6.89,6.6522,787980
2025-08-20,6.94,7.03,6.895,6.93,6.6908,1650248
2025-08-21,7.26,7.43,7.16,7.34,7.0867,4288062
2025-08-22,7.46,7.47,7.19,7.34,7.0867,2012543
2025-08-25,7.4,7.44,7.31,7.34,7.0867,1371097
2025-08-26,7.31,7.32,7.16,7.29,7.0384,3589073
2025-08-27,7.33,7.38,7.26,7.27,7.0191,1582298
2025-08-28,7.28,7.3,7.22,7.25,6.9998,795802
2025-08-29,7.25,7.28,7.17,7.23,6.9805,885078
2025-09-01,7.17,7.24,7.11,7.11,6.8646,469592
2025-09-02,7.1,7.14,7.05,7.1,6.855,836375
2025-09-03,6.99,7.12,6.87,6.89,6.787,1553997
2025-09-04,6.89,6.925,6.85,6.9,6.7969,976837
2025-09-05,7.05,7.09,6.96,6.96,6.856,4224409
2025-09-08,6.93,6.965,6.84,6.94,6.8363,1245238
2025-09-09,6.89,6.95,6.88,6.93,6.8264,1733641
2025-09-10,6.9,6.94,6.89,6.92,6.8166,1370218
2025-09-11,6.92,7.35,6.88,7.13,7.0234,2428768
2025-09-12,7.18,7.31,7.16,7.26,7.1515,6903667
2025-09-15,7.25,7.25,7.14,7.25,7.1416,1303801
2025-09-16,7.23,7.28,7.175,7.26,7.1515,1011940
2025-09-17,7.26,7.29,7.2,7.25,7.1416,1452153
2025-09-18,7.23,7.26,7.175,7.22,7.1121,3512623
2025-09-19,7.21,7.26,7.17,7.23,7.1219,3492706
2025-09-22,7.23,7.345,7.21,7.31,7.2007,1002898
2025-09-23,7.29,7.38,7.28,7.33,7.2204,1419683
2025-09-24,7.31,7.34,7.27,7.32,7.2106,1081651
2025-09-25,7.27,7.36,7.27,7.34,7.2303,1353213
2025-09-26,7.25,7.34,7.25,7.32,7.2106,1757184
2025-09-29,7.32,7.42,7.29,7.38,7.2697,1193474
2025-09-30,7.36,7.46,7.26,7.37,7.2598,2550615
2025-10-01,7.38,7.43,7.35,7.4,7.2894,3452828
2025-10-02,7.44,7.55,7.4,7.55,7.4371,1291785
2025-10-03,7.57,7.6,7.49,7.55,7.4371,1074974
2025-10-06,7.6,7.61,7.5,7.5,7.3879,654554
2025-10-07,7.5,7.6,7.5,7.58,7.4667,1455018
2025-10-08,7.58,7.61,7.47,7.51,7.3977,776666
2025-10-09,7.52,7.57,7.5,7.51,7.3977,748205
2025-10-10,7.49,7.53,7.435,7.5,7.3879,1803613
2025-10-13,7.5,7.53,7.42,7.48,7.3682,2090961
2025-10-14,7.45,7.53,7.4,7.52,7.4076,1252410
2025-10-15,7.55,7.62,7.5,7.54,7.4273,1135050
