Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.65,3.74,3.55,3.71,3.71,14702162
2025-07-23,3.68,3.74,3.57,3.58,3.58,9612192
2025-07-24,3.5,3.67,3.32,3.37,3.37,19266673
2025-07-25,3.21,3.32,2.97,3.03,3.03,27548768
2025-07-28,3.01,3.1,2.96,3,3,13882402
2025-07-29,3,3,2.82,2.96,2.96,11819400
2025-07-30,3.09,3.26,2.965,3.17,3.17,18720313
2025-07-31,3.26,3.76,3.25,3.75,3.75,28485597
2025-08-01,3.73,3.77,3.55,3.63,3.63,16443421
2025-08-04,3.59,3.77,3.45,3.77,3.77,10565897
2025-08-05,3.81,4.2,3.81,4,4,24863550
2025-08-06,4,4.17,3.86,4.1,4.1,15022834
2025-08-07,4.21,4.39,4,4.09,4.09,34582985
2025-08-08,3.88,3.97,3.78,3.95,3.95,17314393
2025-08-11,4.03,4.19,3.94,3.95,3.95,11931654
2025-08-12,3.95,4.28,3.94,4.1,4.1,15199378
2025-08-13,4.18,4.315,4.11,4.19,4.19,11614100
2025-08-14,4.22,4.28,4.13,4.23,4.23,11671458
2025-08-15,4.21,4.39,4.07,4.09,4.09,12614834
2025-08-18,4.05,4.14,3.85,3.85,3.85,10453871
2025-08-19,3.84,4.04,3.81,3.81,3.81,10506514
2025-08-20,3.65,3.66,3.37,3.39,3.39,15233733
2025-08-21,3.45,3.49,3.31,3.41,3.41,12648371
2025-08-22,3.55,3.64,3.49,3.58,3.58,9782266
2025-08-25,3.68,3.75,3.5,3.59,3.59,10366529
2025-08-26,3.6,3.645,3.53,3.57,3.57,44398555
2025-08-27,3.76,3.9,2.95,3.2,3.2,38653174
2025-08-28,3.2,3.28,3.07,3.27,3.27,16274531
2025-08-29,3.34,3.36,3.19,3.3,3.3,11061131
2025-09-01,3.25,3.29,3.17,3.24,3.24,8004828
2025-09-02,3.24,3.24,3.07,3.09,3.09,9243480
2025-09-03,3.03,3.2,3.01,3.11,3.11,9933023
2025-09-04,3.18,3.21,3.08,3.13,3.13,8675145
2025-09-05,3.13,3.17,3.01,3.03,3.03,9091531
2025-09-08,3.09,3.25,3.07,3.19,3.19,14840353
2025-09-09,3.24,3.25,2.94,3.1,3.1,22390805
2025-09-10,3.11,3.21,3.07,3.21,3.21,11319567
2025-09-11,3.2,3.25,3.06,3.08,3.08,7762513
2025-09-12,3.12,3.31,3.09,3.21,3.21,9755457
2025-09-15,3.16,3.27,3.1,3.26,3.26,6389911
2025-09-16,3.26,3.28,3.13,3.14,3.14,7443098
2025-09-17,3.27,3.4,3.16,3.2,3.2,11445845
2025-09-18,3.21,3.35,3.16,3.23,3.23,10823567
2025-09-19,3.32,3.33,3.13,3.22,3.22,37057207
2025-09-22,3.26,3.35,3.15,3.31,3.31,10872888
2025-09-23,3.36,3.635,3.35,3.54,3.54,16836575
2025-09-24,3.6,3.8,3.59,3.76,3.76,14862529
2025-09-25,3.78,3.78,3.605,3.67,3.67,13698256
2025-09-26,3.64,3.75,3.6,3.73,3.73,8270614
2025-09-29,3.77,4.59,3.77,4.4,4.4,35105019
2025-09-30,4.52,4.66,4.44,4.66,4.66,25444750
2025-10-01,5.07,5.74,4.94,5.74,5.74,43863366
2025-10-02,6.16,6.25,4.73,5.18,5.18,60010549
2025-10-03,5.2,5.855,5.08,5.68,5.68,30964736
2025-10-06,5.99,6.29,5.71,6.29,6.29,20447816
2025-10-07,6.69,6.7,6.06,6.06,6.06,27340635
2025-10-08,6.11,6.58,5.81,6.53,6.53,22527091
2025-10-09,6.68,6.705,6.4,6.6,6.6,16939619
2025-10-10,6.53,6.6,6.36,6.36,6.36,15752189
2025-10-13,6,6.26,5.86,6.03,6.03,13690975
2025-10-14,6.09,6.13,5.63,5.64,5.64,14893608
2025-10-15,5.5,5.5,5.03,5.1,5.1,18918011
2025-10-16,5.19,5.22,4.8,4.99,4.99,15301857
