Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.14,4.19,4.14,4.18,3.8441,1316255
2025-07-23,4.19,4.27,4.19,4.24,3.8993,1533269
2025-07-24,4.26,4.295,4.23,4.26,3.9177,1677906
2025-07-25,4.26,4.29,4.165,4.18,3.8441,1079151
2025-07-28,4.2,4.2,4.09,4.13,3.7981,2322315
2025-07-29,4.1,4.14,4.06,4.13,3.7981,1332200
2025-07-30,4.13,4.18,4.105,4.18,3.8441,1297053
2025-07-31,4.16,4.22,4.12,4.15,3.8165,2316120
2025-08-01,4.15,4.23,4.12,4.19,3.8533,1340029
2025-08-04,4.21,4.28,4.18,4.25,3.9085,1436656
2025-08-05,4.28,4.34,4.27,4.31,3.9637,1277288
2025-08-06,4.34,4.34,4.27,4.3,3.9545,1288666
2025-08-07,4.3,4.34,4.28,4.34,3.9913,1352434
2025-08-08,4.31,4.38,4.3,4.37,4.0189,741002
2025-08-11,4.39,4.45,4.38,4.45,4.0924,1457115
2025-08-12,4.49,4.49,4.44,4.45,4.0924,3068095
2025-08-13,4.49,4.5,4.41,4.42,4.0648,1587430
2025-08-14,4.45,4.465,4.33,4.36,4.0097,1814971
2025-08-15,4.34,4.44,4.34,4.42,4.0648,1463383
2025-08-18,4.37,4.45,4.37,4.42,4.0648,1416524
2025-08-19,4.43,4.545,4.43,4.45,4.0924,1769150
2025-08-20,4.32,4.32,4.2,4.23,3.8901,1792998
2025-08-21,4.24,4.27,4.21,4.26,3.9177,2529950
2025-08-22,4.26,4.28,4.19,4.21,3.8717,1229180
2025-08-25,4.34,4.41,4.25,4.38,4.028,1746642
2025-08-26,4.2,4.23,4.07,4.09,3.8764,2138084
2025-08-27,4.1,4.19,4.07,4.19,3.9712,1933231
2025-08-28,4.2,4.2,4.12,4.18,3.9617,1022205
2025-08-29,4.16,4.23,4.15,4.19,3.9712,981841
2025-09-01,4.19,4.19,4.12,4.18,3.9617,893010
2025-09-02,4.14,4.17,4.11,4.13,3.9143,1112454
2025-09-03,4.1,4.15,4.06,4.1,3.8859,1045028
2025-09-04,4.1,4.16,4.08,4.15,3.9333,1521158
2025-09-05,4.18,4.19,4.14,4.18,3.9617,614922
2025-09-08,4.2,4.2,4.145,4.2,3.9807,1199190
2025-09-09,4.2,4.21,4.17,4.2,3.9807,1298301
2025-09-10,4.2,4.2,4.07,4.08,3.8669,1324593
2025-09-11,4.09,4.16,4.08,4.16,3.9427,1146827
2025-09-12,4.15,4.19,4.11,4.15,3.9333,1251126
2025-09-15,4.12,4.16,4.09,4.16,3.9427,1273643
2025-09-16,4.17,4.2,4.13,4.15,3.9333,970940
2025-09-17,4.09,4.15,4.09,4.12,3.9048,1412414
2025-09-18,4.14,4.17,4.07,4.14,3.9238,2027950
2025-09-19,4.2,4.21,4.1,4.13,3.9143,2511160
2025-09-22,4.16,4.26,4.16,4.24,4.0186,1205962
2025-09-23,4.19,4.23,4.07,4.1,3.8859,2135618
2025-09-24,4.37,4.44,4.175,4.19,3.9712,2365226
2025-09-25,4.03,4.07,3.91,3.97,3.7627,4670918
2025-09-26,3.95,4.02,3.92,4,3.7911,1682643
2025-09-29,4,4.01,3.94,3.99,3.7816,1384953
2025-09-30,3.98,4.06,3.97,3.98,3.7721,2113285
2025-10-01,3.95,4,3.93,3.98,3.7721,1555224
2025-10-02,4,4.08,3.97,4.07,3.8574,3608951
2025-10-03,4.11,4.19,4.09,4.19,3.9712,2033874
2025-10-06,4.2,4.25,4.18,4.22,3.9996,848413
2025-10-07,4.21,4.24,4.15,4.16,3.9427,1248355
2025-10-08,4.17,4.19,4.14,4.18,3.9617,1287880
2025-10-09,4.21,4.225,4.15,4.18,3.9617,850046
2025-10-10,4.18,4.18,4.11,4.11,3.8954,666189
2025-10-13,4.11,4.14,4.06,4.1,3.8859,802859
2025-10-14,4.11,4.165,4.11,4.14,3.9238,721766
2025-10-15,4.18,4.2,4.15,4.18,3.9617,923954
2025-10-16,4.18,4.18,4.115,4.16,3.9427,813934
2025-10-17,4.12,4.16,4.08,4.16,3.9427,755683
2025-10-20,4.13,4.18,4.11,4.17,3.9522,700000
2025-10-21,4.18,4.22,4.16,4.16,3.9427,655611
2025-10-22,4.13,4.14,4.08,4.14,3.9238,707112
2025-10-23,4.1,4.19,4.1,4.18,3.9617,804342
