Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,7.73,7.78,7.63,7.69,7.4263,242269
2025-07-23,7.7,7.715,7.545,7.65,7.3876,654801
2025-07-24,7.68,7.78,7.605,7.68,7.4166,404897
2025-07-25,7.65,7.67,7.57,7.6,7.3394,384746
2025-07-28,7.62,7.705,7.6,7.68,7.4166,292111
2025-07-29,7.68,7.68,7.51,7.53,7.2718,320683
2025-07-30,7.51,7.66,7.45,7.5,7.2428,538969
2025-07-31,7.45,7.6,7.44,7.54,7.2814,196166
2025-08-01,7.47,7.47,7.4,7.4,7.1462,266863
2025-08-04,7.36,7.42,7.33,7.37,7.1172,275979
2025-08-05,7.52,7.58,7.42,7.44,7.1848,393363
2025-08-06,7.44,7.565,7.36,7.39,7.1366,462932
2025-08-07,7.38,7.48,7.38,7.46,7.2042,351048
2025-08-08,7.54,7.54,7.41,7.47,7.2138,357256
2025-08-11,7.51,7.65,7.51,7.58,7.32,343772
2025-08-12,7.5,7.545,7.39,7.52,7.2621,378959
2025-08-13,7.65,7.93,7.64,7.9,7.6291,415988
2025-08-14,7.91,7.93,7.66,7.72,7.4552,470829
2025-08-15,7.75,7.79,7.695,7.72,7.4552,236449
2025-08-18,7.7,7.815,7.66,7.69,7.4263,331035
2025-08-19,7.7,7.87,7.68,7.84,7.5711,182654
2025-08-20,7.91,7.98,7.84,7.9,7.6291,391809
2025-08-21,7.87,8.09,7.83,8.09,7.8126,351803
2025-08-22,8.04,8.04,7.935,8,7.7256,381091
2025-08-25,8.45,8.66,8.09,8.27,7.9864,791200
2025-08-26,8.28,8.65,8.25,8.62,8.3244,799436
2025-08-27,8.67,9.115,8.56,9.06,8.7493,760082
2025-08-28,9.11,9.15,8.97,9.1,8.7879,513377
2025-08-29,9.15,9.33,9.135,9.21,8.8941,530887
2025-09-01,9.24,9.24,9,9.07,8.7589,328199
2025-09-02,9.18,9.26,9.06,9.15,8.8362,508629
2025-09-03,9.1,9.19,9.005,9.11,8.7976,630709
2025-09-04,9.1,9.2,9.07,9.17,8.8555,340514
2025-09-05,9.24,9.35,9.175,9.29,8.9714,492781
2025-09-08,9.38,9.42,9.3,9.4,9.0776,406210
2025-09-09,9.44,9.51,9.38,9.43,9.1066,549675
2025-09-10,9.44,9.58,9.37,9.57,9.2418,462133
2025-09-11,9.61,9.61,9.44,9.55,9.2225,347212
2025-09-12,9.56,9.74,9.48,9.68,9.348,463755
2025-09-15,9.48,9.48,9.35,9.46,9.2794,244893
2025-09-16,9.45,9.51,9.35,9.51,9.3284,313436
2025-09-17,9.52,9.56,9.43,9.46,9.2794,350929
2025-09-18,9.54,9.73,9.47,9.62,9.4363,597897
2025-09-19,9.72,9.72,9.22,9.22,9.0439,1325399
2025-09-22,9.22,9.34,9.17,9.23,9.0538,218391
2025-09-23,9.31,9.475,9.27,9.34,9.1617,243519
2025-09-24,9.28,9.44,9.275,9.39,9.2107,264361
2025-09-25,9.29,9.44,9.28,9.31,9.1322,232687
2025-09-26,9.26,9.38,9.26,9.32,9.142,611549
2025-09-29,9.32,9.38,9.22,9.25,9.0734,195594
2025-09-30,9.18,9.26,9.13,9.18,9.0047,271347
2025-10-01,9.13,9.315,9.13,9.27,9.093,169136
2025-10-02,9.26,9.27,9.09,9.16,8.9851,322617
2025-10-03,9.12,9.36,9.08,9.32,9.142,275613
2025-10-06,9.35,9.42,9.18,9.19,9.0145,202915
2025-10-07,9.19,9.23,9.11,9.15,8.9753,341975
2025-10-08,9.2,9.2,8.88,9.03,8.8576,370576
2025-10-09,9.07,9.12,8.94,9.01,8.838,342346
2025-10-10,8.94,9.12,8.93,9.11,8.936,219547
2025-10-13,8.99,9.05,8.92,9.02,8.8478,194800
2025-10-14,9,9,8.79,8.87,8.7006,290328
2025-10-15,8.82,8.87,8.75,8.78,8.6123,225053
2025-10-16,8.8,8.87,8.7,8.82,8.6516,293110
2025-10-17,8.7,8.78,8.61,8.68,8.5143,233875
2025-10-20,8.6,8.8,8.6,8.74,8.5731,202527
2025-10-21,8.76,8.895,8.76,8.78,8.6123,219390
2025-10-22,8.75,8.87,8.74,8.83,8.6614,185093
2025-10-23,8.85,8.96,8.83,8.84,8.6712,269794
2025-10-24,8.86,9,8.83,8.96,8.7889,134040
2025-10-27,9,9.12,8.97,9.05,8.8772,251323
2025-10-28,9.05,9.16,9.025,9.13,8.9557,137276
2025-10-29,9.29,9.74,9.2,9.53,9.348,463749
2025-10-30,9.15,9.15,8.72,8.87,8.7006,560793
2025-10-31,8.93,9.01,8.73,8.82,8.6516,308724
2025-11-03,8.9,9,8.765,8.95,8.7791,262610
2025-11-04,8.95,9.1,8.9,9.02,8.8478,190728
2025-11-05,9.01,9.09,8.695,8.9,8.7301,331524
2025-11-06,8.95,8.97,8.83,8.92,8.7497,170432
2025-11-07,8.92,9.015,8.83,8.89,8.7202,308601
2025-11-10,8.87,9.05,8.835,9.04,8.8674,211165
2025-11-11,9.13,9.15,8.99,9.02,8.8478,270653
2025-11-12,9.03,9.125,8.93,9.02,8.8478,245682
2025-11-13,9,9.04,8.84,8.91,8.7399,283977
2025-11-14,8.85,8.93,8.75,8.82,8.6516,246945
2025-11-17,8.95,9,8.67,9,8.8281,193503
2025-11-18,8.85,8.975,8.71,8.78,8.6123,319093
2025-11-19,8.84,8.89,8.7,8.82,8.6516,278538
2025-11-20,9,9.09,8.845,9.05,8.8772,188559
2025-11-21,8.75,8.96,8.705,8.82,8.6516,281348
2025-11-24,8.9,9.03,8.82,8.91,8.7399,431760
2025-11-25,8.95,9.18,8.95,9.15,8.9753,190169
2025-11-26,9.21,9.35,9.19,9.25,9.0734,302180
2025-11-27,9.35,9.36,9.21,9.25,9.0734,193769
2025-11-28,9.25,9.295,9.06,9.08,8.9066,146747
2025-12-01,9,9.28,9,9.15,8.9753,322113
2025-12-02,9.12,9.34,9.12,9.26,9.0832,245583
2025-12-03,9.12,9.34,9.12,9.31,9.1322,414352
2025-12-04,9.17,9.35,9.15,9.28,9.1028,309511
2025-12-05,9.26,9.33,9.13,9.18,9.0047,109249
2025-12-08,8.98,9.26,8.85,9.25,9.0734,135808
2025-12-09,9.26,9.34,9.12,9.2,9.0243,327074
2025-12-10,9,9.155,8.82,9.05,8.8772,366412
2025-12-11,9.1,9.27,9.1,9.2,9.0243,557821
2025-12-12,9.21,9.27,9.13,9.2,9.0243,184788
2025-12-15,9.1,9.22,8.99,9.02,8.8478,236441
2025-12-16,9,9.08,8.92,9.02,8.8478,150257
2025-12-17,9.07,9.07,8.9,9.01,8.838,245983
2025-12-18,8.94,9.14,8.94,9.13,8.9557,269348
2025-12-19,9.15,9.28,9.11,9.21,9.0341,289929
2025-12-22,9.26,9.355,9.23,9.3,9.1224,220104
2025-12-23,9.31,9.42,9.28,9.31,9.1322,124387
2025-12-24,9.24,9.265,9.05,9.05,8.8772,95553
2025-12-29,9.05,9.115,8.99,9.03,8.8576,120935
2025-12-30,9.13,9.13,8.99,9.01,8.838,139461
2025-12-31,8.97,9.07,8.97,9.01,8.838,137291
2026-01-02,8.97,9.05,8.96,9.04,8.8674,97229
2026-01-05,8.98,9.01,8.81,8.96,8.7889,245173
2026-01-06,8.95,9.3,8.93,9.02,8.8478,192154
2026-01-07,9.04,9.45,9.04,9.45,9.2696,332453
2026-01-08,9.46,9.54,9.36,9.52,9.3382,345068
2026-01-09,9.66,9.835,9.56,9.58,9.3971,300345
2026-01-12,9.55,9.96,9.55,9.76,9.5736,505850
2026-01-13,9.81,9.89,9.73,9.73,9.5442,449047
2026-01-14,9.74,9.855,9.62,9.79,9.6031,333403
2026-01-15,9.81,9.85,9.63,9.63,9.4461,266418
2026-01-16,9.63,9.81,9.63,9.77,9.5834,239310
2026-01-19,9.92,10,9.81,9.87,9.6815,381419
2026-01-20,9.8,9.92,9.75,9.77,9.5834,163481
2026-01-21,9.92,9.92,9.58,9.86,9.6717,249184
2026-01-22,9.86,9.88,9.57,9.69,9.505,193199
2026-01-23,9.69,9.69,9.34,9.5,9.3186,257710
2026-01-27,9.37,9.66,9.285,9.56,9.3775,228466
2026-01-28,9.7,9.91,9.61,9.91,9.7208,352060
2026-01-29,9.95,9.965,9.6,9.77,9.5834,359104
2026-01-30,9.94,9.94,9.67,9.78,9.5933,404233
2026-02-02,9.62,9.97,9.62,9.85,9.6619,266428
2026-02-03,9.9,10.175,9.83,10.12,9.9268,422741
2026-02-04,10.13,10.2,9.4,9.48,9.299,509666
2026-02-05,9.51,9.51,9.09,9.17,8.9949,534630
2026-02-06,9.01,9.24,8.75,8.86,8.6908,532608
2026-02-09,8.96,9.29,8.96,9.22,9.0439,236070
2026-02-10,9.41,9.57,9.27,9.42,9.2401,177140
2026-02-11,9.24,9.53,9.24,9.5,9.3186,201499
2026-02-12,9.26,9.59,9.26,9.54,9.3578,422384
2026-02-13,9.54,9.54,8.71,8.73,8.5633,449290
2026-02-16,8.8,9.14,8.71,9.03,8.8576,435526
2026-02-17,8.9,9.05,8.8,9,8.8281,328885
2026-02-18,9,9.24,9,9.22,9.0439,303957
2026-02-19,9.33,9.49,9.165,9.28,9.1028,448109
2026-02-20,9.16,9.28,9.01,9.1,8.9262,237358
2026-02-23,9.2,9.2,7.72,7.79,7.6413,1138543
2026-02-24,7.64,7.64,7.05,7.15,7.0135,1037316
2026-02-25,7.27,7.4,7.06,7.06,6.9252,1102344
2026-02-26,7.18,7.21,7.06,7.13,6.9939,1095497
2026-02-27,7.26,7.29,6.96,6.97,6.8369,1107264
2026-03-02,6.88,7.06,6.77,6.77,6.6407,575521
2026-03-03,6.76,6.9,6.7,6.85,6.7192,801582
2026-03-04,6.86,6.86,6.63,6.75,6.6211,1704462
2026-03-05,6.91,7.03,6.81,6.96,6.8271,1179381
2026-03-06,6.99,7.17,6.96,7.11,6.9742,682424
2026-03-09,6.93,7.15,6.865,7.12,6.984,765152
