Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.5,4.64,4.44,4.54,4.54,718434
2025-07-23,4.59,4.66,4.545,4.66,4.66,968008
2025-07-24,4.69,4.695,4.515,4.6,4.6,930380
2025-07-25,4.59,4.71,4.5,4.58,4.58,1042178
2025-07-28,4.6,4.625,4.41,4.47,4.47,1150833
2025-07-29,4.46,4.53,4.35,4.53,4.53,823801
2025-07-30,4.46,4.49,4.37,4.48,4.48,882762
2025-07-31,4.4,4.42,4.275,4.31,4.31,1325049
2025-08-01,4.25,4.28,4.17,4.2,4.2,1294695
2025-08-04,4.14,4.26,4.08,4.25,4.25,1572309
2025-08-05,4.29,4.43,4.23,4.25,4.25,1462652
2025-08-06,4.25,4.37,4.2,4.23,4.23,1141020
2025-08-07,4.25,4.31,4.18,4.21,4.21,1225664
2025-08-08,4.21,4.31,4.19,4.27,4.27,1919014
2025-08-11,4.31,4.53,4.28,4.3,4.3,1521000
2025-08-12,4.35,4.48,4.28,4.28,4.28,1464730
2025-08-13,4.41,4.425,4.29,4.3,4.3,1428955
2025-08-14,4.31,4.33,4.135,4.17,4.17,1518817
2025-08-15,4.16,4.295,4.15,4.29,4.29,1361976
2025-08-18,4.33,4.415,4.28,4.31,4.31,780340
2025-08-19,4.22,4.345,4.22,4.23,4.23,682207
2025-08-20,4.08,4.08,3.57,3.8,3.8,6113371
2025-08-21,3.82,3.87,3.68,3.7,3.7,1959756
2025-08-22,3.78,3.78,3.535,3.67,3.67,2274512
2025-08-25,3.81,3.97,3.74,3.96,3.96,2854412
2025-08-26,3.94,4.045,3.905,3.92,3.92,11653806
2025-08-27,3.85,3.95,3.82,3.9,3.9,1934383
2025-08-28,3.92,3.92,3.765,3.78,3.78,740030
2025-08-29,3.81,3.9,3.77,3.86,3.86,1272685
2025-09-01,3.8,3.81,3.65,3.68,3.68,1042743
2025-09-02,3.65,3.7,3.62,3.63,3.63,855788
2025-09-03,3.68,3.83,3.68,3.79,3.79,1693522
2025-09-04,3.79,3.83,3.675,3.7,3.7,1377544
2025-09-05,3.65,3.77,3.63,3.75,3.75,899325
2025-09-08,3.81,3.835,3.68,3.69,3.69,1160303
2025-09-09,3.7,3.72,3.57,3.72,3.72,2269615
2025-09-10,3.68,3.68,3.51,3.55,3.55,1301375
2025-09-11,3.55,3.59,3.48,3.49,3.49,1912539
2025-09-12,3.49,3.71,3.49,3.62,3.62,1290695
2025-09-15,3.6,3.75,3.6,3.71,3.71,1249330
2025-09-16,3.73,3.81,3.64,3.66,3.66,981851
2025-09-17,3.66,3.765,3.63,3.75,3.75,1620025
2025-09-18,3.75,3.82,3.67,3.81,3.81,1694231
2025-09-19,3.92,3.94,3.745,3.78,3.78,11194791
2025-09-22,3.89,4.01,3.83,3.9,3.9,1366167
2025-09-23,3.9,3.985,3.9,3.95,3.95,1216250
2025-09-24,3.91,3.96,3.8,3.95,3.95,804342
2025-09-25,3.95,4.375,3.945,4.31,4.31,3235882
2025-09-26,4.26,4.31,4.14,4.25,4.25,1744344
2025-09-29,4.28,4.28,4.08,4.19,4.19,1359608
2025-09-30,4.34,4.37,4.135,4.23,4.23,1544337
2025-10-01,4.24,4.27,4.08,4.17,4.17,1033010
2025-10-02,4.2,4.38,4.17,4.37,4.37,1319247
2025-10-03,4.33,4.34,4.16,4.21,4.21,1655918
2025-10-06,4.27,4.46,4.26,4.34,4.34,781703
2025-10-07,4.39,4.4,4.15,4.17,4.17,2453776
2025-10-08,4.19,4.19,4.09,4.19,4.19,814095
2025-10-09,4.6,4.7,4.38,4.57,4.57,1867659
2025-10-10,4.53,4.57,4.4,4.47,4.47,1347777
2025-10-13,4.4,4.425,4.28,4.28,4.28,993863
2025-10-14,4.42,4.49,4.33,4.33,4.33,1378106
2025-10-15,4.41,4.41,4.27,4.31,4.31,1400633
2025-10-16,4.35,4.43,4.27,4.42,4.42,1265898
2025-10-17,4.34,4.355,4.22,4.32,4.32,1587352
2025-10-20,4.25,4.32,4.05,4.32,4.32,1919158
2025-10-21,4.36,4.42,4.25,4.3,4.3,699744
2025-10-22,4.1,4.15,3.95,4.06,4.06,1656449
2025-10-23,4.09,4.13,3.98,4.11,4.11,941105
2025-10-24,4.2,4.27,4.12,4.21,4.21,960417
2025-10-27,4.25,4.28,4.15,4.15,4.15,927709
2025-10-28,4.1,4.1,3.595,3.7,3.7,2247598
2025-10-29,3.74,3.74,3.44,3.57,3.57,3120340
2025-10-30,3.62,3.73,3.56,3.56,3.56,1724999
2025-10-31,3.56,3.58,3.46,3.56,3.56,3772473
2025-11-03,3.53,3.57,3.395,3.42,3.42,1968119
2025-11-04,3.43,3.45,3.32,3.37,3.37,1088672
2025-11-05,3.28,3.285,3.12,3.16,3.16,2752474
2025-11-06,3.21,3.35,3.15,3.27,3.27,2557701
2025-11-07,3.3,3.39,3.26,3.35,3.35,3102388
2025-11-10,3.47,3.48,3.38,3.43,3.43,1538342
2025-11-11,3.52,3.59,3.41,3.42,3.42,1262806
2025-11-12,3.42,3.48,3.35,3.36,3.36,1222329
2025-11-13,3.42,3.44,3.33,3.36,3.36,1163283
2025-11-14,3.3,3.37,3.18,3.34,3.34,2607170
2025-11-17,3.35,3.41,3.25,3.36,3.36,950898
2025-11-18,3.36,3.36,3.26,3.29,3.29,3076701
2025-11-19,3.29,3.36,3.27,3.33,3.33,1189979
2025-11-20,3.36,3.525,3.36,3.47,3.47,1592162
2025-11-21,3.4,3.46,3.18,3.22,3.22,2691418
2025-11-24,3.25,3.34,3.16,3.34,3.34,2687363
2025-11-25,3.39,3.48,3.35,3.46,3.46,1676328
2025-11-26,3.47,3.53,3.4,3.52,3.52,1498663
2025-11-27,3.53,3.6,3.51,3.58,3.58,1027271
2025-11-28,3.6,3.76,3.565,3.72,3.72,895148
2025-12-01,3.8,3.93,3.7,3.77,3.77,1422720
2025-12-02,3.8,3.9,3.79,3.87,3.87,1222788
2025-12-03,3.95,4.04,3.84,3.93,3.93,1162472
2025-12-04,4.12,4.32,4.1,4.3,4.3,3579814
2025-12-05,4.35,4.435,4.26,4.42,4.42,1428707
2025-12-08,4.42,4.42,4.24,4.29,4.29,709974
2025-12-09,4.26,4.28,4.15,4.15,4.15,648143
2025-12-10,4.16,4.27,4.14,4.17,4.17,789948
2025-12-11,4.22,4.24,4.105,4.16,4.16,486899
2025-12-12,4.25,4.315,4.15,4.29,4.29,699294
2025-12-15,4.27,4.27,4.14,4.21,4.21,459280
2025-12-16,4.16,4.215,4.03,4.09,4.09,778485
2025-12-17,4.07,4.225,4.01,4.18,4.18,577008
2025-12-18,4.16,4.22,4.06,4.19,4.19,1050156
2025-12-19,4.2,4.45,4.2,4.36,4.36,3014638
2025-12-22,4.45,4.695,4.45,4.65,4.65,1620912
2025-12-23,4.68,4.75,4.54,4.67,4.67,738830
2025-12-24,4.67,4.71,4.62,4.66,4.66,448457
2025-12-29,4.66,4.73,4.58,4.72,4.72,1077559
2025-12-30,4.58,4.73,4.46,4.71,4.71,717662
2025-12-31,4.71,4.72,4.63,4.66,4.66,396699
2026-01-02,4.66,4.69,4.52,4.54,4.54,452635
2026-01-05,4.56,4.71,4.53,4.71,4.71,844981
2026-01-06,4.86,4.98,4.805,4.97,4.97,1246401
2026-01-07,5,5.08,4.925,5.02,5.02,1104795
2026-01-08,4.98,5.13,4.96,4.96,4.96,1163074
2026-01-09,4.98,5.09,4.85,4.96,4.96,693936
2026-01-12,5.08,5.32,5.075,5.28,5.28,2287340
2026-01-13,5.35,5.46,5.25,5.28,5.28,1228096
2026-01-14,5.28,5.28,5.11,5.18,5.18,809614
2026-01-15,5.36,5.36,5.11,5.18,5.18,1032085
2026-01-16,5.3,5.31,5.2,5.23,5.23,1763980
2026-01-19,5.2,5.31,5.15,5.24,5.24,916116
2026-01-20,5.22,5.23,5.06,5.15,5.15,971347
