Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,7,7.07,6.99,7.05,6.6479,2662908
2025-07-23,7.06,7.11,7.05,7.06,6.6573,2290809
2025-07-24,7.07,7.1,6.96,6.98,6.5819,1969971
2025-07-25,6.99,7.01,6.87,6.88,6.4876,3730212
2025-07-28,6.9,6.95,6.88,6.95,6.5536,2263831
2025-07-29,6.94,7.005,6.92,6.97,6.5724,2322414
2025-07-30,6.96,7.11,6.92,7.07,6.6667,4712651
2025-07-31,7.07,7.095,7.035,7.07,6.6667,2318085
2025-08-01,7,7.08,6.985,7.04,6.6384,1590307
2025-08-04,7.02,7.05,7,7.03,6.629,1068446
2025-08-05,7.08,7.18,7.05,7.16,6.7516,2543475
2025-08-06,7.19,7.22,7.16,7.17,6.761,2459001
2025-08-07,7.19,7.25,7.17,7.23,6.8176,1713124
2025-08-08,7.22,7.25,7.18,7.25,6.8365,1162103
2025-08-11,7.26,7.33,7.21,7.3,6.8836,2370489
2025-08-12,7.26,7.35,7.25,7.33,6.9119,2031040
2025-08-13,7.36,7.36,7.26,7.35,6.9308,2240379
2025-08-14,7.4,7.525,7.34,7.49,7.0628,4045458
2025-08-15,7.45,7.48,7.39,7.42,6.9968,2620034
2025-08-18,7.4,7.52,7.39,7.49,7.0628,4407250
2025-08-19,7.44,7.51,7.43,7.49,7.0628,2113204
2025-08-20,7.52,7.53,7.33,7.45,7.0251,3267557
2025-08-21,7.5,7.54,7.41,7.5,7.0722,2430291
2025-08-22,7.48,7.58,7.46,7.54,7.1099,2845708
2025-08-25,7.55,7.62,7.53,7.61,7.1759,2323407
2025-08-26,7.59,7.63,7.51,7.54,7.1099,3814336
2025-08-27,7.53,7.56,7.47,7.52,7.0911,2250668
2025-08-28,7.53,7.57,7.48,7.54,7.1099,2337846
2025-08-29,7.52,7.54,7.44,7.51,7.0816,3917207
2025-09-01,7.49,7.57,7.37,7.53,7.1005,2676844
2025-09-02,7.52,7.52,7.38,7.39,6.9685,2460292
2025-09-03,7.38,7.45,7.29,7.3,6.8836,3286037
2025-09-04,7.31,7.36,7.28,7.34,6.9213,2317145
2025-09-05,7.35,7.39,7.29,7.35,6.9308,3440637
2025-09-08,7.34,7.345,7.275,7.31,6.893,3456512
2025-09-09,7.32,7.34,7.22,7.29,6.8742,2542030
2025-09-10,7.26,7.295,7.21,7.24,6.827,3062947
2025-09-11,7.21,7.3,7.2,7.24,6.827,1974409
2025-09-12,7.25,7.37,7.22,7.33,6.9119,2306468
2025-09-15,7.28,7.43,7.27,7.38,6.959,2552025
2025-09-16,7.38,7.41,7.31,7.4,6.9779,2247868
2025-09-17,7.39,7.4,7.3,7.3,6.8836,2443351
2025-09-18,7.29,7.32,7.22,7.28,6.8647,1976378
2025-09-19,7.35,7.37,7.28,7.31,6.893,5267697
2025-09-22,7.29,7.315,7.19,7.22,6.8082,1318699
2025-09-23,7.22,7.27,7.17,7.23,6.8176,2015958
2025-09-24,7.19,7.215,7.15,7.18,6.7705,2658227
2025-09-25,7.13,7.22,7.11,7.17,6.761,2473842
2025-09-26,7.15,7.22,7.12,7.16,6.7516,2668207
2025-09-29,7.18,7.21,7.11,7.15,6.7422,1459675
2025-09-30,7.14,7.21,7.13,7.18,6.7705,2806347
2025-10-01,7.21,7.26,7.12,7.2,6.7893,1976184
2025-10-02,7.2,7.26,7.15,7.22,6.8082,1648458
2025-10-03,7.22,7.29,7.15,7.25,6.8365,1994850
2025-10-06,7.3,7.35,7.27,7.27,6.8553,1084336
2025-10-07,7.3,7.32,7.2,7.22,6.8082,4105665
2025-10-08,7.21,7.21,7.12,7.21,6.7987,1322024
2025-10-09,7.23,7.26,7.2,7.2,6.7893,5603614
2025-10-10,7.19,7.25,7.16,7.22,6.8082,1420993
2025-10-13,7.23,7.355,7.16,7.32,6.9025,2319526
2025-10-14,7.24,7.32,7.14,7.32,6.9025,3099341
2025-10-15,7.38,7.39,7.295,7.33,6.9119,2658814
2025-10-16,7.37,7.51,7.28,7.44,7.0156,7354772
2025-10-17,7.4,7.445,7.3,7.4,6.9779,4657392
2025-10-20,7.45,7.52,7.36,7.52,7.0911,2497236
2025-10-21,7.52,7.53,7.45,7.47,7.0439,3044586
2025-10-22,7.49,7.5,7.425,7.5,7.0722,1540365
2025-10-23,7.46,7.6,7.46,7.6,7.1665,3145278
2025-10-24,7.6,7.66,7.57,7.65,7.2136,3711549
2025-10-27,7.68,7.68,7.6,7.62,7.1854,3022018
2025-10-28,7.64,7.73,7.595,7.73,7.2891,3614655
2025-10-29,7.56,7.725,7.56,7.61,7.1759,3811555
2025-10-30,7.5,7.6,7.22,7.28,6.8647,6945226
2025-10-31,7.32,7.35,7.26,7.28,6.8647,3494497
2025-11-03,7.26,7.26,7.09,7.21,6.7987,4190647
2025-11-04,7.25,7.26,7.155,7.16,6.7516,2668839
2025-11-05,7.15,7.19,7.08,7.13,6.7233,7875025
2025-11-06,7.12,7.22,7.11,7.15,6.7422,2957023
2025-11-07,7.16,7.22,7.16,7.2,6.7893,2467845
2025-11-10,7.19,7.28,7.18,7.25,6.8365,3000182
2025-11-11,7.22,7.32,7.18,7.32,6.9025,2853274
2025-11-12,7.34,7.48,7.29,7.42,6.9968,3006038
2025-11-13,7.43,7.46,7.22,7.28,6.8647,5625288
2025-11-14,7.24,7.24,7.11,7.17,6.761,3870673
2025-11-17,7.13,7.225,7.13,7.17,6.761,1817543
2025-11-18,7.18,7.21,7.105,7.16,6.7516,2553456
2025-11-19,7.22,7.23,7.145,7.21,6.7987,2504822
2025-11-20,7.14,7.26,7.14,7.2,6.7893,9653219
2025-11-21,7.08,7.15,7.07,7.11,6.7044,2176844
2025-11-24,7.13,7.4,7.13,7.4,6.9779,4918320
2025-11-25,7.36,7.39,7.25,7.31,6.893,2786772
2025-11-26,7.33,7.42,7.24,7.24,6.827,2653975
2025-11-27,7.26,7.3,7.2,7.21,6.7987,3072669
2025-11-28,7.2,7.21,7.13,7.16,6.7516,2968024
2025-12-01,7.12,7.25,7.12,7.21,6.7987,3013587
2025-12-02,7.13,7.38,7.12,7.37,6.9496,4015122
2025-12-03,7.37,7.435,7.3,7.36,6.9402,3339566
2025-12-04,7.25,7.27,7.06,7.07,6.6667,5218908
2025-12-05,7.09,7.12,7.01,7.07,6.6667,2692825
2025-12-08,7.03,7.115,7.015,7.1,6.695,2325442
2025-12-09,7.09,7.16,7.06,7.13,6.7233,3065750
2025-12-10,7.06,7.11,6.98,7.02,6.6196,3910419
2025-12-11,7.07,7.085,6.995,7.01,6.6102,4067684
2025-12-12,7.02,7.06,6.93,6.96,6.563,2816354
2025-12-15,6.95,7.01,6.94,6.97,6.5724,4334118
2025-12-16,6.96,7.01,6.9,6.94,6.5441,4455665
2025-12-17,6.95,7.07,6.87,7.07,6.6667,4103279
2025-12-18,7.1,7.19,7.05,7.13,6.7233,4735893
2025-12-19,7.13,7.2,7.13,7.13,6.7233,8455295
2025-12-22,7.08,7.175,7.07,7.13,6.7233,1283020
2025-12-23,7.12,7.21,7.1,7.15,6.7422,2170126
2025-12-24,7.1,7.19,7.1,7.12,6.7139,679535
2025-12-29,7.12,7.145,7.09,7.11,6.7044,1679069
2025-12-30,7.02,7.05,6.91,7,6.7849,1755175
2025-12-31,6.95,7.02,6.93,6.93,6.717,2188692
2026-01-02,7.06,7.06,6.92,6.96,6.7461,868019
2026-01-05,6.93,6.98,6.905,6.94,6.7267,1672728
2026-01-06,6.94,6.96,6.88,6.88,6.6686,1868694
2026-01-07,6.9,6.99,6.89,6.94,6.7267,2644340
2026-01-08,6.93,7,6.92,6.95,6.7364,1632500
2026-01-09,6.94,6.99,6.925,6.95,6.7364,2310990
2026-01-12,6.98,6.98,6.92,6.93,6.717,2172794
2026-01-13,6.98,6.98,6.89,6.93,6.717,4110241
2026-01-14,6.94,6.955,6.9,6.93,6.717,2275895
2026-01-15,6.88,6.91,6.755,6.87,6.6589,4922438
2026-01-16,6.84,7,6.83,6.98,6.7655,2818582
