Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.815,1.84,1.765,1.84,1.84,4596459
2025-07-23,1.83,1.835,1.765,1.8,1.8,2939507
2025-07-24,1.76,1.83,1.74,1.78,1.78,3128252
2025-07-25,1.78,1.82,1.76,1.795,1.795,3428729
2025-07-28,1.765,1.77,1.625,1.645,1.645,5516255
2025-07-29,1.65,1.65,1.545,1.56,1.56,5521031
2025-07-30,1.555,1.59,1.5425,1.58,1.58,5181475
2025-07-31,1.575,1.575,1.49,1.51,1.51,7265335
2025-08-01,1.485,1.5125,1.45,1.51,1.51,3256388
2025-08-04,1.485,1.565,1.4675,1.555,1.555,2550174
2025-08-05,1.595,1.6175,1.535,1.55,1.55,2740046
2025-08-06,1.565,1.605,1.545,1.56,1.56,3074220
2025-08-07,1.59,1.61,1.56,1.59,1.59,2018219
2025-08-08,1.56,1.58,1.55,1.57,1.57,3008945
2025-08-11,1.53,1.57,1.525,1.57,1.57,2365776
2025-08-12,1.535,1.555,1.495,1.51,1.51,3208683
2025-08-13,1.53,1.54,1.485,1.485,1.485,1885723
2025-08-14,1.47,1.4975,1.465,1.48,1.48,2752948
2025-08-15,1.48,1.525,1.48,1.51,1.51,2013940
2025-08-18,1.515,1.515,1.475,1.495,1.495,1648719
2025-08-19,1.495,1.525,1.46,1.48,1.48,3670161
2025-08-20,1.44,1.44,1.405,1.43,1.43,5412784
2025-08-21,1.45,1.47,1.425,1.455,1.455,2703310
2025-08-22,1.45,1.53,1.43,1.51,1.51,3389075
2025-08-25,1.59,1.61,1.565,1.59,1.59,2826064
2025-08-26,1.56,1.7,1.56,1.7,1.7,5169248
2025-08-27,1.725,1.78,1.705,1.77,1.77,4504417
2025-08-28,1.74,1.74,1.7,1.71,1.71,1983848
2025-08-29,1.765,1.88,1.765,1.815,1.815,8648421
2025-09-01,1.8,1.89,1.785,1.865,1.865,2337753
2025-09-02,1.86,1.89,1.825,1.855,1.855,2923689
2025-09-03,1.845,1.87,1.81,1.81,1.81,3122054
2025-09-04,1.865,1.95,1.865,1.925,1.925,4292944
2025-09-05,1.92,1.925,1.8775,1.91,1.91,3051712
2025-09-08,1.905,1.975,1.9,1.96,1.96,3259871
2025-09-09,1.93,2,1.915,1.975,1.975,5049918
2025-09-10,1.96,1.97,1.915,1.915,1.915,2253922
2025-09-11,1.93,1.955,1.9,1.905,1.905,2055695
2025-09-12,1.885,1.895,1.85,1.86,1.86,3080825
2025-09-15,1.83,1.905,1.81,1.905,1.905,2705770
2025-09-16,2.01,2.11,2.01,2.08,2.08,10704698
2025-09-17,2.02,2.05,1.895,1.915,1.915,6168486
2025-09-18,1.96,2.02,1.94,1.97,1.97,4751618
2025-09-19,2.01,2.08,2,2,2,14255143
2025-09-22,2.08,2.11,2,2.02,2.02,6495049
2025-09-23,2.07,2.08,2.01,2.01,2.01,3141397
2025-09-24,2.01,2.07,1.965,2.05,2.05,4816161
2025-09-25,1.92,1.962,1.88,1.955,1.955,4703508
2025-09-26,1.99,2.06,1.985,1.985,1.985,4630267
2025-09-29,1.94,1.9675,1.915,1.94,1.94,4255745
2025-09-30,1.915,1.975,1.905,1.96,1.96,12261907
2025-10-01,1.93,1.995,1.92,1.985,1.985,3474977
2025-10-02,2,2.09,2,2.08,2.08,4375240
2025-10-03,2.06,2.1,2.04,2.08,2.08,4636086
2025-10-06,2.07,2.07,1.97,2.01,2.01,5396487
2025-10-07,2.04,2.055,1.985,2.04,2.04,5293196
2025-10-08,2.03,2.08,2.005,2.05,2.05,3092967
2025-10-09,2.02,2.05,1.965,2.01,2.01,5590525
2025-10-10,2,2.08,1.99,2.06,2.06,4287559
2025-10-13,2.02,2.09,1.995,2.07,2.07,3035633
2025-10-14,2.14,2.35,2.13,2.35,2.35,10021011
2025-10-15,2.34,2.42,2.31,2.41,2.41,10518348
2025-10-16,2.4,2.49,2.34,2.46,2.46,6896668
2025-10-17,2.38,2.38,2.255,2.32,2.32,6815129
2025-10-20,1.955,2.02,1.87,1.885,1.885,15476288
2025-10-21,1.96,1.995,1.88,1.88,1.88,8915512
2025-10-22,1.81,1.82,1.73,1.81,1.81,7600614
2025-10-23,1.8,1.835,1.73,1.75,1.75,5267465
2025-10-24,1.78,1.8,1.66,1.68,1.68,7399890
2025-10-27,1.685,1.685,1.595,1.61,1.61,6882695
2025-10-28,1.555,1.575,1.525,1.57,1.57,7980854
2025-10-29,1.685,1.75,1.68,1.695,1.695,9644529
2025-10-30,1.705,1.785,1.695,1.785,1.785,8682903
2025-10-31,1.785,1.81,1.77,1.795,1.795,5973828
2025-11-03,1.765,1.78,1.705,1.715,1.715,6084910
2025-11-04,1.64,1.665,1.615,1.655,1.655,3867481
2025-11-05,1.58,1.595,1.54,1.59,1.59,4477630
2025-11-06,1.6,1.6,1.525,1.54,1.54,5404263
2025-11-07,1.49,1.54,1.485,1.51,1.51,4080536
2025-11-10,1.6275,1.665,1.615,1.655,1.655,4430841
2025-11-11,1.7,1.72,1.645,1.665,1.665,3203819
2025-11-12,1.665,1.72,1.6425,1.655,1.655,4914338
2025-11-13,1.645,1.68,1.63,1.66,1.66,3499107
2025-11-14,1.555,1.605,1.53,1.595,1.595,3028879
2025-11-17,1.59,1.64,1.545,1.64,1.64,3021178
2025-11-18,1.58,1.64,1.575,1.585,1.585,3778958
2025-11-19,1.625,1.625,1.5875,1.6,1.6,4045821
2025-11-20,1.68,1.765,1.68,1.705,1.705,5108944
2025-11-21,1.55,1.63,1.53,1.56,1.56,9603654
2025-11-24,1.61,1.63,1.57,1.575,1.575,5376903
2025-11-25,1.64,1.66,1.5875,1.595,1.595,4613490
2025-11-26,1.63,1.6425,1.595,1.605,1.605,4701946
2025-11-27,1.615,1.625,1.565,1.585,1.585,6033832
2025-11-28,1.61,1.665,1.585,1.635,1.635,3284275
2025-12-01,1.625,1.65,1.595,1.61,1.61,3902955
2025-12-02,1.59,1.645,1.59,1.605,1.605,2671354
2025-12-03,1.605,1.7,1.605,1.68,1.68,4068767
2025-12-04,1.685,1.735,1.665,1.665,1.665,3152277
2025-12-05,1.75,1.785,1.73,1.73,1.73,3858432
2025-12-08,1.69,1.71,1.66,1.69,1.69,2885408
2025-12-09,1.67,1.76,1.67,1.745,1.745,4447685
2025-12-10,1.74,1.83,1.725,1.815,1.815,4073087
2025-12-11,1.81,1.895,1.81,1.845,1.845,4540698
2025-12-12,1.87,1.945,1.87,1.935,1.935,4245819
2025-12-15,1.83,1.835,1.755,1.77,1.77,7734149
2025-12-16,1.715,1.75,1.67,1.68,1.68,5097325
2025-12-17,1.685,1.795,1.645,1.795,1.795,5126345
2025-12-18,1.73,1.76,1.62,1.655,1.655,9444188
2025-12-19,1.66,1.8,1.66,1.8,1.8,26852683
2025-12-22,1.865,1.925,1.86,1.875,1.875,6323832
2025-12-23,1.865,1.9,1.84,1.895,1.895,2723712
2025-12-24,1.865,1.91,1.84,1.875,1.875,1486652
2025-12-29,1.87,1.89,1.84,1.88,1.88,1818452
2025-12-30,1.85,1.88,1.815,1.82,1.82,6010877
2025-12-31,1.8,1.86,1.785,1.84,1.84,2463825
2026-01-02,1.84,1.975,1.84,1.945,1.945,5438702
2026-01-05,2.04,2.115,2.01,2.04,2.04,6712041
2026-01-06,2.04,2.09,2.02,2.05,2.05,5246959
2026-01-07,2.04,2.13,2.03,2.08,2.08,5031579
2026-01-08,2.12,2.12,2.05,2.07,2.07,4799277
2026-01-09,2.04,2.07,2.01,2.04,2.04,2749690
2026-01-12,2.06,2.07,2.01,2.03,2.03,3287992
2026-01-13,2.08,2.11,1.97,2.01,2.01,5391525
2026-01-14,2.01,2.04,1.99,2.03,2.03,2923542
2026-01-15,2.07,2.09,2,2,2,4774028
2026-01-16,2.09,2.23,2.09,2.15,2.15,7788488
2026-01-19,2.08,2.24,2.06,2.19,2.19,5928512
2026-01-20,2.15,2.25,2.14,2.23,2.23,5075081
2026-01-21,2.18,2.29,2.16,2.28,2.28,6573333
2026-01-22,2.37,2.37,2.24,2.3,2.3,5597287
2026-01-23,2.34,2.38,2.3,2.34,2.34,4537175
2026-01-27,2.3,2.37,2.26,2.34,2.34,5446062
2026-01-28,2.48,2.59,2.44,2.59,2.59,9019072
2026-01-29,2.7,2.92,2.68,2.91,2.91,12808667
2026-01-30,2.8,2.97,2.77,2.84,2.84,13483107
2026-02-02,2.69,2.78,2.59,2.61,2.61,8808757
2026-02-03,2.61,2.68,2.51,2.63,2.63,5228854
2026-02-04,2.76,2.79,2.65,2.67,2.67,5048282
2026-02-05,2.45,2.61,2.42,2.5,2.5,6375304
2026-02-06,2.37,2.38,2.2,2.2,2.2,6940923
2026-02-09,2.37,2.42,2.33,2.38,2.38,6546028
2026-02-10,2.49,2.59,2.46,2.55,2.55,4173745
2026-02-11,2.5,2.53,2.44,2.52,2.52,2555121
2026-02-12,2.51,2.535,2.46,2.47,2.47,2582647
2026-02-13,2.37,2.44,2.345,2.42,2.42,2961238
2026-02-16,2.39,2.425,2.365,2.37,2.37,2974712
2026-02-17,2.39,2.39,2.28,2.3,2.3,2822150
2026-02-18,2.29,2.42,2.26,2.4,2.4,2071250
2026-02-19,2.52,2.58,2.47,2.56,2.56,3895684
2026-02-20,2.68,2.75,2.63,2.65,2.65,5097396
2026-02-23,2.65,2.7,2.62,2.64,2.64,2128035
2026-02-24,2.63,2.66,2.55,2.62,2.62,2593231
2026-02-25,2.75,2.79,2.7,2.76,2.76,4535289
2026-02-26,2.71,2.75,2.62,2.64,2.64,3757034
2026-02-27,2.64,2.66,2.575,2.63,2.63,4382481
2026-03-02,2.58,2.66,2.57,2.64,2.64,3870757
2026-03-03,2.78,2.8,2.595,2.7,2.7,6726640
2026-03-04,2.52,2.545,2.48,2.52,2.52,4642100
2026-03-05,2.57,2.62,2.41,2.46,2.46,4864517
2026-03-06,2.32,2.34,2.17,2.17,2.17,7387884
2026-03-09,2.07,2.08,1.93,2.01,2.01,6897866
2026-03-10,2.08,2.1,2,2.03,2.03,5465916
2026-03-11,2.1,2.12,1.97,2.01,2.01,6005344
2026-03-12,1.985,1.99,1.915,1.98,1.98,7025802
2026-03-13,1.95,2.03,1.945,2,2,4307758
2026-03-16,1.94,1.9475,1.755,1.775,1.775,13396510
2026-03-17,1.78,1.79,1.6875,1.72,1.72,9925888
2026-03-18,1.78,1.805,1.725,1.73,1.73,10763264
2026-03-19,1.675,1.685,1.6,1.655,1.655,8647777
2026-03-20,1.61,1.7425,1.585,1.7,1.7,42182289
2026-03-23,1.58,1.65,1.56,1.615,1.615,8164445
2026-03-24,1.7,1.7,1.605,1.63,1.63,5282635
2026-03-25,1.69,1.795,1.67,1.795,1.795,7938026
2026-03-26,1.795,1.805,1.73,1.745,1.745,4655584
2026-03-27,1.69,1.705,1.635,1.685,1.685,5615035
2026-03-30,1.65,1.72,1.635,1.705,1.705,4451120
2026-03-31,1.63,1.755,1.61,1.745,1.745,10414365
2026-04-01,1.84,1.91,1.7975,1.905,1.905,6443886
2026-04-02,1.905,1.965,1.79,1.79,1.79,7189152
2026-04-07,1.83,1.855,1.76,1.78,1.78,5919333
2026-04-08,1.9,1.92,1.85,1.885,1.885,8422777
2026-04-09,1.825,1.84,1.79,1.835,1.835,4895157
2026-04-10,1.805,1.88,1.77,1.865,1.865,4185097
2026-04-13,1.795,1.86,1.7675,1.77,1.77,4067349
2026-04-14,1.86,1.955,1.845,1.93,1.93,5628338
2026-04-15,1.955,2.01,1.945,1.985,1.985,5641200
2026-04-16,2.07,2.08,2,2.03,2.03,5683915
2026-04-17,2.08,2.13,2,2.03,2.03,4839833
2026-04-20,1.99,2,1.93,1.97,1.97,5310569
2026-04-21,2.03,2.06,1.975,2.02,2.02,5431730
2026-04-22,1.97,1.9875,1.945,1.965,1.965,3436109
2026-04-23,2.07,2.13,2.05,2.07,2.07,5185804
2026-04-24,2.04,2.07,1.995,1.995,1.995,2970715
2026-04-27,1.945,1.95,1.87,1.935,1.935,3863059
2026-04-28,1.93,2.02,1.925,2.01,2.01,4257587
2026-04-29,1.955,2.03,1.93,1.965,1.965,3871790
2026-04-30,1.93,1.935,1.775,1.785,1.785,11100940
2026-05-01,1.885,1.905,1.815,1.815,1.815,4916239
2026-05-04,1.83,1.885,1.82,1.835,1.835,4002431
2026-05-05,1.81,1.8375,1.795,1.8,1.8,2056142
