Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,36.81,36.81,36.38,36.59,35.1938,37794
2025-07-23,36.59,36.7,36.09,36.65,35.2515,604699
2025-07-24,36.66,37.5,36.32,37.5,36.0691,72080
2025-07-25,37.68,37.78,37.21,37.68,36.2422,106289
2025-07-28,37.85,38.23,37.68,37.72,36.2807,64525
2025-07-29,37.72,37.72,37.045,37.26,35.8383,77075
2025-07-30,36.3,37.415,36.3,37.15,35.7325,69918
2025-07-31,37.17,37.52,37.1,37.25,35.8287,41885
2025-08-01,37.05,37.24,36.41,36.46,35.0688,56326
2025-08-04,36.47,36.79,36,36.52,35.1265,46042
2025-08-05,36.53,37.7,36.52,37.47,36.0403,72410
2025-08-06,37.35,37.83,37.21,37.58,36.1461,61603
2025-08-07,37.44,37.95,37.4,37.95,36.5019,71627
2025-08-08,37.8,38.18,37.53,37.57,36.1364,51235
2025-08-11,37.75,37.88,37.41,37.43,36.0018,55901
2025-08-12,37.27,37.5,36.92,37.15,35.7325,68993
2025-08-13,36.97,37.09,36.69,36.89,35.4824,45096
2025-08-14,36.79,37.28,36.64,37.15,35.7325,63070
2025-08-15,37.08,37.39,36.99,37.3,35.8767,60284
2025-08-18,37.09,37.22,36.66,36.75,35.3477,41367
2025-08-19,37.61,37.61,36.59,36.78,35.3766,68680
2025-08-20,37.495,37.495,36.4,36.4,35.0111,49779
2025-08-21,38.23,38.23,36.5,37.25,35.8287,85957
2025-08-22,37.26,37.32,36,36,34.6263,158608
2025-08-25,36.11,36.43,35.75,35.75,34.3859,93384
2025-08-26,35.75,36.03,35.37,35.39,34.0396,97849
2025-08-27,33.45,33.45,29.83,30.19,29.038,284940
2025-08-28,29.99,29.99,28.01,29.27,28.1531,283017
2025-08-29,29.25,29.65,29.02,29.3,28.182,208333
2025-09-01,29.3,30.14,29.15,29.85,28.711,122547
2025-09-02,30.13,30.44,29.3,29.35,28.2301,99508
2025-09-03,29.2,29.28,28.72,29,27.8934,144323
2025-09-04,28.99,28.99,27.95,28.05,27.4452,114413
2025-09-05,28.08,28.48,27.65,27.65,27.0538,112151
2025-09-08,27.66,28.04,27.53,27.58,26.9854,150642
2025-09-09,27.52,27.66,26.88,26.88,26.3005,109492
2025-09-10,26.88,27.17,26.27,26.43,25.8602,137018
2025-09-11,26.43,26.6,25.84,26.22,25.6547,111395
2025-09-12,26.6,26.6,26.12,26.15,25.5862,115842
2025-09-15,26.18,26.18,25.69,25.89,25.3318,106813
2025-09-16,25.89,26.07,25.61,25.7,25.1459,180730
2025-09-17,25.75,26.06,25.56,25.6,25.048,151015
2025-09-18,25.55,25.715,25.14,25.39,24.8426,203551
2025-09-19,25.41,26.73,24.93,24.93,24.3925,1840300
2025-09-22,25.51,26.08,25.295,25.54,24.9893,246169
2025-09-23,26.12,26.35,25.63,26.09,25.5275,235411
2025-09-24,25.98,26.45,25.59,25.59,25.0383,181286
2025-09-25,25.84,25.84,25.38,25.64,25.0872,134019
2025-09-26,25.75,26.56,25.71,26.5,25.9286,179657
2025-09-29,26.62,26.75,25.97,26.01,25.4492,129664
2025-09-30,25.81,26.07,25.69,25.78,25.2242,151161
2025-10-01,26.23,26.6,26.03,26.16,25.596,119683
2025-10-02,26.38,26.48,25.97,26.36,25.7917,62104
2025-10-03,26.3,26.715,26.3,26.47,25.8993,105635
2025-10-06,26.62,26.65,25.96,26.04,25.4786,84468
2025-10-07,26.08,26.23,25.68,25.82,25.2633,267822
2025-10-08,25.85,26.09,25.6,25.85,25.2927,126965
2025-10-09,25.89,26.11,25.78,25.92,25.3611,124586
2025-10-10,25.74,26.04,25.74,25.95,25.3905,63472
2025-10-13,26.06,26.06,25.48,25.48,24.9306,66645
2025-10-14,25.48,25.63,25.17,25.44,24.8915,96372
2025-10-15,25.79,26.19,25.65,25.85,25.2927,73585
2025-10-16,25.89,26.05,25.48,25.62,25.0676,54759
2025-10-17,25.44,25.69,25.2,25.2,24.6567,76944
2025-10-20,25.47,25.54,24.97,25.17,24.6273,209161
2025-10-21,25.41,25.41,24.8,24.81,24.2751,71243
2025-10-22,25.04,25.07,24.81,24.98,24.4414,59629
2025-10-23,24.8,24.98,24.8,24.85,24.3142,63040
2025-10-24,25.28,25.3,24.97,25.02,24.4806,41519
2025-10-27,25.78,25.78,24.77,24.81,24.2751,68145
