Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.06,4.08,4.02,4.05,3.8735,4798883
2025-07-23,4.06,4.12,4.06,4.12,3.9405,4025433
2025-07-24,4.13,4.13,4.07,4.1,3.9213,5542208
2025-07-25,4.1,4.14,4.08,4.13,3.95,3406768
2025-07-28,4.13,4.16,4.09,4.11,3.9309,2035727
2025-07-29,4.1,4.12,4.05,4.07,3.8927,2622183
2025-07-30,4.07,4.125,4.05,4.12,3.9405,2117650
2025-07-31,4.1,4.1,4.04,4.09,3.9118,4938510
2025-08-01,4.05,4.065,4.01,4.04,3.864,3042449
2025-08-04,4,4.26,3.97,4.16,3.9787,9242901
2025-08-05,4.2,4.21,4.04,4.04,3.864,14218147
2025-08-06,4.04,4.06,4.02,4.06,3.8831,4515640
2025-08-07,4.07,4.075,4.04,4.06,3.8831,2291765
2025-08-08,4.06,4.06,4.02,4.04,3.864,3374821
2025-08-11,4.05,4.12,4.03,4.12,3.9405,3146905
2025-08-12,4.12,4.16,4.09,4.14,3.9596,2658106
2025-08-13,4.15,4.19,4.13,4.19,4.0074,2370942
2025-08-14,4.2,4.24,4.18,4.19,4.0074,5728033
2025-08-15,4.19,4.19,4.16,4.18,3.9979,2153089
2025-08-18,4.18,4.205,4.15,4.19,4.0074,3783544
2025-08-19,4.2,4.21,4.155,4.18,3.9979,2424320
2025-08-20,4.2,4.23,4.18,4.2,4.017,2362076
2025-08-21,4.24,4.275,4.2,4.27,4.0839,3198758
2025-08-22,4.27,4.27,4.18,4.2,4.017,4404701
2025-08-25,4.13,4.24,4.07,4.14,3.9596,4291585
2025-08-26,4.12,4.14,4.01,4.03,3.8544,6822744
2025-08-27,4.03,4.04,3.95,3.95,3.7779,5465186
2025-08-28,3.95,3.95,3.86,3.87,3.7014,5112178
2025-08-29,3.87,3.9,3.8,3.82,3.6535,8900480
2025-09-01,3.82,3.86,3.8,3.84,3.6727,3101324
2025-09-02,3.78,3.8,3.73,3.73,3.627,3918844
2025-09-03,3.72,3.74,3.66,3.7,3.5978,6358019
2025-09-04,3.7,3.75,3.69,3.74,3.6367,2199693
2025-09-05,3.76,3.77,3.7,3.72,3.6172,2585641
2025-09-08,3.73,3.74,3.69,3.69,3.5881,4111735
2025-09-09,3.7,3.7,3.625,3.64,3.5395,3207700
2025-09-10,3.63,3.66,3.605,3.65,3.5492,3937542
2025-09-11,3.65,3.66,3.61,3.61,3.5103,2503210
2025-09-12,3.62,3.655,3.615,3.64,3.5395,1875886
2025-09-15,3.65,3.705,3.64,3.69,3.5881,2901505
2025-09-16,3.68,3.7,3.66,3.69,3.5881,2670679
2025-09-17,3.69,3.7,3.64,3.65,3.5492,2036019
2025-09-18,3.65,3.7,3.63,3.67,3.5686,3607380
2025-09-19,3.71,3.71,3.65,3.66,3.5589,8619532
2025-09-22,3.66,3.66,3.63,3.65,3.5492,1294364
