Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.755,0.755,0.74,0.745,0.745,485107
2025-04-28,0.74,0.75,0.73,0.74,0.74,239137
2025-04-29,0.74,0.765,0.735,0.765,0.765,642114
2025-04-30,0.765,0.765,0.75,0.76,0.76,169664
2025-05-01,0.75,0.765,0.75,0.76,0.76,202158
2025-05-02,0.75,0.765,0.75,0.76,0.76,391260
2025-05-05,0.765,0.765,0.745,0.75,0.75,396520
2025-05-06,0.745,0.76,0.74,0.76,0.76,839730
2025-05-07,0.765,0.77,0.76,0.765,0.765,460808
2025-05-08,0.77,0.775,0.76,0.77,0.77,1276666
2025-05-09,0.775,0.775,0.755,0.755,0.755,484322
2025-05-12,0.76,0.76,0.74,0.755,0.755,190559
2025-05-13,0.755,0.76,0.75,0.76,0.76,383182
2025-05-14,0.76,0.765,0.75,0.75,0.75,789473
2025-05-15,0.75,0.775,0.75,0.77,0.77,283147
2025-05-16,0.775,0.78,0.76,0.78,0.78,146432
2025-05-19,0.75,0.7625,0.725,0.74,0.74,1143429
2025-05-20,0.735,0.755,0.73,0.75,0.75,450026
2025-05-21,0.745,0.755,0.735,0.745,0.745,801008
2025-05-22,0.74,0.75,0.735,0.74,0.74,495692
2025-05-23,0.745,0.75,0.74,0.745,0.745,413388
2025-05-26,0.74,0.745,0.7275,0.735,0.735,499263
2025-05-27,0.745,0.77,0.74,0.755,0.755,610861
2025-05-28,0.755,0.765,0.74,0.75,0.75,482904
2025-05-29,0.7425,0.755,0.725,0.735,0.735,857969
2025-05-30,0.74,0.755,0.74,0.74,0.74,747617
2025-06-02,0.74,0.77,0.74,0.77,0.77,993539
2025-06-03,0.785,0.81,0.78,0.795,0.795,1448884
2025-06-04,0.81,0.815,0.79,0.8,0.8,716840
2025-06-05,0.8,0.8,0.78,0.78,0.78,362106
2025-06-06,0.78,0.785,0.76,0.765,0.765,377560
2025-06-10,0.765,0.77,0.755,0.765,0.765,348887
2025-06-11,0.765,0.785,0.755,0.775,0.775,1881621
2025-06-12,0.775,0.795,0.775,0.79,0.79,430469
2025-06-13,0.79,0.79,0.78,0.79,0.79,458372
2025-06-16,0.785,0.79,0.76,0.765,0.765,478763
2025-06-17,0.79,0.82,0.785,0.8,0.8,960993
2025-06-18,0.805,0.805,0.78,0.78,0.78,925388
2025-06-19,0.79,0.8,0.78,0.785,0.785,925522
2025-06-20,0.78,0.8,0.77,0.78,0.78,8740840
2025-06-23,0.785,0.805,0.785,0.8,0.8,354747
2025-06-24,0.795,0.8225,0.795,0.81,0.81,415978
2025-06-25,0.81,0.825,0.8,0.82,0.82,272677
2025-06-26,0.82,0.845,0.8,0.84,0.84,443077
2025-06-27,0.845,0.845,0.81,0.82,0.82,261885
2025-06-30,0.81,0.84,0.805,0.83,0.83,196746
2025-07-01,0.84,0.84,0.815,0.82,0.82,110712
2025-07-02,0.82,0.83,0.805,0.83,0.83,177575
2025-07-03,0.82,0.865,0.82,0.865,0.865,577933
2025-07-04,0.865,0.865,0.85,0.855,0.855,348713
2025-07-07,0.855,0.86,0.84,0.85,0.85,153438
2025-07-08,0.85,0.855,0.84,0.845,0.845,122800
2025-07-09,0.84,0.855,0.83,0.85,0.85,271604
2025-07-10,0.855,0.86,0.845,0.845,0.845,335073
2025-07-11,0.86,0.87,0.845,0.85,0.85,236183
2025-07-14,0.86,0.87,0.845,0.87,0.87,96462
2025-07-15,0.855,0.865,0.845,0.85,0.85,146363
2025-07-16,0.85,0.865,0.845,0.855,0.855,100724
2025-07-17,0.87,0.875,0.85,0.865,0.865,356358
2025-07-18,0.8675,0.88,0.86,0.87,0.87,137682
2025-07-21,0.87,0.88,0.865,0.87,0.87,131543
2025-07-22,0.875,0.89,0.86,0.89,0.89,725652
2025-07-23,0.88,0.885,0.87,0.88,0.88,354572
2025-07-24,0.88,0.91,0.875,0.91,0.91,344844
2025-07-25,0.91,0.91,0.895,0.9,0.9,192068
2025-07-28,0.91,0.91,0.89,0.89,0.89,294844
2025-07-29,0.89,0.9,0.875,0.9,0.9,160776
2025-07-30,0.91,0.91,0.875,0.895,0.895,199971
2025-07-31,0.88,0.9025,0.88,0.89,0.89,161563
2025-08-01,0.88,0.895,0.88,0.88,0.88,134780
2025-08-04,0.885,0.885,0.87,0.87,0.87,288927
2025-08-05,0.89,0.89,0.875,0.875,0.875,321318
2025-08-06,0.8825,0.9,0.875,0.9,0.9,219067
2025-08-07,0.89,0.91,0.885,0.91,0.91,310991
2025-08-08,0.9025,0.91,0.87,0.87,0.87,550029
2025-08-11,0.89,0.905,0.855,0.895,0.895,970899
2025-08-12,0.9,0.915,0.89,0.9,0.9,825780
2025-08-13,0.9,0.93,0.9,0.925,0.925,397701
2025-08-14,0.93,0.93,0.91,0.93,0.93,185672
2025-08-15,0.92,0.94,0.92,0.93,0.93,411431
2025-08-18,0.93,0.94,0.925,0.93,0.93,221654
2025-08-19,0.94,0.97,0.935,0.96,0.96,1173607
2025-08-20,0.98,1,0.89,0.945,0.945,3286103
2025-08-21,0.965,0.995,0.955,0.96,0.96,1373036
2025-08-22,0.97,1.05,0.97,1.05,1.05,3523223
2025-08-25,1.055,1.085,1.05,1.06,1.06,1277733
2025-08-26,1.055,1.06,1.0275,1.05,1.05,1207746
2025-08-27,1.04,1.05,1.035,1.05,1.05,367405
2025-08-28,1.05,1.07,1.05,1.05,1.05,410342
2025-08-29,1.05,1.075,1.04,1.07,1.07,637894
2025-09-01,1.07,1.07,1.05,1.05,1.05,342922
2025-09-02,1.055,1.07,1.05,1.05,1.05,816588
2025-09-03,1.06,1.06,1.035,1.05,1.05,463258
2025-09-04,1.045,1.055,1.04,1.05,1.05,367300
2025-09-05,1.045,1.055,1.035,1.045,1.045,377859
2025-09-08,1.055,1.06,1.04,1.06,1.06,410320
2025-09-09,1.06,1.06,1.04,1.055,1.055,925526
2025-09-10,1.055,1.07,1.05,1.05,1.05,545436
2025-09-11,1.07,1.075,1.04,1.06,1.06,482028
2025-09-12,1.07,1.08,1.0575,1.08,1.08,816318
2025-09-15,1.145,1.2,1.13,1.165,1.165,4191373
2025-09-16,1.18,1.21,1.16,1.2,1.2,2409348
2025-09-17,1.21,1.22,1.19,1.195,1.195,1346518
2025-09-18,1.2,1.22,1.19,1.19,1.19,360226
2025-09-19,1.195,1.205,1.185,1.185,1.185,4514099
2025-09-22,1.19,1.245,1.19,1.22,1.22,1647125
2025-09-23,1.22,1.235,1.185,1.19,1.19,781855
2025-09-24,1.2,1.2,1.18,1.185,1.185,413199
2025-09-25,1.2,1.205,1.175,1.205,1.205,964788
2025-09-26,1.21,1.285,1.21,1.275,1.275,1737789
2025-09-29,1.28,1.28,1.255,1.27,1.27,717668
2025-09-30,1.27,1.29,1.2575,1.275,1.275,575334
2025-10-01,1.28,1.315,1.265,1.285,1.285,1102108
2025-10-02,1.285,1.285,1.235,1.25,1.25,453335
2025-10-03,1.26,1.295,1.26,1.29,1.29,506212
2025-10-06,1.295,1.305,1.27,1.295,1.295,681928
2025-10-07,1.31,1.325,1.28,1.3,1.3,754432
2025-10-08,1.275,1.3,1.275,1.28,1.28,419893
2025-10-09,1.285,1.29,1.245,1.25,1.25,337605
2025-10-10,1.265,1.265,1.22,1.245,1.245,357219
2025-10-13,1.24,1.25,1.195,1.205,1.205,696187
2025-10-14,1.22,1.27,1.22,1.24,1.24,832488
2025-10-15,1.23,1.23,1.185,1.2,1.2,549251
2025-10-16,1.21,1.245,1.19,1.21,1.21,490792
2025-10-17,1.21,1.21,1.14,1.17,1.17,580214
2025-10-20,1.19,1.19,1.14,1.16,1.16,256066
2025-10-21,1.155,1.17,1.14,1.145,1.145,629321
2025-10-22,1.15,1.185,1.135,1.18,1.18,705986
2025-10-23,1.19,1.245,1.17,1.21,1.21,1126783
2025-10-24,1.24,1.24,1.195,1.215,1.215,375060
2025-10-27,1.22,1.22,1.2,1.215,1.215,474744
2025-10-28,1.22,1.22,1.2,1.21,1.21,401343
2025-10-29,1.235,1.235,1.19,1.22,1.22,866057
2025-10-30,1.22,1.22,1.19,1.2,1.2,202505
2025-10-31,1.21,1.225,1.19,1.2,1.2,334317
2025-11-03,1.205,1.205,1.175,1.175,1.175,256551
2025-11-04,1.195,1.2,1.17,1.18,1.18,248917
2025-11-05,1.165,1.17,1.15,1.16,1.16,570491
2025-11-06,1.17,1.17,1.155,1.155,1.155,191149
2025-11-07,1.15,1.165,1.14,1.14,1.14,527676
2025-11-10,1.1725,1.185,1.165,1.17,1.17,159689
2025-11-11,1.175,1.2,1.17,1.17,1.17,352722
2025-11-12,1.1775,1.21,1.17,1.175,1.175,819756
2025-11-13,1.165,1.195,1.165,1.185,1.185,1397787
2025-11-14,1.18,1.24,1.17,1.225,1.225,603218
2025-11-17,1.225,1.2425,1.21,1.225,1.225,353796
2025-11-18,1.215,1.225,1.2,1.225,1.225,375563
2025-11-19,1.21,1.225,1.2075,1.215,1.215,546454
2025-11-20,1.23,1.275,1.205,1.265,1.265,1124161
2025-11-21,1.235,1.275,1.23,1.27,1.27,640797
2025-11-24,1.28,1.31,1.275,1.29,1.29,406341
2025-11-25,1.29,1.32,1.29,1.32,1.32,541364
2025-11-26,1.33,1.36,1.33,1.34,1.34,806711
2025-11-27,1.335,1.35,1.32,1.34,1.34,574382
2025-11-28,1.34,1.38,1.33,1.38,1.38,1596718
2025-12-01,1.385,1.4,1.37,1.4,1.4,1112085
2025-12-02,1.4,1.42,1.3875,1.41,1.41,1348624
2025-12-03,1.41,1.42,1.35,1.355,1.355,1007400
2025-12-04,1.34,1.385,1.34,1.37,1.37,575158
2025-12-05,1.37,1.37,1.345,1.36,1.36,1057994
2025-12-08,1.35,1.355,1.31,1.315,1.315,438437
2025-12-09,1.315,1.315,1.26,1.28,1.28,573670
2025-12-10,1.285,1.32,1.285,1.3,1.3,716987
2025-12-11,1.3,1.31,1.275,1.28,1.28,1596844
2025-12-12,1.295,1.345,1.27,1.33,1.33,770037
2025-12-15,1.325,1.33,1.285,1.305,1.305,529125
2025-12-16,1.3075,1.32,1.29,1.305,1.305,367990
2025-12-17,1.305,1.31,1.29,1.305,1.305,157824
2025-12-18,1.29,1.295,1.265,1.28,1.28,264102
2025-12-19,1.295,1.295,1.28,1.28,1.28,185731
2025-12-22,1.28,1.29,1.26,1.28,1.28,426685
2025-12-23,1.29,1.29,1.26,1.275,1.275,776343
2025-12-24,1.28,1.28,1.26,1.26,1.26,88938
2025-12-29,1.26,1.26,1.145,1.185,1.185,1602273
2025-12-30,1.195,1.255,1.18,1.245,1.245,347974
2025-12-31,1.24,1.26,1.23,1.235,1.235,140039
2026-01-02,1.21,1.245,1.21,1.23,1.23,257517
2026-01-05,1.225,1.235,1.205,1.22,1.22,385013
2026-01-06,1.23,1.245,1.205,1.24,1.24,715440
2026-01-07,1.25,1.25,1.2,1.23,1.23,722554
2026-01-08,1.25,1.25,1.215,1.245,1.245,182533
2026-01-09,1.24,1.255,1.23,1.255,1.255,161866
2026-01-12,1.255,1.29,1.245,1.28,1.28,291916
2026-01-13,1.28,1.315,1.26,1.295,1.295,534627
2026-01-14,1.305,1.34,1.295,1.34,1.34,551269
2026-01-15,1.34,1.38,1.32,1.325,1.325,755857
2026-01-16,1.325,1.375,1.325,1.365,1.365,383717
2026-01-19,1.36,1.365,1.315,1.325,1.325,189359
2026-01-20,1.33,1.345,1.305,1.32,1.32,611618
2026-01-21,1.34,1.36,1.32,1.36,1.36,432932
2026-01-22,1.36,1.385,1.35,1.37,1.37,335218
2026-01-23,1.35,1.365,1.305,1.35,1.35,204269
2026-01-27,1.34,1.385,1.335,1.34,1.34,275844
2026-01-28,1.335,1.35,1.315,1.33,1.33,262408
2026-01-29,1.315,1.325,1.28,1.31,1.31,378285
2026-01-30,1.32,1.33,1.3,1.315,1.315,1017333
2026-02-02,1.3,1.32,1.285,1.295,1.295,735460
2026-02-03,1.345,1.345,1.285,1.305,1.305,214552
2026-02-04,1.295,1.315,1.265,1.275,1.275,436737
2026-02-05,1.25,1.275,1.24,1.25,1.25,321157
2026-02-06,1.24,1.25,1.2,1.245,1.245,506356
2026-02-09,1.285,1.315,1.26,1.3,1.3,298269
2026-02-10,1.33,1.35,1.28,1.29,1.29,645785
2026-02-11,1.28,1.32,1.265,1.315,1.315,488161
2026-02-12,1.315,1.395,1.31,1.38,1.38,672421
2026-02-13,1.355,1.41,1.34,1.37,1.37,1220565
2026-02-16,1.39,1.4,1.335,1.345,1.345,1672348
2026-02-17,1.34,1.4225,1.34,1.415,1.415,1327587
2026-02-18,1.42,1.45,1.41,1.45,1.45,3118388
2026-02-19,1.46,1.46,1.305,1.325,1.325,2978038
2026-02-20,1.33,1.345,1.3,1.33,1.33,1864711
2026-02-23,1.33,1.34,1.315,1.33,1.33,1241162
2026-02-24,1.325,1.42,1.325,1.36,1.36,1539033
2026-02-25,1.36,1.39,1.36,1.38,1.38,643639
2026-02-26,1.38,1.39,1.3,1.31,1.31,474595
2026-02-27,1.31,1.355,1.31,1.35,1.35,468484
2026-03-02,1.33,1.36,1.33,1.35,1.35,1349354
2026-03-03,1.36,1.3725,1.33,1.345,1.345,1227233
2026-03-04,1.325,1.365,1.3,1.32,1.32,1902037
2026-03-05,1.34,1.34,1.3,1.315,1.315,545600
2026-03-06,1.3,1.32,1.285,1.295,1.295,1006596
2026-03-09,1.315,1.315,1.205,1.265,1.265,1141476
2026-03-10,1.26,1.287,1.25,1.285,1.285,740017
2026-03-11,1.275,1.325,1.275,1.32,1.32,609625
2026-03-12,1.32,1.32,1.25,1.26,1.26,585633
2026-03-13,1.24,1.265,1.235,1.235,1.235,264597
2026-03-16,1.22,1.235,1.205,1.23,1.23,433457
2026-03-17,1.225,1.225,1.19,1.205,1.205,399418
2026-03-18,1.205,1.2175,1.19,1.195,1.195,424453
2026-03-19,1.185,1.185,1.165,1.17,1.17,1176993
2026-03-20,1.14,1.195,1.13,1.195,1.195,4064872
2026-03-23,1.15,1.155,1.1075,1.135,1.135,1291892
2026-03-24,1.15,1.195,1.15,1.175,1.175,536411
2026-03-25,1.16,1.23,1.16,1.215,1.215,527285
2026-03-26,1.24,1.26,1.22,1.245,1.245,1024537
2026-03-27,1.2,1.215,1.18,1.2,1.2,208598
2026-03-30,1.18,1.185,1.15,1.175,1.175,466787
2026-03-31,1.205,1.22,1.17,1.21,1.21,747736
2026-04-01,1.22,1.26,1.22,1.26,1.26,586345
2026-04-02,1.255,1.27,1.215,1.215,1.215,239264
2026-04-07,1.24,1.315,1.23,1.285,1.285,821820
2026-04-08,1.3,1.3,1.255,1.295,1.295,447354
2026-04-09,1.28,1.29,1.26,1.285,1.285,191221
2026-04-10,1.26,1.28,1.235,1.28,1.28,142763
2026-04-13,1.26,1.275,1.22,1.22,1.22,419198
2026-04-14,1.22,1.25,1.22,1.22,1.22,171150
2026-04-15,1.24,1.24,1.2,1.21,1.21,518113
2026-04-16,1.215,1.25,1.21,1.23,1.23,461253
2026-04-17,1.185,1.23,1.185,1.22,1.22,236377
2026-04-20,1.23,1.245,1.21,1.225,1.225,61107
2026-04-21,1.225,1.26,1.225,1.25,1.25,631181
2026-04-22,1.25,1.265,1.235,1.255,1.255,200045
2026-04-23,1.27,1.27,1.225,1.235,1.235,665923
2026-04-24,1.235,1.25,1.22,1.24,1.24,292108
2026-04-27,1.24,1.26,1.235,1.24,1.24,48837
2026-04-28,1.24,1.24,1.215,1.22,1.22,465389
