Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,6.7,6.87,6.7,6.79,6.4324,1286332
2025-07-23,6.86,7.22,6.84,7.21,6.8303,2382288
2025-07-24,7.22,7.4,7.2,7.32,6.9345,2274689
2025-07-25,7.32,7.4,7.16,7.19,6.8114,1080319
2025-07-28,7.21,7.31,7.17,7.22,6.8398,754098
2025-07-29,7.15,7.18,7.07,7.16,6.783,728099
2025-07-30,7.17,7.27,7.075,7.24,6.8587,710859
2025-07-31,7.2,7.27,7.185,7.25,6.8682,495898
2025-08-01,7.21,7.3,7.19,7.28,6.8966,447197
2025-08-04,7.2,7.34,7.2,7.3,6.9156,835838
2025-08-05,7.34,7.46,7.3,7.42,7.0293,1017225
2025-08-06,7.42,7.54,7.42,7.49,7.0956,628916
2025-08-07,7.49,7.61,7.49,7.55,7.1524,1051755
2025-08-08,7.5,7.53,7.42,7.48,7.0861,640810
2025-08-11,7.48,7.61,7.45,7.55,7.1524,686809
2025-08-12,7.56,7.62,7.45,7.47,7.0766,600503
2025-08-13,7.52,7.66,7.47,7.64,7.2377,977056
2025-08-14,7.65,7.72,7.63,7.64,7.2377,1110337
2025-08-15,7.67,7.75,7.61,7.65,7.2472,747872
2025-08-18,7.65,7.67,7.46,7.48,7.0861,756891
2025-08-19,7.47,7.52,7.44,7.5,7.1051,701716
2025-08-20,7.59,7.59,7.43,7.45,7.0577,791781
2025-08-21,7.48,7.62,7.44,7.59,7.1903,827763
2025-08-22,7.58,7.63,7.54,7.57,7.1714,418444
2025-08-25,7.62,7.71,7.56,7.58,7.1808,510866
2025-08-26,7.58,7.585,7.32,7.38,6.9914,2015007
2025-08-27,7.44,7.48,7.38,7.4,7.0103,1201970
2025-08-28,7.41,7.45,7.38,7.4,7.0103,675859
2025-08-29,7.4,7.46,7.31,7.44,7.0482,1340881
2025-09-01,7.46,7.47,7.39,7.47,7.0766,336871
2025-09-02,7.46,7.51,7.42,7.5,7.1051,704888
2025-09-03,7.46,7.6,7.45,7.55,7.1524,1385946
2025-09-04,7.53,7.57,7.4,7.48,7.0861,913144
2025-09-05,7.53,7.7,7.47,7.67,7.2661,867458
2025-09-08,7.51,7.67,7.51,7.65,7.2472,843342
2025-09-09,7.65,7.89,7.635,7.89,7.4745,1348066
2025-09-10,7.82,7.845,7.62,7.66,7.2566,1356250
2025-09-11,7.7,7.76,7.67,7.76,7.3514,468985
2025-09-12,7.76,7.79,7.67,7.68,7.2756,442390
2025-09-15,7.68,7.73,7.62,7.7,7.2945,982707
2025-09-16,7.73,7.84,7.705,7.84,7.4272,717258
2025-09-17,7.89,7.91,7.73,7.73,7.3229,736376
2025-09-18,7.77,7.81,7.7,7.74,7.3324,337323
2025-09-19,7.77,7.78,7.62,7.65,7.2472,1027934
2025-09-22,7.65,7.675,7.43,7.46,7.0672,624832
2025-09-23,7.46,7.47,7.29,7.46,7.0672,940850
2025-09-24,7.46,7.46,7.32,7.42,7.0293,441821
2025-09-25,7.4,7.54,7.36,7.49,7.0956,388150
2025-09-26,7.5,7.5,7.395,7.44,7.0482,363036
2025-09-29,7.45,7.55,7.4,7.42,7.0293,391998
2025-09-30,7.4,7.51,7.4,7.45,7.0577,420480
2025-10-01,7.55,7.55,7.44,7.48,7.0861,358799
