Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.925,1.925,1.925,1.925,1.925,0
2025-07-23,1.95,2.16,1.94,2.08,2.08,5344906
2025-07-24,2.12,2.2,2,2.04,2.04,1439832
2025-07-25,1.93,1.99,1.81,1.92,1.92,1673220
2025-07-28,1.89,1.89,1.7,1.78,1.78,1456038
2025-07-29,1.735,1.82,1.7,1.705,1.705,3302455
2025-07-30,1.695,1.82,1.695,1.785,1.785,941521
2025-07-31,1.75,1.825,1.685,1.75,1.75,558307
2025-08-01,1.75,1.86,1.74,1.83,1.83,440644
2025-08-04,1.77,1.84,1.75,1.82,1.82,330479
2025-08-05,1.855,1.99,1.85,1.98,1.98,1555564
2025-08-06,2,2.02,1.935,2.01,2.01,1253100
2025-08-07,2.03,2.26,2.01,2.21,2.21,2382657
2025-08-08,2.34,2.39,2.21,2.24,2.24,3680444
2025-08-11,2.24,2.25,2.08,2.16,2.16,1676022
2025-08-12,2.17,2.28,2.15,2.2,2.2,648632
2025-08-13,2.21,2.31,2.17,2.29,2.29,746721
2025-08-14,2.3,2.38,2.19,2.19,2.19,3157192
2025-08-15,2.19,2.25,2.05,2.1,2.1,1105605
2025-08-18,2.1,2.16,2.01,2.03,2.03,1037041
2025-08-19,2.05,2.11,2.02,2.07,2.07,437364
2025-08-20,2.05,2.05,1.77,1.79,1.79,2092440
2025-08-21,1.8,1.925,1.64,1.725,1.725,2087351
2025-08-22,1.7,1.87,1.7,1.83,1.83,1077242
2025-08-25,1.87,1.965,1.815,1.84,1.84,1024757
2025-08-26,1.855,1.86,1.755,1.755,1.755,672642
2025-08-27,1.75,1.775,1.65,1.745,1.745,713581
2025-08-28,1.735,1.815,1.66,1.7,1.7,723986
2025-08-29,1.7,1.73,1.665,1.69,1.69,238351
2025-09-01,1.67,1.725,1.615,1.695,1.695,492288
2025-09-02,1.675,1.86,1.67,1.755,1.755,436323
2025-09-03,1.75,1.82,1.71,1.725,1.725,229190
2025-09-04,1.73,1.87,1.725,1.83,1.83,899150
2025-09-05,1.825,1.84,1.705,1.745,1.745,572559
2025-09-08,1.94,2.05,1.77,1.8,1.8,2167653
2025-09-09,1.8,1.8,1.625,1.695,1.695,972438
2025-09-10,1.72,1.765,1.615,1.645,1.645,772069
2025-09-11,1.645,1.69,1.61,1.64,1.64,419530
2025-09-12,1.62,1.685,1.615,1.67,1.67,234968
2025-09-15,1.67,1.69,1.63,1.665,1.665,180140
2025-09-16,1.69,1.745,1.67,1.725,1.725,1221074
2025-09-17,1.73,1.805,1.66,1.69,1.69,523738
2025-09-18,1.665,1.745,1.615,1.625,1.625,470766
2025-09-19,1.64,1.64,1.51,1.59,1.59,1655761
2025-09-22,1.585,1.59,1.49,1.545,1.545,418990
2025-09-23,1.54,1.655,1.54,1.63,1.63,802059
2025-09-24,1.66,1.72,1.62,1.645,1.645,317022
2025-09-25,1.6,1.625,1.565,1.585,1.585,217526
2025-09-26,1.63,1.66,1.54,1.56,1.56,646201
2025-09-29,1.56,1.75,1.53,1.62,1.62,1063872
2025-09-30,1.66,1.685,1.61,1.675,1.675,2846771
2025-10-01,1.7,2.18,1.7,2.16,2.16,5552413
2025-10-02,2.2,2.3,1.805,2.18,2.18,3336320
2025-10-03,2.17,2.23,2.08,2.16,2.16,908887
2025-10-06,2.16,2.3,2.11,2.25,2.25,1031569
2025-10-07,2.25,2.25,2.09,2.17,2.17,1567108
2025-10-08,2.2,2.21,1.91,2.09,2.09,2454635
2025-10-09,2.05,2.17,1.95,2.1,2.1,809808
2025-10-10,2.09,2.1,2.03,2.09,2.09,593174
2025-10-13,1.98,2.07,1.945,2,2,508338
2025-10-14,2.02,2.11,1.83,1.845,1.845,2316453
2025-10-15,1.84,1.845,1.65,1.67,1.67,2188058
2025-10-16,1.62,1.645,1.42,1.475,1.475,1839637
2025-10-17,1.445,1.475,1.315,1.345,1.345,1323956
2025-10-20,1.35,1.405,1.27,1.33,1.33,613212
2025-10-21,1.4,1.4,1.305,1.345,1.345,887374
2025-10-22,1.34,1.34,1.245,1.295,1.295,441512
2025-10-23,1.275,1.395,1.255,1.305,1.305,783396
2025-10-24,1.34,1.34,1.2475,1.255,1.255,457742
2025-10-27,1.42,1.505,1.34,1.43,1.43,2568505
2025-10-28,1.5,1.57,1.39,1.53,1.53,2785334
2025-10-29,1.54,1.55,1.41,1.445,1.445,1796686
2025-10-30,1.43,1.515,1.42,1.5,1.5,664283
2025-10-31,1.49,1.64,1.45,1.615,1.615,1419571
2025-11-03,1.625,1.72,1.595,1.645,1.645,1812348
2025-11-04,1.67,1.695,1.595,1.62,1.62,517858
2025-11-05,1.605,1.635,1.395,1.45,1.45,1519680
2025-11-06,1.52,1.53,1.32,1.34,1.34,643318
2025-11-07,1.345,1.405,1.32,1.4,1.4,718678
2025-11-10,1.485,1.57,1.4325,1.54,1.54,765545
2025-11-11,1.57,1.57,1.47,1.5,1.5,280056
2025-11-12,1.52,1.59,1.445,1.575,1.575,709400
2025-11-13,1.57,1.57,1.415,1.46,1.46,630765
2025-11-14,1.425,1.58,1.415,1.51,1.51,897763
2025-11-17,1.52,1.72,1.52,1.705,1.705,875797
2025-11-18,1.855,1.88,1.67,1.695,1.695,1664851
2025-11-19,1.66,1.72,1.61,1.62,1.62,731067
2025-11-20,1.65,1.72,1.545,1.61,1.61,617413
2025-11-21,1.53,1.555,1.505,1.525,1.525,209935
2025-11-24,1.54,1.585,1.48,1.57,1.57,408127
2025-11-25,1.58,1.63,1.51,1.62,1.62,384330
2025-11-26,1.63,1.755,1.63,1.725,1.725,557449
2025-11-27,1.69,1.81,1.69,1.775,1.775,861209
2025-11-28,1.775,1.88,1.76,1.86,1.86,872380
2025-12-01,1.875,1.905,1.78,1.815,1.815,589994
2025-12-02,1.9,1.95,1.76,1.9,1.9,709747
2025-12-03,1.9,1.965,1.87,1.905,1.905,406669
2025-12-04,1.94,1.965,1.86,1.88,1.88,454358
2025-12-05,1.86,2,1.85,1.945,1.945,861128
2025-12-08,1.965,1.975,1.885,1.97,1.97,366154
2025-12-09,1.98,2.13,1.9775,2.09,2.09,1149004
2025-12-10,2.09,2.21,2.08,2.18,2.18,973610
2025-12-11,2.21,2.31,2.2,2.29,2.29,1732480
2025-12-12,2.33,2.7,2.32,2.67,2.67,2884236
2025-12-15,2.75,2.85,2.64,2.78,2.78,1172132
2025-12-16,2.8,2.9,2.71,2.87,2.87,836455
2025-12-17,3,3.15,2.87,2.92,2.92,2561306
2025-12-18,2.92,3.05,2.8,2.94,2.94,783637
2025-12-19,2.98,3.095,2.91,3.07,3.07,1236556
2025-12-22,3.07,3.14,3,3.08,3.08,567937
2025-12-23,3.12,3.21,3.02,3.19,3.19,697068
2025-12-24,3.24,3.29,3.18,3.21,3.21,456054
2025-12-29,3.28,3.28,3.09,3.26,3.26,454381
2025-12-30,3.2,3.24,3.07,3.2,3.2,628570
2025-12-31,3.19,3.21,3.08,3.08,3.08,2051544
2026-01-02,3.13,3.49,3.13,3.42,3.42,2479563
2026-01-05,3.5,3.58,3.37,3.45,3.45,1154668
2026-01-06,3.47,3.58,3.43,3.46,3.46,951988
2026-01-07,3.46,3.63,3.45,3.58,3.58,1197599
2026-01-08,3.58,3.59,3.41,3.49,3.49,849844
2026-01-09,3.48,3.61,3.44,3.55,3.55,1247054
2026-01-12,3.55,3.58,3.44,3.51,3.51,594363
2026-01-13,3.49,3.61,3.42,3.58,3.58,808682
2026-01-14,3.55,3.75,3.55,3.75,3.75,1198247
2026-01-15,3.8,3.81,3.55,3.81,3.81,1469802
2026-01-16,3.85,4.03,3.84,3.94,3.94,960029
2026-01-19,3.95,4.09,3.83,4.07,4.07,922830
2026-01-20,4.12,4.26,4.1,4.17,4.17,1597649
2026-01-21,4.18,4.24,3.83,3.87,3.87,961598
2026-01-22,4.03,4.29,3.94,4.23,4.23,1748415
2026-01-23,4.29,4.51,4.28,4.5,4.5,1578728
2026-01-27,4.55,4.76,4.4,4.76,4.76,1497462
2026-01-28,4.9,4.96,4.63,4.74,4.74,797536
2026-01-29,4.75,4.98,4.66,4.92,4.92,885876
2026-01-30,4.88,5,4.06,4.25,4.25,3405161
2026-02-02,4.15,4.44,4.08,4.25,4.25,1617102
2026-02-03,4.27,4.39,4.11,4.36,4.36,592739
2026-02-04,4.37,4.66,4.34,4.62,4.62,745576
2026-02-05,4.58,4.58,3.75,3.83,3.83,6215915
2026-02-06,3.69,3.85,3.55,3.68,3.68,2515156
2026-02-09,3.8,3.97,3.61,3.79,3.79,602292
2026-02-10,3.75,3.89,3.61,3.82,3.82,488829
2026-02-11,3.7,3.72,3.5,3.68,3.68,475601
2026-02-12,3.55,3.69,3.5,3.57,3.57,542811
2026-02-13,3.57,3.7,3.505,3.58,3.58,323854
2026-02-16,3.57,3.7,3.44,3.57,3.57,354310
2026-02-17,3.67,3.67,3.5,3.5,3.5,174010
2026-02-18,3.51,3.67,3.5,3.64,3.64,499463
2026-02-19,3.68,3.92,3.63,3.76,3.76,567987
2026-02-20,3.74,3.8,3.51,3.54,3.54,378186
2026-02-23,3.56,3.8,3.5,3.75,3.75,490360
2026-02-24,3.74,3.85,3.62,3.82,3.82,510446
2026-02-25,3.85,4.2,3.85,4.08,4.08,918322
2026-02-26,4.04,4.57,4.04,4.51,4.51,976654
2026-02-27,4.6,4.76,4.55,4.73,4.73,2075647
2026-03-02,4.71,5.3,4.7,5.14,5.14,2219100
2026-03-03,5.2,5.25,4.8,5.05,5.05,1601597
2026-03-04,4.99,5.1,4.86,5,5,1235823
2026-03-05,5.05,5.22,5.05,5.1,5.1,1366143
2026-03-06,4.99,5.53,4.99,5.48,5.48,2246508
2026-03-09,5.3,5.74,5.1,5.73,5.73,1901157
2026-03-10,5.7,5.78,5.28,5.68,5.68,1815672
2026-03-11,5.68,5.84,5.5,5.69,5.69,1462646
2026-03-12,5.8,5.88,5.62,5.71,5.71,1260656
2026-03-13,5.71,5.75,5.2,5.69,5.69,2104522
2026-03-16,5.68,5.71,5.52,5.66,5.66,885176
2026-03-17,5.65,5.85,5.65,5.7,5.7,1754084
2026-03-18,5.75,5.82,5.62,5.82,5.82,1582686
2026-03-19,5.88,5.905,5.36,5.68,5.68,2583465
2026-03-20,5.62,5.9,5.34,5.9,5.9,13847617
2026-03-23,5.72,5.81,5.5,5.75,5.75,1379741
2026-03-24,5.79,5.91,5.55,5.6,5.6,1672000
2026-03-25,5.6,6.13,5.51,6.05,6.05,4292418
2026-03-26,6,6.08,5.8,5.96,5.96,880403
2026-03-27,5.88,5.88,5.42,5.6,5.6,1635494
2026-03-30,5.53,5.83,5.53,5.78,5.78,1292495
2026-03-31,5.78,5.8,5.36,5.44,5.44,2177523
2026-04-01,5.6,6.04,5.53,5.95,5.95,1882396
2026-04-02,5.95,6.29,5.91,6.25,6.25,1588854
2026-04-07,6.31,6.795,6.31,6.77,6.77,2626362
2026-04-08,6.75,6.955,6.47,6.95,6.95,2519743
2026-04-09,6.99,7.1,6.87,7.08,7.08,1468942
2026-04-10,7,7.06,6.43,6.76,6.76,1254265
2026-04-13,6.92,7.01,6.49,6.56,6.56,1799472
2026-04-14,6.6,6.9,6.52,6.64,6.64,1867112
2026-04-15,6.6,6.86,6.55,6.77,6.77,1856002
2026-04-16,6.7,6.8,6.63,6.8,6.8,1252092
2026-04-17,6.8,7.265,6.775,7.14,7.14,2994021
2026-04-20,7.16,7.19,6.72,7.11,7.11,1749752
2026-04-21,7.15,7.29,7.04,7.17,7.17,2491035
2026-04-22,7.05,7.22,6.75,6.92,6.92,2114445
2026-04-23,7,7.3,6.64,6.68,6.68,2256731
