Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.905,0.945,0.905,0.935,0.935,776384
2025-04-28,0.94,0.96,0.92,0.92,0.92,1164618
2025-04-29,0.935,0.95,0.92,0.945,0.945,2492472
2025-04-30,0.945,0.985,0.945,0.975,0.975,1972419
2025-05-01,0.97,0.985,0.96,0.965,0.965,359092
2025-05-02,0.96,0.9775,0.945,0.965,0.965,570013
2025-05-05,0.965,0.99,0.96,0.975,0.975,1373561
2025-05-06,0.975,0.985,0.95,0.97,0.97,1015368
2025-05-07,0.95,0.9975,0.95,0.98,0.98,724768
2025-05-08,0.975,1,0.965,0.995,0.995,739766
2025-05-09,0.995,1.01,0.9725,0.975,0.975,1147857
2025-05-12,0.975,0.985,0.9475,0.95,0.95,794795
2025-05-13,0.96,1.04,0.96,1.03,1.03,2754197
2025-05-14,1.03,1.09,0.995,1.01,1.01,1921018
2025-05-15,1.01,1.02,0.985,0.985,0.985,589275
2025-05-16,0.99,1,0.95,0.965,0.965,842591
2025-05-19,0.98,0.98,0.935,0.95,0.95,1587562
2025-05-20,0.97,0.99,0.955,0.97,0.97,1010222
2025-05-21,0.99,0.99,0.95,0.965,0.965,1382099
2025-05-22,0.96,0.96,0.93,0.95,0.95,1391350
2025-05-23,0.95,0.975,0.9475,0.97,0.97,583691
2025-05-26,0.94,1.025,0.91,1.015,1.015,2848739
2025-05-27,1.015,1.04,0.995,1.035,1.035,2478493
2025-05-28,1.02,1.09,1.01,1.08,1.08,3106640
2025-05-29,1.07,1.125,1.07,1.085,1.085,3269689
2025-05-30,1.09,1.135,1.08,1.13,1.13,2921115
2025-06-02,1.13,1.145,1.075,1.1,1.1,1988070
2025-06-03,1.1,1.12,1.09,1.105,1.105,1239012
2025-06-04,1.1,1.17,1.1,1.155,1.155,2465808
2025-06-05,1.16,1.19,1.1325,1.18,1.18,2845386
2025-06-06,1.175,1.195,1.14,1.145,1.145,2287339
2025-06-10,1.15,1.185,1.115,1.155,1.155,983558
2025-06-11,1.165,1.165,1.1125,1.135,1.135,1269447
2025-06-12,1.13,1.155,1.1125,1.145,1.145,884028
2025-06-13,1.13,1.16,1.0775,1.105,1.105,2674307
2025-06-16,1.09,1.11,1.08,1.085,1.085,703236
2025-06-17,1.08,1.09,1.045,1.045,1.045,969676
2025-06-18,1.04,1.0625,1.02,1.05,1.05,3644081
2025-06-19,1.05,1.05,1.015,1.035,1.035,1571195
2025-06-20,1.03,1.0375,0.98,1.01,1.01,3709507
2025-06-23,0.99,1.05,0.985,1.04,1.04,1314960
2025-06-24,1.045,1.065,1.03,1.05,1.05,1340745
2025-06-25,1.05,1.1475,0.99,1.11,1.11,3510202
2025-06-26,1.13,1.175,1.115,1.16,1.16,1326305
2025-06-27,1.16,1.17,1.135,1.14,1.14,1396793
2025-06-30,1.135,1.18,1.115,1.165,1.165,1556315
2025-07-01,1.16,1.165,1.1075,1.14,1.14,2634685
2025-07-02,1.15,1.17,1.1275,1.14,1.14,1261444
2025-07-03,1.15,1.15,1.105,1.135,1.135,1923789
2025-07-04,1.135,1.1675,1.11,1.115,1.115,1881088
2025-07-07,1.11,1.13,1.1,1.11,1.11,445198
2025-07-08,1.11,1.115,1.0875,1.105,1.105,917607
2025-07-09,1.09,1.105,1.065,1.07,1.07,309835
2025-07-10,1.07,1.08,1.05,1.05,1.05,396880
2025-07-11,1.055,1.06,1.0375,1.055,1.055,1723417
2025-07-14,1.05,1.065,1.0325,1.06,1.06,955529
2025-07-15,1.08,1.1,1.05,1.1,1.1,1313936
2025-07-16,1.1,1.115,1.065,1.08,1.08,819855
2025-07-17,1.08,1.155,1.07,1.15,1.15,2604911
2025-07-18,1.145,1.165,1.115,1.12,1.12,1301603
