Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.77,3.89,3.75,3.86,3.86,2737424
2025-07-23,3.98,3.98,3.84,3.88,3.88,4011159
2025-07-24,3.83,3.9,3.74,3.76,3.76,2500270
2025-07-25,3.74,3.75,3.66,3.69,3.69,1408718
2025-07-28,3.71,3.81,3.7,3.71,3.71,2139896
2025-07-29,3.67,3.7,3.56,3.68,3.68,1782950
2025-07-30,3.55,3.58,3.24,3.45,3.45,7095299
2025-07-31,3.45,3.56,3.35,3.45,3.45,5114767
2025-08-01,3.42,3.445,3.31,3.36,3.36,2476251
2025-08-04,3.51,3.53,3.42,3.45,3.45,1625210
2025-08-05,3.53,3.555,3.445,3.46,3.46,3269257
2025-08-06,3.52,3.6,3.51,3.52,3.52,2599390
2025-08-07,3.52,3.61,3.52,3.56,3.56,2240736
2025-08-08,3.57,3.61,3.53,3.59,3.59,1835514
2025-08-11,3.58,3.59,3.5,3.55,3.55,1217133
2025-08-12,3.44,3.51,3.43,3.5,3.5,1559886
2025-08-13,3.5,3.54,3.47,3.53,3.53,1506202
2025-08-14,3.5,3.535,3.47,3.48,3.48,1358988
2025-08-15,3.48,3.53,3.445,3.53,3.53,1482793
2025-08-18,3.53,3.55,3.5,3.55,3.55,1436055
2025-08-19,3.55,3.58,3.51,3.52,3.52,1123686
2025-08-20,3.52,3.57,3.42,3.55,3.55,2986784
2025-08-21,3.64,3.75,3.635,3.65,3.65,2448936
2025-08-22,3.71,3.74,3.67,3.7,3.7,3480272
2025-08-25,3.78,3.85,3.69,3.72,3.72,2295299
2025-08-26,3.72,3.79,3.69,3.78,3.78,4255340
2025-08-27,3.88,3.99,3.87,3.93,3.93,3139820
2025-08-28,3.95,3.97,3.76,3.76,3.76,3650156
2025-08-29,3.8,3.84,3.76,3.78,3.78,2306869
2025-09-01,3.92,4.12,3.9,4.06,4.06,2872543
2025-09-02,4.06,4.12,4,4.01,4.01,1976686
2025-09-03,4.04,4.08,3.97,3.97,3.97,2733055
2025-09-04,4,4.08,3.99,4,4,3961182
2025-09-05,3.98,4.13,3.95,4.12,4.12,1413097
2025-09-08,4.18,4.18,4.06,4.1,4.1,1802224
2025-09-09,4.15,4.24,4.09,4.22,4.22,3152675
2025-09-10,4.18,4.18,4,4.04,4.04,2433767
2025-09-11,4.08,4.22,4.08,4.2,4.2,3112913
2025-09-12,4.2,4.31,4.17,4.27,4.27,2867111
2025-09-15,4.23,4.25,4.005,4.14,4.14,3540541
2025-09-16,4.28,4.31,4.18,4.23,4.23,3050951
2025-09-17,4.17,4.285,4.14,4.22,4.22,3650687
2025-09-18,4.19,4.31,4.16,4.29,4.29,3190129
2025-09-19,4.33,4.41,4.28,4.34,4.34,29658135
2025-09-22,4.47,4.64,4.47,4.61,4.61,3558737
2025-09-23,4.67,4.89,4.67,4.86,4.86,5481934
2025-09-24,4.71,4.89,4.66,4.86,4.86,3893609
2025-09-25,4.69,4.76,4.66,4.7,4.7,2791752
2025-09-26,4.69,4.79,4.66,4.79,4.79,3300817
2025-09-29,4.86,4.93,4.77,4.92,4.92,1974350
