Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.42,3.52,3.35,3.41,3.41,2788865
2025-07-23,3.4,3.42,3.23,3.29,3.29,1616903
2025-07-24,3.3,3.38,3.28,3.32,3.32,1556866
2025-07-25,3.34,3.4,3.1,3.16,3.16,2631756
2025-07-28,3.12,3.14,2.98,3.1,3.1,2218291
2025-07-29,3.11,3.155,3.05,3.14,3.14,1106435
2025-07-30,3.14,3.14,3.01,3.05,3.05,813041
2025-07-31,3.06,3.3,2.88,3.21,3.21,3043426
2025-08-01,3.25,3.25,2.99,3.03,3.03,1986636
2025-08-04,3,3,2.87,2.95,2.95,1449635
2025-08-05,3.65,4.255,3.65,4.23,4.23,14683036
2025-08-06,4.24,4.53,4.24,4.41,4.41,8723569
2025-08-07,4.47,5.11,4.47,4.9,4.9,13415671
2025-08-08,4.95,5.02,4.74,4.92,4.92,7386695
2025-08-11,4.9,5.15,4.75,4.98,4.98,3797641
2025-08-12,4.97,5.73,4.96,5.66,5.66,5058046
2025-08-13,5.73,5.92,5.37,5.6,5.6,4928319
2025-08-14,5.6,6.215,5.59,6.01,6.01,5225202
2025-08-15,6.09,6.43,5.96,5.96,5.96,6166927
2025-08-18,6,6.09,5.7,5.74,5.74,3219086
2025-08-19,5.69,5.98,5.68,5.73,5.73,2409237
2025-08-20,5.52,5.54,4.94,4.98,4.98,6264850
2025-08-21,4.92,5.11,4.65,4.7,4.7,5332034
2025-08-22,4.79,5.05,4.77,4.92,4.92,3019128
2025-08-25,5.11,5.27,4.94,5.04,5.04,2358168
2025-08-26,5.15,5.45,5.06,5.4,5.4,3056836
2025-08-27,5.5,6.15,5.05,6.12,6.12,5934313
2025-08-28,6.09,6.14,5.4,5.49,5.49,4569072
2025-08-29,5.75,5.9,5.545,5.8,5.8,3056213
2025-09-01,5.88,5.88,5.55,5.81,5.81,1541687
2025-09-02,5.98,6.2,5.8,6.18,6.18,3214749
2025-09-03,6.19,7.05,6.17,6.75,6.75,5824989
2025-09-04,6.8,7.3,6.66,7.2,7.2,4264004
2025-09-05,7.28,7.7,7.05,7.46,7.46,4037373
2025-09-08,7.52,7.92,7.46,7.53,7.53,5095456
2025-09-09,7.74,7.75,7.13,7.33,7.33,2244414
2025-09-10,7.29,7.51,7.11,7.27,7.27,1733122
2025-09-11,7.34,7.34,6.91,7.11,7.11,1970590
2025-09-12,7.2,7.69,7.06,7.67,7.67,1994238
2025-09-15,7.6,7.87,7.39,7.39,7.39,2202517
2025-09-16,7.35,7.4,7.1,7.17,7.17,1462992
2025-09-17,7.25,7.65,7.17,7.62,7.62,1633041
2025-09-18,7.5,7.56,7.26,7.52,7.52,2212504
2025-09-19,7.73,7.73,6.95,7.2,7.2,7261970
2025-09-22,7.49,8.05,7.2,7.97,7.97,3151559
2025-09-23,8.24,8.73,8.15,8.4,8.4,4450928
2025-09-24,8.3,8.65,8.17,8.22,8.22,2187367
2025-09-25,8.23,8.37,7.63,7.7,7.7,2077104
2025-09-26,7.6,8.35,7.37,8.35,8.35,3220130
2025-09-29,8.45,9.525,8.435,9.45,9.45,7513981
2025-09-30,9.59,10.3,9.53,10.22,10.22,6244251
2025-10-01,10.22,10.42,9.8,10.37,10.37,6936088
2025-10-02,10.07,10.16,8.71,8.99,8.99,7986239
2025-10-03,9,9.27,8.71,8.75,8.75,5122129
2025-10-06,10.18,10.28,8.56,8.97,8.97,8217428
2025-10-07,9.49,9.5,8.57,8.59,8.59,6021038
2025-10-08,8.65,8.74,7.92,8.26,8.26,6509153
2025-10-09,8.35,8.89,8.21,8.79,8.79,3828579
2025-10-10,8.7,8.89,8.04,8.12,8.12,4406167
2025-10-13,7.98,7.99,7.69,7.69,7.69,3935514
2025-10-14,7.69,7.69,6.82,6.89,6.89,6125114
2025-10-15,6.69,6.7,5.96,6.21,6.21,10154141
2025-10-16,6.2,6.29,5.85,5.95,5.95,5899208
2025-10-17,5.87,5.87,5.36,5.39,5.39,8722289
2025-10-20,5.2,5.66,5.02,5.63,5.63,5906971
2025-10-21,5.8,6.06,5.66,5.74,5.74,4872929
2025-10-22,5.94,5.94,5.48,5.64,5.64,4706210
2025-10-23,5.75,6.23,5.68,6.09,6.09,4937076
2025-10-24,6.2,6.21,5.53,5.64,5.64,4648049
2025-10-27,5.75,6.19,5.7,6.13,6.13,4305819
2025-10-28,6.08,6.32,5.95,6.22,6.22,2855521
2025-10-29,6.3,6.81,6.15,6.65,6.65,4472165
2025-10-30,6.65,6.78,6.34,6.52,6.52,2634539
2025-10-31,6.65,6.99,6.12,6.21,6.21,4924048
2025-11-03,6.3,6.755,6.27,6.41,6.41,2402135
2025-11-04,6.45,6.5,6.18,6.36,6.36,2451919
2025-11-05,6.05,6.1,5.63,5.63,5.63,4381611
2025-11-06,5.78,5.78,5.135,5.28,5.28,4457241
2025-11-07,5.24,5.24,4.96,5.06,5.06,3087184
2025-11-10,5.345,5.57,5.185,5.33,5.33,3370645
2025-11-11,5.35,5.43,5.1,5.11,5.11,2154869
2025-11-12,5.2,5.21,4.975,5,5,2904598
2025-11-13,4.97,4.98,4.44,4.75,4.75,4435996
2025-11-14,4.63,5.01,4.58,4.78,4.78,2663070
2025-11-17,5.05,5.15,4.88,5.14,5.14,4536855
2025-11-18,5.05,5.08,4.8,4.83,4.83,2493520
2025-11-19,4.8,4.89,4.62,4.68,4.68,2418537
2025-11-20,5.08,5.08,4.55,4.61,4.61,4146765
2025-11-21,4.63,4.64,4.4,4.58,4.58,2884581
2025-11-24,4.56,4.56,4.27,4.5,4.5,3229744
2025-11-25,4.6,4.71,4.31,4.45,4.45,4861095
2025-11-26,4.58,4.92,4.52,4.61,4.61,3775635
2025-11-27,4.68,4.76,4.42,4.48,4.48,3381883
2025-11-28,4.54,4.585,4.39,4.55,4.55,1292160
2025-12-01,4.71,4.815,4.55,4.55,4.55,2290772
2025-12-02,4.51,4.51,4.27,4.45,4.45,2629532
2025-12-03,4.49,4.66,4.39,4.46,4.46,1604493
2025-12-04,4.6,4.62,4.41,4.41,4.41,2425099
2025-12-05,4.52,4.63,4.43,4.46,4.46,2334121
2025-12-08,4.59,4.59,4.33,4.42,4.42,1907792
2025-12-09,4.5,4.66,4.38,4.57,4.57,2432625
2025-12-10,4.74,5.05,4.69,4.8,4.8,3045869
2025-12-11,5.12,5.2,4.65,4.73,4.73,3679283
2025-12-12,4.99,5.14,4.8,5.01,5.01,2632571
2025-12-15,5.9,6.51,5.55,6.46,6.46,7592290
2025-12-16,6.57,7.65,6.545,7.53,7.53,8982774
2025-12-17,7.45,7.925,7.11,7.53,7.53,3716717
2025-12-18,7.37,7.51,7.19,7.27,7.27,2402062
2025-12-19,7.75,8.49,7.67,8.49,8.49,6884937
2025-12-22,8.5,8.84,8.02,8.72,8.72,4414433
2025-12-23,8.75,9.6,8.61,9.4,9.4,5688569
2025-12-24,9.6,9.62,8.82,9.25,9.25,3571017
2025-12-29,9.2,9.27,8.675,9.27,9.27,2626257
2025-12-30,8.9,9.3,8.85,9.13,9.13,2021841
2025-12-31,8.91,9.49,8.9,9.44,9.44,1645783
2026-01-02,9.44,10.13,9.4,9.95,9.95,2804085
2026-01-05,10.05,10.14,9.32,9.45,9.45,2189950
2026-01-06,9.84,10.08,9.58,9.67,9.67,2555039
2026-01-07,9.68,9.76,9.42,9.45,9.45,1858729
2026-01-08,9.35,9.91,9.15,9.9,9.9,2253248
2026-01-09,9.8,10.14,9.72,9.8,9.8,2506353
2026-01-12,9.95,10.13,9.59,9.99,9.99,3014068
2026-01-13,10.04,11.2,10,11.02,11.02,3723138
2026-01-14,10.77,10.82,9.92,9.92,9.92,2983184
2026-01-15,9.8,9.99,9.64,9.8,9.8,2050628
2026-01-16,9.8,10.05,9.69,9.86,9.86,1920958
2026-01-19,9.99,10.49,9.72,10.48,10.48,1493316
2026-01-20,10.48,11.18,10.48,10.73,10.73,3441899
2026-01-21,10.45,10.7,9.93,10.09,10.09,1667822
2026-01-22,10.04,10.88,10.01,10.8,10.8,2668575
2026-01-23,10.58,10.74,10.29,10.35,10.35,1688229
2026-01-27,10.3,10.85,9.84,10.18,10.18,3920431
2026-01-28,10.05,10.235,9.67,9.89,9.89,2391035
2026-01-29,9.84,9.84,8.92,9.05,9.05,3757045
2026-01-30,8.71,8.94,8.48,8.68,8.68,2787141
2026-02-02,8.67,8.72,7.89,8.13,8.13,3366263
2026-02-03,8.23,8.49,8.16,8.18,8.18,1968677
2026-02-04,8.21,8.29,7.47,7.56,7.56,2400874
2026-02-05,7.45,7.57,7.11,7.17,7.17,1991791
2026-02-06,6.62,6.78,5.98,6,6,3685684
2026-02-09,6,6,6,6,6,0
2026-02-10,5.28,6.97,5.05,6.71,6.71,14932353
2026-02-11,6.78,6.88,6.33,6.66,6.66,7377876
2026-02-12,6.6,6.75,5.98,6.14,6.14,3842926
2026-02-13,6.02,6.39,5.86,5.86,5.86,3556953
2026-02-16,6.01,6.42,5.78,6.3,6.3,4149269
2026-02-17,6.9,7.22,6.48,7.16,7.16,6888425
2026-02-18,7.5,7.89,7.31,7.39,7.39,4499742
2026-02-19,7.65,7.68,7.03,7.38,7.38,3142467
2026-02-20,7.24,7.46,6.85,7.32,7.32,2614329
2026-02-23,6.8,8.79,6.68,7.75,7.75,9947534
2026-02-24,7.9,8.1,7.18,7.33,7.33,6055406
2026-02-25,7.69,8.41,7.42,8.3,8.3,5226374
2026-02-26,8.41,8.8,8.34,8.54,8.54,3336348
2026-02-27,8.58,9.16,8.51,8.98,8.98,9373305
2026-03-02,9.68,10.49,9.21,9.21,9.21,5498130
2026-03-03,9.85,10.08,8.89,9.42,9.42,4897453
2026-03-04,9.42,9.99,9.31,9.78,9.78,4532506
2026-03-05,9.96,10.25,9.29,9.48,9.48,3803944
2026-03-06,9.36,10,9.22,9.91,9.91,2856837
2026-03-09,9.79,9.9,9.01,9.9,9.9,4425418
2026-03-10,9.9,10.79,9.79,10.76,10.76,4103477
2026-03-11,10.49,10.71,10.1,10.71,10.71,2840544
2026-03-12,10.74,10.88,9.65,9.92,9.92,4601877
2026-03-13,10.25,11.8,9.69,11.74,11.74,8869030
2026-03-16,11.45,11.46,10.58,10.72,10.72,4195532
2026-03-17,11.42,11.52,8,8.9,8.9,8677464
2026-03-18,8.99,9.7,8.68,9.7,9.7,7864176
2026-03-19,9.42,10.3,9.32,9.65,9.65,4490751
2026-03-20,9.43,9.9,8.82,9.9,9.9,11180456
2026-03-23,9.3,9.455,8.94,8.94,8.94,4178669
2026-03-24,9.2,9.26,8,8.34,8.34,4683183
2026-03-25,8.38,9.07,8.38,9.03,9.03,2550823
2026-03-26,9.1,9.68,8.97,9.45,9.45,2301277
2026-03-27,9.45,9.45,8.31,8.46,8.46,3264859
2026-03-30,8.45,8.6,7.91,8.05,8.05,2728502
2026-03-31,8.29,8.5,7.87,8.01,8.01,3836517
2026-04-01,8.35,9.04,8.14,9.03,9.03,2838919
2026-04-02,9.25,9.74,8.78,9,9,3931371
2026-04-07,9.3,9.9,9.22,9.44,9.44,2615368
2026-04-08,9.55,10,8.64,9.9,9.9,3517060
2026-04-09,9.89,9.93,9.26,9.42,9.42,2208608
2026-04-10,9.4,9.52,9.18,9.28,9.28,1328417
2026-04-13,9.25,9.27,8.91,9.03,9.03,936892
2026-04-14,9.52,10.02,9.5,9.72,9.72,2594003
2026-04-15,9.87,10.48,9.73,10.28,10.28,2698364
2026-04-16,10.32,10.97,10.24,10.7,10.7,2564813
2026-04-17,10.4,10.48,9.92,10.31,10.31,1702159
2026-04-20,10.2,10.41,9.94,10,10,1850519
2026-04-21,10.1,10.81,10,10.51,10.51,2479095
2026-04-22,10.43,10.96,10.25,10.7,10.7,2382030
2026-04-23,10.39,10.66,10.01,10.33,10.33,2061170
2026-04-24,10.02,10.25,9.81,10.01,10.01,2187866
2026-04-27,10.22,10.33,9.52,10.24,10.24,2195451
2026-04-28,10.1,10.1,9.61,9.7,9.7,1588844
2026-04-29,9.69,10.19,9.28,9.53,9.53,2515896
2026-04-30,9.49,9.49,9.03,9.06,9.06,2170589
2026-05-01,9.42,9.5,9.12,9.3,9.3,1293943
2026-05-04,9.52,9.96,9.32,9.89,9.89,2288331
2026-05-05,9.9,10.35,9.79,10.01,10.01,2520713
2026-05-06,9.9,10.31,9.76,9.97,9.97,2483543
2026-05-07,10.06,10.24,9.26,9.54,9.54,2711285
2026-05-08,9.27,9.38,8.87,8.94,8.94,2274130
2026-05-11,8.98,9.11,8.25,8.57,8.57,3105359
2026-05-12,8.5,8.7,8.05,8.6,8.6,2413543
2026-05-13,8.81,8.88,8.56,8.8,8.8,1328676
2026-05-14,8.56,9.02,8.375,8.47,8.47,1482433
2026-05-15,8.98,9.36,8.67,8.82,8.82,3138136
2026-05-18,8.82,8.82,8.82,8.82,8.82,0
2026-05-19,8.82,8.82,8.82,8.82,8.82,0
