Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,7.58,7.74,7.58,7.68,7.4854,5808521
2025-07-23,7.84,7.98,7.74,7.75,7.5537,9093469
2025-07-24,7.53,7.61,7.46,7.54,7.349,12737787
2025-07-25,7.51,7.54,7.28,7.3,7.1151,8807397
2025-07-28,7.31,7.41,7.26,7.27,7.0858,3375442
2025-07-29,7.12,7.24,7.04,7.23,7.0468,5351517
2025-07-30,7.21,7.38,7.16,7.33,7.1443,3956208
2025-07-31,7.03,7.11,6.96,7.11,6.9299,8459771
2025-08-01,7.05,7.1,6.98,7.05,6.8714,5917558
2025-08-04,7.33,7.38,7.23,7.23,7.0468,5442230
2025-08-05,7.21,7.36,7.14,7.33,7.1443,10728472
2025-08-06,7.53,7.61,7.42,7.47,7.2807,7580835
2025-08-07,7.54,7.58,7.455,7.5,7.31,8098077
2025-08-08,7.57,7.66,7.53,7.66,7.4659,5731461
2025-08-11,7.6,7.72,7.53,7.67,7.4757,8966847
2025-08-12,7.58,7.7,7.51,7.69,7.4952,9105294
2025-08-13,7.94,8.19,7.7,7.99,7.7876,8805535
2025-08-14,8.01,8.06,7.89,7.94,7.7388,10050773
2025-08-15,7.91,8.01,7.85,8.01,7.8071,9462973
2025-08-18,7.95,7.98,7.82,7.89,7.6901,7752041
2025-08-19,7.85,7.91,7.79,7.89,7.6901,6993936
2025-08-20,7.87,8,7.79,7.98,7.7778,8547234
2025-08-21,8.1,8.2,8.04,8.1,7.8948,6022134
2025-08-22,8.16,8.37,8.11,8.11,7.9045,9822813
2025-08-25,8.29,8.42,8.23,8.39,8.1774,7920271
2025-08-26,8.23,8.54,8.23,8.34,8.1287,18336363
2025-08-27,8.66,8.72,8.435,8.51,8.2944,10388375
2025-08-28,8.51,8.56,8.45,8.5,8.2847,7056282
2025-08-29,8.51,8.67,8.455,8.66,8.4406,8763191
2025-09-01,8.89,9.14,8.87,9.1,8.8695,5221343
