Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.49,0.5,0.49,0.5,0.414,2739
2025-04-28,0.4875,0.5,0.4875,0.49,0.4057,104957
2025-04-29,0.485,0.485,0.485,0.485,0.4016,6000
2025-04-30,0.495,0.495,0.475,0.475,0.3933,10002
2025-05-01,0.475,0.475,0.46,0.46,0.3809,18228
2025-05-02,0.46,0.46,0.46,0.46,0.3809,0
2025-05-05,0.46,0.46,0.46,0.46,0.3809,2000
2025-05-06,0.45,0.45,0.45,0.45,0.3726,3454
2025-05-07,0.46,0.46,0.46,0.46,0.3809,1827
2025-05-08,0.46,0.46,0.45,0.45,0.3726,4141
2025-05-09,0.455,0.46,0.455,0.46,0.3809,30239
2025-05-12,0.455,0.455,0.455,0.455,0.3767,23829
2025-05-13,0.455,0.46,0.455,0.455,0.3767,7375
2025-05-14,0.46,0.48,0.46,0.48,0.3974,9466
2025-05-15,0.465,0.465,0.465,0.465,0.385,352
2025-05-16,0.465,0.465,0.465,0.465,0.385,2282
2025-05-19,0.465,0.47,0.455,0.47,0.3891,22080
2025-05-20,0.475,0.475,0.47,0.47,0.3891,9280
2025-05-21,0.47,0.5,0.47,0.485,0.4016,69389
2025-05-22,0.485,0.485,0.485,0.485,0.4016,6021
2025-05-23,0.485,0.485,0.48,0.48,0.3974,3978
2025-05-26,0.48,0.48,0.48,0.48,0.3974,3910
2025-05-27,0.495,0.495,0.48,0.48,0.3974,6099
2025-05-28,0.48,0.49,0.44,0.45,0.3726,204934
2025-05-29,0.46,0.46,0.45,0.45,0.3726,14657
2025-05-30,0.45,0.47,0.45,0.46,0.3809,14101
2025-06-02,0.45,0.49,0.45,0.48,0.48,192174
2025-06-03,0.465,0.475,0.455,0.465,0.465,57005
2025-06-04,0.45,0.45,0.38,0.38,0.38,44354
2025-06-05,0.38,0.38,0.38,0.38,0.38,36425
2025-06-06,0.39,0.39,0.39,0.39,0.39,5708
2025-06-10,0.39,0.39,0.385,0.385,0.385,15202
2025-06-11,0.385,0.385,0.37,0.37,0.37,30450
2025-06-12,0.38,0.39,0.38,0.38,0.38,4001
2025-06-13,0.39,0.39,0.39,0.39,0.39,72178
2025-06-16,0.38,0.4,0.38,0.395,0.395,13824
2025-06-17,0.385,0.385,0.38,0.38,0.38,10343
2025-06-18,0.38,0.4,0.38,0.4,0.4,199561
2025-06-19,0.4,0.4,0.385,0.385,0.385,10893
2025-06-20,0.385,0.385,0.385,0.385,0.385,10603
2025-06-23,0.385,0.39,0.385,0.385,0.385,55583
2025-06-24,0.385,0.385,0.38,0.385,0.385,48362
2025-06-25,0.38,0.38,0.375,0.375,0.375,81590
2025-06-26,0.38,0.38,0.37,0.37,0.37,75321
2025-06-27,0.37,0.37,0.36,0.37,0.37,106837
2025-06-30,0.3675,0.37,0.355,0.37,0.37,50627
