Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.85,2.85,2.76,2.77,2.77,634072
2025-07-23,2.78,2.8,2.76,2.77,2.77,636553
2025-07-24,2.79,2.81,2.74,2.75,2.75,396588
2025-07-25,2.76,2.77,2.7,2.7,2.7,296251
2025-07-28,2.7,2.74,2.685,2.74,2.74,506674
2025-07-29,2.75,2.76,2.69,2.75,2.75,1755923
2025-07-30,2.78,2.825,2.74,2.8,2.8,587547
2025-07-31,2.79,2.8,2.765,2.79,2.79,429127
2025-08-01,2.79,2.79,2.73,2.76,2.76,904270
2025-08-04,2.76,2.81,2.66,2.66,2.66,653409
2025-08-05,2.71,2.71,2.66,2.67,2.67,629350
2025-08-06,2.67,2.71,2.66,2.7,2.7,709823
2025-08-07,2.71,2.74,2.7,2.72,2.72,537909
2025-08-08,2.73,2.74,2.69,2.74,2.74,546456
2025-08-11,2.74,2.77,2.72,2.76,2.76,302600
2025-08-12,2.76,2.79,2.73,2.79,2.79,519039
2025-08-13,2.81,2.815,2.77,2.79,2.79,803667
2025-08-14,2.79,2.84,2.79,2.8,2.8,933654
2025-08-15,2.83,2.85,2.8,2.84,2.84,449979
2025-08-18,2.75,2.87,2.75,2.86,2.86,503687
2025-08-19,2.82,2.87,2.79,2.8,2.8,640208
2025-08-20,2.81,2.87,2.765,2.8,2.8,1214097
2025-08-21,2.8,2.8,2.72,2.76,2.76,924723
2025-08-22,2.75,2.78,2.68,2.78,2.78,1140283
2025-08-25,2.78,2.81,2.75,2.77,2.77,775791
2025-08-26,2.8,2.8,2.71,2.75,2.75,1143673
2025-08-27,2.77,2.78,2.735,2.77,2.77,370389
2025-08-28,2.75,2.81,2.74,2.79,2.79,402724
2025-08-29,2.75,2.9,2.75,2.88,2.88,1331275
2025-09-01,2.8,2.9,2.8,2.85,2.85,1106979
2025-09-02,2.84,2.955,2.83,2.95,2.95,694532
2025-09-03,2.94,2.99,2.94,2.98,2.98,914874
2025-09-04,2.98,3,2.93,2.93,2.93,1490559
2025-09-05,2.99,2.99,2.845,2.9,2.9,984285
2025-09-08,2.88,2.9,2.83,2.85,2.85,569083
2025-09-09,2.85,2.88,2.79,2.81,2.81,550527
2025-09-10,2.74,2.845,2.74,2.79,2.79,608047
2025-09-11,2.8,2.8,2.7,2.72,2.72,774661
2025-09-12,2.73,2.75,2.695,2.72,2.72,527778
2025-09-15,2.7,2.86,2.69,2.82,2.82,906641
2025-09-16,2.87,2.87,2.79,2.85,2.85,733019
2025-09-17,2.86,2.86,2.81,2.82,2.82,538626
2025-09-18,2.83,2.97,2.79,2.82,2.82,614673
2025-09-19,2.83,2.86,2.79,2.79,2.79,2016685
2025-09-22,2.87,2.87,2.71,2.71,2.71,549755
2025-09-23,2.71,2.735,2.68,2.7,2.7,494257
2025-09-24,2.69,2.74,2.68,2.74,2.74,368858
2025-09-25,2.71,2.8,2.71,2.78,2.78,718282
2025-09-26,2.76,2.855,2.76,2.84,2.84,713695
2025-09-29,2.85,2.92,2.82,2.91,2.91,730163
2025-09-30,2.86,2.97,2.86,2.92,2.92,1403786
2025-10-01,2.92,2.98,2.88,2.96,2.96,763175
2025-10-02,2.96,3.05,2.96,3.01,3.01,765316
2025-10-03,2.9,3.1,2.9,3.07,3.07,411774
2025-10-06,3.1,3.125,3.05,3.06,3.06,471032
2025-10-07,3.05,3.11,3.04,3.08,3.08,822368
2025-10-08,3.07,3.09,2.96,2.99,2.99,2685304
2025-10-09,2.98,2.98,2.92,2.95,2.95,1077335
2025-10-10,2.9,2.905,2.84,2.9,2.9,579329
2025-10-13,2.84,2.855,2.755,2.85,2.85,959870
2025-10-14,2.76,2.84,2.75,2.8,2.8,870743
2025-10-15,2.83,2.83,2.75,2.77,2.77,780009
2025-10-16,2.78,2.79,2.74,2.78,2.78,613161
2025-10-17,2.76,2.8,2.76,2.78,2.78,463769
2025-10-20,2.78,2.805,2.74,2.75,2.75,521076
2025-10-21,2.76,2.785,2.74,2.77,2.77,492998
2025-10-22,2.83,2.83,2.775,2.78,2.78,394008
2025-10-23,2.76,2.81,2.76,2.79,2.79,325394
2025-10-24,2.81,2.865,2.785,2.85,2.85,699088
2025-10-27,2.9,2.91,2.85,2.88,2.88,528645
2025-10-28,2.88,2.88,2.755,2.78,2.78,585359
2025-10-29,2.78,2.82,2.75,2.75,2.75,503243
2025-10-30,2.76,2.83,2.76,2.82,2.82,521686
2025-10-31,2.84,2.86,2.82,2.86,2.86,557393
2025-11-03,2.85,2.87,2.835,2.85,2.85,855256
2025-11-04,2.86,2.96,2.86,2.9,2.9,1091249
2025-11-05,2.91,2.98,2.9,2.97,2.97,746563
2025-11-06,3,3.075,2.985,3.06,3.06,1288302
2025-11-07,3.05,3.08,3.01,3.04,3.04,1325786
2025-11-10,3.035,3.07,3.01,3.04,3.04,1037642
2025-11-11,3.04,3.06,3.02,3.04,3.04,855205
2025-11-12,3.04,3.1,3.025,3.08,3.08,570211
2025-11-13,3.08,3.12,3.015,3.04,3.04,1719082
2025-11-14,2.99,3.04,2.97,2.97,2.97,491890
2025-11-17,3.03,3.03,2.95,2.96,2.96,624539
2025-11-18,3.05,3.05,2.93,2.95,2.95,449345
2025-11-19,2.96,2.96,2.9,2.93,2.93,519295
2025-11-20,2.93,2.96,2.905,2.91,2.91,492577
2025-11-21,2.88,2.94,2.86,2.91,2.91,1320383
2025-11-24,3.05,3.05,2.84,2.88,2.88,720276
2025-11-25,2.85,2.91,2.845,2.86,2.86,531053
2025-11-26,2.9,2.93,2.855,2.89,2.89,712142
2025-11-27,2.91,2.91,2.85,2.88,2.88,714625
2025-11-28,2.87,2.94,2.865,2.93,2.93,1187946
2025-12-01,2.87,3.03,2.87,3.03,3.03,585906
2025-12-02,3.01,3.06,2.99,3.06,3.06,714649
2025-12-03,2.91,3.05,2.91,3.05,3.05,1163114
2025-12-04,3.02,3.105,2.97,3.1,3.1,871216
2025-12-05,3.09,3.21,3.07,3.21,3.21,1028485
2025-12-08,3.23,3.27,3.15,3.22,3.22,1060709
2025-12-09,3.2,3.26,3.19,3.21,3.21,747109
2025-12-10,3.26,3.26,3.11,3.19,3.19,1205510
2025-12-11,3.22,3.23,3.17,3.22,3.22,702968
2025-12-12,3.25,3.25,3.18,3.22,3.22,1368307
2025-12-15,3.17,3.25,3.11,3.17,3.17,1157707
2025-12-16,3.17,3.22,3.15,3.17,3.17,1361273
2025-12-17,3.16,3.215,3.1,3.19,3.19,1713684
2025-12-18,3.18,3.24,3.16,3.24,3.24,1519050
2025-12-19,3.05,3.21,3.05,3.15,3.15,1505044
2025-12-22,3.1,3.22,3.1,3.19,3.19,523807
2025-12-23,3.19,3.25,3.14,3.17,3.17,488167
2025-12-24,3.15,3.18,3.11,3.13,3.13,285844
2025-12-29,3.14,3.205,3.14,3.14,3.14,228108
2025-12-30,3.14,3.205,3.14,3.16,3.16,387191
2025-12-31,3.15,3.175,3.12,3.12,3.12,328447
2026-01-02,3.12,3.17,3.12,3.15,3.15,236146
2026-01-05,3.13,3.25,3.13,3.23,3.23,392564
2026-01-06,3.27,3.35,3.24,3.28,3.28,698804
2026-01-07,3.18,3.32,3.18,3.25,3.25,446277
2026-01-08,3.34,3.34,3.22,3.28,3.28,475154
2026-01-09,3.34,3.34,3.19,3.22,3.22,780357
2026-01-12,3.32,3.32,3.23,3.24,3.24,428295
2026-01-13,3.22,3.28,3.2,3.21,3.21,743309
2026-01-14,3.22,3.24,3.18,3.21,3.21,357754
2026-01-15,3.21,3.3,3.19,3.24,3.24,924357
2026-01-16,3.26,3.37,3.26,3.36,3.36,578780
2026-01-19,3.37,3.39,3.27,3.28,3.28,852858
2026-01-20,3.29,3.43,3.29,3.34,3.34,1025186
2026-01-21,3.26,3.3,3.26,3.29,3.29,599194
2026-01-22,3.28,3.385,3.28,3.34,3.34,465957
2026-01-23,3.34,3.41,3.33,3.36,3.36,911465
2026-01-27,3.44,3.44,3.31,3.35,3.35,929150
2026-01-28,3.38,3.38,3.33,3.35,3.35,585483
2026-01-29,3.27,3.3,3.18,3.22,3.22,1498159
2026-01-30,3.25,3.27,3.19,3.25,3.25,2297976
2026-02-02,3.18,3.25,3.18,3.23,3.23,1465662
2026-02-03,3.24,3.26,3.2,3.23,3.23,777644
2026-02-04,3.25,3.26,3.15,3.22,3.22,1265190
2026-02-05,3.25,3.25,3.15,3.15,3.15,389756
2026-02-06,3.03,3.11,3.02,3.03,3.03,542460
2026-02-09,3.08,3.16,3.01,3.1,3.1,1569084
2026-02-10,3.15,3.19,3.12,3.15,3.15,449555
2026-02-11,3,3.21,3,3.2,3.2,430873
2026-02-12,3.2,3.2,3.14,3.15,3.15,414392
2026-02-13,3.11,3.16,3.06,3.09,3.09,297158
2026-02-16,3.07,3.08,3,3.03,3.03,1170855
2026-02-17,2.98,3.04,2.95,3.01,3.01,835069
2026-02-18,3.01,3.05,2.88,3,3,1439680
2026-02-19,3,3.09,2.945,3.07,3.07,5185905
2026-02-20,2.98,3.04,2.94,2.98,2.98,884307
2026-02-23,2.89,3.02,2.89,2.96,2.96,534893
2026-02-24,2.96,2.99,2.925,2.97,2.97,421744
2026-02-25,3,3,2.9,2.96,2.96,688829
2026-02-26,2.99,2.99,2.94,2.95,2.95,440266
2026-02-27,2.93,2.98,2.9,2.95,2.95,1907857
2026-03-02,2.93,2.965,2.86,2.91,2.91,810997
2026-03-03,2.93,3.06,2.915,2.92,2.92,852678
2026-03-04,2.9,2.92,2.87,2.89,2.89,674590
2026-03-05,2.87,2.96,2.87,2.93,2.93,824622
2026-03-06,2.87,2.92,2.87,2.91,2.91,509206
