Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.18,1.185,1.155,1.17,1.17,2182671
2025-07-23,1.17,1.18,1.125,1.13,1.13,1102320
2025-07-24,1.15,1.15,1.1,1.145,1.145,952181
2025-07-25,1.14,1.1575,1.125,1.15,1.15,948304
2025-07-28,1.15,1.16,1.115,1.125,1.125,696813
2025-07-29,1.11,1.11,1.09,1.09,1.09,871453
2025-07-30,1.09,1.11,1.06,1.085,1.085,1483891
2025-07-31,1.035,1.0575,1.01,1.04,1.04,1705801
2025-08-01,1.04,1.045,1.015,1.03,1.03,1211272
2025-08-04,1.03,1.0525,1.02,1.045,1.045,1293916
2025-08-05,1.045,1.07,1,1.01,1.01,2848561
2025-08-06,1.04,1.065,1.04,1.05,1.05,1630753
2025-08-07,1.055,1.07,1.04,1.07,1.07,2301560
2025-08-08,1.07,1.09,1.06,1.085,1.085,890428
2025-08-11,1.1,1.115,1.075,1.08,1.08,1136379
2025-08-12,1.09,1.105,1.075,1.08,1.08,858740
2025-08-13,1.09,1.155,1.075,1.15,1.15,1534522
2025-08-14,1.155,1.25,1.155,1.205,1.205,4914336
2025-08-15,1.185,1.215,1.16,1.185,1.185,1974400
2025-08-18,1.165,1.195,1.16,1.19,1.19,1635368
2025-08-19,1.21,1.235,1.185,1.225,1.225,1771058
2025-08-20,1.2,1.2,1.15,1.185,1.185,1605157
2025-08-21,1.2,1.24,1.2,1.2,1.2,1903897
2025-08-22,1.22,1.235,1.195,1.195,1.195,1623437
2025-08-25,1.2,1.225,1.18,1.19,1.19,1657077
2025-08-26,1.19,1.245,1.18,1.24,1.24,1571720
2025-08-27,1.26,1.31,1.245,1.25,1.25,1774454
2025-08-28,1.255,1.255,1.2025,1.205,1.205,1656685
2025-08-29,1.22,1.245,1.215,1.24,1.24,1202749
2025-09-01,1.245,1.245,1.195,1.21,1.21,2292136
2025-09-02,1.2,1.22,1.1875,1.2,1.2,1488725
2025-09-03,1.2,1.255,1.18,1.205,1.205,2917684
2025-09-04,1.2,1.245,1.185,1.205,1.205,2710711
2025-09-05,1.2,1.2425,1.195,1.23,1.23,1364777
2025-09-08,1.255,1.26,1.185,1.2,1.2,1658928
2025-09-09,1.185,1.21,1.1425,1.2,1.2,3219806
2025-09-10,1.185,1.2,1.165,1.19,1.19,2147837
2025-09-11,1.185,1.215,1.17,1.175,1.175,2155224
2025-09-12,1.19,1.215,1.185,1.21,1.21,1976207
2025-09-15,1.2,1.21,1.145,1.16,1.16,1916942
2025-09-16,1.18,1.19,1.125,1.165,1.165,3751012
2025-09-17,1.145,1.155,1.09,1.115,1.115,3784154
2025-09-18,1.1,1.155,1.09,1.155,1.155,6337356
2025-09-19,1.17,1.205,1.16,1.205,1.205,29602125
2025-09-22,1.19,1.32,1.19,1.315,1.315,4071927
2025-09-23,1.295,1.365,1.29,1.36,1.36,5008216
2025-09-24,1.36,1.39,1.335,1.39,1.39,4599678
2025-09-25,1.415,1.43,1.33,1.345,1.345,5144071
2025-09-26,1.32,1.37,1.3,1.365,1.365,2899386
2025-09-29,1.385,1.4,1.33,1.36,1.36,2547889
2025-09-30,1.38,1.39,1.32,1.335,1.335,4281212
2025-10-01,1.305,1.32,1.2675,1.285,1.285,2596986
2025-10-02,1.28,1.355,1.27,1.335,1.335,3298231
2025-10-03,1.325,1.3275,1.26,1.275,1.275,3420593
2025-10-06,1.305,1.315,1.255,1.295,1.295,1691684
2025-10-07,1.3,1.33,1.25,1.3,1.3,2404358
2025-10-08,1.3,1.3025,1.265,1.3,1.3,913730
2025-10-09,1.385,1.405,1.3,1.375,1.375,5936532
2025-10-10,1.35,1.375,1.325,1.33,1.33,3210097
2025-10-13,1.31,1.36,1.28,1.32,1.32,3422002
2025-10-14,1.36,1.45,1.36,1.415,1.415,4037835
2025-10-15,1.385,1.405,1.35,1.385,1.385,3973392
2025-10-16,1.445,1.73,1.445,1.69,1.69,8341819
2025-10-17,1.69,1.7,1.56,1.605,1.605,3967728
2025-10-20,1.55,1.58,1.515,1.565,1.565,2635730
2025-10-21,1.61,1.625,1.56,1.615,1.615,3283041
2025-10-22,1.5,1.53,1.465,1.525,1.525,3680727
2025-10-23,1.555,1.6225,1.54,1.58,1.58,4573122
2025-10-24,1.61,1.64,1.585,1.6,1.6,2109747
2025-10-27,1.765,1.865,1.69,1.78,1.78,10203887
2025-10-28,1.7,1.755,1.645,1.7,1.7,4838579
2025-10-29,1.715,1.805,1.68,1.79,1.79,6882750
2025-10-30,1.8,1.86,1.735,1.76,1.76,3884841
2025-10-31,1.77,1.92,1.76,1.9,1.9,4729807
2025-11-03,1.92,1.95,1.87,1.88,1.88,4481249
2025-11-04,1.91,1.925,1.815,1.87,1.87,2826769
2025-11-05,1.775,1.79,1.695,1.765,1.765,3624086
2025-11-06,1.83,1.85,1.775,1.79,1.79,10075126
2025-11-07,1.75,1.765,1.6,1.62,1.62,6070611
2025-11-10,1.785,1.85,1.775,1.835,1.835,5028818
2025-11-11,1.84,1.86,1.785,1.795,1.795,2132869
2025-11-12,1.84,1.84,1.785,1.82,1.82,1415262
2025-11-13,1.83,1.85,1.785,1.82,1.82,2057606
2025-11-14,1.74,1.79,1.675,1.78,1.78,1676215
2025-11-17,1.785,1.8225,1.74,1.805,1.805,1907764
2025-11-18,1.82,1.86,1.68,1.7,1.7,2388354
2025-11-19,1.78,1.785,1.72,1.735,1.735,2515131
2025-11-20,1.77,1.805,1.725,1.785,1.785,1634809
2025-11-21,1.755,1.755,1.63,1.63,1.63,2966169
2025-11-24,1.66,1.695,1.64,1.67,1.67,1793364
2025-11-25,1.745,1.78,1.695,1.735,1.735,2276332
2025-11-26,1.77,1.82,1.72,1.82,1.82,2127185
2025-11-27,1.84,1.85,1.8,1.8,1.8,2046628
2025-11-28,1.8,1.88,1.785,1.87,1.87,2043727
2025-12-01,1.92,1.98,1.885,1.945,1.945,3734634
2025-12-02,1.945,1.945,1.945,1.945,1.945,0
2025-12-03,1.945,1.945,1.945,1.945,1.945,0
2025-12-04,1.76,1.8625,1.76,1.83,1.83,5736507
2025-12-05,1.835,1.86,1.775,1.8,1.8,3206488
2025-12-08,1.88,1.88,1.78,1.85,1.85,3552754
2025-12-09,1.845,1.845,1.77,1.775,1.775,2632578
2025-12-10,1.805,1.8325,1.78,1.815,1.815,2303812
2025-12-11,1.84,1.9,1.8025,1.86,1.86,9783547
2025-12-12,1.9,2.015,1.8875,2,2,7119531
2025-12-15,2,2.01,1.8775,1.895,1.895,3368329
2025-12-16,1.91,1.93,1.8275,1.855,1.855,2880083
2025-12-17,1.85,1.935,1.8125,1.915,1.915,3423742
2025-12-18,1.88,1.925,1.84,1.92,1.92,1945326
2025-12-19,1.93,2.02,1.86,2.02,2.02,10353349
2025-12-22,2.02,2.1,1.98,2.1,2.1,12673370
2025-12-23,2.09,2.09,2.04,2.09,2.09,2560052
2025-12-24,2.09,2.15,2.07,2.11,2.11,2938489
2025-12-29,2.16,2.175,2.07,2.13,2.13,5323950
2025-12-30,1.99,2.09,1.925,2.09,2.09,5471901
2025-12-31,2.09,2.09,2.06,2.09,2.09,1083750
2026-01-02,2.06,2.08,2.01,2.06,2.06,2101062
2026-01-05,2.03,2.1,1.99,2.1,2.1,4101343
2026-01-06,2.13,2.14,2.02,2.06,2.06,5789946
2026-01-07,2.12,2.13,2.02,2.03,2.03,3169928
2026-01-08,2.02,2.055,1.99,2.02,2.02,1557422
2026-01-09,2,2.03,1.9,1.92,1.92,2177646
2026-01-12,2,2.07,1.985,2.01,2.01,4854729
2026-01-13,2.08,2.11,2.02,2.04,2.04,10694095
2026-01-14,2.08,2.08,1.955,1.985,1.985,5714437
2026-01-15,2.05,2.05,1.975,1.99,1.99,4563883
2026-01-16,2.02,2.07,1.955,1.975,1.975,3729663
2026-01-19,2,2.08,1.98,2.07,2.07,2596149
2026-01-20,2.05,2.07,2.01,2.05,2.05,5235628
2026-01-21,2.04,2.1,2,2.08,2.08,2766455
2026-01-22,2.07,2.1,2.035,2.08,2.08,1562140
2026-01-23,2.15,2.18,2.08,2.08,2.08,4337618
2026-01-27,2.18,2.2,2.1,2.11,2.11,5145764
2026-01-28,2.11,2.19,2.11,2.18,2.18,2371784
2026-01-29,2.21,2.3,2.09,2.28,2.28,5662964
2026-01-30,2.22,2.25,2.07,2.1,2.1,3828708
2026-02-02,1.96,2.01,1.905,1.94,1.94,5452400
2026-02-03,1.96,2.08,1.935,1.975,1.975,3954737
2026-02-04,2.02,2.05,1.96,2.05,2.05,3347360
2026-02-05,1.975,2.03,1.8925,1.925,1.925,2934938
2026-02-06,1.85,1.85,1.71,1.775,1.775,10133216
2026-02-09,1.84,1.95,1.83,1.94,1.94,10599559
2026-02-10,2,2,1.935,1.96,1.96,3636966
2026-02-11,1.99,2.02,1.96,1.965,1.965,4530601
