Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,12.82,13.05,12.82,13,12.5599,940069
2025-07-23,13.05,13.36,13.04,13.34,12.8884,924170
2025-07-24,13.38,13.43,13.26,13.29,12.8401,715878
2025-07-25,13.29,13.33,13.15,13.15,12.7049,546079
2025-07-28,13.21,13.37,13.11,13.22,12.7725,887369
2025-07-29,13.18,13.18,12.69,12.74,12.3087,1562449
2025-07-30,12.83,13.04,12.76,12.88,12.444,1059590
2025-07-31,12.2,12.23,11.66,11.94,11.5358,5701636
2025-08-01,11.95,12.39,11.95,12.32,11.9029,2082081
2025-08-04,12.19,12.305,12.13,12.22,11.8063,1094109
2025-08-05,12.4,12.62,12.3,12.4,11.9802,1807908
2025-08-06,12.4,12.53,12.33,12.36,11.9416,1250688
2025-08-07,12.4,12.77,12.395,12.74,12.3087,1415032
2025-08-08,12.67,12.87,12.62,12.8,12.3667,904576
2025-08-11,12.74,12.78,12.615,12.75,12.3184,822233
2025-08-12,12.7,12.835,12.655,12.74,12.3087,699052
2025-08-13,12.86,12.9,12.76,12.89,12.4537,594309
2025-08-14,12.9,13.15,12.88,13.15,12.7049,971921
2025-08-15,13.17,13.31,13.09,13.28,12.8304,1126688
2025-08-18,13.25,13.35,13.08,13.11,12.6662,750775
2025-08-19,13.05,13.12,12.96,13.11,12.6662,869622
2025-08-20,13.22,13.28,12.87,12.92,12.4826,787389
2025-08-21,12.99,13.17,12.95,13.14,12.6952,604174
2025-08-22,13.05,13.1,12.88,12.99,12.5503,935343
2025-08-25,13.16,13.26,13.03,13.13,12.6855,880160
2025-08-26,13.13,13.17,12.81,12.93,12.4923,1195507
2025-08-27,12.63,12.69,12.15,12.38,11.9609,2913034
2025-08-28,12.85,13.07,12.26,12.69,12.2604,10018424
2025-08-29,12.75,13.25,12.745,13.03,12.5889,1977511
2025-09-01,12.95,13.11,12.77,12.78,12.3474,1604849
2025-09-02,12.75,12.8,12.5,12.53,12.1058,1338868
2025-09-03,12.5,12.65,12.28,12.32,11.9029,1352219
2025-09-04,12.32,12.47,12.29,12.36,11.9416,1262782
2025-09-05,12.46,12.57,12.38,12.38,11.9609,1117296
2025-09-08,12.4,12.51,12.22,12.28,11.8643,1326967
2025-09-09,12.3,12.38,12.25,12.27,11.8546,2217341
2025-09-10,12.25,12.28,12.12,12.18,11.7677,1515942
2025-09-11,12.16,12.25,12.06,12.12,11.7097,1105333
2025-09-12,12.12,12.22,12.06,12.09,11.6807,1096565
2025-09-15,12.1,12.195,12.055,12.19,11.7773,785821
2025-09-16,12.19,12.47,12.19,12.44,12.0189,1217768
2025-09-17,12.1,12.2,12.03,12.1,11.9694,1359469
2025-09-18,12.11,12.19,12.07,12.07,11.9397,1841136
2025-09-19,12.08,12.38,12.08,12.09,11.9595,9743896
2025-09-22,12.11,12.37,12.1,12.3,12.1673,1615631
2025-09-23,12.12,12.43,12.05,12.34,12.2068,1464382
2025-09-24,12.28,12.3,12.13,12.23,12.098,2040133
2025-09-25,12.2,12.4,12.15,12.24,12.1079,2245552
2025-09-26,12.19,12.25,12.06,12.07,11.9397,2498220
2025-09-29,12.17,12.17,11.83,11.9,11.7716,1579568
2025-09-30,11.94,11.98,11.57,11.57,11.4451,2465222
2025-10-01,11.6,11.63,11.41,11.47,11.3462,1782537
2025-10-02,11.51,11.88,11.51,11.83,11.7023,1221518
2025-10-03,11.83,12,11.8,11.92,11.7914,782105
2025-10-06,11.95,11.96,11.73,11.81,11.6826,752047
2025-10-07,11.85,12.05,11.53,11.57,11.4451,1257383
2025-10-08,11.59,11.6,11.41,11.58,11.455,1145001
2025-10-09,11.59,11.78,11.5,11.65,11.5243,1384983
2025-10-10,11.65,12.02,11.625,12.01,11.8804,1267529
2025-10-13,11.75,11.83,11.68,11.71,11.5836,1017054
2025-10-14,11.74,11.93,11.62,11.89,11.7617,1758243
2025-10-15,11.99,12.11,11.94,12.02,11.8903,1326566
2025-10-16,12.06,12.24,11.89,12.22,12.0881,1355448
2025-10-17,12.18,12.18,12.01,12.15,12.0189,1715083
2025-10-20,12.08,12.22,11.9,11.91,11.7815,1059448
2025-10-21,11.96,12.245,11.96,12,11.8705,1403627
2025-10-22,12.1,12.15,11.81,11.86,11.732,1077056
2025-10-23,11.86,12.06,11.8,12.03,11.9002,1482880
2025-10-24,12,12.4,11.98,12.38,12.2464,1702987
2025-10-27,12.38,12.42,12.2,12.35,12.2167,753029
2025-10-28,12.3,12.39,12.15,12.24,12.1079,1056009
2025-10-29,12.22,12.33,12.09,12.15,12.0189,740176
2025-10-30,12.08,12.4,12,12.31,12.1772,1139713
2025-10-31,12.24,12.4,12.18,12.31,12.1772,972509
2025-11-03,12.39,12.39,12.12,12.19,12.0585,843432
2025-11-04,12.19,12.24,12.06,12.21,12.0782,634535
2025-11-05,12.18,12.21,11.77,11.86,11.732,1365493
2025-11-06,11.99,12.03,11.63,11.7,11.5737,1071940
2025-11-07,11.7,11.77,11.43,11.46,11.3363,1111811
2025-11-10,11.7,11.85,11.64,11.82,11.6924,1114000
2025-11-11,11.9,12.13,11.9,12.11,11.9793,1931396
2025-11-12,12.46,12.94,12.18,12.23,12.098,2181319
2025-11-13,12.46,13.13,12.35,13.13,12.9883,3399709
2025-11-14,13.02,13.04,12.77,13,12.8597,1756264
2025-11-17,13.01,13.14,12.94,13.1,12.9586,1092968
2025-11-18,12.76,12.83,12.33,12.41,12.2761,2791944
2025-11-19,12.46,12.48,12.09,12.14,12.009,1016056
2025-11-20,12.15,12.33,11.96,12,11.8705,1292016
2025-11-21,11.88,12.1,11.675,12.06,11.9299,1277176
2025-11-24,12.25,12.4,12.15,12.4,12.2662,1042446
2025-11-25,12.41,12.6,12.33,12.43,12.2959,835895
2025-11-26,12.49,12.81,12.49,12.71,12.5728,1010011
2025-11-27,12.68,12.76,12.615,12.7,12.5629,406486
2025-11-28,12.77,13.75,12.75,13.53,13.384,3831187
2025-12-01,13.5,14.1,13.46,13.8,13.6511,3019730
2025-12-02,13.7,13.77,13.46,13.55,13.4038,1234680
2025-12-03,13.6,13.815,13.56,13.61,13.4631,1186020
2025-12-04,13.8,13.82,13.54,13.76,13.6115,942555
2025-12-05,13.75,13.76,13.56,13.65,13.5027,542228
2025-12-08,13.62,13.7,13.53,13.59,13.4433,486597
2025-12-09,13.6,13.68,13.5,13.63,13.4829,563825
2025-12-10,13.95,14.05,13.7,13.97,13.8192,2081752
2025-12-11,14.7,15.27,14.57,14.72,14.5612,4497675
2025-12-12,15.1,15.1,14.715,14.81,14.6502,1751725
2025-12-15,14.9,15.15,14.81,15.04,14.8777,2284931
2025-12-16,14.85,15.13,14.85,14.95,14.7887,1132639
2025-12-17,14.9,15.28,14.88,15.11,14.9469,1427376
2025-12-18,15.26,15.35,14.97,15.17,15.0063,2025085
2025-12-19,15.27,15.41,15.095,15.41,15.2437,3154842
2025-12-22,15.39,15.39,15.08,15.21,15.0459,987998
2025-12-23,15.1,15.26,15.09,15.19,15.0261,743688
2025-12-24,15.08,15.23,15.03,15.23,15.0656,279658
2025-12-29,15.05,15.16,14.99,15.05,14.8876,535128
2025-12-30,15.05,15.1,14.88,14.91,14.7491,898199
2025-12-31,14.85,15.01,14.8,15.01,14.848,446122
2026-01-02,14.99,15.04,14.88,15,14.8381,362096
2026-01-05,15,15.02,14.76,14.89,14.7293,963202
2026-01-06,14.9,14.95,14.64,14.66,14.5018,1113772
2026-01-07,14.85,15.04,14.66,14.86,14.6996,822326
2026-01-08,14.87,15.01,14.85,14.95,14.7887,481415
2026-01-09,15.01,15.13,14.93,15.02,14.8579,753364
2026-01-12,15.01,15.21,15.005,15.15,14.9865,682329
2026-01-13,15.1,15.28,15.03,15.03,14.8678,926067
2026-01-14,15.01,15.18,14.89,15.12,14.9568,593471
2026-01-15,15.1,15.2,15.07,15.18,15.0162,874152
2026-01-16,15.2,15.79,15.18,15.69,15.5207,1459130
2026-01-19,15.7,15.97,15.67,15.84,15.6691,1325570
2026-01-20,15.87,15.94,15.37,15.63,15.4613,1512701
2026-01-21,15.6,15.69,15.33,15.45,15.2833,925997
2026-01-22,15.46,15.59,15.36,15.5,15.3327,695439
2026-01-23,15.57,15.68,15.45,15.52,15.3525,811792
2026-01-27,15.52,15.68,15.36,15.46,15.2932,1045177
2026-01-28,15.52,15.62,15.42,15.62,15.4514,713915
2026-01-29,15.62,15.63,15.42,15.62,15.4514,570384
2026-01-30,15.68,16.2,15.66,16.2,16.0252,1951903
2026-02-02,16.18,16.56,16,16.14,15.9658,1623524
2026-02-03,16.27,16.45,16.12,16.45,16.2725,1166580
2026-02-04,16.1,16.2,15.29,15.31,15.1448,2218112
2026-02-05,15.53,15.64,15.25,15.39,15.2239,1205204
2026-02-06,15.15,15.15,13.685,13.81,13.661,4452547
2026-02-09,14.5,14.8,14.4,14.66,14.5018,1940561
2026-02-10,14.73,15.01,14.72,14.87,14.7095,832875
2026-02-11,14.8,14.97,14.75,14.97,14.8085,547575
2026-02-12,14.97,14.97,14.26,14.26,14.1061,1331620
2026-02-13,14,14.31,13.91,14.05,13.8984,1278228
2026-02-16,14,14.17,13.85,14,13.8489,743258
2026-02-17,14.11,14.16,13.87,13.89,13.7401,749228
2026-02-18,13.95,14.045,13.78,13.86,13.7104,1018543
2026-02-19,14,14.28,13.9,14.14,13.9874,1044290
2026-02-20,14.02,14.15,13.96,14.01,13.8588,840480
2026-02-23,14.01,14.04,13.705,13.74,13.5917,1246752
2026-02-24,13.41,13.5,13.15,13.28,13.1367,2571198
2026-02-25,13.92,13.92,12.75,12.85,12.7113,3548400
2026-02-26,12.93,12.95,12.55,12.69,12.5531,3078370
2026-02-27,12.8,12.95,12.6,12.9,12.7608,2800187
2026-03-02,11.9,12.52,11.59,12.17,12.0387,3426599
2026-03-03,12.08,12.21,11.8,11.95,11.821,3599847
2026-03-04,11.91,12.07,11.76,11.82,11.6924,2108490
2026-03-05,12.07,12.31,12.01,12.15,12.0189,1794354
2026-03-06,12.13,12.29,12.05,12.17,12.0387,1830529
2026-03-09,11.8,11.91,11.64,11.9,11.7716,2081154
2026-03-10,12.2,12.2,11.95,11.99,11.8606,1097841
2026-03-11,12.05,12.1,11.76,11.94,11.8112,1521189
2026-03-12,11.78,11.88,11.42,11.61,11.4847,2648963
2026-03-13,11.41,11.5,11.25,11.32,11.1978,2176021
2026-03-16,11.3,11.46,11.22,11.26,11.1385,1372467
2026-03-17,11.3,11.48,11.28,11.47,11.3462,994659
2026-03-18,11.47,11.895,11.47,11.83,11.7023,959456
2026-03-19,11.7,11.73,11.5,11.54,11.4155,1080809
2026-03-20,11.54,11.66,11.43,11.47,11.3462,1330891
2026-03-23,11.3,11.37,11.25,11.3,11.1781,994083
2026-03-24,11.58,11.58,11.03,11.12,11,1590509
2026-03-25,11.21,11.61,11.21,11.46,11.46,1398791
2026-03-26,11.33,11.4,11.09,11.14,11.14,1411287
2026-03-27,10.99,11.07,10.9,10.97,10.97,1468343
2026-03-30,10.89,10.96,10.43,10.49,10.49,1954167
2026-03-31,10.55,10.8,10.45,10.66,10.66,1941079
2026-04-01,10.96,11.19,10.95,11.17,11.17,1598533
2026-04-02,11.01,11.23,10.74,10.74,10.74,1647618
2026-04-07,11.12,11.47,11.06,11.09,11.09,1148327
2026-04-08,11.65,12.2,11.65,11.9,11.9,2755154
2026-04-09,11.68,11.7,11.4,11.42,11.42,1330802
2026-04-10,11.4,11.49,11.31,11.4,11.4,844200
2026-04-13,11.22,11.5,11.1,11.3,11.3,1083096
2026-04-14,11.5,11.57,11.21,11.28,11.28,1414726
2026-04-15,11.7,11.7,11.375,11.54,11.54,1011249
2026-04-16,11.66,11.9,11.65,11.9,11.9,1306914
2026-04-17,11.66,11.9,11.66,11.82,11.82,1413559
2026-04-20,11.88,11.99,11.71,11.83,11.83,1275416
2026-04-21,11.69,11.78,11.4,11.57,11.57,1650182
2026-04-22,11.37,11.46,11.15,11.19,11.19,1987846
2026-04-23,11.1,11.24,10.62,10.74,10.74,2804064
