Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,17.43,17.84,17.34,17.81,16.7502,10918835
2025-07-23,18.08,18.35,18,18.21,17.1264,15368178
2025-07-24,19.05,19.18,18.72,19,17.8694,18822511
2025-07-25,18.44,18.73,18.31,18.35,17.2581,8154973
2025-07-28,18.33,18.39,17.99,18.14,17.0606,8287081
2025-07-29,18.2,18.25,17.8,18.08,17.0042,7090745
2025-07-30,18.06,18.31,18.05,18.19,17.1076,6653831
2025-07-31,17.89,17.95,17.68,17.77,16.7126,8220818
2025-08-01,17.78,18.05,17.725,17.98,16.9101,7273511
2025-08-04,18.09,18.29,18.01,18.25,17.164,6986137
2025-08-05,18.42,18.53,18.28,18.34,17.2487,5418897
2025-08-06,18.42,18.65,18.395,18.58,17.4744,4107551
2025-08-07,18.39,18.58,18.335,18.51,17.4086,5091440
2025-08-08,18.5,18.85,18.4,18.85,17.7283,6013720
2025-08-11,19,19.42,18.94,19.42,18.2644,7293212
2025-08-12,19.42,19.66,19.1,19.66,18.4901,7075329
2025-08-13,20.05,20.11,19.81,19.93,18.7441,7362809
2025-08-14,20.06,20.22,19.5,19.59,18.4243,8536396
2025-08-15,19.8,19.91,19.66,19.84,18.6594,5571140
2025-08-18,19.83,19.885,19.56,19.72,18.5466,4387712
2025-08-19,19.62,19.78,19.48,19.69,18.5184,6107632
2025-08-20,19.59,19.81,19.24,19.38,18.2268,5527477
2025-08-21,19.72,19.745,19.475,19.71,18.5372,5627163
2025-08-22,19.81,19.95,19.5,19.5,18.3397,8087921
2025-08-25,19.85,20.16,19.78,20,18.8099,7920810
2025-08-26,20.07,20.07,19.11,19.22,18.0763,12001385
2025-08-27,19.1,19.29,18.69,19.06,17.9258,9698190
2025-08-28,19.33,19.52,19.2,19.34,18.1892,8247561
2025-08-29,19.44,19.63,19.3,19.3,18.1516,8846416
2025-09-01,18.49,18.52,18.215,18.52,17.9768,8195389
2025-09-02,18.48,18.52,18.33,18.4,17.8604,6058483
2025-09-03,18.23,18.47,18.1,18.33,17.7924,6871476
