Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,33.85,33.85,33.38,33.38,32.9295,721715
2025-07-23,33.43,33.6,33.02,33.23,32.7815,303898
2025-07-24,33.25,33.68,33.21,33.21,32.7618,496338
2025-07-25,33.31,33.39,33.01,33.01,32.5645,247722
2025-07-28,33.45,33.69,33.25,33.3,32.8506,305834
2025-07-29,33.33,33.98,33.21,33.78,33.3241,442774
2025-07-30,33.43,33.8,33.33,33.43,32.9788,554944
2025-07-31,33.63,34.09,33.27,34.09,33.6299,578069
2025-08-01,33.77,33.77,32.755,32.89,32.4461,444130
2025-08-04,32.44,32.99,32.44,32.78,32.3376,277548
2025-08-05,33.15,33.9,33.05,33.7,33.2452,518533
2025-08-06,33.36,33.92,33.19,33.9,33.4425,771655
2025-08-07,33.64,34,33.53,33.95,33.4918,414498
2025-08-08,33.85,34.04,33.45,33.8,33.3438,504161
2025-08-11,33.73,33.98,33.56,33.77,33.3143,196194
2025-08-12,33.8,33.96,33.485,33.61,33.1564,416408
2025-08-13,33.61,33.885,33.485,33.87,33.4129,380294
2025-08-14,33.83,34.12,33.71,33.78,33.3241,406247
2025-08-15,33.82,34.13,33.8,34,33.5412,176555
2025-08-18,33.9,34.43,33.85,33.85,33.3932,188692
2025-08-19,33.98,34.11,33.68,33.9,33.4425,240819
2025-08-20,34.21,34.7,33.91,34.27,33.8075,390422
2025-08-21,34.5,35.31,34.5,34.72,34.2514,406514
2025-08-22,34.65,34.65,34.03,34.07,33.6102,271583
2025-08-25,34.23,34.28,33.66,33.83,33.3734,583404
2025-08-26,34,34,32.86,33.55,33.0972,623012
2025-08-27,34,34,33.21,33.21,32.7618,207918
2025-08-28,33.14,33.26,32.94,32.94,32.4955,150848
2025-08-29,32.98,33.22,32.85,32.85,32.4067,366220
2025-09-01,32.8,33.33,32.65,33.32,32.8703,224768
2025-09-02,33.38,33.59,32.94,33,32.5546,315089
2025-09-03,32.9,33.335,32.79,33.08,32.6336,294081
2025-09-04,33.1,33.42,33,33.28,32.8309,213897
2025-09-05,33.94,34.02,33.2,33.89,33.4326,289692
2025-09-08,33.89,34.45,33.01,34.27,33.8075,220897
2025-09-09,34.6,34.94,34.34,34.39,33.9259,298556
2025-09-10,34.42,34.77,34.29,34.5,34.0344,292021
2025-09-11,34.18,34.34,33.925,34.23,33.768,232562
2025-09-12,33.21,34.42,33.2,34.15,33.6891,225857
2025-09-15,33.95,33.96,33.54,33.79,33.334,147808
2025-09-16,33.79,33.79,33.44,33.54,33.0874,295463
2025-09-17,33.26,33.58,33.15,33.34,32.8901,259747
2025-09-18,33.44,33.46,33.09,33.22,32.7717,293095
2025-09-19,33.4,34.07,33.4,34,33.5412,1061444
2025-09-22,33.96,33.99,33.65,33.78,33.3241,433828
2025-09-23,33.78,33.78,33.2,33.62,33.1663,278001
2025-09-24,33.4,33.68,33.25,33.53,33.0775,440014
2025-09-25,33.03,33.39,31.57,31.87,31.4399,1499525
2025-09-26,31.99,32.23,31.55,31.85,31.4202,471902
