Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,10.2,10.2,10.2,10.2,9.8759,0
2025-07-23,10.2,10.2,10.2,10.2,9.8759,0
2025-07-24,10.2,10.2,10.2,10.2,9.8759,0
2025-07-25,10.2,10.2,10.2,10.2,9.8759,0
2025-07-28,10.2,10.2,10.2,10.2,9.8759,0
2025-07-29,10.2,10.2,10.2,10.2,9.8759,0
2025-07-30,10.2,10.2,10.2,10.2,9.8759,0
2025-07-31,10.2,10.2,10.2,10.2,9.8759,0
2025-08-01,10.2,10.2,10.2,10.2,9.8759,0
2025-08-04,10.2,10.2,10.2,10.2,9.8759,0
2025-08-05,10.2,10.2,10.2,10.2,9.8759,0
2025-08-06,10.2,10.2,10.2,10.2,9.8759,0
2025-08-07,10.2,10.2,10.2,10.2,9.8759,0
2025-08-08,10.22,10.22,10.22,10.22,9.8953,50
2025-08-11,10.22,10.22,10.22,10.22,9.8953,0
2025-08-12,10.22,10.22,10.22,10.22,9.8953,0
2025-08-13,10.22,10.22,10.22,10.22,9.8953,0
2025-08-14,10.22,10.22,10.22,10.22,9.8953,0
2025-08-15,10.22,10.22,10.22,10.22,9.8953,0
2025-08-18,10.22,10.22,10.22,10.22,9.8953,0
2025-08-19,10.22,10.22,10.22,10.22,9.8953,0
2025-08-20,10.22,10.22,10.22,10.22,9.8953,0
2025-08-21,10.22,10.22,10.22,10.22,9.8953,0
2025-08-22,10.22,10.22,10.22,10.22,9.8953,0
2025-08-25,10.22,10.22,10.22,10.22,9.8953,0
2025-08-26,10.22,10.22,10.22,10.22,9.8953,0
2025-08-27,10.7,10.7,10.7,10.7,10.36,1
2025-08-28,10.7,10.7,10.7,10.7,10.36,0
2025-08-29,10.7,10.7,10.7,10.7,10.36,0
2025-09-01,10.7,10.7,10.7,10.7,10.36,0
2025-09-02,10.7,10.7,10.7,10.7,10.36,0
2025-09-03,10.7,10.7,10.7,10.7,10.36,0
2025-09-04,10.7,10.7,10.7,10.7,10.36,0
2025-09-05,10.7,10.7,10.7,10.7,10.36,0
2025-09-08,10.7,10.7,10.7,10.7,10.36,0
2025-09-09,10.7,10.7,10.7,10.7,10.36,0
2025-09-10,10.7,10.7,10.7,10.7,10.36,0
2025-09-11,10.7,10.7,10.7,10.7,10.5451,0
2025-09-12,10.7,10.7,10.7,10.7,10.5451,0
2025-09-15,10.7,10.7,10.7,10.7,10.5451,0
2025-09-16,10.7,10.7,10.7,10.7,10.5451,0
2025-09-17,10.7,10.7,10.7,10.7,10.5451,0
2025-09-18,10.7,10.7,10.7,10.7,10.5451,0
2025-09-19,10.7,10.7,10.7,10.7,10.5451,0
2025-09-22,10.7,10.7,10.7,10.7,10.5451,0
2025-09-23,10.7,10.7,10.7,10.7,10.5451,0
2025-09-24,11.6,11.6,11.6,11.6,11.432,2163
2025-09-25,11.6,11.6,11.6,11.6,11.432,67
2025-09-26,11.6,11.6,11.6,11.6,11.432,0
2025-09-29,11.62,11.8,11.6,11.8,11.6291,402
2025-09-30,12.06,12.07,12.05,12.06,11.8854,19001
2025-10-01,12.06,12.06,12.06,12.06,11.8854,0
2025-10-02,12.06,12.06,12.06,12.06,11.8854,0
2025-10-03,12.06,12.06,12.06,12.06,11.8854,0
2025-10-06,12.07,12.07,12.07,12.07,11.8952,1
2025-10-07,12.08,12.2,12.08,12.2,12.0233,265
2025-10-08,12.2,12.2,12.2,12.2,12.0233,0
2025-10-09,12.2,12.2,12.2,12.2,12.0233,0
2025-10-10,12.2,12.2,12.2,12.2,12.0233,0
2025-10-13,12.2,12.2,12.2,12.2,12.0233,0
2025-10-14,12.2,12.2,12.2,12.2,12.0233,0
2025-10-15,12.2,12.2,12.2,12.2,12.0233,0
2025-10-16,12.2,12.2,12.2,12.2,12.0233,0
2025-10-17,12.2,12.2,12.2,12.2,12.0233,0
2025-10-20,12.2,12.2,12.2,12.2,12.0233,0
2025-10-21,12.2,12.2,12.2,12.2,12.0233,0
2025-10-22,12.2,12.2,12.2,12.2,12.0233,0
2025-10-23,12.23,12.23,12.22,12.22,12.0431,6
2025-10-24,12.22,12.22,12.22,12.22,12.0431,0
2025-10-27,12.22,12.22,12.22,12.22,12.0431,206
2025-10-28,12.22,12.22,12.22,12.22,12.0431,0
2025-10-29,12.22,12.22,12.22,12.22,12.0431,0
2025-10-30,12.22,12.22,12.22,12.22,12.0431,0
2025-10-31,12.22,12.22,12.22,12.22,12.0431,0
2025-11-03,12.22,12.22,12.22,12.22,12.0431,0
2025-11-04,12.22,12.22,12.22,12.22,12.0431,0
2025-11-05,12.22,12.22,12.22,12.22,12.0431,0
2025-11-06,12.22,12.22,12.22,12.22,12.0431,0
2025-11-07,12.23,12.23,12.23,12.23,12.0529,1
2025-11-10,12.23,12.23,12.23,12.23,12.0529,0
2025-11-11,12.23,12.23,12.23,12.23,12.0529,0
2025-11-12,12.35,12.35,12.2,12.2,12.0233,5149
2025-11-13,12.2,12.2,12.2,12.2,12.0233,0
2025-11-14,12.2,12.2,12.2,12.2,12.0233,0
2025-11-17,12.2,12.2,12.2,12.2,12.0233,1
2025-11-18,12.2,12.2,12.2,12.2,12.0233,0
2025-11-19,12.2,12.2,12.2,12.2,12.0233,0
2025-11-20,12.2,12.2,12.2,12.2,12.0233,0
2025-11-21,12.2,12.2,12.2,12.2,12.0233,0
2025-11-24,12.2,12.2,12.2,12.2,12.0233,0
2025-11-25,12.2,12.2,12.2,12.2,12.0233,0
2025-11-26,12.2,12.2,12.2,12.2,12.0233,0
2025-11-27,12.2,12.2,12.2,12.2,12.0233,0
2025-11-28,12.2,12.2,12.2,12.2,12.0233,0
2025-12-01,12.2,12.2,12.2,12.2,12.0233,0
2025-12-02,12.2,12.2,12.2,12.2,12.0233,0
2025-12-03,12.2,12.2,12.2,12.2,12.0233,0
2025-12-04,12.2,12.2,12.2,12.2,12.0233,0
2025-12-05,12.2,12.2,12.2,12.2,12.0233,0
2025-12-08,12.2,12.2,12.2,12.2,12.0233,0
2025-12-09,12.2,12.2,12.2,12.2,12.0233,0
2025-12-10,12.2,12.2,12.2,12.2,12.0233,0
2025-12-11,12.2,12.2,12.2,12.2,12.0233,0
2025-12-12,12.2,12.2,12.2,12.2,12.0233,0
2025-12-15,12.2,12.2,12.2,12.2,12.0233,0
2025-12-16,12.2,12.2,12.2,12.2,12.0233,0
2025-12-17,12.2,12.2,12.2,12.2,12.0233,0
2025-12-18,12.2,12.2,12.2,12.2,12.0233,0
2025-12-19,12.2,12.2,12.2,12.2,12.0233,0
2025-12-22,12.23,12.23,12.2,12.2,12.0233,19679
2025-12-23,12.2,12.2,12.2,12.2,12.0233,0
2025-12-24,12.2,12.2,12.2,12.2,12.0233,0
2025-12-29,12.2,12.2,12.2,12.2,12.0233,0
2025-12-30,12.2,12.2,12.2,12.2,12.0233,0
2025-12-31,12.22,12.22,12.22,12.22,12.0431,4
2026-01-02,12.22,12.22,12.22,12.22,12.0431,0
2026-01-05,12.22,12.22,12.22,12.22,12.0431,0
2026-01-06,12.24,12.24,12.24,12.24,12.0628,1
2026-01-07,12.24,12.24,12.24,12.24,12.0628,0
2026-01-08,12.24,12.24,12.24,12.24,12.0628,0
2026-01-09,12.24,12.24,12.24,12.24,12.0628,0
2026-01-12,12.24,12.24,12.24,12.24,12.0628,0
2026-01-13,12.24,12.24,12.24,12.24,12.0628,0
2026-01-14,12.24,12.24,12.24,12.24,12.0628,0
2026-01-15,12.26,12.26,12.2,12.2,12.0233,14
2026-01-16,12.2,12.2,12.2,12.2,12.0233,0
2026-01-19,12.23,12.23,12.22,12.22,12.0431,41
2026-01-20,12.22,12.22,12.22,12.22,12.0431,0
2026-01-21,12.22,12.22,12.22,12.22,12.0431,0
2026-01-22,12.22,12.22,12.22,12.22,12.0431,0
2026-01-23,12.41,12.41,12.41,12.41,12.2303,211
2026-01-27,12.52,12.52,12.43,12.43,12.25,4
2026-01-28,12.41,12.41,12.41,12.41,12.2303,2
2026-01-29,12.41,12.41,12.41,12.41,12.2303,0
2026-01-30,12.44,12.44,12.43,12.43,12.25,734
2026-02-02,12.43,12.43,12.43,12.43,12.25,0
2026-02-03,12.43,12.43,12.43,12.43,12.25,0
2026-02-04,12.43,12.43,12.43,12.43,12.25,0
2026-02-05,12.43,12.43,12.43,12.43,12.25,0
2026-02-06,12.43,12.43,12.43,12.43,12.25,0
