Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.39,5.46,5.25,5.46,5.0171,888671
2025-07-23,5.43,5.5,5.12,5.42,4.9804,2706131
2025-07-24,5.56,5.66,5.46,5.47,5.0263,1869178
2025-07-25,5.45,5.6,5.4,5.6,5.1458,939880
2025-07-28,5.72,5.87,5.65,5.85,5.3755,1428424
2025-07-29,5.79,5.95,5.7,5.84,5.3663,1334135
2025-07-30,5.84,6,5.73,5.99,5.5041,1516896
2025-07-31,6.01,6.09,5.86,6.06,5.5685,1570867
2025-08-01,6.02,6.03,5.885,6.02,5.5317,1513128
2025-08-04,5.97,5.98,5.865,5.95,5.4674,754631
2025-08-05,6.11,6.28,6.02,6.25,5.7431,3002526
2025-08-06,6.23,6.36,6.12,6.25,5.7431,1675786
2025-08-07,6.18,6.34,6.155,6.29,5.7798,1207329
2025-08-08,6.54,6.61,6.31,6.38,5.8625,2394662
2025-08-11,6.33,6.41,6.18,6.19,5.6879,1326862
2025-08-12,6.21,6.3,6.11,6.29,5.7798,1126580
2025-08-13,6.36,6.375,6.29,6.29,5.7798,794180
2025-08-14,6.32,6.435,6.32,6.38,5.8625,1202316
2025-08-15,6.41,6.5,6.36,6.5,5.9728,737812
2025-08-18,6.43,6.5,6.33,6.33,5.8166,1468814
2025-08-19,6.3,6.31,6.155,6.27,6.2448,1675803
2025-08-20,6.29,6.32,6.11,6.12,6.0954,1262946
2025-08-21,6.16,6.31,6.13,6.29,6.2648,1228953
2025-08-22,6.3,6.31,6.13,6.29,6.2648,1267157
2025-08-25,6.35,6.5,6.25,6.26,6.2349,1540070
2025-08-26,6.23,6.32,6.185,6.24,6.215,11831866
2025-08-27,6.4,6.4,6.14,6.37,6.3444,818435
2025-08-28,6.53,7.27,6.41,6.8,6.7727,2714359
2025-08-29,7.04,7.12,6.81,6.9,6.8723,1853622
2025-09-01,6.76,6.89,6.3,6.3,6.2747,2130826
2025-09-02,6.31,6.345,6.13,6.28,6.2548,1474607
2025-09-03,6.24,6.27,6.02,6.1,6.0755,2161691
2025-09-04,6.14,6.23,5.995,6.01,5.9859,1135106
2025-09-05,6.04,6.19,6.02,6.18,6.1655,1050297
2025-09-08,6.12,6.27,6.095,6.1,6.0856,1250672
2025-09-09,6.11,6.13,6.04,6.11,6.0956,1125836
2025-09-10,6.09,6.38,6.07,6.33,6.3151,925033
2025-09-11,6.34,6.51,6.32,6.45,6.4348,1010407
2025-09-12,6.52,6.78,6.51,6.77,6.7541,2499075
2025-09-15,6.65,6.95,6.645,6.84,6.8239,2487424
2025-09-16,6.9,6.99,6.74,6.88,6.8638,2560544
2025-09-17,6.85,7.03,6.84,6.95,6.9336,1485735
2025-09-18,6.95,7.04,6.89,6.93,6.9137,2130772
2025-09-19,7,7.4,6.935,7.4,7.3826,4908527
2025-09-22,7.22,7.24,7.05,7.11,7.0933,1597153
2025-09-23,7.33,7.33,7,7.02,7.0035,1052290
2025-09-24,6.93,6.99,6.79,6.95,6.9336,905585
2025-09-25,6.9,6.97,6.795,6.88,6.8638,2388029
2025-09-26,6.82,6.91,6.71,6.82,6.804,908555
2025-09-29,6.84,7.02,6.82,6.95,6.9336,1044547
2025-09-30,6.9,7.03,6.82,6.96,6.9436,1266867
2025-10-01,6.89,7.1,6.86,7.04,7.0234,1631523
2025-10-02,7.06,7.08,6.87,7.01,6.9935,828312
2025-10-03,7.03,7.2,6.98,7.15,7.1332,878247
2025-10-06,7.16,7.24,7.13,7.2,7.1831,388605
2025-10-07,7.23,7.3,7.16,7.25,7.2329,668068
2025-10-08,7.25,7.355,7.11,7.33,7.3128,2252134
2025-10-09,7.36,7.49,7.22,7.4,7.3826,981176
2025-10-10,7.25,7.53,7.25,7.52,7.5023,955857
2025-10-13,7.29,7.39,7.12,7.27,7.2529,1196609
2025-10-14,7.32,7.41,7.24,7.32,7.3028,2579479
2025-10-15,7.4,7.73,7.36,7.6,7.5821,1114020
2025-10-16,7.57,7.77,7.35,7.35,7.3327,13877391
2025-10-17,7.17,7.28,6.82,6.82,6.804,2407004
2025-10-20,6.84,7.2,6.81,7.12,7.1032,2140700
2025-10-21,7.34,7.45,7.12,7.28,7.2629,2581791
2025-10-22,7.29,7.38,7.19,7.33,7.3128,2705352
2025-10-23,7.34,7.405,7.17,7.37,7.3527,1196302
2025-10-24,7.37,7.4,7.27,7.31,7.2928,1057886
2025-10-27,7.4,7.52,7.25,7.5,7.4824,1392547
2025-10-28,7.45,7.57,7.29,7.41,7.3926,1633087
2025-10-29,7.37,7.52,7.34,7.47,7.4524,766249
2025-10-30,7.4,7.43,7.19,7.25,7.2329,915467
2025-10-31,7.33,7.36,7.05,7.16,7.1432,2556602
2025-11-03,7.16,7.3,7.07,7.2,7.1831,1143706
2025-11-04,7.26,7.26,7.06,7.08,7.0633,684233
2025-11-05,7.09,7.11,6.79,6.97,6.9536,1419859
2025-11-06,7.05,7.075,6.84,6.94,6.9237,1034553
2025-11-07,6.89,6.94,6.44,6.58,6.5645,5760980
2025-11-10,6.74,6.795,6.58,6.59,6.5745,2785234
2025-11-11,6.72,6.72,6.56,6.61,6.5944,722325
2025-11-12,6.61,6.69,6.54,6.6,6.5845,981814
2025-11-13,6.71,6.71,6.515,6.58,6.5645,1582475
2025-11-14,6.16,6.36,6.01,6.33,6.3151,1925735
2025-11-17,6.27,6.34,6.09,6.34,6.3251,1761114
2025-11-18,6.25,6.25,5.96,6.02,6.0058,1386748
2025-11-19,6.16,6.16,5.86,6.03,6.0158,2100517
2025-11-20,6.07,6.33,6.05,6.22,6.2054,1473061
2025-11-21,6.15,6.21,6.01,6.12,6.1056,1069999
2025-11-24,6.12,6.42,6.02,6.42,6.4049,1809825
2025-11-25,6.41,6.58,6.26,6.33,6.3151,1765253
2025-11-26,6.44,6.62,6.42,6.56,6.5446,1154516
2025-11-27,6.58,6.78,6.52,6.63,6.6144,1274404
2025-11-28,6.65,6.69,6.54,6.6,6.5845,784802
2025-12-01,6.56,6.56,6.28,6.35,6.3351,1288943
2025-12-02,6.29,6.315,6.16,6.17,6.1555,2191027
2025-12-03,6.14,6.23,6.09,6.11,6.0956,943264
2025-12-04,6.09,6.175,5.91,5.96,5.946,773062
2025-12-05,6,6.22,6,6.11,6.0956,896332
2025-12-08,6.08,6.085,5.97,6.01,5.9959,3201103
2025-12-09,5.99,6.04,5.91,5.96,5.946,544187
2025-12-10,5.91,5.945,5.76,5.8,5.7864,709690
2025-12-11,5.85,5.93,5.59,5.63,5.6168,1124198
2025-12-12,5.77,5.77,5.54,5.62,5.6068,1900721
2025-12-15,5.7,5.7,5.58,5.67,5.6567,552998
2025-12-16,5.67,5.78,5.53,5.78,5.7664,1223222
2025-12-17,5.84,5.84,5.605,5.65,5.6367,1058154
2025-12-18,5.54,5.715,5.52,5.65,5.6367,1373367
2025-12-19,5.68,5.88,5.68,5.84,5.8263,1542708
2025-12-22,5.95,5.995,5.76,5.96,5.946,1377034
2025-12-23,5.96,6.09,5.9,5.92,5.9061,1535488
2025-12-24,5.78,5.87,5.735,5.87,5.8562,372665
2025-12-29,5.87,5.89,5.76,5.82,5.8063,456041
2025-12-30,5.9,6.06,5.83,5.86,5.8462,536663
2025-12-31,5.92,5.92,5.78,5.89,5.8761,336250
2026-01-02,5.89,5.95,5.76,5.9,5.8861,273664
2026-01-05,5.85,5.89,5.8,5.88,5.8662,690243
2026-01-06,5.81,5.93,5.73,5.74,5.7265,1194794
2026-01-07,5.75,5.935,5.73,5.88,5.8662,565754
2026-01-08,5.83,5.97,5.75,5.95,5.936,373437
2026-01-09,5.98,6.06,5.95,6,5.9859,555012
2026-01-12,6.02,6.275,6.02,6.13,6.1156,952115
2026-01-13,6.13,6.27,6.015,6.05,6.0358,1130578
2026-01-14,6.05,6.05,5.92,6.03,6.0158,1080010
2026-01-15,6.1,6.26,5.82,5.91,5.8961,1631354
2026-01-16,5.87,6.22,5.87,6.22,6.2054,1244756
2026-01-19,6.11,6.16,6.01,6.08,6.0657,897790
2026-01-20,6.09,6.33,6.05,6.16,6.1455,1393695
2026-01-21,6.08,6.08,5.83,6.01,5.9959,1254261
2026-01-22,6.03,6.13,5.37,5.65,5.6367,6648434
2026-01-23,5.68,5.68,5.42,5.52,5.507,2564469
2026-01-27,5.52,5.73,5.51,5.65,5.6367,935229
2026-01-28,5.65,5.765,5.62,5.63,5.6168,1453917
2026-01-29,5.65,5.68,5.44,5.51,5.497,1364856
2026-01-30,5.51,5.525,5.38,5.38,5.3673,1249824
2026-02-02,5.33,5.4,5.16,5.16,5.1479,1440531
2026-02-03,5.17,5.22,5.09,5.12,5.108,1178365
2026-02-04,5.09,5.09,4.94,4.98,4.9683,2418004
2026-02-05,4.96,4.97,4.805,4.83,4.8186,2018481
2026-02-06,4.74,4.755,4.43,4.61,4.5992,3433592
2026-02-09,4.74,4.81,4.705,4.8,4.7887,1720624
2026-02-10,5.04,5.04,4.7,4.81,4.7987,1531071
2026-02-11,4.85,4.87,4.7,4.87,4.8585,1400741
2026-02-12,4.6,4.705,4.4,4.41,4.3996,2514038
2026-02-13,4.42,4.45,4.11,4.12,4.1103,3030426
2026-02-16,4.12,4.25,4.08,4.25,4.24,3763974
2026-02-17,4.25,4.41,4.14,4.39,4.3797,915814
2026-02-18,4.41,4.7,4.4,4.66,4.649,1026463
2026-02-19,4.56,4.905,4.56,4.85,4.8386,1318577
2026-02-20,4.79,4.79,4.59,4.66,4.649,934059
2026-02-23,4.64,4.65,4.37,4.38,4.3697,1760923
2026-02-24,4.27,4.285,4,4.1,4.0904,2175071
2026-02-25,4.33,4.35,4.15,4.25,4.24,3076152
2026-02-26,4.61,4.72,4.46,4.68,4.669,2794872
2026-02-27,4.88,4.96,4.61,4.65,4.6391,1243590
2026-03-02,4.55,4.73,4.5,4.65,4.6391,2249254
2026-03-03,4.63,4.7,4.485,4.5,4.4894,2040190
2026-03-04,4.35,4.54,4.13,4.18,4.1702,2010712
2026-03-05,4.14,4.32,4.04,4.29,4.2799,9053890
2026-03-06,4.19,4.43,4.17,4.41,4.3996,2237422
2026-03-09,4.21,4.28,4.11,4.25,4.24,4272638
2026-03-10,4.45,4.45,4.26,4.34,4.34,1523348
2026-03-11,4.12,4.28,4.12,4.21,4.21,1762546
2026-03-12,4.2,4.2,3.92,4.01,4.01,1479889
2026-03-13,3.9,4.05,3.8,3.84,3.84,3167226
2026-03-16,3.74,3.85,3.71,3.83,3.83,1715616
2026-03-17,3.81,3.89,3.72,3.87,3.87,1350084
2026-03-18,3.94,4,3.81,3.94,3.94,2377036
2026-03-19,3.78,3.865,3.71,3.82,3.82,2260242
2026-03-20,3.81,3.9,3.79,3.8,3.8,1627926
2026-03-23,3.66,3.93,3.65,3.9,3.9,1706999
2026-03-24,4,4.1,3.86,3.9,3.9,2004149
2026-03-25,3.98,4.15,3.955,4.11,4.11,1851054
2026-03-26,4.11,4.19,4.05,4.08,4.08,1493616
2026-03-27,4.05,4.13,3.98,4.04,4.04,1930616
2026-03-30,3.91,3.97,3.87,3.91,3.91,2509651
2026-03-31,3.9,4.25,3.89,4.2,4.2,2508750
2026-04-01,4.37,4.46,4.3,4.39,4.39,2679796
2026-04-02,4.38,4.41,3.9,3.9,3.9,2079337
2026-04-07,3.97,4.14,3.97,4.08,4.08,1071001
2026-04-08,4.31,4.65,4.3,4.51,4.51,3480036
2026-04-09,4.37,4.37,4.14,4.21,4.21,1905860
2026-04-10,4.15,4.27,4.06,4.26,4.26,1726286
2026-04-13,4.1,4.27,4.07,4.14,4.14,1794966
2026-04-14,4.31,4.36,4.19,4.19,4.19,1364378
2026-04-15,4.3,4.36,4.23,4.31,4.31,1635309
2026-04-16,4.35,4.485,4.31,4.42,4.42,1425071
2026-04-17,4.4,4.51,4.26,4.42,4.42,2089605
2026-04-20,4.36,4.565,4.29,4.55,4.55,2708404
2026-04-21,4.55,4.73,4.55,4.6,4.6,2887073
2026-04-22,4.4,4.505,3.56,3.56,3.56,12329360
2026-04-23,3.45,3.73,3.425,3.6,3.6,4640668
2026-04-24,3.62,3.64,3.44,3.61,3.61,3167827
2026-04-27,3.51,3.78,3.51,3.66,3.66,2598619
2026-04-28,3.55,3.75,3.5,3.67,3.67,1405817
2026-04-29,3.7,3.86,3.7,3.72,3.72,1750981
2026-04-30,3.66,3.92,3.65,3.88,3.88,2415915
2026-05-01,3.93,3.97,3.83,3.85,3.85,1080926
2026-05-04,3.81,3.84,3.67,3.75,3.75,1683034
2026-05-05,3.69,3.74,3.625,3.63,3.63,1398521
2026-05-06,3.6,3.64,3.53,3.6,3.6,3419160
2026-05-07,3.63,3.84,3.59,3.7,3.7,3428495
2026-05-08,3.6,3.66,3.55,3.57,3.57,1923135
2026-05-11,3.5,3.63,3.45,3.62,3.62,1925447
2026-05-12,3.65,3.99,3.56,3.96,3.96,4270511
2026-05-13,3.95,4.47,3.93,4.17,4.17,6363794
2026-05-14,4.1,4.21,3.92,4.05,4.05,3970291
2026-05-15,4.15,4.155,3.99,4.07,4.07,4755049
2026-05-18,4.38,4.38,3.9,3.95,3.95,1334256
2026-05-19,3.9,4.02,3.88,3.97,3.97,1819522
2026-05-20,3.9,4.18,3.88,3.96,3.96,3228372
2026-05-21,4.08,4.08,3.955,4.01,4.01,2193118
2026-05-22,4.13,4.23,4.03,4.07,4.07,1755905
2026-05-25,4.06,4.12,3.9,4.08,4.08,1714134
2026-05-26,4.15,4.15,3.96,4.15,4.15,1222057
2026-05-27,4.14,4.165,4.03,4.06,4.06,2891195
2026-05-28,4.03,4.14,4.01,4.01,4.01,1337214
2026-05-29,4.04,4.11,3.98,4.08,4.08,1378861
2026-06-01,4.03,4.2,4.02,4.1,4.1,1660645
2026-06-02,3.97,4.19,3.97,4.12,4.12,1864639
2026-06-03,4.07,4.15,3.98,4.13,4.13,771611
2026-06-04,4.12,4.12,3.96,4.02,4.02,1196888
2026-06-05,4.07,4.09,3.94,3.95,3.95,703589
2026-06-09,3.97,4.11,3.855,4.04,4.04,1538759
2026-06-10,4.08,4.16,3.96,3.99,3.99,1346228
2026-06-11,3.9,3.95,3.81,3.9,3.9,1741958
2026-06-12,4.03,4.03,3.74,3.82,3.82,2245788
2026-06-15,3.87,4.01,3.82,3.92,3.92,2479579
2026-06-16,3.74,3.91,3.74,3.83,3.83,1562624
2026-06-17,3.85,3.87,3.58,3.75,3.75,3524870
2026-06-18,3.72,3.755,3.48,3.56,3.56,3271790
2026-06-19,3.5,3.73,3.45,3.73,3.73,6185876
2026-06-22,3.76,3.8,3.67,3.72,3.72,1884434
2026-06-23,3.79,3.79,3.56,3.56,3.56,5388369
2026-06-24,3.58,3.67,3.49,3.49,3.49,2570796
2026-06-25,3.46,3.57,3.4,3.5,3.5,4919235
2026-06-26,3.47,3.59,3.29,3.37,3.37,3852219
2026-06-29,3.47,3.56,3.405,3.52,3.52,3691716
2026-06-30,3.55,3.6,3.48,3.58,3.58,3136785
2026-07-01,3.58,3.74,3.56,3.7,3.7,3123635
2026-07-02,3.69,3.75,3.64,3.72,3.72,1334523
2026-07-03,3.75,4.12,3.7,4.06,4.06,1808315
2026-07-06,4.09,4.13,3.95,4.04,4.04,1894384
2026-07-07,4,4.18,3.99,4.07,4.07,3785559
2026-07-08,4.07,4.08,3.88,3.9,3.9,2274110
2026-07-09,3.78,3.92,3.71,3.82,3.82,1818464
2026-07-10,3.83,3.85,3.74,3.79,3.79,1417706
2026-07-13,3.8,3.81,3.66,3.72,3.72,1042939
2026-07-14,3.69,3.69,3.58,3.58,3.58,1563656
2026-07-15,3.66,3.66,3.535,3.58,3.58,1235637
2026-07-16,3.51,3.57,3.41,3.48,3.48,2378771
2026-07-17,3.48,3.62,3.46,3.56,3.56,2340930
2026-07-20,3.65,3.65,3.44,3.48,3.48,2253700
2026-07-21,3.45,3.545,3.29,3.37,3.37,1755579
2026-07-22,3.4,3.4,3.32,3.34,3.34,1233295
2026-07-23,3.9,4.58,3.75,4.58,4.58,4758164
2026-07-24,4.68,4.84,4.305,4.34,4.34,3895048
2026-07-27,4.5,4.59,4.22,4.25,4.25,2441433
2026-07-28,4.19,4.21,4.1,4.14,4.14,1698201
2026-07-29,4.31,4.39,4.12,4.16,4.16,1639500
2026-07-30,4.12,4.16,4.07,4.08,4.08,1564217
2026-07-31,4.21,4.21,4.02,4.11,4.11,2257745
2026-08-03,4.26,4.26,3.95,4.02,4.02,2380637
2026-08-04,4.1,4.26,4.04,4.18,4.18,1517888
2026-08-05,4.15,4.245,4.15,4.21,4.21,1892454
2026-08-06,4.15,4.22,4.12,4.13,4.13,911624
2026-08-07,4.1,4.16,4.07,4.12,4.12,1169442
