Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.655,0.67,0.645,0.655,0.6068,1088820
2025-04-28,0.67,0.675,0.6625,0.675,0.6254,1340727
2025-04-29,0.68,0.685,0.675,0.675,0.6254,444433
2025-04-30,0.675,0.68,0.665,0.665,0.6161,273822
2025-05-01,0.675,0.675,0.665,0.67,0.6207,338083
2025-05-02,0.665,0.68,0.665,0.675,0.6254,542569
2025-05-05,0.68,0.68,0.67,0.675,0.6254,226679
2025-05-06,0.675,0.68,0.665,0.675,0.6254,500678
2025-05-07,0.67,0.68,0.665,0.665,0.6161,503860
2025-05-08,0.68,0.69,0.67,0.675,0.6254,539910
2025-05-09,0.675,0.695,0.675,0.69,0.6393,432228
2025-05-12,0.695,0.7,0.69,0.69,0.6393,366426
2025-05-13,0.695,0.705,0.69,0.705,0.6532,495131
2025-05-14,0.705,0.705,0.69,0.69,0.6393,444983
2025-05-15,0.69,0.695,0.68,0.69,0.6393,271548
2025-05-16,0.685,0.69,0.675,0.68,0.63,343062
2025-05-19,0.68,0.68,0.67,0.68,0.63,1117677
2025-05-20,0.68,0.69,0.675,0.685,0.6346,280660
2025-05-21,0.695,0.7,0.695,0.7,0.6485,681679
2025-05-22,0.7,0.7,0.69,0.695,0.6439,720606
2025-05-23,0.69,0.6975,0.69,0.695,0.6439,207762
2025-05-26,0.7,0.7,0.685,0.69,0.6393,119544
2025-05-27,0.69,0.7,0.685,0.695,0.6439,158089
2025-05-28,0.695,0.715,0.695,0.7,0.6485,1254912
2025-05-29,0.705,0.715,0.7,0.7,0.6485,135244
2025-05-30,0.7,0.705,0.685,0.69,0.6393,527222
2025-06-02,0.69,0.7,0.685,0.69,0.6393,79162
2025-06-03,0.7,0.7,0.685,0.69,0.6393,324708
2025-06-04,0.68,0.69,0.68,0.68,0.63,186710
2025-06-05,0.69,0.69,0.68,0.685,0.6346,76097
2025-06-06,0.69,0.69,0.675,0.685,0.6346,246267
2025-06-10,0.685,0.7,0.68,0.695,0.6439,508807
2025-06-11,0.7,0.7,0.69,0.69,0.6393,106189
2025-06-12,0.69,0.7,0.69,0.69,0.6393,466526
2025-06-13,0.69,0.7,0.69,0.69,0.6393,393693
