Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,6.84,7.03,6.83,6.99,6.99,2831326
2025-07-23,7.05,7.31,7.05,7.15,7.15,1349139
2025-07-24,7.06,7.1,6.94,7,7,537011
2025-07-25,7,7.1,6.97,6.97,6.97,728810
2025-07-28,6.94,6.94,6.86,6.89,6.89,1402245
2025-07-29,6.2,6.2,5.225,5.24,5.24,13139459
2025-07-30,5.45,5.75,5.42,5.56,5.56,3145123
2025-07-31,5.5,5.5,5.17,5.3,5.3,2726463
2025-08-01,5.15,5.42,5.01,5.18,5.18,2428613
2025-08-04,5.49,5.49,5.1,5.26,5.26,2939935
2025-08-05,5.34,5.48,5.25,5.39,5.39,2651134
2025-08-06,5.35,5.55,5.32,5.38,5.38,1504578
2025-08-07,5.35,5.35,5.13,5.22,5.22,2534334
2025-08-08,5.1,5.24,4.965,5.15,5.15,2452598
2025-08-11,5.14,5.24,5.09,5.14,5.14,1264801
2025-08-12,5.03,5.1,4.97,5.01,5.01,5701070
2025-08-13,4.97,5.07,4.91,4.98,4.98,5495445
2025-08-14,5.02,5.3,5.005,5.08,5.08,2303822
2025-08-15,5.3,5.47,5.21,5.35,5.35,2357446
2025-08-18,5.33,5.4,5.285,5.35,5.35,1529387
2025-08-19,5.47,5.57,5.38,5.47,5.47,1321744
2025-08-20,5.44,5.59,5.38,5.47,5.47,2560229
2025-08-21,5.57,5.59,5.45,5.48,5.48,1467395
2025-08-22,5.59,5.59,5.38,5.38,5.38,2111130
2025-08-25,5.6,5.63,5.49,5.55,5.55,1580687
2025-08-26,5.65,5.65,5.47,5.5,5.5,1066721
2025-08-27,5.6,5.6,5.43,5.59,5.59,3902055
2025-08-28,5.57,5.6,5.31,5.45,5.45,1842222
2025-08-29,5.45,5.6,5.34,5.52,5.52,2216072
2025-09-01,5.6,6.15,5.58,6.07,6.07,1577342
2025-09-02,6.1,6.18,5.94,6.02,6.02,1201855
2025-09-03,6.13,6.23,6.1,6.19,6.19,2173333
2025-09-04,6.25,6.31,5.97,6.07,6.07,1492648
2025-09-05,6.22,6.28,6.1,6.23,6.23,456480
2025-09-08,6.4,6.54,6.21,6.34,6.34,1769055
2025-09-09,6.39,6.4,6.13,6.24,6.24,1908605
2025-09-10,6.2,6.29,6,6.05,6.05,1373473
2025-09-11,6.15,6.28,6.05,6.17,6.17,3587189
2025-09-12,6.2,6.31,6.15,6.16,6.16,1254485
2025-09-15,6.2,6.23,6.05,6.1,6.1,1897649
2025-09-16,6,6.3,5.96,6.22,6.22,3433258
2025-09-17,6.25,6.37,6.18,6.18,6.18,1132657
2025-09-18,6.18,6.34,6.07,6.31,6.31,5245523
2025-09-19,6.35,6.42,6.19,6.39,6.39,41371606
2025-09-22,6.47,7.16,6.46,7.13,7.13,5380136
2025-09-23,7.12,7.65,7.07,7.44,7.44,5410552
2025-09-24,7.25,7.39,7.24,7.24,7.24,3124905
2025-09-25,7.12,7.25,7.03,7.1,7.1,6842400
2025-09-26,7,7.18,6.94,7.13,7.13,3833972
2025-09-29,7.2,7.52,7.17,7.41,7.41,3296285
2025-09-30,7.45,7.67,7.43,7.45,7.45,3978490
2025-10-01,7.38,7.535,7.34,7.4,7.4,4477308
2025-10-02,7.45,7.54,7.39,7.43,7.43,4104534
2025-10-03,7.34,7.455,7.26,7.4,7.4,5938833
