Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,31.61,31.655,31.45,31.46,30.8544,9464
2025-07-23,31.5,31.72,31.47,31.68,31.0701,20884
2025-07-24,31.88,31.88,31.66,31.73,31.1192,16930
2025-07-25,31.73,31.78,31.62,31.72,31.1094,16209
2025-07-28,31.99,32,31.82,31.95,31.3349,13569
2025-07-29,31.82,31.93,31.8,31.93,31.3153,9275
2025-07-30,32,32.1,31.86,32.04,31.4232,13052
2025-07-31,32.52,32.61,32.21,32.36,31.737,12120
2025-08-01,31.86,31.89,31.73,31.81,31.1976,21238
2025-08-04,31.32,31.44,31.25,31.37,30.7661,27258
2025-08-05,31.82,32.05,31.81,31.97,31.3545,8320
2025-08-06,31.86,32.08,31.86,32.08,31.4624,11270
2025-08-07,32.17,32.18,32.02,32.02,31.4036,28992
2025-08-08,32.11,32.19,32.05,32.05,31.433,8648
2025-08-11,32.38,32.39,32.25,32.31,31.688,18299
2025-08-12,32.24,32.42,32.21,32.4,31.7763,12313
2025-08-13,32.55,32.62,32.45,32.5,31.8743,16612
2025-08-14,32.6,32.67,32.58,32.61,31.9822,32626
2025-08-15,32.94,33.03,32.8,33.03,32.3941,7789
2025-08-18,32.86,32.99,32.82,32.95,32.3157,16103
2025-08-19,33.06,33.06,32.8,32.84,32.2078,36935
2025-08-20,33,33.01,32.79,32.87,32.2372,13208
2025-08-21,32.96,33.49,32.93,33.23,32.5903,17733
2025-08-22,33.15,33.15,32.99,32.99,32.3549,8591
2025-08-25,33.39,33.55,33.19,33.19,32.5511,19550
2025-08-26,33.08,33.1,32.87,33.02,32.3843,54948
2025-08-27,33.15,33.22,33.03,33.1,32.4628,17648
2025-08-28,33.04,33.11,32.97,33.09,32.453,19566
2025-08-29,33.11,33.15,33.01,33.09,32.453,8843
2025-09-01,32.93,33.06,32.75,32.79,32.1588,20352
2025-09-02,32.79,32.87,32.75,32.86,32.2274,19449
2025-09-03,32.62,32.73,32.3,32.43,31.8057,39638
2025-09-04,32.47,32.72,32.47,32.69,32.0607,9315
2025-09-05,33,33.03,32.95,33.02,32.3843,2753
2025-09-08,32.9,32.97,32.77,32.79,32.1588,8417
2025-09-09,32.81,32.81,32.65,32.68,32.0509,19181
2025-09-10,32.75,32.92,32.75,32.9,32.2666,4548
2025-09-11,32.86,32.91,32.77,32.845,32.2127,14450
2025-09-12,32.93,33.09,32.93,33.09,32.453,10279
2025-09-15,33.06,33.06,32.89,33.04,32.4039,23182
2025-09-16,33.25,33.28,33.13,33.28,32.6393,14263
2025-09-17,33.08,33.1,32.95,33,32.3647,16109
2025-09-18,33.04,33.17,32.96,33.12,32.4824,15160
2025-09-19,33.26,33.39,33.25,33.29,32.6491,13357
2025-09-22,33.44,33.52,33.4,33.41,32.7668,22335
2025-09-23,33.61,33.74,33.59,33.68,33.0316,9864
2025-09-24,33.45,33.46,33.21,33.28,32.6393,14217
2025-09-25,33.24,33.38,33.22,33.31,32.6687,19208
2025-09-26,33.31,33.34,33.23,33.32,32.6786,10688
2025-09-29,33.64,33.71,33.35,33.59,32.9434,13656
2025-09-30,33.61,33.65,33.44,33.48,32.8355,34633
2025-10-01,33.5,34,33.35,33.43,32.7864,33625
2025-10-02,33.83,34.01,33.73,33.96,33.3062,21537
2025-10-03,34.02,34.25,33.96,34.24,33.5808,43030
2025-10-06,34.26,34.4,34.16,34.21,33.5514,28621
2025-10-07,34.22,34.22,34.06,34.18,33.522,23786
2025-10-08,34.27,34.27,34.04,34.14,33.4828,19151
2025-10-09,34.33,34.4,34.17,34.2,33.5416,24152
2025-10-10,34.27,34.35,34.17,34.21,33.5514,9652
2025-10-13,33.78,33.87,33.68,33.77,33.1199,44387
2025-10-14,33.9,33.98,33.79,33.82,33.1689,6949
2025-10-15,34.12,34.17,34.04,34.16,33.5024,14292
2025-10-16,34.4,34.6,34.24,34.46,33.7966,14629
2025-10-17,34.24,34.3,34.14,34.14,33.4828,12023
2025-10-20,34.35,34.49,34.16,34.39,33.728,33601
2025-10-21,34.81,34.9,34.74,34.82,34.1497,10995
2025-10-22,34.71,35.32,34.58,35.03,34.3556,19772
2025-10-23,34.5,34.66,34.43,34.62,33.9535,24703
2025-10-24,34.8084,34.8084,34.8084,34.8084,34.1383,0
2025-10-27,35.01,35.14,35.01,35.09,34.4145,17642
2025-10-28,35.1,35.22,34.98,34.98,34.3066,25224
2025-10-29,35.03,35.03,34.73,34.81,34.1399,41982
2025-10-30,34.85,34.91,34.62,34.64,33.9731,20248
2025-10-31,34.88,34.88,34.7,34.84,34.1693,42908
2025-11-03,34.57,34.68,34.53,34.64,33.9731,23278
2025-11-04,34.81,34.83,34.39,34.42,33.7574,37478
2025-11-05,34.44,34.48,33.95,34.16,33.5024,48398
2025-11-06,34.49,34.54,34.31,34.44,33.777,27663
2025-11-07,34.24,34.34,34.07,34.11,33.4533,12028
2025-11-10,34.17,34.32,34.15,34.31,33.6495,12119
2025-11-11,34.77,34.77,34.5,34.53,33.8653,12412
2025-11-12,34.86,34.86,34.63,34.69,34.0222,5923
2025-11-13,34.68,34.68,34.33,34.58,33.9143,24963
2025-11-14,33.99,33.99,33.81,33.87,33.218,26745
2025-11-17,33.78,33.96,33.68,33.96,33.3062,25687
2025-11-18,33.57,33.58,33.07,33.3,32.6589,30436
2025-11-19,32.96,33.04,32.8,32.86,32.2274,25305
2025-11-20,33.28,34,33.28,33.53,32.8845,52459
2025-11-21,32.67,32.79,32.55,32.66,32.0313,70231
2025-11-24,34,34,33.07,33.21,32.5707,34261
2025-11-25,33.61,33.61,33.4,33.45,32.8061,22795
2025-11-26,33.86,34,33.8,33.89,33.2376,15433
