Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.03,4.13,4.03,4.07,4.07,3983853
2025-07-23,4.21,4.24,4.09,4.12,4.12,4094187
2025-07-24,4.09,4.135,4.02,4.09,4.09,4873801
2025-07-25,4.07,4.09,3.91,3.92,3.92,3312657
2025-07-28,3.9,3.93,3.82,3.85,3.85,2481063
2025-07-29,3.81,3.82,3.68,3.79,3.79,4206755
2025-07-30,3.79,3.88,3.72,3.82,3.82,1806560
2025-07-31,3.67,3.715,3.59,3.69,3.69,2478858
2025-08-01,3.66,3.66,3.54,3.62,3.62,2476641
2025-08-04,3.72,3.86,3.62,3.76,3.76,2549356
2025-08-05,3.81,3.89,3.78,3.87,3.87,3586161
2025-08-06,4.01,4.14,3.96,3.97,3.97,5091611
2025-08-07,4,4.08,3.995,4.01,4.01,3557659
2025-08-08,4.05,4.1,4.005,4.02,4.02,3403771
2025-08-11,4.03,4.06,3.97,4.05,4.05,2499383
2025-08-12,4.04,4.07,3.99,4.05,4.05,2409167
2025-08-13,4.16,4.23,4.13,4.18,4.18,3877401
2025-08-14,4.2,4.24,4.19,4.22,4.22,2945190
2025-08-15,4.25,4.33,4.235,4.32,4.32,2624775
2025-08-18,4.4,4.42,4.28,4.31,4.31,2443336
2025-08-19,4.34,4.37,4.31,4.35,4.35,2984935
2025-08-20,4.31,4.42,4.25,4.39,4.39,4195659
2025-08-21,4.58,4.63,4.18,4.25,4.25,8839674
2025-08-22,4.3,4.31,4.02,4.02,4.02,7483625
2025-08-25,4.13,4.27,4.11,4.25,4.25,4875318
2025-08-26,4.19,4.34,4.18,4.29,4.29,7110604
2025-08-27,4.41,4.55,4.41,4.55,4.55,4253612
2025-08-28,4.55,4.55,4.415,4.5,4.5,3533997
2025-08-29,4.52,4.55,4.435,4.51,4.51,3679508
2025-09-01,4.64,5.03,4.63,5.03,5.03,7263476
2025-09-02,5.1,5.16,4.99,5.1,5.1,5031276
2025-09-03,5.19,5.3,5.08,5.08,5.08,7071896
2025-09-04,5.07,5.15,4.98,5.08,5.08,3465607
2025-09-05,5.08,5.37,5.06,5.36,5.36,4032752
2025-09-08,5.44,5.44,5.235,5.27,5.27,4207341
2025-09-09,5.33,5.37,5.225,5.29,5.29,4270797
2025-09-10,5.3,5.46,5.24,5.45,5.45,5909196
2025-09-11,5.51,5.635,5.48,5.59,5.59,7350051
2025-09-12,5.62,5.73,5.54,5.69,5.69,7213734
2025-09-15,5.69,5.71,5.44,5.55,5.55,7922888
2025-09-16,5.65,5.77,5.57,5.59,5.59,6650029
2025-09-17,5.36,5.53,5.27,5.3,5.3,8821023
2025-09-18,5.27,5.38,5.22,5.3,5.3,11014532
2025-09-19,5.32,5.32,5.05,5.05,5.05,44040012
2025-09-22,5.33,5.78,5.29,5.75,5.75,10806239
2025-09-23,5.79,5.95,5.715,5.75,5.75,13344174
2025-09-24,5.62,5.74,5.58,5.66,5.66,9713949
2025-09-25,5.5,5.64,5.45,5.53,5.53,6512859
2025-09-26,5.53,5.64,5.46,5.64,5.64,7393412
2025-09-29,5.75,5.87,5.67,5.85,5.85,4262778
2025-09-30,5.93,5.99,5.84,5.89,5.89,8473915
2025-10-01,6.01,6.19,5.93,5.93,5.93,7817019
2025-10-02,6,6.17,5.98,6.14,6.14,6531562
2025-10-03,6.07,6.2,6.06,6.14,6.14,5648410
2025-10-06,6.14,6.265,6.1,6.22,6.22,4039778
2025-10-07,6.28,6.32,6.1,6.14,6.14,5927582
2025-10-08,6.2,6.24,5.97,6.17,6.17,4527958
2025-10-09,6.29,6.29,6.05,6.2,6.2,6124331
2025-10-10,5.8,6.04,5.62,5.85,5.85,7621276
2025-10-13,6.04,6.225,5.98,6.07,6.07,6349123
2025-10-14,6.16,6.485,6.16,6.4,6.4,6247598
2025-10-15,6.46,6.6,6.42,6.5,6.5,5376803
2025-10-16,6.8,7.02,6.75,7.02,7.02,9303066
2025-10-17,7.1,7.17,6.77,6.81,6.81,10379399
2025-10-20,6.54,6.665,6.5,6.57,6.57,5621482
2025-10-21,6.75,6.82,6.5,6.61,6.61,5572767
2025-10-22,6.1,6.12,5.705,5.93,5.93,11028430
2025-10-23,5.9,6.075,5.87,6.02,6.02,5953860
2025-10-24,6.1,6.16,5.94,5.94,5.94,4968316
2025-10-27,5.78,5.96,5.78,5.96,5.96,4755070
2025-10-28,5.66,5.755,5.47,5.72,5.72,6253198
2025-10-29,5.8,5.8,5.62,5.69,5.69,5310364
2025-10-30,5.68,5.695,5.53,5.64,5.64,4741526
2025-10-31,5.87,5.95,5.8,5.84,5.84,4633419
2025-11-03,5.68,5.81,5.63,5.7,5.7,3176136
2025-11-04,5.69,5.88,5.65,5.74,5.74,3299418
2025-11-05,5.58,5.68,5.38,5.67,5.67,5140619
2025-11-06,5.79,5.9,5.725,5.88,5.88,3043638
2025-11-07,5.87,5.99,5.85,5.88,5.88,5229340
2025-11-10,5.91,6.03,5.88,6.03,6.03,4307462
2025-11-11,6.43,6.43,6.18,6.2,6.2,5003514
2025-11-12,6.21,6.3,6.16,6.19,6.19,4393345
2025-11-13,6.39,6.4,6.27,6.34,6.34,2853135
2025-11-14,6.19,6.29,6.08,6.29,6.29,5988216
2025-11-17,6.29,6.47,6.15,6.45,6.45,4190359
2025-11-18,6.32,6.41,6.17,6.17,6.17,4357873
2025-11-19,6.42,6.42,6.25,6.35,6.35,4328546
2025-11-20,6.44,6.605,6.39,6.6,6.6,3345131
2025-11-21,6.38,6.38,6.15,6.17,6.17,4608744
2025-11-24,6.32,6.39,6.25,6.25,6.25,3869534
2025-11-25,6.56,6.73,6.42,6.53,6.53,3668358
2025-11-26,6.51,6.62,6.43,6.62,6.62,4119064
2025-11-27,6.83,6.83,6.65,6.76,6.76,3386040
2025-11-28,6.68,6.78,6.62,6.66,6.66,2812882
2025-12-01,6.84,6.88,6.45,6.55,6.55,4369800
2025-12-02,6.55,6.715,6.52,6.55,6.55,4137445
2025-12-03,6.48,6.595,6.44,6.59,6.59,3613104
2025-12-04,6.51,6.59,6.37,6.37,6.37,3785641
2025-12-05,6.61,6.61,6.38,6.4,6.4,2517648
2025-12-08,6.37,6.43,6.17,6.17,6.17,4251363
2025-12-09,6.17,6.26,6.07,6.08,6.08,3143486
2025-12-10,6.2,6.36,6.17,6.35,6.35,4572370
2025-12-11,6.46,6.485,6.34,6.41,6.41,3874630
2025-12-12,6.61,6.94,6.61,6.9,6.9,4563027
2025-12-15,6.75,6.87,6.455,6.53,6.53,5998489
2025-12-16,6.62,6.65,6.37,6.45,6.45,7947344
2025-12-17,6.4,6.9,6.39,6.86,6.86,5875341
2025-12-18,6.87,6.92,6.65,6.88,6.88,10181419
2025-12-19,6.95,7.07,6.66,6.99,6.99,15588583
2025-12-22,7,7.3,6.95,7.29,7.29,4257685
2025-12-23,7.29,7.38,7.21,7.35,7.35,3876281
2025-12-24,7.37,7.5,7.31,7.46,7.46,2228149
2025-12-29,7.52,7.63,7.33,7.39,7.39,2163257
2025-12-30,7.09,7.215,6.9,7.2,7.2,2748961
2025-12-31,7.2,7.29,7.14,7.25,7.25,1794516
2026-01-02,7.16,7.33,7.05,7.3,7.3,1343271
2026-01-05,7.3,7.56,7.255,7.54,7.54,3933029
2026-01-06,7.57,7.6,7.38,7.48,7.48,2910545
2026-01-07,7.58,7.62,7.38,7.49,7.49,3077955
2026-01-08,7.42,7.49,7.375,7.4,7.4,2565126
2026-01-09,7.56,7.6,7.26,7.29,7.29,4140923
2026-01-12,7.46,7.62,7.38,7.48,7.48,2965742
2026-01-13,7.51,7.59,7.45,7.55,7.55,3001987
2026-01-14,7.55,7.6,7.47,7.54,7.54,2375029
2026-01-15,7.39,7.56,7.25,7.32,7.32,3321793
2026-01-16,7.4,7.45,7.24,7.3,7.3,3117039
2026-01-19,7.39,7.68,7.3,7.57,7.57,4032974
2026-01-20,7.55,7.65,7.43,7.62,7.62,2965244
2026-01-21,7.78,7.93,7.69,7.85,7.85,4553353
2026-01-22,7.7,7.76,7.39,7.46,7.46,4694914
2026-01-23,7.86,8.13,7.71,7.86,7.86,5897892
2026-01-27,8.05,8.12,7.78,7.93,7.93,5966774
2026-01-28,7.96,8.13,7.88,8.13,8.13,5109413
2026-01-29,8.2,8.42,8.08,8.42,8.42,6298906
2026-01-30,8.28,8.4,7.49,7.59,7.59,6673606
2026-02-02,7.28,7.29,6.69,6.97,6.97,9840235
2026-02-03,7.03,7.29,7,7.1,7.1,5924080
2026-02-04,7.36,7.41,7.19,7.31,7.31,5164295
2026-02-05,7.02,7.23,6.76,6.87,6.87,4655489
2026-02-06,6.6,6.69,6.27,6.65,6.65,7812994
2026-02-09,6.97,7,6.77,6.87,6.87,4220427
2026-02-10,7.07,7.14,6.94,7.06,7.06,3589228
2026-02-11,7.05,7.26,7.01,7.24,7.24,2520834
2026-02-12,7.24,7.28,7.12,7.2,7.2,3454666
2026-02-13,6.7,6.93,6.66,6.87,6.87,4097463
2026-02-16,7,7.47,6.93,7.38,7.38,4857428
2026-02-17,7.35,7.36,7.12,7.17,7.17,3644851
2026-02-18,7.11,7.11,6.885,6.96,6.96,3975360
2026-02-19,7.37,7.37,7.01,7.09,7.09,4002852
2026-02-20,7.22,7.22,6.83,6.87,6.87,2590013
2026-02-23,7.01,7.25,6.96,7.24,7.24,3090029
2026-02-24,7.38,7.45,7.05,7.2,7.2,4735737
2026-02-25,7.19,7.31,7.09,7.29,7.29,3422935
2026-02-26,7.22,7.31,7.07,7.21,7.21,3595318
2026-02-27,7.39,7.57,7.275,7.43,7.43,5630745
2026-03-02,7.65,8.07,7.6,8.06,8.06,7883119
2026-03-03,7.87,8.16,7.82,8.13,8.13,4931529
2026-03-04,7.35,7.75,7.08,7.57,7.57,7568383
2026-03-05,7.5,7.55,7.21,7.25,7.25,4327132
2026-03-06,6.89,7.13,6.69,6.73,6.73,7838154
2026-03-09,6.6,6.73,6.38,6.51,6.51,4640973
2026-03-10,6.84,6.9,6.63,6.77,6.77,3991318
2026-03-11,6.92,6.92,6.67,6.8,6.8,3627485
2026-03-12,6.56,6.81,6.55,6.66,6.66,4737073
2026-03-13,6.55,6.55,6.14,6.26,6.26,4929414
2026-03-16,5.97,6.1,5.86,5.99,5.99,6055030
2026-03-17,6,6.24,5.93,6.21,6.21,3899899
2026-03-18,6.18,6.19,6.015,6.17,6.17,3183687
2026-03-19,5.74,5.76,5.48,5.51,5.51,7004901
2026-03-20,5.49,5.74,5.36,5.63,5.63,23907151
2026-03-23,5.36,5.51,5.23,5.35,5.35,13251300
2026-03-24,5.85,5.85,5.625,5.72,5.72,16247222
2026-03-25,6.02,6.36,6.02,6.11,6.11,8366565
2026-03-26,6.03,6.06,5.765,5.85,5.85,3967044
2026-03-27,5.73,5.77,5.57,5.62,5.62,6761108
2026-03-30,5.77,5.79,5.46,5.57,5.57,6036732
2026-03-31,5.62,5.91,5.41,5.89,5.89,8438922
2026-04-01,6.39,6.4,6.18,6.25,6.25,7817407
2026-04-02,6.44,6.5,5.84,5.87,5.87,6445564
2026-04-07,6.18,6.18,5.98,6.03,6.03,3466855
2026-04-08,6.72,6.73,6.39,6.62,6.62,6616060
2026-04-09,6.38,6.53,6.23,6.53,6.53,3166697
2026-04-10,6.42,6.6,6.35,6.54,6.54,2834298
2026-04-13,6.34,6.53,6.24,6.5,6.5,4447376
2026-04-14,6.34,6.46,6.3,6.41,6.41,3703800
2026-04-15,6.63,6.8,6.62,6.73,6.73,4799483
2026-04-16,6.65,6.73,6.52,6.67,6.67,2880440
2026-04-17,6.69,6.785,6.53,6.58,6.58,4510600
