Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.29,4.41,4.28,4.33,4.2929,344544
2025-07-23,4.32,4.36,4.28,4.31,4.2731,338772
2025-07-24,4.33,4.35,4.27,4.29,4.2533,96945
2025-07-25,4.27,4.32,4.25,4.3,4.2632,255706
2025-07-28,4.32,4.57,4.32,4.5,4.4615,581899
2025-07-29,4.52,4.52,4.45,4.5,4.4615,310139
2025-07-30,4.5,4.57,4.48,4.51,4.4714,197590
2025-07-31,4.54,4.56,4.44,4.51,4.4714,147091
2025-08-01,4.45,4.57,4.415,4.53,4.4912,181157
2025-08-04,4.56,4.58,4.48,4.55,4.511,253774
2025-08-05,4.54,4.56,4.46,4.48,4.4416,166261
2025-08-06,4.5,4.5,4.45,4.49,4.4516,139855
2025-08-07,4.49,4.49,4.36,4.47,4.4317,291495
2025-08-08,4.47,4.62,4.42,4.55,4.511,256620
2025-08-11,4.55,4.65,4.5,4.64,4.6003,913250
2025-08-12,4.7,4.88,4.64,4.85,4.8085,419895
2025-08-13,4.88,4.95,4.79,4.87,4.8283,217625
2025-08-14,4.9,4.98,4.82,4.89,4.8481,266839
2025-08-15,4.94,4.94,4.73,4.82,4.7787,126035
2025-08-18,4.89,4.95,4.82,4.94,4.8977,240921
2025-08-19,4.95,4.99,4.9,4.94,4.8977,131336
2025-08-20,4.95,4.95,4.67,4.79,4.749,216200
2025-08-21,4.79,4.9,4.6,4.73,4.6895,177735
2025-08-22,4.73,4.76,4.53,4.57,4.5309,613228
2025-08-25,4.59,4.7,4.58,4.68,4.6399,182706
2025-08-26,4.68,4.68,4.55,4.6,4.5606,240303
2025-08-27,4.61,4.68,4.58,4.6,4.5606,161640
2025-08-28,5.08,5.4,5.02,5.24,5.1951,700287
2025-08-29,5.29,5.35,5.21,5.26,5.215,391544
2025-09-01,5.27,5.27,5.06,5.09,5.0464,320791
2025-09-02,5.02,5.12,4.81,5.04,4.9968,347022
2025-09-03,5.07,5.07,4.8,5,4.9572,383520
2025-09-04,5.1,5.1,4.94,5.1,5.0563,422697
2025-09-05,5.11,5.27,5.1,5.18,5.1356,322869
2025-09-08,5.18,5.23,5.11,5.13,5.0861,169303
2025-09-09,5.14,5.19,4.98,5.07,5.0266,204499
2025-09-10,5.07,5.3,5.05,5.27,5.2249,313094
2025-09-11,5.28,5.28,5.14,5.28,5.2348,130469
2025-09-12,5.29,5.44,5.23,5.27,5.2249,206856
