Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,192.42,193.36,188.495,192.11,191.563,26212900
2025-07-23,192.36,193.36,190.18,191.51,190.9647,34068100
2025-07-24,198.11,198.97,191.95,193.2,192.6499,45252100
2025-07-25,192.93,195.275,192.13,194.08,193.5274,31101800
2025-07-28,194.41,194.82,191.855,193.42,192.8693,25553500
2025-07-29,193.3,196.66,192.99,196.43,195.8707,31891600
2025-07-30,196.3,198.48,195.56,197.44,196.8778,21150500
2025-07-31,196.6,196.83,192.08,192.86,192.3108,27852000
2025-08-01,189.78,191.618,188.7,189.95,189.4091,21236700
2025-08-04,191.175,196.08,190.92,195.75,195.1926,23386000
2025-08-05,195.545,198.7,194.675,195.32,194.7638,19010200
2025-08-06,195.25,197.38,194.467,196.92,196.3593,15383700
2025-08-07,197.71,198.37,195.22,197.28,196.7183,14660600
2025-08-08,197.98,203.43,197.9,202.09,201.5146,24379900
2025-08-11,201.555,202.16,199.8,201.63,201.0559,16690200
2025-08-12,202.095,205.13,201.4,204.16,203.5787,19854000
2025-08-13,204.98,205.43,198.64,203.03,202.4519,19573000
2025-08-14,202.56,205.42,202.325,203.82,203.2396,17777100
2025-08-15,204.72,207.33,202.085,204.91,204.3265,21111400
2025-08-18,205.07,206.14,203.41,204.29,203.7083,13000200
2025-08-19,203.905,204.29,200.93,202.49,201.9134,13476600
2025-08-20,201.68,202.17,197.46,200.19,199.62,13971700
2025-08-21,200.72,203.36,200.4,200.62,200.0488,11768900
2025-08-22,203.96,209.23,202.13,206.72,206.1314,25723700
2025-08-25,207,211.09,205.95,209.16,208.5644,22788800
2025-08-26,208.37,208.46,206.45,207.95,207.3579,23051000
2025-08-27,206.46,209.57,206.39,208.21,207.6171,15249000
2025-08-28,207.84,212.9,207.6,212.37,211.7653,20915700
2025-08-29,211.27,215.34,210.97,213.53,212.922,24682200
2025-09-02,208.99,212.369,206.96,211.99,211.3864,28900100
2025-09-03,226.48,231.8,225.12,231.1,230.442,72250300
