Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.39,2.4,2.38,2.38,2.2015,307201
2025-07-23,2.38,2.4,2.37,2.39,2.2107,285359
2025-07-24,2.4,2.42,2.37,2.38,2.2015,269325
2025-07-25,2.39,2.41,2.38,2.38,2.2015,282480
2025-07-28,2.4,2.42,2.39,2.41,2.2292,419245
2025-07-29,2.4,2.41,2.39,2.39,2.2107,260936
2025-07-30,2.41,2.46,2.39,2.46,2.2754,613070
2025-07-31,2.42,2.46,2.42,2.45,2.2662,287915
2025-08-01,2.43,2.45,2.42,2.43,2.2477,305674
2025-08-04,2.43,2.44,2.42,2.43,2.2477,161659
2025-08-05,2.44,2.47,2.43,2.46,2.2754,182690
2025-08-06,2.44,2.49,2.44,2.48,2.2939,612328
2025-08-07,2.48,2.52,2.48,2.5,2.3124,551551
2025-08-08,2.51,2.525,2.49,2.51,2.3217,186094
2025-08-11,2.53,2.56,2.51,2.54,2.3494,496783
2025-08-12,2.53,2.565,2.53,2.54,2.3494,201429
2025-08-13,2.56,2.56,2.52,2.54,2.3494,217766
2025-08-14,2.54,2.575,2.53,2.54,2.3494,373883
2025-08-15,2.53,2.55,2.51,2.53,2.3402,438864
2025-08-18,2.51,2.52,2.48,2.49,2.3032,529803
2025-08-19,2.49,2.5,2.45,2.46,2.2754,255234
2025-08-20,2.45,2.47,2.39,2.41,2.2292,859442
2025-08-21,2.43,2.475,2.43,2.46,2.2754,813590
2025-08-22,2.45,2.48,2.44,2.45,2.2662,1025459
2025-08-25,2.47,2.53,2.45,2.52,2.3309,1627425
2025-08-26,2.52,2.53,2.46,2.47,2.2847,597473
2025-08-27,2.48,2.53,2.48,2.51,2.3217,1172183
2025-08-28,2.52,2.54,2.48,2.49,2.3032,376290
2025-08-29,2.51,2.51,2.44,2.48,2.2939,634379
2025-09-01,2.49,2.49,2.46,2.47,2.2847,351449
2025-09-02,2.47,2.47,2.44,2.46,2.2754,570907
2025-09-03,2.46,2.48,2.43,2.44,2.257,924325
2025-09-04,2.44,2.46,2.43,2.45,2.2662,414369
2025-09-05,2.45,2.47,2.45,2.46,2.2754,247245
2025-09-08,2.47,2.51,2.46,2.5,2.3124,399208
2025-09-09,2.46,2.52,2.45,2.51,2.3217,446710
2025-09-10,2.52,2.53,2.5,2.52,2.3309,1016734
2025-09-11,2.53,2.56,2.515,2.56,2.3679,570433
2025-09-12,2.57,2.6,2.54,2.59,2.3957,520347
2025-09-15,2.59,2.62,2.585,2.61,2.4142,537561
2025-09-16,2.6,2.63,2.6,2.61,2.4142,343302
2025-09-17,2.6,2.605,2.555,2.57,2.3772,629629
2025-09-18,2.57,2.6,2.55,2.6,2.4049,895688
2025-09-19,2.62,2.62,2.565,2.61,2.4142,1908957
2025-09-22,2.61,2.62,2.565,2.57,2.3772,302830
2025-09-23,2.58,2.59,2.55,2.58,2.3864,362764
