Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.06,5.09,5.045,5.05,4.8235,2888817
2025-07-23,5.06,5.09,5.05,5.08,4.8521,2793648
2025-07-24,5.07,5.09,5.01,5.02,4.7948,7131422
2025-07-25,5.03,5.04,4.95,4.97,4.7471,4916940
2025-07-28,4.96,5.02,4.94,5.02,4.7948,2965927
2025-07-29,5.02,5.025,4.97,4.99,4.7662,4815293
2025-07-30,4.98,5.11,4.97,5.07,4.8426,6356505
2025-07-31,5.05,5.12,5.04,5.1,4.8712,5547791
2025-08-01,5.03,5.09,5.01,5.06,4.833,3694177
2025-08-04,5.06,5.11,5.03,5.09,4.8617,3358573
2025-08-05,5.13,5.19,5.12,5.18,4.9476,4471360
2025-08-06,5.19,5.2,5.12,5.14,4.9094,3975559
2025-08-07,5.16,5.18,5.13,5.18,4.9476,3876239
2025-08-08,5.17,5.175,5.13,5.17,4.9381,3078851
2025-08-11,5.18,5.185,5.13,5.17,4.9381,2797116
2025-08-12,5.19,5.22,5.15,5.19,4.9572,3161125
2025-08-13,5.21,5.21,5.16,5.21,4.9763,2692780
2025-08-14,5.23,5.27,5.21,5.25,5.0145,3516180
2025-08-15,5.25,5.28,5.23,5.27,5.0336,4519239
2025-08-18,5.35,5.47,5.34,5.37,5.1291,10221801
2025-08-19,5.34,5.43,5.28,5.43,5.1864,5875580
2025-08-20,5.5,5.54,5.45,5.47,5.2246,4992473
2025-08-21,5.48,5.56,5.46,5.55,5.3011,5086054
2025-08-22,5.55,5.55,5.46,5.54,5.2915,9817258
2025-08-25,5.55,5.61,5.54,5.6,5.3488,2902047
2025-08-26,5.6,5.62,5.58,5.6,5.3488,5881844
2025-08-27,5.58,5.62,5.57,5.59,5.3393,4882859
2025-08-28,5.61,5.63,5.58,5.63,5.3775,2091773
2025-08-29,5.63,5.65,5.55,5.58,5.3297,8937736
2025-09-01,5.58,5.61,5.51,5.54,5.2915,3946697
2025-09-02,5.52,5.52,5.42,5.43,5.1864,5660977
2025-09-03,5.41,5.43,5.28,5.32,5.0814,7754950
2025-09-04,5.35,5.36,5.26,5.36,5.1196,12777300
2025-09-05,5.41,5.465,5.39,5.42,5.1769,4258208
2025-09-08,5.42,5.5,5.42,5.48,5.2342,5317108
2025-09-09,5.46,5.48,5.4,5.45,5.2055,3294719
2025-09-10,5.45,5.47,5.42,5.43,5.1864,4116858
2025-09-11,5.41,5.495,5.39,5.47,5.2246,1815694
2025-09-12,5.5,5.535,5.48,5.51,5.2628,3931103
