Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.25,2.25,2.2,2.22,1.8848,1139915
2025-07-23,2.23,2.24,2.15,2.17,1.8424,3836204
2025-07-24,2.2,2.23,2.135,2.16,1.8339,2548623
2025-07-25,2.17,2.17,2.13,2.15,1.8254,2019508
2025-07-28,2.16,2.18,2.11,2.14,1.8169,2475748
2025-07-29,2.12,2.13,2.07,2.07,1.7575,3237405
2025-07-30,2.05,2.06,2.01,2.02,1.715,4659259
2025-07-31,2.03,2.08,2.03,2.05,1.7405,3341003
2025-08-01,2.05,2.07,2.02,2.04,1.732,4708377
2025-08-04,2.01,2.04,1.99,2.04,1.732,3397529
2025-08-05,2.05,2.09,2.05,2.07,1.7575,5802046
2025-08-06,2.08,2.15,2.08,2.12,1.7999,2823675
2025-08-07,2.09,2.11,2.02,2.02,1.715,4524424
2025-08-08,1.9,1.9,1.715,1.725,1.4646,51043533
2025-08-11,1.735,1.8,1.72,1.8,1.5282,9953522
2025-08-12,1.83,1.85,1.76,1.76,1.4943,11139756
2025-08-13,1.76,1.77,1.71,1.72,1.4603,12296871
2025-08-14,1.73,1.7825,1.72,1.775,1.507,7421826
2025-08-15,1.82,1.83,1.77,1.785,1.5155,7995599
2025-08-18,1.79,1.805,1.775,1.785,1.5155,4953687
2025-08-19,1.79,1.795,1.755,1.76,1.4943,5013141
2025-08-20,1.78,1.795,1.74,1.745,1.4815,7618020
2025-08-21,1.795,1.85,1.78,1.83,1.5537,16882604
2025-08-22,1.88,1.9,1.755,1.775,1.507,11294498
2025-08-25,1.8,1.8,1.74,1.75,1.4858,11308655
2025-08-26,1.765,1.805,1.7275,1.785,1.5155,24204332
2025-08-27,1.76,1.76,1.715,1.745,1.4815,3449014
2025-08-28,1.75,1.76,1.725,1.75,1.5341,4180454
2025-08-29,1.755,1.785,1.74,1.745,1.5297,5958842
2025-09-01,1.75,1.765,1.7275,1.74,1.5254,5064026
2025-09-02,1.75,1.8,1.74,1.785,1.5648,7613222
2025-09-03,1.795,1.795,1.73,1.735,1.521,5620028
2025-09-04,1.75,1.77,1.735,1.765,1.5473,3249790
2025-09-05,1.78,1.795,1.735,1.74,1.5254,3191016
2025-09-08,1.765,1.8,1.745,1.77,1.5517,12662436
2025-09-09,1.795,1.8,1.7,1.715,1.5034,13310993
2025-09-10,1.72,1.745,1.7,1.72,1.5078,5277953
2025-09-11,1.695,1.74,1.655,1.71,1.4991,6784095
2025-09-12,1.74,1.765,1.685,1.685,1.4771,6548083
2025-09-15,1.7,1.72,1.685,1.695,1.4859,3387118
2025-09-16,1.71,1.725,1.69,1.71,1.4991,4142554
2025-09-17,1.715,1.715,1.685,1.69,1.4815,4822987
2025-09-18,1.69,1.695,1.665,1.68,1.4728,14351519
2025-09-19,1.69,1.725,1.67,1.67,1.464,67963324
2025-09-22,1.675,1.71,1.645,1.705,1.4947,9963972
2025-09-23,1.7,1.71,1.675,1.685,1.4771,12013546
2025-09-24,1.68,1.69,1.66,1.685,1.4771,4654491
2025-09-25,1.69,1.7025,1.675,1.68,1.4728,5962626
2025-09-26,1.685,1.6875,1.655,1.665,1.4596,3611039
2025-09-29,1.67,1.6925,1.67,1.69,1.4815,3444935
2025-09-30,1.69,1.71,1.675,1.68,1.4728,5357193
2025-10-01,1.685,1.72,1.675,1.695,1.4859,5556347
2025-10-02,1.725,1.76,1.7,1.76,1.5429,6612266
2025-10-03,1.76,1.775,1.725,1.73,1.5166,3456826
2025-10-06,1.74,1.745,1.715,1.72,1.5078,1273089
2025-10-07,1.73,1.745,1.615,1.615,1.4158,9981521
2025-10-08,1.64,1.64,1.605,1.615,1.4158,6135680
