Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,2.27,2.28,2.26,2.28,2.1446,21532
2025-04-28,2.28,2.3,2.27,2.3,2.1634,25987
2025-04-29,2.3,2.35,2.28,2.35,2.2105,151707
2025-04-30,2.35,2.4,2.29,2.38,2.2387,252775
2025-05-01,2.4,2.53,2.4,2.51,2.361,545811
2025-05-02,2.51,2.51,2.41,2.45,2.3045,91362
2025-05-05,2.47,2.47,2.35,2.35,2.2105,71394
2025-05-06,2.36,2.43,2.34,2.43,2.2857,55883
2025-05-07,2.35,2.445,2.3,2.43,2.2857,362536
2025-05-08,2.445,2.445,2.36,2.36,2.2199,14552
2025-05-09,2.36,2.41,2.36,2.4,2.2575,31245
2025-05-12,2.38,2.42,2.36,2.36,2.2199,115356
2025-05-13,2.37,2.465,2.37,2.45,2.3045,72578
2025-05-14,2.465,2.5,2.46,2.46,2.3139,50359
2025-05-15,2.45,2.46,2.44,2.45,2.3045,22096
2025-05-16,2.45,2.45,2.4,2.44,2.2951,77064
2025-05-19,2.4,2.4,2.3,2.35,2.2105,149387
2025-05-20,2.36,2.42,2.33,2.37,2.2293,99805
2025-05-21,2.32,2.46,2.32,2.46,2.3139,159960
2025-05-22,2.38,2.41,2.33,2.34,2.201,202906
2025-05-23,2.4,2.45,2.36,2.38,2.2387,162908
2025-05-26,2.36,2.415,2.35,2.38,2.2387,124023
2025-05-27,2.4,2.4,2.32,2.32,2.1822,147341
2025-05-28,2.355,2.37,2.33,2.35,2.2105,126965
2025-05-29,2.375,2.4,2.35,2.36,2.2199,80210
2025-05-30,2.36,2.38,2.3,2.3,2.1634,381979
2025-06-02,2.32,2.38,2.32,2.35,2.2105,132902
2025-06-03,2.39,2.39,2.32,2.32,2.1822,171002
2025-06-04,2.34,2.37,2.34,2.34,2.201,123733
2025-06-05,2.33,2.35,2.28,2.29,2.154,240880
2025-06-06,2.32,2.36,2.32,2.33,2.1916,305567
2025-06-10,2.34,2.355,2.33,2.34,2.201,83615
2025-06-11,2.34,2.42,2.34,2.42,2.2763,271351
2025-06-12,2.36,2.47,2.36,2.39,2.2481,236410
2025-06-13,2.37,2.44,2.3,2.3,2.1634,410025
2025-06-16,2.32,2.32,2.22,2.22,2.0882,769259
2025-06-17,2.24,2.29,2.24,2.25,2.1164,185167
2025-06-18,2.27,2.29,2.215,2.22,2.0882,214073
2025-06-19,2.22,2.29,2.22,2.28,2.1446,451790
2025-06-20,2.29,2.29,2.21,2.26,2.1258,1644372
2025-06-23,2.26,2.26,2.22,2.24,2.107,101039
2025-06-24,2.23,2.26,2.21,2.22,2.0882,93708
2025-06-25,2.24,2.405,2.23,2.37,2.2293,747881
2025-06-26,2.34,2.38,2.34,2.38,2.2387,95829
2025-06-27,2.4,2.4,2.33,2.34,2.201,115690
2025-06-30,2.34,2.4,2.33,2.4,2.2575,223647
2025-07-01,2.37,2.37,2.29,2.31,2.1728,1268589
2025-07-02,2.325,2.355,2.305,2.33,2.1916,447658
2025-07-03,2.325,2.36,2.28,2.32,2.1822,764368
2025-07-04,2.35,2.37,2.32,2.34,2.201,141333
2025-07-07,2.34,2.35,2.31,2.32,2.1822,122740
2025-07-08,2.33,2.345,2.3,2.33,2.1916,155501
2025-07-09,2.35,2.36,2.32,2.33,2.1916,174684
2025-07-10,2.33,2.41,2.32,2.4,2.2575,151934
2025-07-11,2.4,2.44,2.39,2.43,2.2857,69632
2025-07-14,2.43,2.48,2.43,2.46,2.3139,158613
2025-07-15,2.46,2.47,2.42,2.43,2.2857,41915
2025-07-16,2.41,2.43,2.39,2.4,2.2575,122931
2025-07-17,2.41,2.44,2.405,2.42,2.2763,47712
2025-07-18,2.44,2.46,2.41,2.42,2.2763,69122
2025-07-21,2.42,2.43,2.38,2.4,2.2575,148704
2025-07-22,2.395,2.41,2.37,2.38,2.2387,133415
2025-07-23,2.38,2.415,2.375,2.4,2.2575,264030
2025-07-24,2.42,2.51,2.42,2.5,2.3515,446093
2025-07-25,2.5,2.52,2.38,2.38,2.2387,406983
2025-07-28,2.4,2.48,2.4,2.46,2.3139,370469
2025-07-29,2.46,2.57,2.45,2.55,2.3986,580979
2025-07-30,2.55,2.59,2.51,2.51,2.361,333041
2025-07-31,2.52,2.55,2.46,2.53,2.3798,216771
2025-08-01,2.52,2.52,2.48,2.48,2.3327,94405
2025-08-04,2.5,2.52,2.47,2.49,2.3421,116044
2025-08-05,2.5,2.53,2.49,2.51,2.361,71061
2025-08-06,2.54,2.57,2.5,2.56,2.408,787686
2025-08-07,2.56,2.59,2.55,2.59,2.4362,89790
