Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,27.44,27.46,26.8,27.2,26.9536,150117
2025-07-23,27.19,27.65,26.94,27.61,27.3599,257044
2025-07-24,26.9,27.97,26.7,27.65,27.3995,157060
2025-07-25,27.57,27.77,27.085,27.35,27.1022,167018
2025-07-28,27.48,27.95,27.38,27.95,27.6968,89835
2025-07-29,27.7,27.72,26.86,26.93,26.686,110532
2025-07-30,26.85,27.33,26.53,26.72,26.4779,169836
2025-07-31,26.59,28,26.59,27.55,27.3004,248407
2025-08-01,27.14,27.58,26.94,27.53,27.2806,111822
2025-08-04,27.62,27.79,27.415,27.67,27.4193,119897
2025-08-05,27.9,28.4,27.39,27.84,27.5878,174495
2025-08-06,28.14,28.92,28,28.41,28.1526,209009
2025-08-07,28.57,29.07,28.505,28.88,28.6184,197516
2025-08-08,29,29.09,28.29,28.43,28.1724,110523
2025-08-11,29,29.09,28.36,28.65,28.3904,367026
2025-08-12,28.7,29.17,28.38,28.76,28.4994,285297
2025-08-13,29.06,29.06,27.38,27.71,27.459,277322
2025-08-14,28.31,28.42,27.41,27.51,27.2608,273413
2025-08-15,27.49,28.085,27.08,27.88,27.6274,274448
2025-08-18,27.88,28.33,27.83,27.94,27.6869,85855
2025-08-19,28.17,28.405,27.66,28.21,27.9544,133989
2025-08-20,28.46,29.08,28.39,28.97,28.7075,197897
2025-08-21,29.03,29.38,28.58,28.97,28.7075,317370
2025-08-22,27.04,27.04,22,23.7,23.4853,2675309
2025-08-25,24.01,25.63,23.7,25.54,25.3086,1055035
2025-08-26,25.8,26.67,25.4,26.01,25.7744,2833910
2025-08-27,26.49,26.49,25.8,26.3,26.0617,281133
2025-08-28,26.09,26.36,25,25.52,25.2888,541701
2025-08-29,25.98,25.98,25.16,25.24,25.0113,264034
2025-09-01,25.5,25.9,25.32,25.5,25.269,133804
2025-09-02,25.51,25.51,24.34,24.5,24.278,310691
2025-09-03,24.35,24.98,23.63,23.72,23.5051,1037201
2025-09-04,23.73,24.14,23.17,23.61,23.3961,317506
2025-09-05,24.15,24.15,23.06,23.62,23.406,281120
2025-09-08,24,24.01,23.45,23.77,23.5547,280385
2025-09-09,23.96,24.31,23.67,24.18,23.9609,170372
2025-09-10,23.88,24.02,23.715,23.75,23.5348,129790
2025-09-11,23.68,23.84,23.2,23.7,23.4853,267002
2025-09-12,23.69,25.22,23.21,25.22,24.9915,391902
2025-09-15,24.8,26.53,24.595,26.53,26.4217,751586
2025-09-16,26.6,26.82,25.71,25.79,25.6847,2146905
2025-09-17,25.64,25.69,24.67,25.1,24.9975,489783
2025-09-18,25,25.3,24.72,25.29,25.1867,1123646
2025-09-19,25.09,25.43,24.505,25.43,25.3261,1583829
2025-09-22,24.87,25.135,24.355,24.9,24.7983,481375
2025-09-23,24.75,25.66,24.63,25.5,25.3959,554153
2025-09-24,25.44,25.49,24.55,24.72,24.619,423642
2025-09-25,24.43,24.71,24.225,24.52,24.4199,941354
2025-09-26,24.33,25.09,24.32,24.87,24.7684,727636
2025-09-29,25,25.4,24.92,25.2,25.0971,246051
2025-09-30,25.2,25.98,24.97,25.98,25.8739,376514
2025-10-01,26,26.35,25.69,25.91,25.8042,279595
2025-10-02,25.86,25.86,25.16,25.6,25.4955,575380
2025-10-03,25.75,26.46,25.6,26.25,26.1428,179375
2025-10-06,26.39,26.41,25.93,26.41,26.3021,214241
2025-10-07,26.4,26.66,26.14,26.52,26.4117,395844
2025-10-08,26.88,27,25.9,27,26.8897,780861
2025-10-09,31,34.065,26.34,26.39,26.2822,865350
2025-10-10,26.4,26.5,25.18,25.69,25.5851,512727
2025-10-13,25.56,25.56,24.9,25.07,24.9676,324932
2025-10-14,25.2,25.47,24.01,24.53,24.4298,543468
2025-10-15,25.05,25.45,25.01,25.31,25.2066,232669
2025-10-16,25.32,25.72,25.01,25.2,25.0971,196049
2025-10-17,25.34,25.65,25.04,25.35,25.2465,269740
2025-10-20,25,25.76,24.93,25.05,24.9477,346816
2025-10-21,25.05,25.29,24.22,24.75,24.6489,284477
2025-10-22,24.99,25.06,24.52,24.99,24.8879,230984
2025-10-23,24.75,25,24.2,24.41,24.3103,226244
2025-10-24,24.79,25.9,24.68,25.72,25.615,257715
2025-10-27,26,26.45,25.53,26.04,25.9337,250838
2025-10-28,26.7,27.7,26.02,26.19,26.083,472469
