Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.02,5.17,5.01,5.14,3.7759,625885
2025-07-23,5.18,5.19,5.09,5.15,3.7832,585922
2025-07-24,5.15,5.15,5.03,5.1,3.7465,456614
2025-07-25,5.09,5.1,4.91,4.94,3.629,740276
2025-07-28,5.06,5.13,4.94,4.94,3.629,847463
2025-07-29,4.95,5,4.92,4.96,3.6437,566978
2025-07-30,4.96,5.1,4.94,5.04,3.7024,955572
2025-07-31,5.06,5.11,5.05,5.06,3.7171,763331
2025-08-01,5.01,5.16,4.99,5.11,3.7539,451906
2025-08-04,5.04,5.11,5.02,5.07,3.7245,453152
2025-08-05,5.16,5.16,5,5.01,3.6804,797354
2025-08-06,5.01,5.14,4.97,5.13,3.7686,962754
2025-08-07,5.13,5.25,5.09,5.25,3.8567,550910
2025-08-08,5.26,5.26,5.16,5.21,3.8273,351748
2025-08-11,5.19,5.27,5.13,5.26,3.8641,560874
2025-08-12,5.26,5.36,5.245,5.27,3.8714,561978
2025-08-13,5.39,5.39,5.285,5.36,3.9375,332229
2025-08-14,5.38,5.46,5.335,5.46,4.011,549723
2025-08-15,5.44,5.53,5.39,5.53,4.0624,502803
2025-08-18,5.53,5.6,5.53,5.6,4.1138,370283
2025-08-19,5.6,5.79,5.57,5.68,4.1726,1040139
2025-08-20,5.69,5.88,5.63,5.7,4.1873,2218869
2025-08-21,5.6,5.705,5.52,5.63,4.1359,1136687
2025-08-22,5.92,5.99,5.64,5.73,4.2093,2129840
2025-08-25,5.74,6.04,5.74,5.92,4.3489,2360737
2025-08-26,5.9,5.94,5.76,5.8,4.2607,1696246
2025-08-27,5.88,5.98,5.82,5.93,4.3562,1505948
2025-08-28,5.98,5.98,5.87,5.91,4.3415,1620274
2025-08-29,5.44,5.625,5.38,5.55,4.397,1873319
2025-09-01,5.54,5.68,5.48,5.63,4.4604,881607
2025-09-02,5.63,5.81,5.6,5.71,4.5238,1547511
2025-09-03,5.71,5.73,5.54,5.56,4.4049,1186946
2025-09-04,5.58,5.77,5.57,5.73,4.5396,985953
2025-09-05,5.8,5.82,5.7,5.77,4.5713,900860
2025-09-08,5.74,5.8,5.69,5.78,4.5792,625722
2025-09-09,5.8,5.86,5.75,5.79,4.5871,1228977
2025-09-10,5.78,5.9,5.76,5.83,4.6188,779448
2025-09-11,5.8,5.83,5.72,5.73,4.5396,677048
2025-09-12,5.75,5.81,5.73,5.73,4.5396,966001
2025-09-15,5.73,5.77,5.66,5.69,4.5079,786371
2025-09-16,5.72,5.84,5.65,5.81,4.603,919417
2025-09-17,5.94,5.94,5.63,5.75,4.5555,1210418
2025-09-18,5.75,5.785,5.63,5.73,4.5396,499921
2025-09-19,5.82,5.9,5.75,5.75,4.5555,2876319
2025-09-22,5.81,5.81,5.76,5.78,4.5792,368073
2025-09-23,5.79,5.81,5.69,5.78,4.5792,765719
2025-09-24,5.75,5.79,5.66,5.71,4.5238,702177
2025-09-25,5.66,5.73,5.6,5.68,4.5,839923
2025-09-26,5.71,5.77,5.65,5.75,4.5555,911768
2025-09-29,5.76,5.86,5.75,5.8,4.5951,448327
2025-09-30,5.78,5.85,5.75,5.78,4.5792,499310
2025-10-01,5.71,5.8,5.665,5.71,4.5238,576853
2025-10-02,5.74,5.82,5.67,5.8,4.5951,1021594
2025-10-03,5.76,5.79,5.7,5.77,4.5713,753471
2025-10-06,5.8,5.895,5.74,5.8,4.5951,945552
2025-10-07,5.79,5.79,5.64,5.72,4.5317,772307
2025-10-08,5.7,5.7,5.43,5.5,4.3574,1064266
2025-10-09,5.55,5.55,5.38,5.46,4.3257,1392039
2025-10-10,5.41,5.575,5.405,5.56,4.4049,626702
2025-10-13,5.56,5.56,5.38,5.43,4.3019,457743
2025-10-14,5.42,5.48,5.33,5.41,4.2861,618867
2025-10-15,5.45,5.49,5.335,5.42,4.294,1496998
2025-10-16,5.47,5.53,5.39,5.48,4.3415,567133
2025-10-17,5.44,5.49,5.365,5.42,4.294,714565
2025-10-20,5.42,5.505,5.33,5.5,4.3574,786345
2025-10-21,5.51,5.61,5.5,5.55,4.397,565667
2025-10-22,5.58,5.58,5.44,5.52,4.3732,761715
2025-10-23,5.45,5.675,5.45,5.63,4.4604,712415
2025-10-24,5.69,5.7,5.62,5.64,4.4683,467343
2025-10-27,5.71,5.72,5.6,5.68,4.5,404924
2025-10-28,5.7,5.71,5.54,5.63,4.4604,584763
2025-10-29,5.82,5.84,5.45,5.53,4.3812,1335363
2025-10-30,5.43,5.48,5.365,5.41,4.2861,1239359
2025-10-31,5.4,5.51,5.385,5.39,4.2702,758797
2025-11-03,5.44,5.47,5.34,5.34,4.2306,608734
2025-11-04,5.38,5.38,5.27,5.32,4.2148,527980
2025-11-05,5.36,5.38,5.27,5.33,4.2227,430158
2025-11-06,5.33,5.41,5.32,5.34,4.2306,531098
2025-11-07,5.41,5.43,5.31,5.33,4.2227,504378
2025-11-10,5.46,5.5,5.44,5.48,4.3415,548115
2025-11-11,5.54,5.65,5.53,5.58,4.4208,624577
2025-11-12,5.68,5.73,5.62,5.73,4.5396,766462
2025-11-13,5.8,5.965,5.78,5.9,4.6743,1386577
2025-11-14,5.82,5.93,5.75,5.89,4.6664,735956
2025-11-17,5.89,6,5.83,5.98,4.7377,1198936
2025-11-18,5.98,5.99,5.79,5.88,4.6585,1036163
2025-11-19,5.78,5.96,5.78,5.85,4.6347,622187
2025-11-20,5.9,5.97,5.835,5.86,4.6426,757604
2025-11-21,5.86,5.87,5.65,5.67,4.4921,638460
2025-11-24,5.75,5.85,5.715,5.79,4.5871,1485208
2025-11-25,5.82,5.835,5.54,5.54,4.3891,803303
2025-11-26,5.63,5.675,5.57,5.62,4.4525,594281
2025-11-27,5.65,5.72,5.54,5.59,4.4287,927173
2025-11-28,5.72,5.72,5.575,5.65,4.4762,467940
2025-12-01,5.65,5.695,5.6,5.6,4.4366,747995
2025-12-02,5.6,5.72,5.58,5.64,4.4683,481142
2025-12-03,5.61,5.64,5.52,5.6,4.4366,592075
2025-12-04,5.59,5.65,5.55,5.65,4.4762,535258
2025-12-05,5.68,5.68,5.58,5.64,4.4683,683200
2025-12-08,5.6,5.77,5.6,5.75,4.5555,546737
2025-12-09,5.7,5.85,5.69,5.83,4.6188,823041
2025-12-10,5.84,5.85,5.7,5.77,4.5713,669076
2025-12-11,5.8,5.9,5.77,5.79,4.5871,455357
2025-12-12,5.88,5.9,5.74,5.79,4.5871,469447
2025-12-15,5.93,5.93,5.715,5.73,4.5396,577241
2025-12-16,5.7,5.72,5.61,5.65,4.4762,494396
2025-12-17,5.63,5.73,5.61,5.71,4.5238,451413
2025-12-18,5.54,5.66,5.5,5.65,4.4762,537063
2025-12-19,5.65,5.82,5.65,5.7,4.5158,775732
2025-12-22,5.71,5.8,5.71,5.76,4.5634,290404
2025-12-23,5.75,5.81,5.73,5.81,4.603,472103
2025-12-24,5.77,5.785,5.71,5.76,4.5634,95234
2025-12-29,5.79,5.82,5.52,5.53,4.3812,516594
2025-12-30,5.59,5.7,5.52,5.57,4.4129,226638
2025-12-31,5.57,5.63,5.5,5.5,4.3574,459150
2026-01-02,5.67,5.67,5.52,5.55,4.397,256236
2026-01-05,5.55,5.56,5.39,5.41,4.2861,658370
2026-01-06,5.41,5.45,5.32,5.33,4.2227,945522
2026-01-07,5.36,5.38,5.2,5.35,4.2386,1065156
2026-01-08,5.34,5.36,5.27,5.33,4.2227,422633
2026-01-09,5.37,5.45,5.33,5.34,4.2306,354205
2026-01-12,5.4,5.45,5.33,5.36,4.2465,323656
2026-01-13,5.35,5.4,5.32,5.36,4.2465,824667
2026-01-14,5.37,5.585,5.365,5.52,4.3732,1129020
2026-01-15,5.55,5.6,5.33,5.4,4.2782,1188600
2026-01-16,5.4,5.575,5.4,5.51,4.3653,531502
2026-01-19,5.51,5.65,5.47,5.51,4.3653,464994
2026-01-20,5.46,5.7,5.405,5.64,4.4683,682746
2026-01-21,5.64,5.68,5.54,5.67,4.4921,663750
2026-01-22,5.66,5.94,5.66,5.92,4.6901,737161
2026-01-23,5.92,6.02,5.88,5.9,4.6743,897638
2026-01-27,5.96,6.03,5.83,5.84,4.6268,694141
2026-01-28,5.94,5.94,5.67,5.7,4.5158,738349
2026-01-29,5.68,5.78,5.62,5.78,4.5792,429233
2026-01-30,5.79,5.86,5.66,5.84,4.6268,1032001
2026-02-02,5.8,5.9,5.77,5.86,4.6426,519340
2026-02-03,5.9,5.93,5.8,5.84,4.6268,579577
2026-02-04,5.88,5.88,5.73,5.78,4.5792,1081265
2026-02-05,5.8,5.85,5.59,5.74,4.5475,1289207
2026-02-06,5.65,5.73,5.61,5.7,4.5158,550550
2026-02-09,5.7,5.77,5.67,5.7,4.5158,639693
2026-02-10,5.66,5.72,5.58,5.61,4.4445,847106
2026-02-11,5.61,5.64,5.52,5.56,4.4049,857492
2026-02-12,5.52,5.73,5.41,5.42,4.294,786615
2026-02-13,5.4,5.63,5.345,5.58,4.4208,756652
2026-02-16,5.59,5.655,5.53,5.6,4.4366,679944
2026-02-17,5.67,5.67,5.55,5.58,4.4208,291721
2026-02-18,5.61,5.75,5.6,5.75,4.5555,561276
2026-02-19,5.73,5.73,5.65,5.72,4.5317,638773
2026-02-20,5.76,5.88,5.67,5.81,4.603,586296
2026-02-23,5.84,5.845,5.72,5.74,4.5475,714269
2026-02-24,5.7,5.85,5.36,5.38,4.2623,1139817
2026-02-25,5.95,6.47,5.95,6.26,4.9595,2628310
2026-02-26,6.27,6.39,6.05,6.07,4.809,1236816
2026-02-27,6.21,6.21,6.02,6.02,4.7694,1332684
2026-03-02,6.02,6.1,5.91,6.05,4.7931,1224519
2026-03-03,6.01,6.13,5.99,6.07,4.809,1098512
2026-03-04,6,6.05,5.88,5.99,4.7456,1685583
2026-03-05,5.98,6.05,5.96,6.01,4.7614,2458824
2026-03-06,6,6.03,5.945,5.97,4.7298,2553464
2026-03-09,6,6,5.77,5.81,4.603,3203929
2026-03-10,4.87,5.02,4.7,4.73,4.3719,2421949
2026-03-11,4.75,4.82,4.53,4.55,4.2055,1995960
2026-03-12,4.57,4.65,4.43,4.46,4.1224,1662844
2026-03-13,4.38,4.53,4.35,4.5,4.1593,1127457
2026-03-16,4.54,4.67,4.51,4.67,4.3165,996926
2026-03-17,4.69,4.86,4.6,4.65,4.298,1852394
2026-03-18,4.75,4.85,4.68,4.79,4.4274,1787942
2026-03-19,4.83,4.91,4.79,4.83,4.4643,1214898
2026-03-20,4.78,4.86,4.76,4.82,4.4551,1114276
2026-03-23,4.73,4.81,4.71,4.81,4.4459,878595
2026-03-24,4.9,4.95,4.795,4.91,4.5383,1059338
2026-03-25,5,5.09,4.94,5.06,4.6769,965561
2026-03-26,5.06,5.145,5.02,5.12,4.7324,654487
2026-03-27,5.14,5.14,5.02,5.05,4.6677,488856
2026-03-30,5.04,5.08,4.96,5.07,4.6862,714834
2026-03-31,5.12,5.29,5.1,5.26,4.8618,1076824
