Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.79,3.81,3.71,3.72,3.5815,1247173
2025-07-23,3.78,3.78,3.66,3.72,3.5815,1305316
2025-07-24,3.72,3.73,3.63,3.63,3.4949,2492403
2025-07-25,3.63,3.735,3.59,3.7,3.5623,1479528
2025-07-28,3.71,3.82,3.71,3.74,3.6008,1476123
2025-07-29,3.8,3.8,3.57,3.6,3.466,2820914
2025-07-30,3.6,3.69,3.53,3.67,3.5334,979873
2025-07-31,3.66,3.67,3.54,3.59,3.4564,1123265
2025-08-01,3.52,3.57,3.46,3.53,3.3986,2513031
2025-08-04,3.5,3.58,3.49,3.57,3.4371,725457
2025-08-05,3.62,3.69,3.52,3.64,3.5045,1749633
2025-08-06,3.64,3.74,3.58,3.61,3.4756,1625811
2025-08-07,3.59,3.59,3.47,3.51,3.3793,1935129
2025-08-08,3.53,3.58,3.5,3.57,3.4371,1087647
2025-08-11,3.56,3.67,3.525,3.63,3.4949,1864467
2025-08-12,3.61,3.61,3.515,3.58,3.4467,1439607
2025-08-13,3.63,3.665,3.53,3.57,3.4371,817479
2025-08-14,3.6,3.62,3.54,3.61,3.4756,742478
2025-08-15,3.62,3.665,3.61,3.63,3.4949,1170349
2025-08-18,3.56,3.66,3.5,3.5,3.3697,1810018
2025-08-19,3.52,3.535,3.13,3.27,3.1483,12027415
2025-08-20,3.27,3.88,3.25,3.85,3.7067,9266464
2025-08-21,3.78,3.89,3.66,3.79,3.6489,3293601
2025-08-22,3.83,3.89,3.725,3.78,3.6393,2807440
2025-08-25,3.88,4.02,3.84,3.91,3.7644,3755685
2025-08-26,3.86,3.91,3.79,3.85,3.7644,2873395
2025-08-27,3.85,3.92,3.78,3.85,3.7644,2160470
2025-08-28,3.81,3.84,3.74,3.82,3.7351,1270879
2025-08-29,3.81,3.9,3.8,3.85,3.7644,1388317
2025-09-01,3.87,3.87,3.74,3.76,3.6764,1603606
2025-09-02,3.79,3.8,3.635,3.64,3.5591,869650
2025-09-03,3.59,3.62,3.53,3.53,3.4516,967770
2025-09-04,3.48,3.575,3.4,3.4,3.3244,1976556
2025-09-05,3.48,3.75,3.455,3.75,3.6667,3043374
2025-09-08,3.74,3.76,3.63,3.71,3.6276,2002287
2025-09-09,3.66,3.66,3.505,3.53,3.4516,2191734
2025-09-10,3.53,3.64,3.48,3.63,3.5493,2139600
2025-09-11,3.67,3.7,3.59,3.6,3.52,1686907
2025-09-12,3.65,3.835,3.61,3.83,3.7449,2480313
2025-09-15,3.83,3.835,3.65,3.65,3.5689,1916938
2025-09-16,3.61,3.68,3.58,3.63,3.5493,1430068
2025-09-17,3.57,3.59,3.49,3.52,3.4418,2219715
2025-09-18,3.49,3.53,3.405,3.48,3.4027,2325318
2025-09-19,3.45,3.53,3.43,3.43,3.3538,3799701
2025-09-22,3.48,3.5,3.38,3.39,3.3147,1609908
2025-09-23,3.4,3.41,3.31,3.33,3.256,2241406
2025-09-24,3.26,3.41,3.23,3.34,3.2658,3837920
2025-09-25,3.25,3.39,3.22,3.35,3.2756,3637365
2025-09-26,3.3,3.35,3.265,3.28,3.2071,2988676
2025-09-29,3.3,3.335,3.21,3.23,3.1582,2573177
2025-09-30,3.2,3.25,3.16,3.18,3.1093,3156955
2025-10-01,3.17,3.21,3.115,3.2,3.1289,2676221
2025-10-02,3.21,3.3,3.11,3.13,3.0604,4496631
2025-10-03,3.3,3.43,3.26,3.36,3.2853,6985500
2025-10-06,3.38,3.38,3.17,3.18,3.1093,2312143
2025-10-07,3.19,3.22,3.11,3.12,3.0507,3743506
2025-10-08,3.11,3.14,3.08,3.1,3.0311,2577043
2025-10-09,3.15,3.165,3.09,3.09,3.0213,1872663
2025-10-10,3.08,3.1,3.04,3.07,3.0018,2153505
2025-10-13,3.15,3.17,3.055,3.1,3.0311,4778595
2025-10-14,3.09,3.4,3.07,3.37,3.2951,9097549
2025-10-15,3.35,3.66,3.32,3.62,3.5396,6272186
2025-10-16,3.62,3.62,3.365,3.41,3.3342,3132049
2025-10-17,3.39,3.58,3.32,3.37,3.2951,3003266
2025-10-20,3.36,3.36,3.15,3.16,3.0898,2693208
2025-10-21,3.22,3.25,3.17,3.22,3.1484,2142743
2025-10-22,3.28,3.34,3.255,3.28,3.2071,2434633
2025-10-23,3.26,3.29,3.2,3.2,3.1289,1099402
2025-10-24,3.23,3.3,3.19,3.25,3.1778,1922548
2025-10-27,3.3,3.33,3.25,3.28,3.2071,1904699
2025-10-28,3.31,3.31,3.16,3.17,3.0996,2267281
2025-10-29,3.18,3.2,3.095,3.12,3.0507,2249762
2025-10-30,3.1,3.215,3.08,3.21,3.1387,1848939
2025-10-31,3.19,3.21,3.1,3.1,3.0311,1502532
2025-11-03,3.11,3.25,3.1,3.25,3.1778,1994278
2025-11-04,3.23,3.28,3.13,3.24,3.168,2471856
2025-11-05,3.24,3.265,3.1,3.15,3.08,1659022
2025-11-06,3.17,3.19,3.1,3.12,3.0507,1357654
2025-11-07,3.12,3.17,3.09,3.1,3.0311,2107268
2025-11-10,3.15,3.2,3.13,3.15,3.08,1186285
2025-11-11,3.16,3.18,3.1,3.13,3.0604,1118566
2025-11-12,3.15,3.19,3.05,3.05,2.9822,1947302
2025-11-13,3.05,3.05,2.98,2.98,2.9138,3522708
2025-11-14,2.91,2.93,2.85,2.9,2.8356,2385524
2025-11-17,2.92,2.97,2.88,2.94,2.8747,1414719
2025-11-18,2.94,3.01,2.92,2.95,2.8844,1721018
2025-11-19,2.93,3.11,2.92,2.99,2.9236,2905318
2025-11-20,2.99,3.2,2.99,3.17,3.0996,2602792
2025-11-21,3.17,3.32,3.12,3.22,3.1484,3740851
2025-11-24,3.18,3.26,3.17,3.2,3.1289,2342530
2025-11-25,3.22,3.23,3.13,3.15,3.08,1456818
2025-11-26,3.19,3.31,3.18,3.22,3.1484,2489899
2025-11-27,3.28,3.58,3.25,3.55,3.4711,3183266
2025-11-28,3.58,3.915,3.545,3.87,3.784,5035268
2025-12-01,3.84,3.84,3.565,3.6,3.52,3632685
2025-12-02,3.61,3.63,3.555,3.6,3.52,2367728
2025-12-03,3.62,3.665,3.38,3.4,3.3244,3063351
2025-12-04,3.42,3.605,3.42,3.57,3.4907,3658027
2025-12-05,3.57,3.62,3.52,3.59,3.5102,2227733
2025-12-08,3.6,3.6,3.44,3.49,3.4124,1971773
2025-12-09,3.4,3.61,3.4,3.58,3.5004,1718744
2025-12-10,3.63,3.63,3.52,3.58,3.5004,2004874
2025-12-11,3.63,3.66,3.545,3.6,3.52,2151820
2025-12-12,3.6,3.7,3.56,3.65,3.5689,1451099
2025-12-15,3.64,3.69,3.58,3.66,3.5787,1331437
2025-12-16,3.67,3.7,3.49,3.51,3.432,1929049
2025-12-17,3.53,3.7,3.48,3.66,3.5787,1912429
2025-12-18,3.53,3.72,3.53,3.7,3.6178,2579905
2025-12-19,3.7,3.97,3.65,3.97,3.8818,10594120
2025-12-22,3.95,3.96,3.78,3.78,3.696,1628902
2025-12-23,3.79,3.81,3.72,3.78,3.696,806952
2025-12-24,3.78,4.03,3.72,3.96,3.872,1445067
2025-12-29,3.96,3.99,3.85,3.88,3.7938,1341528
2025-12-30,3.88,3.97,3.88,3.96,3.872,698882
2025-12-31,3.95,4,3.915,3.96,3.872,519373
2026-01-02,3.97,4.085,3.97,4.03,3.9404,673010
2026-01-05,4.09,4.12,3.83,3.83,3.7449,1257464
2026-01-06,3.86,3.91,3.73,3.81,3.7253,1421975
2026-01-07,3.81,4.06,3.78,4.06,3.9698,1773067
2026-01-08,4.06,4.06,3.965,4.02,3.9307,1129613
2026-01-09,4.04,4.14,4.01,4.14,4.048,1129890
2026-01-12,4.15,4.41,4.13,4.41,4.312,1491724
2026-01-13,4.45,4.62,4.41,4.43,4.3316,2532778
2026-01-14,4.35,4.52,4.28,4.35,4.2533,1411292
2026-01-15,4.4,4.455,4.205,4.3,4.2044,1286374
2026-01-16,4.31,4.485,4.26,4.46,4.3609,1238106
2026-01-19,4.45,4.45,4.34,4.39,4.2924,600180
2026-01-20,4.35,4.365,4.255,4.33,4.2338,1061224
2026-01-21,4.27,4.285,4.03,4.05,3.96,2079362
2026-01-22,4.13,4.22,4.08,4.16,4.0676,1188302
2026-01-23,4.16,4.35,4.16,4.32,4.224,620367
2026-01-27,4.32,4.32,4,4.13,4.0382,1694300
2026-01-28,4.27,4.36,4.13,4.17,4.0773,2198291
2026-01-29,4.17,4.22,4.065,4.22,4.1262,1013383
2026-01-30,4.2,4.39,4.12,4.2,4.1067,1940912
2026-02-02,4.15,4.26,4.12,4.19,4.0969,827779
2026-02-03,4.22,4.27,4.125,4.25,4.1556,1079912
2026-02-04,4.25,4.26,4.02,4.03,3.9404,1255497
2026-02-05,4.03,4.1,3.98,4.03,3.9404,1839382
2026-02-06,4.1,4.34,3.73,3.92,3.8329,14933436
2026-02-09,4.02,4.09,3.69,3.72,3.6373,8337515
2026-02-10,3.75,3.91,3.68,3.74,3.6569,2450908
2026-02-11,3.74,3.75,3.59,3.6,3.52,1890500
2026-02-12,3.62,3.63,3.3,3.32,3.2462,3089416
2026-02-13,3.29,3.29,3.1,3.11,3.0409,2813945
2026-02-16,3.13,3.18,3.05,3.13,3.0604,2315451
2026-02-17,3.09,3.1,3.02,3.06,2.992,2358586
2026-02-18,3.13,3.18,3.08,3.15,3.08,3695288
2026-02-19,3.15,3.17,3,3.13,3.0604,1990417
2026-02-20,3.05,3.11,3.02,3.06,2.992,2007927
2026-02-23,3.07,3.11,2.955,2.96,2.8942,3060703
2026-02-24,2.93,2.93,2.67,2.82,2.7573,9351269
2026-02-25,2.8,2.88,2.755,2.81,2.7476,4273037
2026-02-26,2.84,2.92,2.78,2.9,2.8356,4007151
2026-02-27,2.9,2.9,2.77,2.78,2.7182,2990017
2026-03-02,2.7,2.74,2.64,2.7,2.64,3283650
2026-03-03,2.68,2.74,2.54,2.56,2.56,4023196
2026-03-04,2.54,2.57,2.4,2.41,2.41,4156147
2026-03-05,2.51,2.52,2.41,2.46,2.46,3121862
2026-03-06,2.43,2.58,2.41,2.53,2.53,2666010
2026-03-09,2.49,2.5,2.36,2.42,2.42,3354382
2026-03-10,2.47,2.54,2.42,2.47,2.47,2692959
2026-03-11,2.45,2.47,2.35,2.42,2.42,2588655
2026-03-12,2.37,2.4,2.31,2.31,2.31,2756094
2026-03-13,2.3,2.415,2.24,2.35,2.35,2720624
2026-03-16,2.35,2.405,2.34,2.37,2.37,2013579
2026-03-17,2.35,2.385,2.31,2.34,2.34,972277
2026-03-18,2.33,2.415,2.33,2.4,2.4,1123694
2026-03-19,2.34,2.34,2.25,2.33,2.33,2080267
2026-03-20,2.34,2.35,2.25,2.25,2.25,5400134
2026-03-23,2.2,2.285,2.165,2.26,2.26,1898100
2026-03-24,2.3,2.31,2.19,2.2,2.2,1098200
2026-03-25,2.24,2.34,2.22,2.33,2.33,891971
2026-03-26,2.33,2.35,2.23,2.25,2.25,1088548
2026-03-27,2.23,2.27,2.205,2.27,2.27,1155777
2026-03-30,2.21,2.28,2.16,2.2,2.2,1743661
2026-03-31,2.21,2.35,2.19,2.34,2.34,1723433
2026-04-01,2.44,2.8,2.42,2.72,2.72,5556087
2026-04-02,2.73,2.815,2.49,2.52,2.52,3398951
2026-04-07,2.56,2.6,2.41,2.44,2.44,1866997
2026-04-08,2.55,2.58,2.43,2.46,2.46,3073357
2026-04-09,2.41,2.42,2.32,2.36,2.36,1774096
2026-04-10,2.34,2.35,2.29,2.32,2.32,2952021
2026-04-13,2.27,2.37,2.23,2.33,2.33,1490730
2026-04-14,2.37,2.405,2.32,2.35,2.35,699811
2026-04-15,2.35,2.39,2.26,2.29,2.29,1709727
2026-04-16,2.36,2.45,2.32,2.45,2.45,2345860
2026-04-17,2.45,2.52,2.43,2.47,2.47,1115912
2026-04-20,2.48,2.52,2.41,2.44,2.44,1268570
2026-04-21,2.45,2.54,2.36,2.47,2.47,1875007
2026-04-22,2.42,2.42,2.34,2.38,2.38,1408996
2026-04-23,2.42,2.43,2.34,2.36,2.36,978070
2026-04-24,2.33,2.405,2.3,2.4,2.4,766126
2026-04-27,2.38,2.47,2.37,2.46,2.46,909028
2026-04-28,2.42,2.5,2.41,2.46,2.46,1297149
2026-04-29,2.44,2.55,2.425,2.48,2.48,4094689
2026-04-30,2.47,2.56,2.45,2.49,2.49,1186773
2026-05-01,2.53,2.58,2.495,2.5,2.5,993493
2026-05-04,2.54,2.56,2.495,2.51,2.51,937641
2026-05-05,2.5,2.53,2.46,2.52,2.52,875724
2026-05-06,2.75,3.03,2.75,2.95,2.95,3552822
2026-05-07,3.02,3.025,2.88,2.95,2.95,1739033
2026-05-08,2.92,3.035,2.9,2.99,2.99,1551949
2026-05-11,2.91,3.13,2.89,3.11,3.11,1515146
2026-05-12,3.11,3.11,2.88,2.93,2.93,1769561
2026-05-13,2.92,2.92,2.82,2.83,2.83,1098085
2026-05-14,2.83,3.02,2.82,3.01,3.01,2715360
2026-05-15,3.02,3.07,2.88,2.89,2.89,996523
2026-05-18,2.9,2.92,2.76,2.78,2.78,996514
2026-05-19,2.81,2.905,2.81,2.86,2.86,970658
2026-05-20,2.86,2.86,2.76,2.77,2.77,1191432
2026-05-21,2.84,2.885,2.8,2.82,2.82,1270026
2026-05-22,2.82,2.835,2.75,2.77,2.77,624354
2026-05-25,2.77,2.825,2.7,2.81,2.81,1658112
2026-05-26,2.82,2.89,2.795,2.88,2.88,1916765
2026-05-27,2.87,2.96,2.85,2.96,2.96,981688
2026-05-28,2.96,3.03,2.89,2.99,2.99,1680218
2026-05-29,2.93,3.07,2.91,3.06,3.06,2193514
2026-06-01,3.03,3.12,2.96,2.99,2.99,1547120
2026-06-02,2.99,2.99,2.87,2.93,2.93,657735
2026-06-03,2.94,2.99,2.88,2.97,2.97,1651364
2026-06-04,2.95,2.965,2.89,2.95,2.95,670478
