Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,4.95,5.15,4.95,5.13,5.0347,696749
2025-04-28,5.19,5.3,5.12,5.26,5.1623,314166
2025-04-29,5.28,5.42,5.25,5.38,5.2801,618066
2025-04-30,5.4,5.41,5.3,5.41,5.3095,311988
2025-05-01,5.31,5.44,5.31,5.37,5.2703,203752
2025-05-02,5.4,5.4,5.2,5.25,5.1525,547035
2025-05-05,5.28,5.28,5.11,5.13,5.0347,689115
2025-05-06,5.05,5.14,4.92,4.95,4.8581,587563
2025-05-07,4.98,4.98,4.86,4.91,4.8188,735774
2025-05-08,4.9,5,4.84,5,4.9072,672717
2025-05-09,5.01,5.02,4.89,5.01,4.917,325847
2025-05-12,5,5.01,4.9,4.98,4.8875,251338
2025-05-13,5,5.07,4.96,4.97,4.8777,233394
2025-05-14,4.93,5.08,4.93,4.98,4.8875,387832
2025-05-15,4.96,5.05,4.94,5.05,4.9562,268456
2025-05-16,5.1,5.15,4.98,5.03,4.9366,221931
2025-05-19,5.03,5.105,5,5.04,4.9464,246877
2025-05-20,5.1,5.15,5,5.06,4.966,357944
2025-05-21,5.07,5.13,5.02,5.07,4.9759,197133
2025-05-22,5.1,5.1,4.99,5.02,4.9268,209507
2025-05-23,5,5.12,4.99,5.09,4.9955,338184
2025-05-26,5.07,5.18,4.98,5.11,5.0151,235741
2025-05-27,5.08,5.11,5.05,5.06,4.966,242247
2025-05-28,5.13,5.18,5.08,5.18,5.0838,198825
2025-05-29,5.18,5.23,5.09,5.14,5.0446,205178
2025-05-30,5.35,5.35,5.06,5.1,5.0053,579092
2025-06-02,5.14,5.2,5.09,5.19,5.0936,342016
2025-06-03,5.22,5.31,5.16,5.18,5.0838,252175
2025-06-04,5.19,5.23,5.115,5.15,5.0544,84980
2025-06-05,5.06,5.15,5.06,5.13,5.0347,328431
2025-06-06,5.13,5.21,5.08,5.11,5.0151,155361
2025-06-10,5.07,5.12,5.05,5.07,4.9759,205867
2025-06-11,5.08,5.11,5.03,5.04,4.9464,602065
2025-06-12,5.03,5.06,4.97,5.02,4.9268,229381
2025-06-13,5.07,5.07,4.87,4.93,4.8385,301221
2025-06-16,4.94,5.05,4.9,5,4.9072,617256
2025-06-17,5.01,5.02,4.94,4.98,4.8875,381452
2025-06-18,4.96,5.08,4.96,5.06,4.966,497222
2025-06-19,5,5.03,4.98,5.03,4.9366,356552
2025-06-20,5.05,5.12,5.03,5.06,4.966,1073590
2025-06-23,5.02,5.03,4.91,4.93,4.8385,199672
2025-06-24,4.9,4.92,4.8,4.86,4.7698,488856
2025-06-25,4.86,4.89,4.79,4.85,4.7599,763712
2025-06-26,4.8,4.84,4.75,4.84,4.7501,579070
2025-06-27,4.85,4.925,4.81,4.85,4.7599,305170
2025-06-30,5,5,4.8,4.98,4.8875,413710
2025-07-01,4.92,4.94,4.85,4.87,4.7796,646438
2025-07-02,4.87,4.97,4.86,4.91,4.8188,935401
2025-07-03,4.91,4.94,4.81,4.9,4.809,703977
2025-07-04,4.95,4.95,4.81,4.82,4.7305,473591
2025-07-07,4.82,4.88,4.73,4.75,4.6618,967283
2025-07-08,4.72,4.88,4.68,4.86,4.7698,612599
2025-07-09,4.86,4.89,4.81,4.86,4.7698,320824
2025-07-10,4.88,4.9,4.76,4.82,4.7305,410868
2025-07-11,4.82,4.86,4.76,4.78,4.6912,218670
2025-07-14,5.21,5.43,5.17,5.3,5.2016,1019684
2025-07-15,5.42,5.68,5.36,5.56,5.4568,1376696
2025-07-16,5.59,5.67,5.52,5.62,5.5156,696253
2025-07-17,5.6,5.76,5.54,5.71,5.604,1071614
2025-07-18,5.73,5.835,5.66,5.78,5.6727,521789
2025-07-21,5.77,5.9,5.74,5.84,5.7316,501679
2025-07-22,5.87,5.98,5.82,5.82,5.7119,517312
2025-07-23,5.85,6.13,5.84,6.01,5.8984,1292940
2025-07-24,6.05,6.13,5.95,6.06,5.9475,481558
2025-07-25,6.03,6.08,5.97,5.99,5.8788,256545
2025-07-28,5.98,5.99,5.87,5.9,5.7904,244170
2025-07-29,5.88,6.01,5.85,5.98,5.869,304675
2025-07-30,5.99,6.01,5.91,5.98,5.869,473632
2025-07-31,5.92,6.08,5.9,6.01,5.8984,366690
2025-08-01,6.01,6.11,6.005,6.09,5.9769,344672
2025-08-04,5.84,6.09,5.73,6.04,5.9278,274603
2025-08-05,6.03,6.14,5.99,6.02,5.9082,275937
2025-08-06,6.09,6.09,6.01,6.08,5.9671,310129
2025-08-07,6.09,6.17,6.045,6.15,6.0358,576287
2025-08-08,6.14,6.15,6.04,6.09,5.9769,226034
2025-08-11,6.1,6.18,6.06,6.15,6.0358,666232
2025-08-12,6.1,6.17,6.04,6.09,5.9769,174528
2025-08-13,6.09,6.185,6.08,6.14,6.026,586480
2025-08-14,6.18,6.2,6.05,6.07,5.9573,268035
2025-08-15,6.08,6.08,5.98,6.04,5.9278,159756
2025-08-18,5.99,6.04,5.9,5.95,5.8395,185868
2025-08-19,5.96,5.97,5.89,5.95,5.8395,221058
2025-08-20,5.86,5.86,5,5.6,5.496,2483828
2025-08-21,5.53,5.65,5.45,5.6,5.496,1015158
2025-08-22,5.63,5.64,5.54,5.6,5.496,516237
2025-08-25,5.42,5.63,5.42,5.5,5.4465,480832
2025-08-26,5.43,5.67,5.43,5.63,5.5752,880793
2025-08-27,5.47,5.74,5.47,5.74,5.6842,384186
2025-08-28,5.84,5.84,5.68,5.81,5.7535,418527
2025-08-29,5.84,5.98,5.83,5.96,5.902,363665
2025-09-01,5.98,5.98,5.8,5.8,5.7436,471721
2025-09-02,5.81,5.85,5.73,5.83,5.7733,640987
2025-09-03,5.81,5.82,5.72,5.75,5.6941,630108
2025-09-04,5.9,5.9,5.71,5.71,5.6545,343570
2025-09-05,5.73,5.77,5.71,5.75,5.6941,169479
2025-09-08,5.74,5.82,5.74,5.79,5.7337,153424
2025-09-09,5.77,5.81,5.75,5.78,5.7238,171145
2025-09-10,5.76,5.81,5.73,5.77,5.7139,195562
2025-09-11,5.75,5.8,5.72,5.79,5.7337,210827
2025-09-12,5.84,5.84,5.765,5.79,5.7337,216304
2025-09-15,5.81,5.83,5.76,5.8,5.7436,97111
2025-09-16,5.8,6.03,5.8,5.98,5.9218,483559
2025-09-17,6.02,6.03,5.87,5.9,5.8426,403081
2025-09-18,5.92,6.07,5.91,6.05,5.9911,598645
2025-09-19,6.08,6.22,6.01,6.22,6.1595,2105223
2025-09-22,6.25,6.285,6.09,6.11,6.0506,409497
2025-09-23,6.22,6.5,6.21,6.49,6.4269,1164497
2025-09-24,6.45,6.45,6.34,6.39,6.3278,499194
2025-09-25,6.38,6.44,6.37,6.44,6.3774,330052
2025-09-26,6.43,6.49,6.38,6.48,6.417,505252
2025-09-29,6.35,6.42,6.05,6.05,5.9911,520600
2025-09-30,6.04,6.06,5.85,5.87,5.8129,656229
2025-10-01,5.87,5.92,5.82,5.83,5.7733,466558
2025-10-02,5.85,5.91,5.76,5.76,5.704,462587
2025-10-03,5.77,5.92,5.75,5.89,5.8327,177686
2025-10-06,5.9,5.94,5.77,5.8,5.7436,146358
2025-10-07,5.9,5.9,5.765,5.82,5.7634,171925
2025-10-08,5.85,5.91,5.8,5.89,5.8327,329959
2025-10-09,5.9,5.93,5.77,5.78,5.7238,316804
2025-10-10,5.94,5.94,5.76,5.85,5.7931,201103
2025-10-13,5.78,5.81,5.68,5.73,5.6743,209876
2025-10-14,5.69,5.7,5.55,5.6,5.5455,320833
2025-10-15,5.68,5.68,5.57,5.65,5.595,310806
2025-10-16,5.63,5.68,5.57,5.66,5.6049,242513
2025-10-17,5.67,5.68,5.52,5.55,5.496,493050
2025-10-20,5.57,5.685,5.46,5.67,5.6148,306286
2025-10-21,5.65,5.69,5.64,5.68,5.6247,365990
2025-10-22,5.69,5.76,5.62,5.75,5.6941,245758
2025-10-23,5.7,5.75,5.665,5.74,5.6842,509948
2025-10-24,5.72,5.74,5.6,5.62,5.5653,299231
2025-10-27,5.63,5.76,5.63,5.76,5.704,220615
2025-10-28,5.76,5.76,5.595,5.66,5.6049,1030688
2025-10-29,5.72,5.72,5.55,5.64,5.5851,149692
2025-10-30,5.59,5.62,5.55,5.6,5.5455,302336
