Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,104.67,105.92,103.69,104.98,104.1813,213199
2025-07-23,105.34,106.96,104.17,104.78,103.9828,303721
2025-07-24,105.03,105.56,103.25,103.75,102.9607,274091
2025-07-25,104,104.53,102.67,104.53,103.7348,227401
2025-07-28,105.08,106.03,103.9,105.42,104.618,303091
2025-07-29,105,105,102.6,104.87,104.0722,250473
2025-07-30,104.5,105.78,103.01,104.97,104.1714,187860
2025-07-31,104.8,107.89,104.6,106.65,105.8386,288118
2025-08-01,106.6,108.1,105.44,106.72,105.9081,297064
2025-08-04,105.09,106.975,105.09,106.77,105.9577,179191
2025-08-05,108.02,108.67,106.99,108.02,107.1982,264650
2025-08-06,108.1,110,107.23,109.98,109.1433,279913
2025-08-07,109.99,110.15,107.85,108.85,108.0219,230455
2025-08-08,108.34,108.48,105.9,106.67,105.8585,257481
2025-08-11,106.87,107.96,105.74,107.64,106.8211,160819
2025-08-12,107.89,108.11,106.88,107.55,106.7318,227086
2025-08-13,108.32,108.95,106.57,107.5,106.6822,222176
2025-08-14,105.5,108.92,105.43,108.66,107.8333,237420
2025-08-15,108.03,109,107.91,108.83,108.002,181354
2025-08-18,108.02,109.65,108.02,109.46,108.6272,210768
2025-08-19,104.64,110.74,98.78,109.58,108.7463,501949
2025-08-20,110.41,111.715,103.84,104.84,104.0424,628568
2025-08-21,106.8,109.01,105.32,107.43,106.6127,354011
2025-08-22,108.04,109.75,107.74,109.34,108.5082,663632
2025-08-25,110.48,112.675,110.21,112.46,111.6044,349463
2025-08-26,110.63,110.96,105.66,106.24,105.4317,396947
2025-08-27,108.64,108.83,105.75,108.83,108.002,234572
2025-08-28,108.68,109.13,106.9,107.62,106.8012,223051
2025-08-29,108.03,109.45,107.28,109.06,108.2303,242398
2025-09-01,108.21,108.34,103.27,103.77,102.9805,212457
2025-09-02,103.77,105.335,101.2,102,101.224,259021
2025-09-03,100.04,103.865,100.01,100.77,100.0034,426999
2025-09-04,101.51,103.11,101.3,102.8,102.0179,235372
2025-09-05,103,104.19,102.53,102.93,102.1469,199291
2025-09-08,101.95,102.59,100.06,102.24,101.7786,210592
2025-09-09,102,102.93,100.01,100.84,100.3849,154977
2025-09-10,101.57,102.87,101.45,101.92,101.46,139514
2025-09-11,100.73,102.25,100.22,102.2,101.7388,167071
2025-09-12,102.92,104.51,102.66,103.4,102.9334,247393
2025-09-15,102.5,102.77,99.27,100.51,100.0564,348430
