Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.61,5.71,5.585,5.65,5.3803,1188344
2025-07-23,5.69,5.72,5.63,5.68,5.4089,1220027
2025-07-24,5.7,5.7,5.58,5.61,5.3422,1238157
2025-07-25,5.6,5.65,5.58,5.62,5.3517,884446
2025-07-28,5.62,5.68,5.62,5.65,5.3803,911971
2025-07-29,5.63,5.68,5.58,5.65,5.3803,788196
2025-07-30,5.68,5.75,5.64,5.74,5.466,1543452
2025-07-31,5.74,5.82,5.695,5.8,5.5231,1170351
2025-08-01,5.76,5.85,5.75,5.82,5.5422,1156828
2025-08-04,5.82,5.85,5.77,5.8,5.5231,663219
2025-08-05,5.85,5.92,5.795,5.92,5.6374,1180143
2025-08-06,5.9,5.99,5.88,5.98,5.6945,1229101
2025-08-07,6,6.045,5.965,5.99,5.7041,1428026
2025-08-08,5.98,6.05,5.94,6.03,5.7421,982869
2025-08-11,6.02,6.04,5.87,5.88,5.5993,1246375
2025-08-12,5.9,5.98,5.88,5.93,5.6469,1274584
2025-08-13,5.98,5.99,5.94,5.95,5.666,651258
2025-08-14,5.99,6.01,5.96,5.98,5.6945,688492
2025-08-15,5.99,5.99,5.91,5.95,5.666,1161995
2025-08-18,5.92,5.96,5.89,5.96,5.6755,1262367
2025-08-19,5.98,6.03,5.94,6.01,5.7231,730163
2025-08-20,6.1,6.17,6.05,6.08,5.7898,1183269
2025-08-21,6.1,6.17,6.07,6.17,5.8755,1307401
2025-08-22,6.17,6.25,6.08,6.21,5.9136,1822015
2025-08-25,6.24,6.28,6.2,6.21,5.9136,1691136
2025-08-26,6.25,6.25,6.14,6.17,5.8755,1187470
2025-08-27,6.22,6.29,6.16,6.23,5.9326,1292292
2025-08-28,6.26,6.26,6.15,6.18,5.885,1569755
2025-08-29,6.7,7.09,6.66,6.89,6.5611,5405368
2025-09-01,7.15,7.57,7.135,7.48,7.1229,5895935
2025-09-02,7.4,7.51,7.34,7.45,7.0944,2816207
2025-09-03,7.45,7.46,7.31,7.33,6.9801,2642583
2025-09-04,7.3,7.4,7.29,7.34,6.9896,2467724
2025-09-05,7.41,7.46,7.38,7.42,7.0658,2292865
2025-09-08,7.28,7.36,7.245,7.36,7.0087,2499433
2025-09-09,7.32,7.35,7.19,7.33,6.9801,2506970
2025-09-10,7.29,7.36,7.25,7.29,6.942,3032159
2025-09-11,7.3,7.33,7.265,7.28,6.9325,2909994
2025-09-12,7.35,7.37,7.23,7.23,6.8849,1769994
2025-09-15,7.18,7.22,7.15,7.15,6.8087,1768793
2025-09-16,7.4,7.4,7.28,7.37,7.0182,1683237
2025-09-17,7.28,7.32,7.15,7.22,6.8753,3016448
2025-09-18,7.23,7.35,7.2,7.27,6.923,1725861
2025-09-19,7.3,7.34,7.27,7.33,6.9801,7175217
2025-09-22,7.33,7.41,7.29,7.3,6.9515,1495023
2025-09-23,7.3,7.43,7.3,7.4,7.0467,1957836
2025-09-24,7.34,7.4,7.32,7.33,6.9801,3304738
2025-09-25,7.31,7.39,7.3,7.33,6.9801,2566946
2025-09-26,7.35,7.36,7.25,7.31,6.961,3318575
2025-09-29,7.35,7.405,7.3,7.35,6.9991,1074773
2025-09-30,7.33,7.4,7.31,7.38,7.0277,4620762
2025-10-01,7.38,7.47,7.34,7.47,7.1134,2461474
2025-10-02,7.5,7.58,7.44,7.56,7.1991,2500742
2025-10-03,7.54,7.68,7.51,7.68,7.3134,2510399
2025-10-06,7.64,7.64,7.43,7.48,7.26,2121012
2025-10-07,7.49,7.58,7.49,7.52,7.2988,1873035
2025-10-08,7.54,7.56,7.415,7.47,7.2503,1920782
2025-10-09,7.49,7.51,7.45,7.5,7.2794,1109823
2025-10-10,7.49,7.55,7.42,7.53,7.3085,1248719
2025-10-13,7.49,7.51,7.43,7.47,7.2503,1065089
2025-10-14,7.49,7.575,7.44,7.54,7.3182,1595936
2025-10-15,7.57,7.57,7.45,7.49,7.2697,1332251
2025-10-16,7.58,7.58,7.39,7.41,7.1921,2140176
2025-10-17,7.3,7.44,7.3,7.3,7.0853,1500797
2025-10-20,7.33,7.35,7.17,7.32,7.1047,779619
2025-10-21,7.32,7.37,7.28,7.33,7.1144,1781526
2025-10-22,7.31,7.31,7.17,7.25,7.0368,1806470
2025-10-23,7.18,7.29,7.18,7.28,7.0659,1913428
2025-10-24,7.31,7.31,7.25,7.26,7.0465,2174961
2025-10-27,7.26,7.35,7.2,7.32,7.1047,688305
2025-10-28,7.3,7.37,7.29,7.3,7.0853,1398999
2025-10-29,7.34,7.395,7.29,7.3,7.0853,1888512
2025-10-30,7.24,7.27,7.11,7.26,7.0465,2368101
2025-10-31,7.24,7.29,7.175,7.23,7.0174,1380328
2025-11-03,7.24,7.38,7.22,7.37,7.1532,1351832
2025-11-04,7.38,7.4,7.27,7.29,7.0756,1338405
2025-11-05,7.32,7.38,7.22,7.31,7.095,1597417
2025-11-06,7.36,7.4,7.3,7.36,7.1435,1535724
2025-11-07,7.36,7.46,7.34,7.4,7.1824,1734218
2025-11-10,7.4,7.42,7.38,7.4,7.1824,1042653
2025-11-11,7.44,7.56,7.4,7.52,7.2988,2566810
2025-11-12,7.56,7.615,7.51,7.58,7.3571,1695023
2025-11-13,7.56,7.56,7.33,7.36,7.1435,1860801
2025-11-14,7.24,7.34,7.15,7.33,7.1144,1418239
