Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,8.27,8.35,8.1,8.15,8.0196,2267582
2025-04-28,8.23,8.515,8.2,8.5,8.364,2087757
2025-04-29,8.5,8.9,8.37,8.81,8.669,2568535
2025-04-30,8.78,8.94,8.74,8.86,8.7182,1888532
2025-05-01,8.85,8.99,8.78,8.93,8.7871,1332714
2025-05-02,8.87,9.4,8.77,9.32,9.1708,2042280
2025-05-05,9.49,9.66,9.37,9.52,9.3676,2355340
2025-05-06,9.49,9.545,9.3,9.42,9.2692,1386231
2025-05-07,9.43,9.53,9.23,9.45,9.2988,1863025
2025-05-08,9.44,9.695,9.365,9.58,9.4267,1551753
2025-05-09,9.67,9.75,9.53,9.63,9.4759,1551188
2025-05-12,9.56,10.09,9.37,9.85,9.6924,1620393
2025-05-13,9.96,10.18,9.78,9.93,9.7711,1005393
2025-05-14,9.87,9.92,9.37,9.4,9.2496,2063259
2025-05-15,9.4,9.425,9.18,9.34,9.1905,1650101
2025-05-16,9.39,9.46,9.14,9.33,9.1807,2917230
2025-05-19,9.28,9.28,8.99,9.05,8.9052,1427039
2025-05-20,9.18,9.2,8.9,9.01,8.8658,2187938
2025-05-21,9.13,9.16,8.36,8.4,8.2656,2797693
2025-05-22,8.35,8.62,8.3,8.58,8.4427,2258067
2025-05-23,8.59,8.67,8.28,8.33,8.1967,1698741
2025-05-26,8.36,8.45,8.11,8.15,8.0196,805326
2025-05-27,8.2,8.24,7.98,8.21,8.0786,1392005
2025-05-28,8.25,8.25,7.86,7.9,7.7736,4525695
2025-05-29,7.91,7.94,7.73,7.85,7.7244,2728358
2025-05-30,7.84,7.97,7.74,7.8,7.6752,2328903
2025-06-02,7.8,7.89,7.44,7.47,7.3504,2451263
2025-06-03,5.08,5.27,3.86,3.88,3.8179,25547763
2025-06-04,3.91,4.24,3.74,3.78,3.7195,13071887
2025-06-05,3.75,3.75,3.405,3.54,3.4833,15340260
2025-06-06,3.56,3.66,3.42,3.59,3.5325,8607765
2025-06-10,3.66,4.03,3.65,3.74,3.6801,12157938
2025-06-11,3.8,3.87,3.56,3.56,3.503,8428311
2025-06-12,3.61,3.67,3.44,3.48,3.4243,10986663
2025-06-13,3.47,3.66,3.42,3.65,3.5916,9261425
2025-06-16,3.59,3.73,3.57,3.6,3.5424,4384966
2025-06-17,3.63,3.66,3.485,3.57,3.5129,5560499
2025-06-18,3.54,3.67,3.49,3.67,3.6113,3847063
2025-06-19,3.68,3.77,3.59,3.76,3.6998,4811496
2025-06-20,3.73,3.87,3.63,3.67,3.6113,7584366
2025-06-23,3.69,3.69,3.47,3.52,3.4637,4498247
2025-06-24,3.57,3.67,3.51,3.61,3.5522,4268298
2025-06-25,3.61,3.66,3.54,3.57,3.5129,3178194
2025-06-26,3.56,3.645,3.54,3.64,3.5817,3574271
2025-06-27,3.65,3.82,3.65,3.76,3.6998,3475946
2025-06-30,3.64,3.73,3.57,3.67,3.6113,6447242
2025-07-01,3.74,4.03,3.64,4.02,3.9557,4827342
2025-07-02,4.03,4.18,4.02,4.1,4.0344,5137440
2025-07-03,4.09,4.17,4.08,4.1,4.0344,3533326
2025-07-04,4.15,4.23,4.1,4.13,4.0639,2832242
2025-07-07,4.14,4.16,3.92,4.07,4.0049,5739372
2025-07-08,4.04,4.07,3.89,3.92,3.8573,4432820
2025-07-09,3.95,4.1,3.94,4.06,3.995,3288730
2025-07-10,4.09,4.09,3.93,3.96,3.8966,2230223
2025-07-11,4.01,4.01,3.8,3.83,3.7687,2333106
2025-07-14,3.81,3.82,3.71,3.76,3.6998,2141165
2025-07-15,3.78,3.8,3.67,3.73,3.6703,1736276
2025-07-16,3.73,3.8,3.66,3.79,3.7293,2599221
2025-07-17,3.82,3.85,3.71,3.73,3.6703,2269372
2025-07-18,3.75,3.8,3.72,3.78,3.7195,2299507
2025-07-21,3.75,3.78,3.65,3.65,3.5916,2519410
2025-07-22,3.68,3.69,3.57,3.65,3.5916,3363829
2025-07-23,3.7,3.795,3.63,3.77,3.7097,2660995
2025-07-24,3.81,3.81,3.735,3.76,3.6998,3154133
2025-07-25,3.76,3.795,3.7,3.7,3.6408,2365117
2025-07-28,3.73,3.76,3.68,3.7,3.6408,1591567
2025-07-29,3.67,3.68,3.56,3.62,3.5621,2737387
2025-07-30,3.59,3.67,3.53,3.59,3.5325,3059048
2025-07-31,3.56,3.6,3.54,3.56,3.503,2344310
2025-08-01,3.53,3.63,3.515,3.61,3.5522,4071754
2025-08-04,3.59,3.73,3.54,3.64,3.5817,2629823
2025-08-05,3.69,3.94,3.67,3.93,3.8671,3655704
2025-08-06,4.02,4.53,4,4.39,4.3197,8434662
2025-08-07,4.42,4.5,4.31,4.38,4.3099,5352325
2025-08-08,4.38,4.45,4.2,4.23,4.1623,2489980
2025-08-11,4.32,4.71,4.3,4.56,4.487,3945240
2025-08-12,4.5,4.5,4.285,4.32,4.2509,2794323
2025-08-13,4.35,4.43,4.31,4.35,4.2804,2025895
2025-08-14,4.39,4.47,4.31,4.32,4.2509,2870910
2025-08-15,4.35,4.59,4.33,4.57,4.4969,2938489
2025-08-18,4.61,4.85,4.605,4.75,4.674,3566688
2025-08-19,4.76,4.845,4.74,4.82,4.7429,2502204
2025-08-20,4.97,5.07,4.71,4.78,4.7035,2916409
2025-08-21,4.78,4.88,4.755,4.85,4.7724,1666629
2025-08-22,4.83,4.845,4.66,4.66,4.5854,2094955
2025-08-25,4.69,4.81,4.62,4.7,4.6248,3297251
2025-08-26,4.65,4.7,4.6,4.67,4.5953,1690146
2025-08-27,4.7,4.71,4.455,4.54,4.4673,3551680
2025-08-28,5.43,6.2,5.33,5.89,5.7957,14000783
2025-08-29,5.84,5.95,5.43,5.62,5.5301,7319107
2025-09-01,5.65,6.01,5.63,5.91,5.8154,3144834
2025-09-02,5.96,6.22,5.81,5.81,5.717,3220779
2025-09-03,5.8,5.89,5.7,5.73,5.6383,3298067
2025-09-04,5.73,5.88,5.55,5.55,5.4612,3269881
2025-09-05,5.7,5.74,5.51,5.52,5.4317,1581772
2025-09-08,5.48,5.55,5.3,5.31,5.225,2335390
2025-09-09,5.31,5.56,5.29,5.55,5.4612,2080037
2025-09-10,5.6,5.68,5.43,5.51,5.4711,1649372
2025-09-11,5.44,5.55,5.32,5.32,5.2824,3505566
2025-09-12,5.35,5.38,5.2,5.28,5.2427,2194244
2025-09-15,5.29,5.69,5.29,5.65,5.6101,3051700
2025-09-16,5.58,5.72,5.48,5.5,5.4612,2234795
2025-09-17,5.41,5.505,5.35,5.47,5.4314,1994231
2025-09-18,5.46,5.56,5.32,5.56,5.5208,2538445
2025-09-19,5.63,5.68,5.4,5.4,5.3619,15382182
2025-09-22,5.38,5.69,5.38,5.66,5.62,2847921
2025-09-23,5.68,5.9,5.62,5.68,5.6399,3158405
2025-09-24,5.64,5.815,5.55,5.7,5.6598,2870584
2025-09-25,5.7,5.84,5.67,5.69,5.6498,2691770
2025-09-26,5.65,5.75,5.56,5.71,5.6697,2402905
2025-09-29,5.8,5.83,5.6,5.66,5.62,2361850
2025-09-30,5.92,6.67,5.92,6.57,6.5236,5664820
2025-10-01,6.5,6.56,6.39,6.48,6.4343,2658481
2025-10-02,6.68,6.71,6.46,6.52,6.474,2234414
2025-10-03,6.52,6.72,6.47,6.61,6.5633,1598407
2025-10-06,6.66,6.66,6.47,6.47,6.4243,1460835
2025-10-07,6.48,6.68,6.48,6.51,6.464,2511009
2025-10-08,6.55,6.6,6.48,6.55,6.5038,1447411
2025-10-09,6.56,6.675,6.55,6.6,6.5534,1860330
2025-10-10,6.55,6.6,6.48,6.5,6.4541,1489606
2025-10-13,6.42,6.435,6.25,6.33,6.2853,2133659
2025-10-14,6.35,6.47,6.23,6.37,6.325,1754313
2025-10-15,6.45,6.6,6.33,6.59,6.5435,1889551
2025-10-16,6.65,6.735,6.43,6.68,6.6328,1433375
2025-10-17,6.56,6.67,6.45,6.51,6.464,2069260
2025-10-20,6.5,6.56,6.28,6.28,6.2357,1629623
2025-10-21,6.34,6.51,6.34,6.37,6.325,1189993
2025-10-22,6.42,6.51,5.84,5.89,5.8484,3220411
2025-10-23,5.76,5.84,5.6,5.74,5.6995,3062832
2025-10-24,5.76,5.93,5.71,5.84,5.7988,1644001
2025-10-27,5.84,5.89,5.61,5.61,5.5704,2105589
2025-10-28,5.65,5.7,5.28,5.54,5.5009,3043271
2025-10-29,5.59,5.69,5.5,5.62,5.5803,2041680
2025-10-30,5.55,5.85,5.55,5.65,5.6101,2124555
2025-10-31,5.68,5.75,5.56,5.61,5.5704,1661213
2025-11-03,5.67,5.78,5.46,5.47,5.4314,1825402
2025-11-04,5.59,5.59,5.31,5.46,5.4215,1883255
2025-11-05,5.4,5.4,4.96,5.01,4.9746,3601892
2025-11-06,5.05,5.1,4.92,4.99,4.9548,2326001
2025-11-07,4.95,4.95,4.73,4.74,4.7065,2897727
2025-11-10,4.85,4.94,4.79,4.89,4.8555,1853744
2025-11-11,4.91,4.95,4.77,4.83,4.7959,1278544
2025-11-12,4.9,4.91,4.69,4.91,4.8753,1846413
2025-11-13,4.84,5,4.81,4.92,4.8853,1767758
2025-11-14,4.82,4.95,4.775,4.91,4.8753,1615396
2025-11-17,4.9,5.155,4.79,5.11,5.0739,1869855
