Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,3.7,3.71,3.65,3.71,3.71,1075198
2025-04-28,3.66,3.75,3.66,3.73,3.73,1091502
2025-04-29,3.7,3.835,3.7,3.81,3.81,1584280
2025-04-30,3.8,3.835,3.735,3.79,3.79,1763309
2025-05-01,3.75,3.78,3.73,3.73,3.73,1344637
2025-05-02,3.71,3.79,3.685,3.79,3.79,745110
2025-05-05,3.8,3.83,3.735,3.78,3.78,1224923
2025-05-06,3.8,3.95,3.8,3.87,3.87,1716059
2025-05-07,3.81,3.94,3.78,3.9,3.9,1281246
2025-05-08,3.9,3.98,3.88,3.96,3.96,1608484
2025-05-09,3.96,3.99,3.92,3.97,3.97,745998
2025-05-12,3.98,3.98,3.91,3.95,3.95,1062809
2025-05-13,4,4.04,3.97,4,4,1518138
2025-05-14,3.6,3.6,3.37,3.37,3.37,8779184
2025-05-15,3.42,3.46,3.35,3.4,3.4,4556271
2025-05-16,3.42,3.445,3.39,3.44,3.44,2361983
2025-05-19,3.4,3.4,3.34,3.38,3.38,1860766
2025-05-20,3.4,3.4,3.36,3.36,3.36,1085734
2025-05-21,3.38,3.38,3.32,3.33,3.33,1359752
2025-05-22,3.3,3.39,3.27,3.39,3.39,1405086
2025-05-23,3.38,3.43,3.36,3.38,3.38,1362439
2025-05-26,3.38,3.38,3.28,3.3,3.3,879199
2025-05-27,3.32,3.38,3.3,3.35,3.35,1597074
2025-05-28,3.35,3.41,3.34,3.35,3.35,1148234
2025-05-29,3.38,3.48,3.36,3.42,3.42,1424591
2025-05-30,3.4,3.43,3.36,3.36,3.36,2035100
2025-06-02,3.36,3.42,3.35,3.39,3.39,1305192
2025-06-03,3.46,3.54,3.4,3.48,3.48,1777683
2025-06-04,3.54,3.69,3.495,3.64,3.64,3079040
2025-06-05,3.66,3.69,3.585,3.62,3.62,1032756
2025-06-06,3.63,3.64,3.47,3.49,3.49,2523922
2025-06-10,3.49,3.59,3.47,3.52,3.52,1149813
