Date,Open,High,Low,Close,Adjusted_close,Volume
2025-06-25,1.21,1.22,1.09,1.12,1.1047,2482906
2025-06-26,1.155,1.21,1.09,1.15,1.1342,690782
2025-06-27,1.19,1.2,1.12,1.15,1.1342,559249
2025-06-30,1.2,1.2,1.125,1.125,1.1096,123575
2025-07-01,1.14,1.15,1.12,1.12,1.1047,120827
2025-07-02,1.145,1.145,1.11,1.14,1.1244,79765
2025-07-03,1.15,1.15,1.11,1.115,1.0997,13296
2025-07-04,1.11,1.12,1.11,1.12,1.1047,158613
2025-07-07,1.12,1.12,1.12,1.12,1.1047,450
2025-07-08,1.14,1.14,1.115,1.14,1.1244,10994
2025-07-09,1.12,1.14,1.12,1.14,1.1244,44157
2025-07-10,1.14,1.14,1.12,1.13,1.1145,21728
2025-07-11,1.14,1.14,1.14,1.14,1.1244,6485
2025-07-14,1.17,1.175,1.14,1.175,1.1589,1235
2025-07-15,1.18,1.18,1.13,1.14,1.1244,141828
2025-07-17,1.16,1.2,1.14,1.2,1.1836,578374
2025-07-18,1.18,1.25,1.18,1.25,1.2329,49477
2025-07-21,1.285,1.3,1.22,1.235,1.2181,77928
2025-07-22,1.25,1.25,1.21,1.23,1.2132,82276
2025-07-23,1.245,1.25,1.18,1.18,1.1638,751398
2025-07-24,1.2,1.2,1.18,1.2,1.1836,48166
2025-07-25,1.2,1.2,1.2,1.2,1.1836,10526
2025-07-28,1.2,1.2,1.175,1.185,1.1688,66046
2025-07-30,1.19,1.2,1.185,1.19,1.1737,14301
2025-07-31,1.19,1.19,1.155,1.16,1.1441,37239
2025-08-01,1.16,1.16,1.16,1.16,1.1441,9971
2025-08-04,1.16,1.16,1.14,1.14,1.1244,71579
2025-08-05,1.14,1.155,1.12,1.155,1.1392,112053
2025-08-06,1.155,1.155,1.145,1.145,1.1293,158
2025-08-07,1.12,1.155,1.11,1.155,1.1392,79783
2025-08-08,1.195,1.195,1.135,1.16,1.1441,15068
2025-08-11,1.16,1.205,1.16,1.17,1.154,5547
2025-08-12,1.245,1.245,1.17,1.24,1.223,1061
2025-08-13,1.24,1.25,1.215,1.24,1.223,45947
2025-08-14,1.2,1.245,1.2,1.245,1.2279,11871
2025-08-15,1.23,1.235,1.2,1.235,1.2181,8710
2025-08-19,1.235,1.235,1.22,1.22,1.2033,1500
2025-08-21,1.2,1.2,1.165,1.165,1.149,24364
2025-08-22,1.185,1.195,1.16,1.16,1.1441,89154
2025-08-25,1.16,1.1875,1.13,1.1875,1.1712,13243
2025-08-26,1.15,1.185,1.14,1.16,1.1441,55919
2025-08-27,1.17,1.205,1.17,1.195,1.1786,83078
2025-08-28,1.2,1.21,1.18,1.195,1.1786,650808
2025-08-29,1.2,1.2,1.155,1.155,1.1392,46477
2025-09-01,1.165,1.165,1.165,1.165,1.149,50
2025-09-03,1.185,1.19,1.16,1.19,1.1737,8620
2025-09-04,1.19,1.19,1.16,1.16,1.1441,20087
2025-09-05,1.15,1.15,1.14,1.14,1.1244,32490
2025-09-08,1.12,1.19,1.12,1.18,1.1638,602503
2025-09-09,1.13,1.135,1.125,1.125,1.1096,8576
2025-09-10,1.13,1.13,1.09,1.125,1.1096,71969
2025-09-11,1.125,1.15,1.09,1.09,1.0751,906
2025-09-15,1.135,1.16,1.12,1.16,1.1441,39936
2025-09-16,1.16,1.16,1.075,1.1,1.0849,118708
2025-09-17,1.085,1.09,1.085,1.09,1.0751,10859
2025-09-18,1.08,1.08,1.07,1.07,1.0553,15357
2025-09-19,1.075,1.075,0.98,1,0.9863,73125
2025-09-22,0.95,1.04,0.95,1.005,0.9912,310347
2025-09-23,1.005,1.005,0.98,0.98,0.9666,28995
2025-09-24,0.98,1.005,0.97,1,0.9863,78966
2025-09-25,1,1,0.96,0.96,0.9468,24510
2025-09-26,0.99,0.99,0.99,0.99,0.9764,508
2025-09-29,0.99,0.995,0.925,0.93,0.9173,76836
2025-09-30,0.94,0.94,0.91,0.91,0.8975,40094
2025-10-01,0.91,0.91,0.91,0.91,0.8975,59610
2025-10-02,0.955,0.955,0.95,0.95,0.937,32390
2025-10-03,0.95,0.955,0.91,0.91,0.8975,57773
2025-10-06,0.91,0.91,0.91,0.91,0.8975,25
2025-10-07,0.91,0.945,0.9,0.9,0.8877,48123
2025-10-08,0.9,0.905,0.88,0.88,0.8679,9374
2025-10-09,0.9,0.9,0.875,0.875,0.863,37969
2025-10-10,0.9,1.015,0.9,1.01,0.9962,11553
2025-10-13,1,1,1,1,0.9863,20000
2025-10-14,0.905,0.985,0.905,0.98,0.9666,39207
2025-10-15,0.985,1,0.98,1,0.9863,18855
2025-10-17,1.005,1.01,0.98,0.98,0.9666,3974
2025-10-20,0.98,0.98,0.98,0.98,0.9666,5850
2025-10-21,0.98,1.03,0.95,1.03,1.0159,88534
