Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,2.47,2.47,2.425,2.47,2.3204,190800
2025-04-28,2.48,2.5,2.445,2.46,2.311,249217
2025-04-29,2.45,2.6,2.45,2.59,2.4331,335033
2025-04-30,2.6,2.64,2.57,2.64,2.4801,195252
2025-05-01,2.63,2.66,2.59,2.62,2.4613,264212
2025-05-02,2.62,2.65,2.6,2.62,2.4613,249886
2025-05-05,2.66,2.69,2.65,2.65,2.4895,142704
2025-05-06,2.65,2.66,2.6,2.63,2.4707,105239
2025-05-07,2.63,2.69,2.62,2.64,2.4801,133703
2025-05-08,2.67,2.72,2.65,2.69,2.5271,202038
2025-05-09,2.69,2.72,2.67,2.71,2.5459,109885
2025-05-12,2.72,2.74,2.67,2.7,2.5365,179860
2025-05-13,2.71,2.72,2.66,2.67,2.5083,275422
2025-05-14,2.69,2.78,2.67,2.7,2.5365,288202
2025-05-15,2.72,2.72,2.65,2.68,2.5177,100241
2025-05-16,2.68,2.72,2.65,2.65,2.4895,115175
2025-05-19,2.67,2.67,2.59,2.6,2.4425,178560
2025-05-20,2.57,2.62,2.55,2.57,2.4143,282906
2025-05-21,2.58,2.63,2.56,2.59,2.4331,71875
2025-05-22,2.6,2.61,2.57,2.57,2.4143,58258
2025-05-23,2.6,2.6,2.52,2.57,2.4143,101639
2025-05-26,2.57,2.62,2.55,2.62,2.4613,159387
2025-05-27,2.62,2.62,2.55,2.59,2.4331,406233
2025-05-28,2.59,2.62,2.56,2.57,2.4143,152305
2025-05-29,2.57,2.615,2.56,2.57,2.4143,114989
2025-05-30,2.6,2.6,2.54,2.55,2.3956,324686
2025-06-02,2.56,2.56,2.5,2.54,2.3862,107092
2025-06-03,2.56,2.59,2.52,2.59,2.4331,90805
2025-06-04,2.59,2.62,2.54,2.6,2.4425,99423
2025-06-05,2.6,2.62,2.54,2.54,2.3862,92650
2025-06-06,2.55,2.58,2.53,2.57,2.4143,69183
2025-06-10,2.57,2.61,2.54,2.58,2.4237,180403
2025-06-11,2.58,2.67,2.58,2.66,2.4989,150178
2025-06-12,2.7,2.79,2.7,2.76,2.5928,272050
2025-06-13,2.77,2.77,2.67,2.7,2.5365,178482
2025-06-16,2.72,2.72,2.66,2.71,2.5459,96217
2025-06-17,2.72,2.825,2.71,2.76,2.5928,385210
2025-06-18,2.79,2.79,2.73,2.73,2.5647,198622
2025-06-19,2.76,2.76,2.7,2.72,2.5553,147380
2025-06-20,2.71,2.73,2.68,2.7,2.5365,128513
2025-06-23,2.71,2.72,2.67,2.68,2.5177,122808
2025-06-24,2.7,2.75,2.69,2.72,2.5553,120859
2025-06-25,2.74,2.76,2.7,2.73,2.5647,161474
2025-06-26,2.74,2.8,2.73,2.79,2.621,173779
2025-06-27,2.8,2.89,2.79,2.85,2.6774,139872
2025-06-30,2.85,2.91,2.83,2.88,2.7056,161508
2025-07-01,2.96,2.96,2.84,2.85,2.6774,136339
2025-07-02,2.88,2.88,2.82,2.85,2.6774,217502
2025-07-03,2.85,2.87,2.82,2.82,2.6492,89611
2025-07-04,2.85,2.86,2.83,2.86,2.6868,93489
2025-07-07,2.88,2.92,2.85,2.92,2.7431,353013
2025-07-08,2.91,3,2.895,2.93,2.7525,305184
2025-07-09,2.93,2.96,2.86,2.92,2.7431,208834
2025-07-10,2.92,2.92,2.85,2.88,2.7056,140798
2025-07-11,2.9,2.9,2.88,2.89,2.715,42828
2025-07-14,2.9,2.98,2.9,2.98,2.7995,117519
2025-07-15,2.98,3.05,2.98,3.01,2.8277,246193
2025-07-16,3.02,3.07,3.02,3.05,2.8653,223507
2025-07-17,3.06,3.06,3,3.03,2.8465,138738
2025-07-18,3.05,3.15,3,3.14,2.9498,418586
2025-07-21,3.16,3.22,3.08,3.14,2.9498,333917
2025-07-22,3.16,3.16,3,3.03,2.8465,303914
2025-07-23,3.03,3.07,3.03,3.05,2.8653,130357
2025-07-24,3.05,3.05,2.99,3,2.8183,112656
2025-07-25,3,3.05,2.96,3,2.8183,366371
2025-07-28,3,3,2.94,2.95,2.7713,131463
2025-07-29,2.96,2.96,2.88,2.94,2.7619,265546
2025-07-30,2.94,2.96,2.87,2.91,2.7338,200040
2025-07-31,2.92,2.99,2.91,2.95,2.7713,117416
2025-08-01,2.95,2.96,2.9,2.91,2.7338,117392
2025-08-04,2.94,2.97,2.89,2.94,2.7619,254843
2025-08-05,2.93,2.97,2.9,2.92,2.7431,205134
2025-08-06,2.91,2.92,2.88,2.9,2.7244,175790
2025-08-07,2.91,2.94,2.88,2.94,2.7619,158482
2025-08-08,2.94,2.98,2.93,2.97,2.7901,82773
2025-08-11,2.97,2.97,2.92,2.96,2.7807,108389
2025-08-12,2.95,2.99,2.95,2.99,2.8089,197970
2025-08-13,2.99,2.99,2.95,2.97,2.7901,61763
2025-08-14,2.97,2.99,2.94,2.95,2.7713,86059
2025-08-15,2.96,2.99,2.95,2.99,2.8089,101304
2025-08-18,2.99,2.99,2.95,2.99,2.8089,72426
2025-08-19,2.99,3.07,2.97,3.02,2.8371,148360
2025-08-20,3,3.08,2.99,3.08,2.8935,97929
2025-08-21,3.09,3.09,3.01,3.03,2.8465,131557
2025-08-22,3.05,3.055,2.99,3.04,2.8559,118764
2025-08-25,3.05,3.09,3,3.07,2.8841,162049
2025-08-26,3.03,3.06,2.57,2.77,2.6022,1121139
2025-08-27,2.84,2.84,2.67,2.75,2.5834,541787
2025-08-28,2.75,2.81,2.75,2.78,2.6116,211949
2025-08-29,2.82,2.91,2.81,2.91,2.7338,255754
2025-09-01,2.95,2.95,2.84,2.85,2.6774,156706
2025-09-02,2.89,2.93,2.86,2.86,2.6868,98471
2025-09-03,2.87,2.87,2.79,2.81,2.6398,202079
2025-09-04,2.81,2.83,2.78,2.8,2.6304,110736
2025-09-05,2.84,2.855,2.82,2.84,2.668,169984
2025-09-08,2.93,3.04,2.93,3.03,2.8465,1181730
2025-09-09,2.98,2.98,2.81,2.81,2.716,541731
2025-09-10,2.81,2.83,2.78,2.79,2.6967,163045
2025-09-11,2.78,2.79,2.71,2.73,2.6387,220195
2025-09-12,2.71,2.77,2.71,2.71,2.6193,208550
2025-09-15,2.69,2.69,2.55,2.6,2.513,467673
2025-09-16,2.6,2.71,2.6,2.69,2.6,317881
2025-09-17,2.67,2.72,2.64,2.65,2.5614,423083
2025-09-18,2.65,2.71,2.64,2.69,2.6,194047
2025-09-19,2.71,2.75,2.66,2.67,2.5807,238841
2025-09-22,2.65,2.7,2.62,2.7,2.6097,245538
2025-09-23,2.73,2.73,2.67,2.69,2.6,189223
2025-09-24,2.73,2.73,2.67,2.73,2.6387,129638
2025-09-25,2.73,2.75,2.69,2.74,2.6483,198364
2025-09-26,2.71,2.74,2.7,2.7,2.6097,212439
2025-09-29,2.73,2.74,2.67,2.71,2.6193,312902
2025-09-30,2.74,2.82,2.73,2.81,2.716,172191
2025-10-01,2.81,2.81,2.76,2.8,2.7063,120059
2025-10-02,2.83,2.84,2.79,2.8,2.7063,236041
2025-10-03,2.8,2.84,2.79,2.84,2.745,149572
2025-10-06,2.81,2.82,2.75,2.75,2.658,146731
2025-10-07,2.75,2.76,2.71,2.71,2.6193,84252
2025-10-08,2.75,2.75,2.7,2.72,2.629,102652
2025-10-09,2.72,2.735,2.7,2.7,2.6097,92879
2025-10-10,2.7,2.71,2.66,2.68,2.5904,270013
2025-10-13,2.67,2.67,2.64,2.67,2.5807,124957
2025-10-14,2.66,2.67,2.63,2.67,2.5807,100047
2025-10-15,2.67,2.705,2.65,2.65,2.5614,161096
2025-10-16,2.67,2.68,2.63,2.63,2.542,137008
2025-10-17,2.64,2.67,2.63,2.67,2.5807,160801
2025-10-20,2.66,2.66,2.62,2.65,2.5614,331857
2025-10-21,2.64,2.68,2.63,2.68,2.5904,168343
2025-10-22,2.68,2.73,2.64,2.73,2.6387,152682
2025-10-23,2.76,2.8,2.7,2.76,2.6677,219805
2025-10-24,2.78,2.78,2.75,2.76,2.6677,108212
2025-10-27,2.76,2.82,2.76,2.81,2.716,126561
2025-10-28,2.8,2.83,2.79,2.83,2.7353,70484
2025-10-29,2.83,2.835,2.77,2.77,2.6773,96037
2025-10-30,2.77,2.8,2.76,2.76,2.6677,104097
2025-10-31,2.79,2.81,2.76,2.79,2.6967,44179
2025-11-03,2.86,2.97,2.82,2.86,2.7643,292080
2025-11-04,2.87,3.06,2.87,3.04,2.9383,275569
2025-11-05,3.03,3.03,2.84,2.95,2.8513,246321
2025-11-06,2.94,3.02,2.93,2.98,2.8803,109089
2025-11-07,3.03,3.03,2.915,2.92,2.8223,152098
2025-11-10,2.94,3.01,2.93,2.95,2.8513,102266
2025-11-11,2.97,3.09,2.97,3.08,2.977,244809
2025-11-12,3.05,3.1,3.05,3.06,2.9576,56107
2025-11-13,3.08,3.09,3,3.01,2.9093,103923
2025-11-14,3.01,3.01,2.96,3.01,2.9093,60958
2025-11-17,3.01,3.01,2.92,2.92,2.8223,135857
2025-11-18,2.91,2.91,2.85,2.88,2.7837,150849
2025-11-19,2.85,2.9,2.84,2.89,2.7933,143266
2025-11-20,2.89,2.94,2.88,2.92,2.8223,85346
2025-11-21,2.9,2.97,2.89,2.96,2.861,45229
2025-11-24,2.93,3.015,2.93,2.99,2.89,81990
2025-11-25,2.96,2.96,2.76,2.81,2.716,440257
2025-11-26,2.82,2.91,2.76,2.76,2.6677,255096
2025-11-27,2.77,2.81,2.77,2.81,2.716,92776
2025-11-28,2.85,2.85,2.8,2.85,2.7547,50251
2025-12-01,2.9,2.9,2.81,2.82,2.7257,97721
2025-12-02,2.82,2.87,2.795,2.86,2.7643,193319
2025-12-03,2.86,2.89,2.83,2.89,2.7933,85220
2025-12-04,2.86,2.88,2.84,2.86,2.7643,93147
2025-12-05,2.86,2.88,2.86,2.87,2.774,19875
2025-12-08,2.87,2.91,2.87,2.88,2.7837,140557
2025-12-09,2.9,2.97,2.87,2.89,2.7933,50973
2025-12-10,2.85,2.87,2.83,2.86,2.7643,37301
2025-12-11,2.85,2.89,2.8,2.8,2.7063,115821
2025-12-12,2.8,2.88,2.78,2.88,2.7837,127737
2025-12-15,2.77,2.825,2.77,2.82,2.7257,112572
2025-12-16,2.835,2.84,2.81,2.82,2.7257,22072
2025-12-17,2.84,2.84,2.79,2.8,2.7063,140640
2025-12-18,2.81,2.87,2.81,2.83,2.7353,136952
2025-12-19,2.84,2.89,2.81,2.87,2.774,101034
