Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.98,5.22,4.895,5.22,5.22,6038229
2025-07-23,5.28,5.41,5.14,5.21,5.21,4828425
2025-07-24,5.11,5.53,5.09,5.36,5.36,6133622
2025-07-25,5.27,5.435,5.16,5.36,5.36,3979839
2025-07-28,5.3,5.31,4.97,5,5,7046619
2025-07-29,4.95,5,4.84,5,5,5651725
2025-07-30,4.72,4.875,4.4,4.64,4.64,10060769
2025-07-31,4.58,4.59,4.36,4.43,4.43,5740466
2025-08-01,4.43,4.6,4.38,4.58,4.58,3834876
2025-08-04,4.52,4.65,4.48,4.63,4.63,3810810
2025-08-05,4.71,4.73,4.63,4.67,4.67,4903915
2025-08-06,4.72,4.76,4.65,4.69,4.69,5103329
2025-08-07,4.68,4.78,4.63,4.73,4.73,6848174
2025-08-08,4.76,5.02,4.7,5,5,6442663
2025-08-11,5.5,5.84,5.4,5.43,5.43,10143284
2025-08-12,5.5,5.54,5.305,5.42,5.42,7441904
2025-08-13,5.29,5.42,5.265,5.34,5.34,5506872
2025-08-14,5.39,5.46,5.33,5.37,5.37,2452932
2025-08-15,5.36,5.45,5.28,5.45,5.45,2354857
2025-08-18,5.44,5.47,5.35,5.45,5.45,2666734
2025-08-19,5.46,5.49,5.35,5.42,5.42,3505882
2025-08-20,5.39,5.42,5.095,5.14,5.14,4331146
2025-08-21,5.18,5.34,5.12,5.29,5.29,3408034
2025-08-22,5.3,5.3,5.07,5.12,5.12,4011493
2025-08-25,5.24,5.41,5.23,5.31,5.31,3945502
2025-08-26,5.19,5.25,5.13,5.15,5.15,3168896
2025-08-27,5.3,5.37,5.225,5.35,5.35,5703928
2025-08-28,5.06,5.22,4.9,5.1,5.1,5160016
2025-08-29,5.18,5.37,5.16,5.22,5.22,6558219
2025-09-01,5.09,5.12,4.94,5.12,5.12,4828687
2025-09-02,5.09,5.115,4.93,4.97,4.97,4817697
2025-09-03,4.9,4.905,4.73,4.78,4.78,4344708
2025-09-04,4.86,4.94,4.73,4.77,4.77,5059361
2025-09-05,4.78,4.895,4.725,4.85,4.85,7012815
2025-09-08,4.88,5.02,4.87,4.93,4.93,3425010
2025-09-09,4.89,4.94,4.77,4.79,4.79,3974683
2025-09-10,4.32,4.32,4.1,4.12,4.12,8775528
2025-09-11,4.1,4.26,4.1,4.23,4.23,8844501
2025-09-12,4.34,4.35,4.18,4.34,4.34,2940520
2025-09-15,4.35,4.65,4.28,4.63,4.63,3821587
2025-09-16,4.71,4.81,4.645,4.7,4.7,6104769
2025-09-17,4.63,4.8,4.62,4.79,4.79,3451833
2025-09-18,4.71,4.88,4.7,4.8,4.8,2982459
2025-09-19,4.71,4.95,4.67,4.87,4.87,11517338
2025-09-22,4.94,4.99,4.81,4.88,4.88,3414535
2025-09-23,4.9,5,4.84,4.95,4.95,2736138
2025-09-24,5.01,5.03,4.91,5.02,5.02,3647114
2025-09-25,4.96,5.15,4.96,5.14,5.14,4376007
2025-09-26,5.12,5.21,5.07,5.11,5.11,4958563
2025-09-29,5.1,5.205,5.02,5.09,5.09,3317286
2025-09-30,5.16,5.23,5.08,5.18,5.18,3723045
2025-10-01,5.08,5.095,4.87,4.97,4.97,4892919
2025-10-02,5.11,5.28,5.04,5.21,5.21,5451659
2025-10-03,5.2,5.29,5.18,5.2,5.2,2809515
2025-10-06,5.25,5.29,5.15,5.21,5.21,2443469
2025-10-07,5.29,5.38,5.22,5.32,5.32,3789676
2025-10-08,5.25,5.38,5.25,5.37,5.37,2998748
2025-10-09,5.55,5.55,5.405,5.5,5.5,3058956
2025-10-10,5.49,5.62,5.35,5.36,5.36,3983789
2025-10-13,5.22,5.335,5.19,5.25,5.25,2988283
2025-10-14,5.49,5.61,5.28,5.31,5.31,4642914
2025-10-15,5.4,5.42,5.31,5.4,5.4,4599710
2025-10-16,5.31,5.41,5.29,5.36,5.36,2475586
2025-10-17,5.26,5.32,5.12,5.32,5.32,4051218
2025-10-20,5.25,5.31,5.205,5.28,5.28,2794805
2025-10-21,5.37,5.44,5.28,5.28,5.28,2293868
2025-10-22,5.18,5.24,5.17,5.21,5.21,2227181
2025-10-23,5.25,5.4,5.19,5.39,5.39,3303354
2025-10-24,5.45,5.93,5.45,5.82,5.82,6559043
2025-10-27,5.8,5.83,5.64,5.67,5.67,3211192
2025-10-28,5.61,5.63,5.22,5.37,5.37,4651982
2025-10-29,5.43,5.51,5.37,5.45,5.45,2406227
2025-10-30,5.41,5.64,5.21,5.53,5.53,8146799
2025-10-31,5.49,5.59,5.3,5.37,5.37,8221206
2025-11-03,5.41,5.49,5.19,5.22,5.22,3703507
2025-11-04,5.18,5.28,5.155,5.19,5.19,1612825
2025-11-05,5.04,5.07,4.87,5.06,5.06,3347517
2025-11-06,5.12,5.12,4.935,4.96,4.96,3552053
2025-11-07,4.96,5.01,4.89,4.99,4.99,2196048
2025-11-10,5.245,5.39,5.21,5.34,5.34,2528032
2025-11-11,5.41,5.68,5.365,5.63,5.63,4290991
2025-11-12,5.81,5.965,5.67,5.83,5.83,7220267
2025-11-13,6,6.83,5.9,6.72,6.72,12771710
2025-11-14,6.54,6.94,6.51,6.73,6.73,6470627
2025-11-17,6.63,6.79,6.435,6.79,6.79,4312927
2025-11-18,7.01,7.35,6.58,6.68,6.68,10452635
2025-11-19,6.9,6.94,6.485,6.65,6.65,4912085
2025-11-20,6.9,7.09,6.84,6.92,6.92,6136592
2025-11-21,6.7,6.71,6.4,6.47,6.47,8384187
2025-11-24,6.52,6.61,6.23,6.25,6.25,5270800
2025-11-25,6.36,6.42,6.26,6.38,6.38,2196863
2025-11-26,6.54,6.78,6.51,6.73,6.73,4110860
2025-11-27,6.75,6.88,6.575,6.65,6.65,2208276
2025-11-28,6.68,6.83,6.65,6.77,6.77,2289174
2025-12-01,6.81,6.97,6.64,6.66,6.66,2885536
2025-12-02,6.6,6.75,6.49,6.63,6.63,1818708
2025-12-03,6.6,6.84,6.55,6.71,6.71,2973956
2025-12-04,6.7,6.78,6.39,6.47,6.47,4173054
2025-12-05,6.62,7.04,6.43,6.93,6.93,3656678
2025-12-08,6.92,7.17,6.92,7.01,7.01,3756056
2025-12-09,6.95,7.16,6.91,7.05,7.05,3060953
2025-12-10,7.1,7.24,7.025,7.1,7.1,2133471
2025-12-11,6.96,7.1,6.855,6.98,6.98,4903742
