Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.27,5.35,5.14,5.18,5.1396,6584090
2025-07-23,5.22,5.39,5.2,5.39,5.3479,9856293
2025-07-24,5.47,5.48,5.23,5.41,5.3678,5802643
2025-07-25,5.41,5.51,5.31,5.4,5.3578,3446057
2025-07-28,5.39,5.41,5.19,5.24,5.1991,4534026
2025-07-29,5.24,5.31,5.18,5.27,5.2289,2681572
2025-07-30,5.19,5.24,5.16,5.16,5.1197,2868238
2025-07-31,5.04,5.15,4.9,5.15,5.1098,8377617
2025-08-01,5.03,5.26,4.99,5.21,5.1693,7476900
2025-08-04,5.16,5.34,5.08,5.32,5.2785,4784514
2025-08-05,5.55,5.88,5.52,5.78,5.7349,9216540
2025-08-06,5.85,5.94,5.79,5.79,5.7448,5657968
2025-08-07,5.84,5.955,5.705,5.77,5.7249,8688904
2025-08-08,5.9,6.05,5.83,6.01,5.9631,4326333
2025-08-11,6.14,6.21,5.91,6.02,5.973,5102107
2025-08-12,6.02,6.08,5.93,6.01,5.9631,3295469
2025-08-13,6.04,6.32,5.94,6.21,6.1615,3986487
2025-08-14,6.4,6.49,6.21,6.21,6.1615,4457665
2025-08-15,6.2,6.375,6.125,6.32,6.2707,3458053
2025-08-18,6.35,6.47,6.27,6.47,6.4195,3280890
2025-08-19,6.51,6.62,6.38,6.59,6.5385,5014145
2025-08-20,6.49,6.5,5.96,6.13,6.0821,7771836
2025-08-21,6.13,6.21,6,6.13,6.0821,6260838
2025-08-22,6.16,6.2,6.03,6.08,6.0325,4272053
2025-08-25,6.16,6.42,6.16,6.38,6.3302,4184145
2025-08-26,6.52,6.62,6.295,6.36,6.3103,5238046
2025-08-27,6.38,6.42,6.22,6.36,6.3103,2930309
2025-08-28,6.37,6.4,6.07,6.24,6.1913,4542222
2025-08-29,6.34,6.4,6.27,6.33,6.2806,5504298
2025-09-01,6.3,6.39,6.26,6.32,6.2707,3458027
2025-09-02,6.28,6.29,6.09,6.17,6.1413,1546413
2025-09-03,6.27,6.38,6.205,6.22,6.191,2599184
2025-09-04,6.23,6.33,6.17,6.33,6.3005,3120552
2025-09-05,6.3,6.32,6.2,6.31,6.2806,1950114
2025-09-08,6.32,6.44,6.25,6.36,6.3304,1897364
2025-09-09,6.42,6.51,6.375,6.47,6.4399,2899648
2025-09-10,5.84,5.91,5.48,5.55,5.5241,10293971
2025-09-11,5.46,5.62,5.39,5.48,5.4545,6173150
2025-09-12,5.55,5.75,5.495,5.69,5.6635,4268209
2025-09-15,5.69,5.94,5.62,5.84,5.8128,4448809
2025-09-16,5.93,6.16,5.89,6.16,6.1313,3464014
2025-09-17,6.32,6.38,6.17,6.26,6.2308,2931912
2025-09-18,6.28,6.46,6.26,6.33,6.3005,4248754
2025-09-19,6.37,6.39,6.05,6.05,6.0218,9512859
2025-09-22,6.04,6.14,5.83,5.91,5.8825,3804537
2025-09-23,5.94,6.14,5.915,6.11,6.0815,2593930
2025-09-24,6.11,6.23,6.07,6.23,6.201,2715377
2025-09-25,6.29,6.5,6.245,6.34,6.3105,4581563
2025-09-26,6.39,6.625,6.35,6.6,6.5693,4386878
2025-09-29,6.45,6.5,6.3,6.34,6.3105,4102761
2025-09-30,6.4,6.49,6.25,6.33,6.3005,5313784
2025-10-01,6.42,6.46,6.2,6.42,6.3901,1749416
2025-10-02,6.59,6.77,6.58,6.77,6.7385,5241455
2025-10-03,6.8,7.13,6.8,7.1,7.0669,6312289
2025-10-06,7.11,7.53,7.11,7.43,7.3954,5721419
2025-10-07,7.56,7.775,7.39,7.48,7.4452,6436053
2025-10-08,7.55,7.68,7.46,7.57,7.5347,7973211
2025-10-09,7.66,7.94,7.39,7.76,7.7239,6894663
