Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.74,2.96,2.7,2.93,2.9093,1396165
2025-07-23,2.91,2.94,2.85,2.9,2.8795,1013411
2025-07-24,2.89,2.97,2.82,2.95,2.9291,1171417
2025-07-25,2.94,2.94,2.89,2.91,2.8894,478057
2025-07-28,2.96,2.99,2.91,2.98,2.9589,576525
2025-07-29,2.91,2.955,2.86,2.93,2.9093,728741
2025-07-30,2.92,3.05,2.89,3.02,2.9987,1010993
2025-07-31,3.01,3.07,2.99,3.04,3.0185,1409531
2025-08-01,3.02,3.08,3.005,3.07,3.0483,512529
2025-08-04,3.08,3.08,3.02,3.02,2.9987,1155145
2025-08-05,3.08,3.11,3.05,3.1,3.0781,1024902
2025-08-06,3.11,3.25,3.11,3.24,3.2171,2404849
2025-08-07,3.16,3.21,3.13,3.16,3.1377,1000182
2025-08-08,3.16,3.21,3.13,3.19,3.1674,976848
2025-08-11,3.28,3.3,3.22,3.28,3.2568,1240680
2025-08-12,3.29,3.34,3.27,3.3,3.2767,1536861
2025-08-13,3.34,3.34,3.26,3.33,3.3065,615523
2025-08-14,3.34,3.4,3.33,3.35,3.3263,1063895
2025-08-15,3.37,3.41,3.33,3.41,3.3859,655587
2025-08-18,3.41,3.42,3.36,3.4,3.376,1083364
2025-08-19,3.43,3.44,3.37,3.4,3.376,664920
2025-08-20,3.44,3.45,3.33,3.35,3.3263,1538380
2025-08-21,3.34,3.41,3.325,3.4,3.376,832871
2025-08-22,3.4,3.44,3.35,3.37,3.3462,961754
2025-08-25,3.3,3.47,3.22,3.43,3.4058,3864752
2025-08-26,3.24,3.24,2.87,2.95,2.9291,7901818
2025-08-27,3,3.03,2.96,3.02,2.9987,2366814
2025-08-28,3.05,3.05,2.93,2.99,2.9689,2664226
2025-08-29,3.05,3.05,2.98,3.02,2.9987,849562
2025-09-01,3.02,3.02,2.9,2.96,2.9391,950310
2025-09-02,2.92,2.99,2.92,2.99,2.9689,805683
2025-09-03,2.97,3.02,2.96,2.97,2.949,1567503
2025-09-04,2.99,3.025,2.97,3,2.9788,3552555
2025-09-05,3.01,3.08,3,3.06,3.0384,2471322
2025-09-08,2.96,3.08,2.94,3.07,3.0483,1175722
2025-09-09,3.12,3.18,3.075,3.18,3.1575,1830654
2025-09-10,3.15,3.23,3.125,3.2,3.1774,851222
2025-09-11,3.25,3.35,3.23,3.31,3.2866,1743645
2025-09-12,3.28,3.365,3.28,3.34,3.3164,1262299
2025-09-15,3.3,3.33,3.28,3.33,3.3065,905812
